file_name,tumor_type,seed_index,n_pool,overall,tp,n_tp,q0,q1,q2,q3,top100,top1000,q0_minus_q3
245.tiff,canine lymphosarcoma,1,40879,0.6665525086230094,0.8089887640449438,89,0.785518590998043,0.6955968688845401,0.6315068493150685,0.5535766709071338,0.93,0.872,0.2319419200909092
245.tiff,canine lymphosarcoma,2,36765,0.7770161838705291,0.898876404494382,89,0.9129677980852916,0.8316831683168316,0.7558481122837558,0.6075508649766076,0.98,0.96,0.305416933108684
245.tiff,canine lymphosarcoma,3,38012,0.7585499316005472,0.9101123595505618,89,0.8871935178364727,0.8233189519099232,0.7497632326633694,0.5739240239924235,0.96,0.922,0.31326949384404923
245.tiff,canine lymphosarcoma,4,37617,0.8277906265784087,0.9550561797752809,89,0.9298245614035088,0.8817524457677584,0.831242024670353,0.6683326244151425,0.98,0.967,0.26149193698836626
246.tiff,canine lymphosarcoma,0,30343,0.5860659789737337,0.9130434782608695,115,0.780384919588716,0.6324808858423412,0.5565515423147904,0.37481872116018455,0.98,0.908,0.4055661984285315
246.tiff,canine lymphosarcoma,1,31638,0.5835387824767685,0.9826086956521739,115,0.770417193426043,0.6524212921987609,0.5517067003792667,0.35959034011885194,0.99,0.93,0.41082685330719104
246.tiff,canine lymphosarcoma,2,29149,0.6634875982023397,0.9391304347826087,115,0.8334248079034029,0.7135995608618086,0.6371620694387266,0.4697406340057637,0.99,0.939,0.3636841738976392
246.tiff,canine lymphosarcoma,3,28531,0.5231502576145246,0.8,115,0.6963409505117062,0.5822234683863732,0.4960044861909435,0.31800336511497473,0.88,0.813,0.37833758539673146
246.tiff,canine lymphosarcoma,4,31289,0.6759883665185848,1.0,115,0.8460948485235843,0.7454615187931475,0.6507287138839172,0.46164663768857067,1.0,0.961,0.3844482108350136
300.tiff,canine cutaneous mast cell tumor,0,23413,0.4822107376243967,0.8333333333333334,180,0.77263409634438,0.6723048009567743,0.4202972834443875,0.06355715017939519,0.97,0.829,0.7090769461649847
300.tiff,canine cutaneous mast cell tumor,1,29804,0.26117299691316603,0.25,180,0.31096497114481275,0.3164675882431888,0.28774661119312844,0.12951281707153403,0.15,0.276,0.18145215407327872
300.tiff,canine cutaneous mast cell tumor,2,23524,0.39219520489712634,0.8111111111111111,180,0.6891685087570141,0.5305220200646149,0.3162727427308281,0.03281754803604829,0.96,0.816,0.6563509607209658
300.tiff,canine cutaneous mast cell tumor,3,23524,0.39219520489712634,0.8111111111111111,180,0.6891685087570141,0.5305220200646149,0.3162727427308281,0.03281754803604829,0.96,0.816,0.6563509607209658
300.tiff,canine cutaneous mast cell tumor,4,28442,0.44666338513466003,0.9722222222222222,180,0.8152158627478554,0.6147679324894515,0.32822387849810153,0.02841068917018284,1.0,0.972,0.7868051735776725
301.tiff,canine cutaneous mast cell tumor,0,25447,0.7860651550280976,0.9308755760368663,217,0.9600754479723358,0.9069475007859163,0.8280414963847846,0.44914321647539696,0.97,0.977,0.5109322314969389
301.tiff,canine cutaneous mast cell tumor,1,32225,0.19286268425135764,0.04608294930875576,217,0.18642174506640188,0.1999751737835154,0.18793445878848064,0.1971201588877855,0.08,0.137,-0.010698413821383618
301.tiff,canine cutaneous mast cell tumor,2,33716,0.2449875430062878,0.0967741935483871,217,0.22078538379404436,0.2789180211175703,0.2869854075216514,0.19326135959188515,0.04,0.115,0.027524024202159214
301.tiff,canine cutaneous mast cell tumor,3,34274,0.13748030577113848,0.08294930875576037,217,0.11121484420585832,0.15908029878618113,0.1696814097327576,0.10994397759103641,0.02,0.04,0.001270866614821911
301.tiff,canine cutaneous mast cell tumor,4,30382,0.6664472384964781,0.9308755760368663,217,0.9271985255397578,0.823963133640553,0.6721958925750395,0.2423963133640553,1.0,0.973,0.6848022121757025
402.tiff,human neuroendocrine tumor,0,32553,0.6651614290541579,0.9903846153846154,104,0.9219805872957366,0.8059719832882772,0.6617104939788646,0.2709510936347997,1.0,0.983,0.6510294936609369
402.tiff,human neuroendocrine tumor,1,21387,0.7117875344835648,0.9903846153846154,104,0.9154666167944642,0.8056854310828502,0.6936599962595849,0.43228582117471004,1.0,0.973,0.48318079561975413
402.tiff,human neuroendocrine tumor,2,29723,0.7038320492547858,0.9903846153846154,104,0.8860180325662764,0.7531960705154084,0.6567083837976047,0.5193808882907133,1.0,0.984,0.36663714427556315
402.tiff,human neuroendocrine tumor,3,31042,0.71960569550931,1.0,104,0.9543873212214921,0.8536082474226804,0.7255508310784693,0.34484536082474226,1.0,0.997,0.6095419603967498
402.tiff,human neuroendocrine tumor,4,33966,0.27389153859742094,0.125,104,0.2167922750824305,0.2699328700977506,0.2942769665567593,0.3145683665057119,0.08,0.159,-0.09777609142328139
403.tiff,human neuroendocrine tumor,0,30303,0.14137214137214138,0.23076923076923078,52,0.23693241816261879,0.25976768743400214,0.05055438225976769,0.018217821782178217,0.1,0.088,0.21871459638044058
403.tiff,human neuroendocrine tumor,1,28794,0.3455581023824408,0.9807692307692307,52,0.9133212946242534,0.4312308974715199,0.03444922905959161,0.0031953320366768546,1.0,0.986,0.9101259625875765
403.tiff,human neuroendocrine tumor,2,28589,0.1418727482598202,0.2692307692307692,52,0.27000559597090096,0.23520358192248497,0.04771232685042675,0.014551560095144815,0.11,0.187,0.25545403587575616
403.tiff,human neuroendocrine tumor,3,28178,0.3298672723401235,0.9423076923076923,52,0.8465578424414478,0.4250425894378194,0.044570617459190914,0.00326519023282226,0.98,0.947,0.8432926522086256
403.tiff,human neuroendocrine tumor,4,30303,0.14137214137214138,0.23076923076923078,52,0.23693241816261879,0.25976768743400214,0.05055438225976769,0.018217821782178217,0.1,0.088,0.21871459638044058
459.tiff,canine soft tissue sarcoma,0,26152,0.6337565004588559,0.9384615384615385,130,0.9576323034567146,0.8667788314469257,0.5919241358213521,0.11869073111043132,0.99,0.993,0.8389415723462832
459.tiff,canine soft tissue sarcoma,1,21905,0.7231682264323214,0.9769230769230769,130,0.9735256527295965,0.9222059897735574,0.7594959824689554,0.23739956172388604,1.0,0.992,0.7361260910057104
459.tiff,canine soft tissue sarcoma,2,24546,0.7496537113990059,0.9846153846153847,130,0.9858236923578295,0.9491525423728814,0.7966433110640379,0.2669491525423729,1.0,0.999,0.7188745398154566
459.tiff,canine soft tissue sarcoma,3,19414,0.7248377459565262,0.9384615384615385,130,0.9699217140502678,0.9118071296105502,0.7599917593737124,0.25757263548320625,0.97,0.987,0.7123490785670616
459.tiff,canine soft tissue sarcoma,4,20990,0.6955216769890424,0.9384615384615385,130,0.9676067073170732,0.9029921860110539,0.7258003048780488,0.18562988374309128,0.97,0.987,0.7819768235739819
460.tiff,canine soft tissue sarcoma,0,20009,0.4556949372782248,0.9428571428571428,35,0.8672796322206676,0.7089164334266294,0.22131147540983606,0.025189924030387844,0.99,0.95,0.8420897081902797
460.tiff,canine soft tissue sarcoma,1,25290,0.45895610913404505,0.9142857142857143,35,0.9180768622489325,0.7174944637772857,0.17475881701723867,0.025466624485922178,1.0,0.979,0.8926102377630103
460.tiff,canine soft tissue sarcoma,2,17993,0.4792419274162174,0.9714285714285714,35,0.8710824627695043,0.737661182747888,0.2743441529568697,0.03379279679857715,0.97,0.94,0.8372896659709271
460.tiff,canine soft tissue sarcoma,3,22948,0.39981697751438033,0.9142857142857143,35,0.852536168729301,0.6184416942652955,0.11051071988844344,0.017779327174481437,0.98,0.93,0.8347568415548197
