file_name,tumor_type,seed_index,n_mit,n_pool,frac_on_nucleus,arm,lo_um,hi_um,retention_nominal,n_kept,n_tp,recall,depth_90,depth_95,depth_100
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,insample@0.95,5.326096153259277,12.162389755249023,0.95,26401,17,1.0,9066.0,26095.0,26095.0
013.tiff,human breast cancer,4,17,31171,0.3351833434923487,lodo@0.95,3.919527816772462,15.04659652709961,0.95,28110,17,1.0,188.0,263.0,263.0
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,baseline,-inf,inf,,34573,81,1.0,1309.0,1630.0,4052.0
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,apriori,4.0,18.0,,26534,79,0.9753086419753086,1423.0,3499.0,
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,insample@1.00,4.141571521759033,33.65827941894531,1.0,30645,81,1.0,1219.0,1503.0,3560.0
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,34545,81,1.0,1309.0,1630.0,4052.0
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,insample@0.99,4.257688808441162,30.681647491455035,0.99,30266,80,0.9876543209876543,1241.0,1593.0,
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,lodo@0.99,2.763861386775974,23.32760238647461,0.99,30496,81,1.0,1327.0,1728.0,21414.0
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,insample@0.98,4.3738060951232915,27.705015563964864,0.98,29478,80,0.9876543209876543,1190.0,1535.0,
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,lodo@0.98,3.535104742050173,20.54703712463379,0.98,28364,80,0.9876543209876543,1380.0,2286.0,
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,insample@0.95,4.581127166748048,22.554962158203125,0.95,27971,79,0.9753086419753086,1174.0,1935.0,
094.tiff,human breast cancer,0,81,34573,0.6019726376073815,lodo@0.95,3.919527816772462,15.04659652709961,0.95,24933,79,0.9753086419753086,1450.0,13930.0,
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,baseline,-inf,inf,,28700,81,1.0,747.0,1183.0,4922.0
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,apriori,4.0,18.0,,24518,79,0.9753086419753086,1123.0,4214.0,
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,insample@1.00,4.4318647384643555,26.216699600219727,1.0,26367,81,1.0,714.0,1119.0,4521.0
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,28687,81,1.0,747.0,1183.0,4921.0
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,insample@0.99,4.48783814907074,24.8435480594635,0.99,26081,80,0.9876543209876543,776.0,1560.0,
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,lodo@0.99,2.763861386775974,23.32760238647461,0.99,26661,81,1.0,797.0,1610.0,9943.0
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,insample@0.98,4.543811559677124,23.470396518707275,0.98,25848,80,0.9876543209876543,769.0,1541.0,
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,lodo@0.98,3.535104742050173,20.54703712463379,0.98,25588,80,0.9876543209876543,794.0,2626.0,
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,insample@0.95,4.799987316131592,22.30416202545166,0.95,25298,79,0.9753086419753086,722.0,2433.0,
094.tiff,human breast cancer,1,81,28700,0.4506620209059233,lodo@0.95,3.919527816772462,15.04659652709961,0.95,23420,79,0.9753086419753086,1539.0,8184.0,
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,baseline,-inf,inf,,33056,81,1.0,1046.0,1743.0,4088.0
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,apriori,4.0,18.0,,27832,81,1.0,1613.0,3475.0,11602.0
