file_name,ranker,pick_row,n_mit,read_95,rec_at_1000
548.tiff,proto_8feat,96,237,3476,0.70042194092827
548.tiff,proto_3chrom,96,237,2413,0.9113924050632911
548.tiff,proto_8feat,59,237,2855,0.7890295358649789
548.tiff,proto_3chrom,59,237,2391,0.9113924050632911
548.tiff,proto_8feat,260,237,3362,0.7215189873417721
548.tiff,proto_3chrom,260,237,2406,0.9113924050632911
548.tiff,proto_8feat,30,237,2099,0.8185654008438819
548.tiff,proto_3chrom,30,237,2382,0.9113924050632911
548.tiff,proto_8feat,243,237,1813,0.8607594936708861
548.tiff,proto_3chrom,243,237,2373,0.9113924050632911
548.tiff,proto_8feat,245,237,3609,0.5991561181434599
548.tiff,proto_3chrom,245,237,2418,0.9113924050632911
548.tiff,proto_8feat,381,237,3833,0.569620253164557
548.tiff,proto_3chrom,381,237,2397,0.9113924050632911
548.tiff,proto_8feat,0,237,1987,0.8227848101265823
548.tiff,proto_3chrom,0,237,2392,0.9113924050632911
548.tiff,proto_8feat,180,237,1508,0.8143459915611815
548.tiff,proto_3chrom,180,237,2374,0.9113924050632911
548.tiff,proto_8feat,15,237,1971,0.8270042194092827
548.tiff,proto_3chrom,15,237,2389,0.9113924050632911
548.tiff,proto_8feat,2843,237,9239,0.16033755274261605
548.tiff,proto_3chrom,2843,237,8220,0.004219409282700422
402.tiff,proto_8feat,189,103,764,0.970873786407767
402.tiff,proto_3chrom,189,103,1855,0.9223300970873787
402.tiff,proto_8feat,209,103,1347,0.9029126213592233
402.tiff,proto_3chrom,209,103,2110,0.9029126213592233
402.tiff,proto_8feat,135,103,998,0.9514563106796117
402.tiff,proto_3chrom,135,103,1896,0.9223300970873787
402.tiff,proto_8feat,1607,103,1200,0.8932038834951457
402.tiff,proto_3chrom,1607,103,3528,0.10679611650485436
402.tiff,proto_8feat,3852,103,6083,0.1262135922330097
402.tiff,proto_3chrom,3852,103,4200,0.08737864077669903
402.tiff,proto_8feat,56,103,1366,0.9029126213592233
402.tiff,proto_3chrom,56,103,1889,0.9223300970873787
402.tiff,proto_8feat,410,103,686,0.970873786407767
402.tiff,proto_3chrom,410,103,1883,0.9223300970873787
402.tiff,proto_8feat,99,103,1037,0.941747572815534
402.tiff,proto_3chrom,99,103,1906,0.9223300970873787
402.tiff,proto_8feat,264,103,664,0.970873786407767
402.tiff,proto_3chrom,264,103,1804,0.9223300970873787
402.tiff,proto_8feat,1101,103,1686,0.8737864077669902
402.tiff,proto_3chrom,1101,103,1716,0.1553398058252427
402.tiff,proto_8feat,903,103,895,0.9611650485436893
402.tiff,proto_3chrom,903,103,2943,0.10679611650485436
402.tiff,proto_8feat,47,103,1308,0.9223300970873787
402.tiff,proto_3chrom,47,103,2100,0.9029126213592233
402.tiff,proto_8feat,414,103,908,0.9514563106796117
402.tiff,proto_3chrom,414,103,1793,0.9223300970873787
402.tiff,proto_8feat,4,103,1042,0.9320388349514563
402.tiff,proto_3chrom,4,103,1854,0.9223300970873787
402.tiff,proto_8feat,871,103,1320,0.8640776699029126
402.tiff,proto_3chrom,871,103,3279,0.10679611650485436
402.tiff,proto_8feat,115,103,836,0.970873786407767
402.tiff,proto_3chrom,115,103,1835,0.9223300970873787
402.tiff,proto_8feat,1790,103,1292,0.8252427184466019
402.tiff,proto_3chrom,1790,103,4055,0.06796116504854369
402.tiff,proto_8feat,124,103,961,0.9611650485436893
402.tiff,proto_3chrom,124,103,1878,0.9223300970873787
402.tiff,proto_8feat,246,103,1761,0.5631067961165048
402.tiff,proto_3chrom,246,103,1844,0.9223300970873787
402.tiff,proto_8feat,59,103,995,0.9514563106796117
402.tiff,proto_3chrom,59,103,1803,0.9223300970873787
402.tiff,proto_8feat,29,103,1032,0.941747572815534
402.tiff,proto_3chrom,29,103,1845,0.9223300970873787
402.tiff,proto_8feat,129,103,676,0.970873786407767
402.tiff,proto_3chrom,129,103,1752,0.9223300970873787
402.tiff,proto_8feat,16,103,1058,0.941747572815534
402.tiff,proto_3chrom,16,103,1854,0.9223300970873787
402.tiff,proto_8feat,111,103,1027,0.941747572815534
402.tiff,proto_3chrom,111,103,1815,0.9223300970873787
402.tiff,proto_8feat,127,103,710,0.970873786407767
402.tiff,proto_3chrom,127,103,1963,0.9029126213592233
402.tiff,proto_8feat,179,103,723,0.970873786407767
402.tiff,proto_3chrom,179,103,1815,0.9223300970873787
402.tiff,proto_8feat,3,103,1027,0.9320388349514563
402.tiff,proto_3chrom,3,103,1870,0.9223300970873787
402.tiff,proto_8feat,89,103,1078,0.9320388349514563
402.tiff,proto_3chrom,89,103,1838,0.9223300970873787
402.tiff,proto_8feat,10,103,1054,0.9320388349514563
402.tiff,proto_3chrom,10,103,1867,0.9223300970873787
402.tiff,proto_8feat,395,103,1019,0.941747572815534
402.tiff,proto_3chrom,395,103,1924,0.9223300970873787
