file_name,seed_index,tumor_type,seed_ann_id,n_retries,base_size,n_pool,n_gt_mitotic,deep_recall,map_median,mad_scale,z_max,tp_score_min,n_at_current_z,n_at_z_max,pct_pool_cut,tumor_type_r50,seed_ann_id_r50,n_retries_r50,base_size_r50,n_pool_r50,n_gt_mitotic_r50,deep_recall_r50,map_median_r50,mad_scale_r50,z_max_r50,tp_score_min_r50,n_at_current_z_r50,n_at_z_max_r50,pct_pool_cut_r50,pct_extra_pool_at_r50,pct_extra_at_z1_at_r50
246.tiff,0,canine lymphosarcoma,6548,0,41,17763,115,1.0,-0.006127519533038139,0.17130555468052625,2.7220458984375,0.4601740837097168,16836,5426,67.77,canine lymphosarcoma,6548,0,41,30343,115,1.0,-0.0061275195330381,0.1713055546805262,2.7220458984375,0.4601740837097168,26677,6268,76.5,70.82137026403197,58.452126395818496
246.tiff,1,canine lymphosarcoma,6599,0,51,17808,115,1.0,-0.004754615481942892,0.18055911477059125,1.8915382623672485,0.3367798626422882,16653,12144,27.08,canine lymphosarcoma,6599,0,51,31638,115,1.0,-0.0047546154819428,0.1805591147705912,1.8915382623672483,0.3367798626422882,27677,16972,38.68,77.66172506738545,66.19828259172522
246.tiff,2,canine lymphosarcoma,6484,0,47,17603,115,0.9826,-0.0036368416622281075,0.18420176402181385,2.3642191886901855,0.4318564832210541,16354,7184,56.07,canine lymphosarcoma,6484,0,47,29149,115,1.0,-0.0036368416622281,0.1842017640218138,2.364219188690185,0.4318564832210541,24987,8502,65.97,65.59109242742713,52.78830867066162
246.tiff,3,canine lymphosarcoma,6520,0,51,18564,115,1.0,-0.010693099349737167,0.18345034417212008,2.7782137393951416,0.4989711344242096,17637,6409,63.66,canine lymphosarcoma,6520,0,51,28531,115,1.0,-0.0106930993497371,0.18345034417212,2.7782137393951416,0.4989711344242096,25478,7065,72.27,53.68993751346694,44.45767420763169
246.tiff,4,canine lymphosarcoma,6587,0,37,17784,115,1.0,-0.0039575183764100075,0.18126200852841137,2.555565357208252,0.45926937460899353,16929,7018,58.54,canine lymphosarcoma,6587,0,37,31289,115,1.0,-0.00395751837641,0.1812620085284113,2.555565357208252,0.4592693746089935,27816,8527,69.34,75.93904633378317,64.30976430976432
459.tiff,0,canine soft tissue sarcoma,22441,0,33,17994,130,1.0,-0.05076500028371811,0.5032099391520023,1.8907809257507324,0.9006947875022888,15834,12838,18.92,canine soft tissue sarcoma,22441,0,33,26152,130,1.0,-0.0507650002837181,0.5032099391520023,1.8907809257507324,0.9006947875022888,20892,15466,25.97,45.33733466711125,31.9439181508147
459.tiff,1,canine soft tissue sarcoma,22445,0,47,16569,130,1.0,-0.09126412123441696,0.7691311110377311,1.6142152547836304,1.1502790451049805,14166,12189,13.96,canine soft tissue sarcoma,22445,0,47,21905,130,1.0,-0.0912641212344169,0.7691311110377311,1.6142152547836304,1.1502790451049805,17382,14066,19.08,32.20471965719114,22.702244811520544
459.tiff,2,canine soft tissue sarcoma,22306,0,39,17119,130,1.0,-0.10058432072401047,0.7868055221557617,1.8067939281463623,1.3210111856460571,15015,12109,19.35,canine soft tissue sarcoma,22306,0,39,24546,130,1.0,-0.1005843207240104,0.7868055221557617,1.8067939281463623,1.3210111856460571,19513,14367,26.37,43.38454348968981,29.956709956709958
459.tiff,3,canine soft tissue sarcoma,22371,0,51,15882,130,1.0,-0.14223219454288483,1.2101119322776794,1.3078757524490356,1.4404438734054565,13446,12535,6.78,canine soft tissue sarcoma,22371,0,51,19414,130,1.0,-0.1422321945428848,1.2101119322776794,1.3078757524490356,1.4404438734054563,15537,14192,8.66,22.239012718801156,15.551093261936643
459.tiff,4,canine soft tissue sarcoma,22305,0,45,16609,130,0.9923,-0.14085979759693146,1.0427692239403723,1.3727209568023682,1.2905713319778442,14128,13061,7.55,canine soft tissue sarcoma,22305,0,45,20990,130,1.0,-0.1408597975969314,1.0427692239403723,1.3727209568023682,1.2905713319778442,16680,15009,10.02,26.377265338069723,18.063420158550404
