file_name,tumor_type,arm_tag,arm,axis,budget,n_seeds,mean,sd,min,max,range,seed_pool_size,n_gt_mitotic,granularity_1_over_n
402.tiff,human neuroendocrine tumor,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,500,5,0.8096153846153845,0.017200522903844526,0.7788461538461539,0.8173076923076923,0.038461538461538436,65,104,0.009615384615384616
402.tiff,human neuroendocrine tumor,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1000,5,0.8942307692307694,0.021500653629805695,0.8557692307692307,0.9038461538461539,0.04807692307692313,65,104,0.009615384615384616
402.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,50,5,0.275,0.054647200916857,0.20192307692307693,0.3173076923076923,0.11538461538461536,65,104,0.009615384615384616
402.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,100,5,0.4384615384615385,0.07888132423843723,0.3269230769230769,0.5096153846153846,0.18269230769230765,65,104,0.009615384615384616
402.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,250,5,0.6865384615384615,0.10212244651809041,0.5192307692307693,0.7692307692307693,0.25,65,104,0.009615384615384616
402.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,500,5,0.826923076923077,0.06194278234002465,0.7307692307692307,0.8846153846153846,0.15384615384615385,65,104,0.009615384615384616
402.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1000,5,0.901923076923077,0.018495561597760918,0.875,0.9230769230769231,0.04807692307692313,65,104,0.009615384615384616
403.tiff,human neuroendocrine tumor,pad_off,chromatin_od@pad_off,chromatin_od,50,5,0.3961538461538462,0.05014771080925113,0.3076923076923077,0.4230769230769231,0.11538461538461536,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_off,chromatin_od@pad_off,chromatin_od,100,5,0.5923076923076923,0.04385290096535144,0.5192307692307693,0.6346153846153846,0.11538461538461531,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_off,chromatin_od@pad_off,chromatin_od,250,5,0.8153846153846154,0.060201830163455865,0.7115384615384616,0.8653846153846154,0.15384615384615385,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_off,chromatin_od@pad_off,chromatin_od,500,5,0.9346153846153846,0.010533126105868542,0.9230769230769231,0.9423076923076923,0.019230769230769162,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_off,chromatin_od@pad_off,chromatin_od,1000,5,0.9692307692307691,0.010533126105868542,0.9615384615384616,0.9807692307692307,0.019230769230769162,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_off,tm_score@pad_off,tm_score,50,5,0.27692307692307694,0.05540330881110743,0.19230769230769232,0.34615384615384615,0.15384615384615383,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_off,tm_score@pad_off,tm_score,100,5,0.3884615384615385,0.08854511102477954,0.25,0.4807692307692308,0.23076923076923078,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_off,tm_score@pad_off,tm_score,250,5,0.5653846153846154,0.08664523327745237,0.46153846153846156,0.6346153846153846,0.17307692307692302,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_off,tm_score@pad_off,tm_score,500,5,0.7153846153846153,0.05336321894427543,0.6346153846153846,0.7692307692307693,0.1346153846153847,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_off,tm_score@pad_off,tm_score,1000,5,0.85,0.04977761194440305,0.7884615384615384,0.9230769230769231,0.1346153846153847,36,52,0.019230769230769232
