file_name,image_id,mpp,pass,n_clicks,seed_index,seed_ann_id,n_candidates_after_selfhit,n_selfhit_dropped,dist_seed_to_nearest_cand,crop_um,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_100,encoder,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,variant,query
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18_cl2n_snap,cos_fcos_midogpp_r18_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,178.0,323.0,1830.0,fcos_midogpp_r18,1000,1000,214,64,0.9861751152073732,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18_cl2n_snap,cos_fcos_midogpp_r18_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,178.0,323.0,1830.0,fcos_midogpp_r18,2000,2000,217,90,1.0,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_fcos_midogpp_r18_cl2n_snap,cos_fcos_midogpp_r18_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,178.0,323.0,1830.0,fcos_midogpp_r18,5000,5000,217,106,1.0,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16,cos_kaiko_vits16,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5009.0,12236.0,19129.0,kaiko_vits16,500,500,33,4,0.15207373271889402,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16,cos_kaiko_vits16,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5009.0,12236.0,19129.0,kaiko_vits16,1000,1000,50,14,0.2304147465437788,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16,cos_kaiko_vits16,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5009.0,12236.0,19129.0,kaiko_vits16,2000,2000,68,18,0.31336405529953915,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16,cos_kaiko_vits16,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5009.0,12236.0,19129.0,kaiko_vits16,5000,5000,108,41,0.4976958525345622,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16_cl2n,cos_kaiko_vits16_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,4182.0,9172.0,19966.0,kaiko_vits16,500,500,33,8,0.15207373271889402,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16_cl2n,cos_kaiko_vits16_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,4182.0,9172.0,19966.0,kaiko_vits16,1000,1000,53,13,0.24423963133640553,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16_cl2n,cos_kaiko_vits16_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,4182.0,9172.0,19966.0,kaiko_vits16,2000,2000,76,23,0.35023041474654376,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16_cl2n,cos_kaiko_vits16_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,4182.0,9172.0,19966.0,kaiko_vits16,5000,5000,118,43,0.543778801843318,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16_cl2n_snap,cos_kaiko_vits16_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,3352.0,8397.0,19501.0,kaiko_vits16,500,500,42,10,0.1935483870967742,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16_cl2n_snap,cos_kaiko_vits16_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,3352.0,8397.0,19501.0,kaiko_vits16,1000,1000,62,19,0.2857142857142857,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16_cl2n_snap,cos_kaiko_vits16_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,3352.0,8397.0,19501.0,kaiko_vits16,2000,2000,85,26,0.391705069124424,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_kaiko_vits16_cl2n_snap,cos_kaiko_vits16_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,3352.0,8397.0,19501.0,kaiko_vits16,5000,5000,134,47,0.6175115207373272,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16,cos_lunit_dino_vits16,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6515.0,12231.0,18702.0,lunit_dino_vits16,500,500,17,5,0.07834101382488479,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16,cos_lunit_dino_vits16,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6515.0,12231.0,18702.0,lunit_dino_vits16,1000,1000,25,9,0.1152073732718894,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16,cos_lunit_dino_vits16,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6515.0,12231.0,18702.0,lunit_dino_vits16,2000,2000,53,18,0.24423963133640553,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16,cos_lunit_dino_vits16,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6515.0,12231.0,18702.0,lunit_dino_vits16,5000,5000,89,35,0.41013824884792627,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_cl2n,cos_lunit_dino_vits16_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5028.0,10419.0,19174.0,lunit_dino_vits16,500,500,28,5,0.12903225806451613,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_cl2n,cos_lunit_dino_vits16_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5028.0,10419.0,19174.0,lunit_dino_vits16,1000,1000,40,10,0.18433179723502305,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_cl2n,cos_lunit_dino_vits16_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5028.0,10419.0,19174.0,lunit_dino_vits16,2000,2000,67,24,0.3087557603686636,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_cl2n,cos_lunit_dino_vits16_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5028.0,10419.0,19174.0,lunit_dino_vits16,5000,5000,108,40,0.4976958525345622,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_cl2n_snap,cos_lunit_dino_vits16_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,4906.0,10988.0,20164.0,lunit_dino_vits16,500,500,22,5,0.10138248847926268,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_cl2n_snap,cos_lunit_dino_vits16_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,4906.0,10988.0,20164.0,lunit_dino_vits16,1000,1000,40,11,0.18433179723502305,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_cl2n_snap,cos_lunit_dino_vits16_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,4906.0,10988.0,20164.0,lunit_dino_vits16,2000,2000,63,19,0.2903225806451613,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_cl2n_snap,cos_lunit_dino_vits16_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,4906.0,10988.0,20164.0,lunit_dino_vits16,5000,5000,110,39,0.5069124423963134,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um,cos_lunit_dino_vits16_16um,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2903.0,7821.0,18546.0,lunit_dino_vits16_16um,500,500,50,19,0.2304147465437788,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um,cos_lunit_dino_vits16_16um,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2903.0,7821.0,18546.0,lunit_dino_vits16_16um,1000,1000,65,33,0.2995391705069124,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um,cos_lunit_dino_vits16_16um,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2903.0,7821.0,18546.0,lunit_dino_vits16_16um,2000,2000,90,41,0.4147465437788018,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um,cos_lunit_dino_vits16_16um,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2903.0,7821.0,18546.0,lunit_dino_vits16_16um,5000,5000,149,63,0.6866359447004609,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um_cl2n,cos_lunit_dino_vits16_16um_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,1040.0,3932.0,15431.0,lunit_dino_vits16_16um,500,500,72,23,0.3317972350230415,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um_cl2n,cos_lunit_dino_vits16_16um_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,1040.0,3932.0,15431.0,lunit_dino_vits16_16um,1000,1000,104,38,0.4792626728110599,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um_cl2n,cos_lunit_dino_vits16_16um_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,1040.0,3932.0,15431.0,lunit_dino_vits16_16um,2000,2000,135,53,0.6221198156682027,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um_cl2n,cos_lunit_dino_vits16_16um_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,1040.0,3932.0,15431.0,lunit_dino_vits16_16um,5000,5000,190,81,0.8755760368663594,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um_cl2n_snap,cos_lunit_dino_vits16_16um_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,1067.0,3417.0,17786.0,lunit_dino_vits16_16um,500,500,80,25,0.3686635944700461,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um_cl2n_snap,cos_lunit_dino_vits16_16um_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,1067.0,3417.0,17786.0,lunit_dino_vits16_16um,1000,1000,103,38,0.47465437788018433,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um_cl2n_snap,cos_lunit_dino_vits16_16um_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,1067.0,3417.0,17786.0,lunit_dino_vits16_16um,2000,2000,142,57,0.6543778801843319,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_lunit_dino_vits16_16um_cl2n_snap,cos_lunit_dino_vits16_16um_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,1067.0,3417.0,17786.0,lunit_dino_vits16_16um,5000,5000,190,83,0.8755760368663594,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k,cos_resnet18_in1k,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6732.0,14203.0,20082.0,resnet18_in1k,500,500,21,7,0.0967741935483871,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k,cos_resnet18_in1k,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6732.0,14203.0,20082.0,resnet18_in1k,1000,1000,29,9,0.1336405529953917,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k,cos_resnet18_in1k,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6732.0,14203.0,20082.0,resnet18_in1k,2000,2000,48,14,0.22119815668202766,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k,cos_resnet18_in1k,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6732.0,14203.0,20082.0,resnet18_in1k,5000,5000,88,37,0.4055299539170507,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_cl2n,cos_resnet18_in1k_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6117.0,12562.0,20273.0,resnet18_in1k,500,500,24,4,0.11059907834101383,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_cl2n,cos_resnet18_in1k_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6117.0,12562.0,20273.0,resnet18_in1k,1000,1000,36,10,0.16589861751152074,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_cl2n,cos_resnet18_in1k_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6117.0,12562.0,20273.0,resnet18_in1k,2000,2000,53,20,0.24423963133640553,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_cl2n,cos_resnet18_in1k_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,6117.0,12562.0,20273.0,resnet18_in1k,5000,5000,97,46,0.4470046082949309,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_cl2n_snap,cos_resnet18_in1k_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5640.0,12601.0,20224.0,resnet18_in1k,500,500,23,6,0.10599078341013825,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_cl2n_snap,cos_resnet18_in1k_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5640.0,12601.0,20224.0,resnet18_in1k,1000,1000,40,11,0.18433179723502305,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_cl2n_snap,cos_resnet18_in1k_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5640.0,12601.0,20224.0,resnet18_in1k,2000,2000,53,22,0.24423963133640553,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_cl2n_snap,cos_resnet18_in1k_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,5640.0,12601.0,20224.0,resnet18_in1k,5000,5000,98,45,0.45161290322580644,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um,cos_resnet18_in1k_16um,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2416.0,7347.0,18571.0,resnet18_in1k_16um,500,500,46,10,0.2119815668202765,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um,cos_resnet18_in1k_16um,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2416.0,7347.0,18571.0,resnet18_in1k_16um,1000,1000,61,14,0.28110599078341014,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um,cos_resnet18_in1k_16um,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2416.0,7347.0,18571.0,resnet18_in1k_16um,2000,2000,96,28,0.4423963133640553,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um,cos_resnet18_in1k_16um,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2416.0,7347.0,18571.0,resnet18_in1k_16um,5000,5000,147,53,0.6774193548387096,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um_cl2n,cos_resnet18_in1k_16um_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2203.0,5962.0,18079.0,resnet18_in1k_16um,500,500,55,10,0.2534562211981567,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um_cl2n,cos_resnet18_in1k_16um_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2203.0,5962.0,18079.0,resnet18_in1k_16um,1000,1000,76,19,0.35023041474654376,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um_cl2n,cos_resnet18_in1k_16um_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2203.0,5962.0,18079.0,resnet18_in1k_16um,2000,2000,105,31,0.4838709677419355,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um_cl2n,cos_resnet18_in1k_16um_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2203.0,5962.0,18079.0,resnet18_in1k_16um,5000,5000,164,57,0.7557603686635944,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um_cl2n_snap,cos_resnet18_in1k_16um_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2187.0,6550.0,18422.0,resnet18_in1k_16um,500,500,45,11,0.2073732718894009,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um_cl2n_snap,cos_resnet18_in1k_16um_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2187.0,6550.0,18422.0,resnet18_in1k_16um,1000,1000,60,14,0.2764976958525346,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um_cl2n_snap,cos_resnet18_in1k_16um_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2187.0,6550.0,18422.0,resnet18_in1k_16um,2000,2000,100,24,0.4608294930875576,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_resnet18_in1k_16um_cl2n_snap,cos_resnet18_in1k_16um_cl2n_snap,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2187.0,6550.0,18422.0,resnet18_in1k_16um,5000,5000,159,57,0.7327188940092166,cl2n_snap,snap
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_rawpixel_ccoeff,cos_rawpixel_ccoeff,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2039.0,6204.0,20104.0,rawpixel_ccoeff,500,500,51,5,0.2350230414746544,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_rawpixel_ccoeff,cos_rawpixel_ccoeff,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2039.0,6204.0,20104.0,rawpixel_ccoeff,1000,1000,73,12,0.33640552995391704,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_rawpixel_ccoeff,cos_rawpixel_ccoeff,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2039.0,6204.0,20104.0,rawpixel_ccoeff,2000,2000,106,21,0.48847926267281105,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_rawpixel_ccoeff,cos_rawpixel_ccoeff,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,2039.0,6204.0,20104.0,rawpixel_ccoeff,5000,5000,160,50,0.7373271889400922,cosine,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_rawpixel_ccoeff_cl2n,cos_rawpixel_ccoeff_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,3283.0,7700.0,19521.0,rawpixel_ccoeff,500,500,34,4,0.15668202764976957,cl2n,click
301.tiff,301,0.2533,1click,1,0,14976,20369,1,4.71,32.0,cos_rawpixel_ccoeff_cl2n,cos_rawpixel_ccoeff_cl2n,True,,False,False,217,109,20369,0.9359,107,4,0.0,1.0,29.609,3283.0,7700.0,19521.0,rawpixel_ccoeff,1000,1000,58,9,0.2672811059907834,cl2n,click
