subset,domain,file_name,condition,n_seeds,seed_ann_ids,base_sizes,tpl_offsets_px,min_n_detections,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
testing_35,canine cutaneous mast cell tumor,339.tiff,default_51,3,17152;17149;17151,51;51;51,0;0;0,98,13,16,18,0.43333333333333335,0.26666666666666666,0.2
testing_35,canine cutaneous mast cell tumor,339.tiff,gray_bbox,3,17152;17149;17151,45;39;51,4.95;6.185;3,97,13,18,18,0.43333333333333335,0.3,0.2
testing_35,canine cutaneous mast cell tumor,339.tiff,hem_bbox,3,17152;17149;17151,31;31;19,3.64;3.606;2.062,97,10,14,14,0.3333333333333333,0.23333333333333334,0.15555555555555556
testing_35,canine cutaneous mast cell tumor,343.tiff,default_51,3,17382;17363;17368,51;51;51,0;0;0,95,21,26,32,0.7,0.43333333333333335,0.35555555555555557
testing_35,canine cutaneous mast cell tumor,343.tiff,gray_bbox,3,17382;17363;17368,43;47;27,3.354;4.5;1.5,93,17,21,26,0.5666666666666667,0.35,0.28888888888888886
testing_35,canine cutaneous mast cell tumor,343.tiff,hem_bbox,3,17382;17363;17368,21;19;23,8.86;2.55;1.803,97,15,16,19,0.5,0.26666666666666666,0.2111111111111111
testing_35,canine cutaneous mast cell tumor,344.tiff,default_51,3,17457;17469;17460,51;51;51,0;0;0,98,18,41,59,0.6,0.6833333333333333,0.6555555555555556
testing_35,canine cutaneous mast cell tumor,344.tiff,gray_bbox,3,17457;17469;17460,23;39;27,2.55;3.606;3.041,97,20,42,60,0.6666666666666666,0.7,0.6666666666666666
testing_35,canine cutaneous mast cell tumor,344.tiff,hem_bbox,3,17457;17469;17460,19;21;21,2;1.581;1.5,97,19,36,41,0.6333333333333333,0.6,0.45555555555555555
original_14,canine lung cancer,201.tiff,default_51,3,4457;4469;4476,51;51;51,0;0;0,98,11,21,26,0.36666666666666664,0.35,0.28888888888888886
original_14,canine lung cancer,201.tiff,gray_bbox,3,4457;4469;4476,51;51;35,0.5;3;1.5,98,10,20,25,0.3333333333333333,0.3333333333333333,0.2777777777777778
original_14,canine lung cancer,201.tiff,hem_bbox,3,4457;4469;4476,29;31;33,5;2.062;1.118,97,11,19,21,0.36666666666666664,0.31666666666666665,0.23333333333333334
original_14,canine lung cancer,233.tiff,default_51,3,5761;5760;5770,51;51;51,0;0;0,99,19,24,27,0.6333333333333333,0.4,0.3
original_14,canine lung cancer,233.tiff,gray_bbox,3,5761;5760;5770,25;51;43,1.414;5;8.062,97,20,24,29,0.6666666666666666,0.4,0.32222222222222224
original_14,canine lung cancer,233.tiff,hem_bbox,3,5761;5760;5770,23;29;31,0;1.414;2.236,96,20,25,32,0.6666666666666666,0.4166666666666667,0.35555555555555557
testing_35,canine lung cancer,211.tiff,default_51,3,4916;4919;4909,51;51;51,0;0;0,98,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,gray_bbox,3,4916;4919;4909,51;43;51,0;4.924;0,99,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,hem_bbox,3,4916;4919;4909,23;27;25,0.5;1.581;0.5,97,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,220.tiff,default_51,3,5270;5293;5247,51;51;51,0;0;0,98,13,25,35,0.43333333333333335,0.4166666666666667,0.3888888888888889
testing_35,canine lung cancer,220.tiff,gray_bbox,3,5270;5293;5247,51;49;51,0;4.61;0,98,14,26,36,0.4666666666666667,0.43333333333333335,0.4
testing_35,canine lung cancer,220.tiff,hem_bbox,3,5270;5293;5247,25;31;23,1.803;1.414;3.606,97,17,30,35,0.5666666666666667,0.5,0.3888888888888889
testing_35,canine lung cancer,230.tiff,default_51,3,5689;5700;5703,51;51;51,0;0;0,98,18,34,37,0.6,0.5666666666666667,0.4111111111111111
testing_35,canine lung cancer,230.tiff,gray_bbox,3,5689;5700;5703,51;33;51,0;6;0,98,18,34,36,0.6,0.5666666666666667,0.4
testing_35,canine lung cancer,230.tiff,hem_bbox,3,5689;5700;5703,27;21;27,1.5;1;2.693,97,18,37,41,0.6,0.6166666666666667,0.45555555555555555
testing_35,canine lung cancer,235.tiff,default_51,3,5810;5831;5830,51;51;51,0;0;0,96,10,11,17,0.3333333333333333,0.18333333333333332,0.18888888888888888
testing_35,canine lung cancer,235.tiff,gray_bbox,3,5810;5831;5830,39;39;23,6.671;6.185;1.118,98,11,12,17,0.36666666666666664,0.2,0.18888888888888888
testing_35,canine lung cancer,235.tiff,hem_bbox,3,5810;5831;5830,25;23;21,2.693;3.808;2.55,94,9,9,12,0.3,0.15,0.13333333333333333
testing_35,canine lung cancer,242.tiff,default_51,3,6180;6178;6161,51;51;51,0;0;0,97,1,3,3,0.03333333333333333,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,gray_bbox,3,6180;6178;6161,33;45;41,5;3.536;5.22,98,2,2,2,0.06666666666666667,0.03333333333333333,0.022222222222222223
testing_35,canine lung cancer,242.tiff,hem_bbox,3,6180;6178;6161,23;31;35,2.5;3.905;2.5,97,1,2,2,0.03333333333333333,0.03333333333333333,0.022222222222222223
original_14,canine lymphosarcoma,245.tiff,default_51,3,6317;6243;6250,51;51;51,0;0;0,97,2,5,9,0.06666666666666667,0.08333333333333333,0.1
original_14,canine lymphosarcoma,245.tiff,gray_bbox,3,6317;6243;6250,51;51;37,0;1;10.63,95,3,7,11,0.1,0.11666666666666667,0.12222222222222222
original_14,canine lymphosarcoma,245.tiff,hem_bbox,3,6317;6243;6250,23;35;21,5.385;14.3;1.803,93,3,6,10,0.1,0.1,0.1111111111111111
original_14,canine lymphosarcoma,246.tiff,default_51,3,6548;6599;6482,51;51;51,0;0;0,97,30,55,75,1.0,0.9166666666666666,0.8333333333333334
original_14,canine lymphosarcoma,246.tiff,gray_bbox,3,6548;6599;6482,41;51;51,8.515;0;0,96,30,52,73,1.0,0.8666666666666667,0.8111111111111111
original_14,canine lymphosarcoma,246.tiff,hem_bbox,3,6548;6599;6482,27;23;31,2.5;3.202;2.828,94,30,51,66,1.0,0.85,0.7333333333333333
testing_35,canine lymphosarcoma,249.tiff,default_51,3,6940;7008;6992,51;51;51,0;0;0,96,21,47,71,0.7,0.7833333333333333,0.7888888888888889
testing_35,canine lymphosarcoma,249.tiff,gray_bbox,3,6940;7008;6992,29;39;27,2.236;5.148;4.123,98,19,45,68,0.6333333333333333,0.75,0.7555555555555555
testing_35,canine lymphosarcoma,249.tiff,hem_bbox,3,6940;7008;6992,23;29;23,2.062;3.162;2.062,98,18,46,68,0.6,0.7666666666666667,0.7555555555555555
testing_35,canine lymphosarcoma,284.tiff,default_51,3,11810;11817;11832,51;51;51,0;0;0,99,24,47,58,0.8,0.7833333333333333,0.6444444444444445
testing_35,canine lymphosarcoma,284.tiff,gray_bbox,3,11810;11817;11832,39;25;43,6.519;0.707;4.528,98,23,46,58,0.7666666666666667,0.7666666666666667,0.6444444444444445
testing_35,canine lymphosarcoma,284.tiff,hem_bbox,3,11810;11817;11832,25;21;23,0.707;1.414;4.123,98,20,38,50,0.6666666666666666,0.6333333333333333,0.5555555555555556
testing_35,canine lymphosarcoma,289.tiff,default_51,3,12690;12675;12640,51;51;51,0;0;0,97,12,16,17,0.4,0.26666666666666666,0.18888888888888888
testing_35,canine lymphosarcoma,289.tiff,gray_bbox,3,12690;12675;12640,25;27;29,1.803;0.5;1.118,96,8,9,13,0.26666666666666666,0.15,0.14444444444444443
testing_35,canine lymphosarcoma,289.tiff,hem_bbox,3,12690;12675;12640,23;25;23,1.581;2.236;1.5,98,8,8,12,0.26666666666666666,0.13333333333333333,0.13333333333333333
testing_35,canine lymphosarcoma,291.tiff,default_51,3,13272;13169;13283,51;51;51,0;0;0,81,8,19,33,0.26666666666666666,0.31666666666666665,0.36666666666666664
testing_35,canine lymphosarcoma,291.tiff,gray_bbox,3,13272;13169;13283,51;43;51,2.5;0.5;6,87,10,19,31,0.3333333333333333,0.31666666666666665,0.34444444444444444
testing_35,canine lymphosarcoma,291.tiff,hem_bbox,3,13272;13169;13283,27;23;23,5.385;3;1.118,96,12,19,29,0.4,0.31666666666666665,0.32222222222222224
testing_35,canine lymphosarcoma,293.tiff,default_51,3,13596;13588;13625,51;51;51,0;0;0,99,14,41,65,0.4666666666666667,0.6833333333333333,0.7222222222222222
testing_35,canine lymphosarcoma,293.tiff,gray_bbox,3,13596;13588;13625,41;49;45,7.778;4.61;4.301,98,20,49,70,0.6666666666666666,0.8166666666666667,0.7777777777777778
testing_35,canine lymphosarcoma,293.tiff,hem_bbox,3,13596;13588;13625,25;25;21,4.528;3.041;1.118,97,26,50,70,0.8666666666666667,0.8333333333333334,0.7777777777777778
original_14,canine soft tissue sarcoma,459.tiff,default_51,3,22441;22446;22306,51;51;51,0;0;0,99,28,52,79,0.9333333333333333,0.8666666666666667,0.8777777777777778
original_14,canine soft tissue sarcoma,459.tiff,gray_bbox,3,22441;22446;22306,33;41;39,0.707;2.236;0.707,99,29,53,77,0.9666666666666667,0.8833333333333333,0.8555555555555555
original_14,canine soft tissue sarcoma,459.tiff,hem_bbox,3,22441;22446;22306,31;39;33,1;1.414;0.707,99,28,49,70,0.9333333333333333,0.8166666666666667,0.7777777777777778
original_14,canine soft tissue sarcoma,460.tiff,default_51,3,22577;22538;22552,51;51;51,0;0;0,99,24,49,53,0.8,0.8166666666666667,0.5888888888888889
original_14,canine soft tissue sarcoma,460.tiff,gray_bbox,3,22577;22538;22552,47;39;51,4.472;4.743;1,97,24,46,51,0.8,0.7666666666666667,0.5666666666666667
original_14,canine soft tissue sarcoma,460.tiff,hem_bbox,3,22577;22538;22552,41;23;29,3.905;3.536;3.354,96,16,25,27,0.5333333333333333,0.4166666666666667,0.3
testing_35,canine soft tissue sarcoma,410.tiff,default_51,3,20699;20687;20694,51;51;51,0;0;0,89,10,13,13,0.3333333333333333,0.21666666666666667,0.14444444444444443
testing_35,canine soft tissue sarcoma,410.tiff,gray_bbox,3,20699;20687;20694,29;35;35,8.139;3.64;1.118,94,8,9,9,0.26666666666666666,0.15,0.1
testing_35,canine soft tissue sarcoma,410.tiff,hem_bbox,3,20699;20687;20694,21;29;33,3.202;3.202;0.5,97,6,7,7,0.2,0.11666666666666667,0.07777777777777778
testing_35,canine soft tissue sarcoma,425.tiff,default_51,3,21116;21113;21120,51;51;51,0;0;0,96,27,42,42,0.9,0.7,0.4666666666666667
testing_35,canine soft tissue sarcoma,425.tiff,gray_bbox,3,21116;21113;21120,51;51;51,1.5;1.5;1.5,94,27,41,42,0.9,0.6833333333333333,0.4666666666666667
testing_35,canine soft tissue sarcoma,425.tiff,hem_bbox,3,21116;21113;21120,39;51;37,6;2.062;2.236,94,28,41,42,0.9333333333333333,0.6833333333333333,0.4666666666666667
testing_35,canine soft tissue sarcoma,435.tiff,default_51,3,21400;21385;21359,51;51;51,0;0;0,96,18,25,32,0.6,0.4166666666666667,0.35555555555555557
testing_35,canine soft tissue sarcoma,435.tiff,gray_bbox,3,21400;21385;21359,51;33;51,0;2.236;1,96,19,23,31,0.6333333333333333,0.38333333333333336,0.34444444444444444
testing_35,canine soft tissue sarcoma,435.tiff,hem_bbox,3,21400;21385;21359,29;31;25,1.414;2.062;7,97,13,20,29,0.43333333333333335,0.3333333333333333,0.32222222222222224
testing_35,canine soft tissue sarcoma,462.tiff,default_51,3,22660;22686;22672,51;51;51,0;0;0,99,3,7,9,0.1,0.11666666666666667,0.1
testing_35,canine soft tissue sarcoma,462.tiff,gray_bbox,3,22660;22686;22672,39;33;23,3;0.5;2.915,96,5,7,9,0.16666666666666666,0.11666666666666667,0.1
testing_35,canine soft tissue sarcoma,462.tiff,hem_bbox,3,22660;22686;22672,31;29;21,0.707;0.5;3.808,95,5,7,9,0.16666666666666666,0.11666666666666667,0.1
testing_35,canine soft tissue sarcoma,499.tiff,default_51,3,23957;24000;23980,51;51;51,0;0;0,95,22,44,60,0.7333333333333333,0.7333333333333333,0.6666666666666666
testing_35,canine soft tissue sarcoma,499.tiff,gray_bbox,3,23957;24000;23980,31;47;39,2;3.606;3.5,95,23,42,61,0.7666666666666667,0.7,0.6777777777777778
testing_35,canine soft tissue sarcoma,499.tiff,hem_bbox,3,23957;24000;23980,27;23;31,1.581;0;4.272,93,22,42,62,0.7333333333333333,0.7,0.6888888888888889
original_14,human breast cancer,013.tiff,default_51,3,249;263;258,51;51;51,0;0;0,98,17,25,27,0.5666666666666667,0.4166666666666667,0.3
original_14,human breast cancer,013.tiff,gray_bbox,3,249;263;258,39;29;43,2.5;2.062;1.118,97,15,20,24,0.5,0.3333333333333333,0.26666666666666666
original_14,human breast cancer,013.tiff,hem_bbox,3,249;263;258,39;27;39,1.118;2.5;3.354,97,16,23,27,0.5333333333333333,0.38333333333333336,0.3
original_14,human breast cancer,094.tiff,default_51,3,2512;2536;2494,51;51;51,0;0;0,95,15,44,62,0.5,0.7333333333333333,0.6888888888888889
original_14,human breast cancer,094.tiff,gray_bbox,3,2512;2536;2494,25;25;35,2.5;3.905;0.707,96,15,43,63,0.5,0.7166666666666667,0.7
original_14,human breast cancer,094.tiff,hem_bbox,3,2512;2536;2494,23;23;33,2.693;5.315;6.021,97,17,43,62,0.5666666666666667,0.7166666666666667,0.6888888888888889
testing_35,human breast cancer,007.tiff,default_51,3,135;134;130,51;51;51,0;0;0,98,18,21,22,0.6,0.35,0.24444444444444444
testing_35,human breast cancer,007.tiff,gray_bbox,3,135;134;130,51;51;39,5;3.5;4.031,97,18,22,22,0.6,0.36666666666666664,0.24444444444444444
testing_35,human breast cancer,007.tiff,hem_bbox,3,135;134;130,31;31;37,2.121;3.64;4.61,97,18,22,23,0.6,0.36666666666666664,0.25555555555555554
testing_35,human breast cancer,072.tiff,default_51,3,1812;1844;1813,51;51;51,0;0;0,98,18,35,48,0.6,0.5833333333333334,0.5333333333333333
testing_35,human breast cancer,072.tiff,gray_bbox,3,1812;1844;1813,35;33;41,2.55;2.062;3.041,96,16,26,32,0.5333333333333333,0.43333333333333335,0.35555555555555557
testing_35,human breast cancer,072.tiff,hem_bbox,3,1812;1844;1813,29;27;39,3.162;1.5;4.472,96,15,23,28,0.5,0.38333333333333336,0.3111111111111111
testing_35,human breast cancer,100.tiff,default_51,3,2794;2768;2747,51;51;51,0;0;0,97,27,51,64,0.9,0.85,0.7111111111111111
testing_35,human breast cancer,100.tiff,gray_bbox,3,2794;2768;2747,41;35;31,9.301;6.5;2.55,98,27,50,60,0.9,0.8333333333333334,0.6666666666666666
testing_35,human breast cancer,100.tiff,hem_bbox,3,2794;2768;2747,29;31;29,4.031;6.5;3.041,96,27,46,58,0.9,0.7666666666666667,0.6444444444444445
testing_35,human breast cancer,123.tiff,default_51,3,3503;3468;3516,51;51;51,0;0;0,94,16,28,35,0.5333333333333333,0.4666666666666667,0.3888888888888889
testing_35,human breast cancer,123.tiff,gray_bbox,3,3503;3468;3516,41;35;37,1.581;3.202;7.018,94,16,24,28,0.5333333333333333,0.4,0.3111111111111111
testing_35,human breast cancer,123.tiff,hem_bbox,3,3503;3468;3516,41;25;37,2.062;2.55;7.517,94,16,22,26,0.5333333333333333,0.36666666666666664,0.28888888888888886
testing_35,human breast cancer,128.tiff,default_51,3,3625;3616;3624,51;51;51,0;0;0,81,21,36,37,0.7,0.6,0.4111111111111111
testing_35,human breast cancer,128.tiff,gray_bbox,3,3625;3616;3624,51;45;35,4;2.915;6.103,83,22,32,33,0.7333333333333333,0.5333333333333333,0.36666666666666664
testing_35,human breast cancer,128.tiff,hem_bbox,3,3625;3616;3624,49;37;33,5.099;4.924;3.905,86,20,26,28,0.6666666666666666,0.43333333333333335,0.3111111111111111
original_14,human melanoma,529.tiff,default_51,3,24918;24937;24914,51;51;51,0;0;0,98,21,29,32,0.7,0.48333333333333334,0.35555555555555557
original_14,human melanoma,529.tiff,gray_bbox,3,24918;24937;24914,37;41;35,6.083;2.062;2.121,93,19,23,25,0.6333333333333333,0.38333333333333336,0.2777777777777778
original_14,human melanoma,529.tiff,hem_bbox,3,24918;24937;24914,33;33;29,6.671;1.581;0.5,89,18,24,25,0.6,0.4,0.2777777777777778
original_14,human melanoma,548.tiff,default_51,3,25804;25712;25735,51;51;51,0;0;0,99,29,46,71,0.9666666666666667,0.7666666666666667,0.7888888888888889
original_14,human melanoma,548.tiff,gray_bbox,3,25804;25712;25735,29;37;33,2.55;1.581;1.5,98,26,41,66,0.8666666666666667,0.6833333333333333,0.7333333333333333
original_14,human melanoma,548.tiff,hem_bbox,3,25804;25712;25735,27;33;29,3.041;2;2.062,98,26,40,65,0.8666666666666667,0.6666666666666666,0.7222222222222222
testing_35,human melanoma,509.tiff,default_51,3,24264;24271;24260,51;51;51,0;0;0,86,5,16,26,0.16666666666666666,0.26666666666666666,0.28888888888888886
testing_35,human melanoma,509.tiff,gray_bbox,3,24264;24271;24260,51;51;51,0.5;1.5;1.5,86,5,15,24,0.16666666666666666,0.25,0.26666666666666666
testing_35,human melanoma,509.tiff,hem_bbox,3,24264;24271;24260,45;51;51,2.5;1.5;1.5,86,5,16,24,0.16666666666666666,0.26666666666666666,0.26666666666666666
testing_35,human melanoma,524.tiff,default_51,3,24536;24543;24532,51;51;51,0;0;0,95,6,7,8,0.2,0.11666666666666667,0.08888888888888889
testing_35,human melanoma,524.tiff,gray_bbox,3,24536;24543;24532,43;31;49,2.693;1.118;4.123,93,4,4,6,0.13333333333333333,0.06666666666666667,0.06666666666666667
testing_35,human melanoma,524.tiff,hem_bbox,3,24536;24543;24532,43;31;37,2.55;2.5;4.301,93,4,4,4,0.13333333333333333,0.06666666666666667,0.044444444444444446
testing_35,human melanoma,527.tiff,default_51,3,24720;24705;24715,51;51;51,0;0;0,99,10,16,19,0.3333333333333333,0.26666666666666666,0.2111111111111111
testing_35,human melanoma,527.tiff,gray_bbox,3,24720;24705;24715,33;39;41,2;1.414;2.062,98,9,12,16,0.3,0.2,0.17777777777777778
testing_35,human melanoma,527.tiff,hem_bbox,3,24720;24705;24715,31;39;37,2.236;0.5;1.118,98,7,9,12,0.23333333333333334,0.15,0.13333333333333333
testing_35,human melanoma,546.tiff,default_51,3,25538;25551;25539,51;51;51,0;0;0,99,3,4,10,0.1,0.06666666666666667,0.1111111111111111
testing_35,human melanoma,546.tiff,gray_bbox,3,25538;25551;25539,29;33;43,3.041;3.041;3.808,99,3,7,10,0.1,0.11666666666666667,0.1111111111111111
testing_35,human melanoma,546.tiff,hem_bbox,3,25538;25551;25539,27;31;37,3.64;2.55;2.915,98,2,6,6,0.06666666666666667,0.1,0.06666666666666667
testing_35,human melanoma,549.tiff,default_51,3,25963;25961;25983,51;51;51,0;0;0,99,24,31,35,0.8,0.5166666666666667,0.3888888888888889
testing_35,human melanoma,549.tiff,gray_bbox,3,25963;25961;25983,39;41;41,2.062;4.924;5.385,96,24,27,31,0.8,0.45,0.34444444444444444
testing_35,human melanoma,549.tiff,hem_bbox,3,25963;25961;25983,37;41;41,2.062;4.924;5.385,96,23,26,31,0.7666666666666667,0.43333333333333335,0.34444444444444444
original_14,human neuroendocrine tumor,402.tiff,default_51,3,20254;20258;20157,51;51;51,0;0;0,99,23,41,55,0.7666666666666667,0.6833333333333333,0.6111111111111112
original_14,human neuroendocrine tumor,402.tiff,gray_bbox,3,20254;20258;20157,29;51;29,1.803;7;2.915,96,21,38,50,0.7,0.6333333333333333,0.5555555555555556
original_14,human neuroendocrine tumor,402.tiff,hem_bbox,3,20254;20258;20157,25;33;27,2;4.528;2.828,94,20,35,48,0.6666666666666666,0.5833333333333334,0.5333333333333333
original_14,human neuroendocrine tumor,403.tiff,default_51,3,20356;20344;20396,51;51;51,0;0;0,98,16,30,41,0.5333333333333333,0.5,0.45555555555555555
original_14,human neuroendocrine tumor,403.tiff,gray_bbox,3,20356;20344;20396,51;43;41,2;5;1.5,95,16,29,41,0.5333333333333333,0.48333333333333334,0.45555555555555555
original_14,human neuroendocrine tumor,403.tiff,hem_bbox,3,20356;20344;20396,31;33;39,4.924;2.5;1.5,95,16,25,35,0.5333333333333333,0.4166666666666667,0.3888888888888889
testing_35,human neuroendocrine tumor,353.tiff,default_51,3,18278;18280;18281,51;51;51,0;0;0,94,27,44,55,0.9,0.7333333333333333,0.6111111111111112
testing_35,human neuroendocrine tumor,353.tiff,gray_bbox,3,18278;18280;18281,45;37;33,0.5;0.5;4.123,95,25,41,52,0.8333333333333334,0.6833333333333333,0.5777777777777777
testing_35,human neuroendocrine tumor,353.tiff,hem_bbox,3,18278;18280;18281,43;33;31,0.707;0.5;4.61,95,25,41,52,0.8333333333333334,0.6833333333333333,0.5777777777777777
testing_35,human neuroendocrine tumor,364.tiff,default_51,3,18757;18766;18785,51;51;51,0;0;0,98,16,16,16,0.5333333333333333,0.26666666666666666,0.17777777777777778
testing_35,human neuroendocrine tumor,364.tiff,gray_bbox,3,18757;18766;18785,37;23;51,8.062;0.707;6,96,14,15,16,0.4666666666666667,0.25,0.17777777777777778
testing_35,human neuroendocrine tumor,364.tiff,hem_bbox,3,18757;18766;18785,37;19;25,7.649;0.5;4.123,90,11,12,12,0.36666666666666664,0.2,0.13333333333333333
testing_35,human neuroendocrine tumor,400.tiff,default_51,3,20040;19942;19947,51;51;51,0;0;0,99,27,51,79,0.9,0.85,0.8777777777777778
testing_35,human neuroendocrine tumor,400.tiff,gray_bbox,3,20040;19942;19947,35;33;35,2.5;2.5;0.707,97,26,49,73,0.8666666666666667,0.8166666666666667,0.8111111111111111
testing_35,human neuroendocrine tumor,400.tiff,hem_bbox,3,20040;19942;19947,31;31;33,3.041;3.202;1.414,97,26,48,67,0.8666666666666667,0.8,0.7444444444444445
testing_35,human neuroendocrine tumor,401.tiff,default_51,3,20132;20102;20112,51;51;51,0;0;0,99,21,26,28,0.7,0.43333333333333335,0.3111111111111111
testing_35,human neuroendocrine tumor,401.tiff,gray_bbox,3,20132;20102;20112,29;35;27,0;2.55;1.414,95,17,21,22,0.5666666666666667,0.35,0.24444444444444444
testing_35,human neuroendocrine tumor,401.tiff,hem_bbox,3,20132;20102;20112,27;31;23,0.5;0;0.5,96,17,20,21,0.5666666666666667,0.3333333333333333,0.23333333333333334
testing_35,human neuroendocrine tumor,404.tiff,default_51,3,20471;20474;20472,51;51;51,0;0;0,98,13,23,32,0.43333333333333335,0.38333333333333336,0.35555555555555557
testing_35,human neuroendocrine tumor,404.tiff,gray_bbox,3,20471;20474;20472,43;43;43,0.5;6.021;4.5,96,12,22,31,0.4,0.36666666666666664,0.34444444444444444
testing_35,human neuroendocrine tumor,404.tiff,hem_bbox,3,20471;20474;20472,39;31;41,1.803;2.236;6.185,96,11,21,31,0.36666666666666664,0.35,0.34444444444444444
