subset,file_name,domain,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,base_size,tpl_cx,tpl_cy,tpl_offset_px,tpl_sha1,n_agreement_pool,n_after_border,n_joint_valid,n_seed_pool,n_retries,refused_draws,contested_seed_tier,n_gt_mitotic,nearest_other_ann_px,n_peaks,max_peaks_binding,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,od_descending,match_radius_px,mpp,t_pipeline_s,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
testing_35,322.tiff,canine cutaneous mast cell tumor,322,2,hem_bbox,16265,1155.0,2592.0,27,1156.5,2592.0,1.5,5eedefc9f58f8cfa5d09958c8ca2ac183456a223,23,23,16,21,0,,False,22,309.5,100,True,100,729,0,,0,True,29.609055118110238,0.2533008895448562,7.2,8,11,11,0.8,0.55,0.36666666666666664
testing_35,337.tiff,canine cutaneous mast cell tumor,337,0,default_51,17124,5800.0,1938.0,51,5800.0,1938.0,0.0,e0a54924c6e475d75dfa8f644a8b0866d76cf759,13,13,10,13,0,,False,29,160.02,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,9.1,8,11,12,0.8,0.55,0.4
testing_35,337.tiff,canine cutaneous mast cell tumor,337,0,gray_bbox,17124,5800.0,1938.0,43,5805.0,1942.5,6.727,4fa3f3bdccb34a01d4c10b6ce3b5349dfba003ae,13,13,10,13,0,,False,29,160.02,100,True,100,1849,0,,0,True,29.609055118110238,0.2533008895448562,6.5,8,11,13,0.8,0.55,0.43333333333333335
testing_35,337.tiff,canine cutaneous mast cell tumor,337,0,hem_bbox,17124,5800.0,1938.0,19,5799.0,1940.0,2.236,b4512a4c6b6e8b333b8c8ea024584b1df9ab60c7,13,13,10,13,0,,False,29,160.02,100,True,99,361,0,,0,True,29.609055118110238,0.2533008895448562,6.0,7,8,8,0.7,0.4,0.26666666666666666
testing_35,337.tiff,canine cutaneous mast cell tumor,337,1,default_51,17129,1345.0,3796.0,51,1345.0,3796.0,0.0,762dbb4ecf240b07be6ff242198f7a8622abb274,13,13,10,12,0,,False,29,68.88,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,5.6,8,11,13,0.8,0.55,0.43333333333333335
testing_35,337.tiff,canine cutaneous mast cell tumor,337,1,gray_bbox,17129,1345.0,3796.0,45,1348.5,3797.0,3.64,8eb6fd39b5e0ae22ea4bc8590b19b1bcf9d03d25,13,13,10,12,0,,False,29,68.88,100,True,100,2025,0,,0,True,29.609055118110238,0.2533008895448562,5.1,8,11,13,0.8,0.55,0.43333333333333335
testing_35,337.tiff,canine cutaneous mast cell tumor,337,1,hem_bbox,17129,1345.0,3796.0,21,1345.5,3796.0,0.5,0a9d75f27e8bea72a8eb3ae69d549e4343e443fd,13,13,10,12,0,,False,29,68.88,100,True,96,441,0,,0,True,29.609055118110238,0.2533008895448562,4.4,7,9,10,0.7,0.45,0.3333333333333333
testing_35,337.tiff,canine cutaneous mast cell tumor,337,2,default_51,17118,5688.0,3403.0,51,5688.0,3403.0,0.0,2bcfdb350d19012a13d821c9fbaec76f88bd57b0,13,13,10,11,1,17119:gray_bbox+hem_bbox,False,29,413.12,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,4.7,8,11,13,0.8,0.55,0.43333333333333335
testing_35,337.tiff,canine cutaneous mast cell tumor,337,2,gray_bbox,17118,5688.0,3403.0,37,5689.0,3402.0,1.414,b03d288d10760fd8b42240e79bdbc30be21ef8d5,13,13,10,11,1,17119:gray_bbox+hem_bbox,False,29,413.12,100,True,99,1369,0,,0,True,29.609055118110238,0.2533008895448562,5.0,8,12,12,0.8,0.6,0.4
testing_35,337.tiff,canine cutaneous mast cell tumor,337,2,hem_bbox,17118,5688.0,3403.0,21,5689.5,3404.5,2.121,f351d9467ecb8c5180f47e619f1e9d1425863eb3,13,13,10,11,1,17119:gray_bbox+hem_bbox,False,29,413.12,100,True,100,441,0,,0,True,29.609055118110238,0.2533008895448562,4.9,7,9,9,0.7,0.45,0.3
testing_35,339.tiff,canine cutaneous mast cell tumor,339,0,default_51,17152,587.0,1289.0,51,587.0,1289.0,0.0,16ad063e052f9384fcfe7853f9ae7193697ef1ce,10,10,7,10,0,,False,14,1031.03,100,True,99,2601,0,,0,True,29.609055118110238,0.2533008895448562,5.3,4,5,7,0.4,0.25,0.23333333333333334
testing_35,339.tiff,canine cutaneous mast cell tumor,339,0,gray_bbox,17152,587.0,1289.0,45,583.5,1292.5,4.95,b789ff627ec808bc8e618160ee7eb0ce88fa8de0,10,10,7,10,0,,False,14,1031.03,100,True,98,2025,0,,0,True,29.609055118110238,0.2533008895448562,5.3,4,7,7,0.4,0.35,0.23333333333333334
testing_35,339.tiff,canine cutaneous mast cell tumor,339,0,hem_bbox,17152,587.0,1289.0,31,586.0,1285.5,3.64,ad431dce12892ef6d16082af8a8b2ad6e1f11856,10,10,7,10,0,,False,14,1031.03,100,True,98,961,0,,0,True,29.609055118110238,0.2533008895448562,5.2,3,5,6,0.3,0.25,0.2
testing_35,339.tiff,canine cutaneous mast cell tumor,339,1,default_51,17149,1659.0,41.0,51,1659.0,41.0,0.0,38beb41eb8ec6e2a146b623b80157d7ed89ed0f0,10,10,7,9,0,,False,14,605.57,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,5.5,4,5,5,0.4,0.25,0.16666666666666666
testing_35,339.tiff,canine cutaneous mast cell tumor,339,1,gray_bbox,17149,1659.0,41.0,39,1657.5,47.0,6.185,f301342b57b6890bc3b2b49599db2b9bcb062829,10,10,7,9,0,,False,14,605.57,100,True,99,1521,0,,0,True,29.609055118110238,0.2533008895448562,4.9,4,5,5,0.4,0.25,0.16666666666666666
testing_35,339.tiff,canine cutaneous mast cell tumor,339,1,hem_bbox,17149,1659.0,41.0,31,1657.0,44.0,3.606,356ec86fca6f27fa9bc32889f0e07a6599662c61,10,10,7,9,0,,False,14,605.57,100,True,98,961,0,,0,True,29.609055118110238,0.2533008895448562,4.8,4,5,5,0.4,0.25,0.16666666666666666
testing_35,339.tiff,canine cutaneous mast cell tumor,339,2,default_51,17151,4409.0,140.0,51,4409.0,140.0,0.0,d0b63c871f08a1d8deded9e96de17d1e1e7bcd10,10,10,7,8,1,17169:hem_bbox,False,14,817.8,100,True,99,2601,0,,0,True,29.609055118110238,0.2533008895448562,5.1,5,6,6,0.5,0.3,0.2
testing_35,339.tiff,canine cutaneous mast cell tumor,339,2,gray_bbox,17151,4409.0,140.0,51,4409.0,137.0,3.0,5683e9a7b3aaa7d560c4c4c23e96f5f5ee1123ad,10,10,7,8,1,17169:hem_bbox,False,14,817.8,100,True,99,2601,0,,0,True,29.609055118110238,0.2533008895448562,4.9,5,6,6,0.5,0.3,0.2
testing_35,339.tiff,canine cutaneous mast cell tumor,339,2,hem_bbox,17151,4409.0,140.0,19,4411.0,140.5,2.062,0afe0d3141a59a28dd3f88e60c1452eaf26d24f4,10,10,7,8,1,17169:hem_bbox,False,14,817.8,100,True,99,361,0,,0,True,29.609055118110238,0.2533008895448562,4.4,2,3,3,0.2,0.15,0.1
