rank_key,pair,domain,scope,n_roi,pooled_delta_precision,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,ci_low,ci_high,t_ci_low,t_ci_high,ci_excludes_0,delta_3click,loo_file,loo_delta_tp,loo_delta,holm_p,holm_adjusted_floor,bounds_nothing
chromatin_od,hem_rect_fill - default_51,human neuroendocrine tumor,domain,7,-0.007142857142857143,1,3,3,4,0.5,0.125,-0.01904761904761905,0.002380952380952381,-0.022185474363685755,0.007899760077971468,False,-0.014285714285714285,402.tiff,-2.0,-0.002777777777777778,1.0,0.875,True
chromatin_od,hem_rect_fill_1um - default_51,ALL 49 ROIs (pooled),pooled,49,0.00510204081632653,15,10,24,25,0.2502768039703369,5.960464477539063e-08,-0.0027210884353741495,0.013265306122448979,-0.0030270903201625914,0.013231171952815653,False,0.009523809523809525,,,,,1.7881393432617188e-07,False
chromatin_od,hem_rect_fill_1um - default_51,canine cutaneous mast cell tumor,domain,7,0.009523809523809525,3,1,3,4,0.5,0.125,-0.002380952380952381,0.02619047619047619,-0.010089363749504214,0.029136982797123262,False,0.023809523809523808,300.tiff,3.0,0.002777777777777778,1.0,0.875,True
chromatin_od,hem_rect_fill_1um - default_51,canine lung cancer,domain,7,0.0,1,2,4,3,1.0,0.25,-0.009523809523809525,0.011904761904761904,-0.015414095805300681,0.015414095805300681,False,0.01904761904761905,220.tiff,2.0,-0.005555555555555556,1.0,1.75,True
chromatin_od,hem_rect_fill_1um - default_51,canine lymphosarcoma,domain,7,0.016666666666666666,3,2,2,5,0.5625,0.0625,-0.02619047619047619,0.05714285714285714,-0.039617653174059624,0.07295098650739296,False,0.023809523809523808,291.tiff,6.0,0.002777777777777778,1.0,0.4375,True
chromatin_od,hem_rect_fill_1um - default_51,canine soft tissue sarcoma,domain,7,0.0,1,2,4,3,1.0,0.25,-0.009523809523809525,0.011904761904761904,-0.015414095805300681,0.015414095805300681,False,0.0,460.tiff,2.0,-0.005555555555555556,1.0,1.75,True
chromatin_od,hem_rect_fill_1um - default_51,human breast cancer,domain,7,0.011904761904761904,3,0,4,3,0.25,0.25,0.002380952380952381,0.02619047619047619,-0.005246460579599972,0.029055984389123782,True,0.0,128.tiff,3.0,0.005555555555555556,1.0,1.75,True
chromatin_od,hem_rect_fill_1um - default_51,human melanoma,domain,7,0.007142857142857143,3,0,4,3,0.25,0.25,0.002380952380952381,0.014285714285714285,-0.001096323632906359,0.015382037918620646,True,0.009523809523809525,524.tiff,1.0,0.005555555555555556,1.0,1.75,True
chromatin_od,hem_rect_fill_1um - default_51,human neuroendocrine tumor,domain,7,-0.009523809523809525,1,3,3,4,0.5,0.125,-0.02857142857142857,0.009523809523809525,-0.034469168117023136,0.015421549069404092,False,-0.009523809523809525,404.tiff,-3.0,-0.002777777777777778,1.0,0.875,True
chromatin_od,hem_mask_fill_1um - default_51,ALL 49 ROIs (pooled),pooled,49,0.003061224489795918,13,14,22,27,0.4889613389968872,1.4901161193847656e-08,-0.004081632653061225,0.010884353741496598,-0.004612875695670801,0.010735324675262638,False,0.007482993197278911,,,,,4.470348358154297e-08,False
chromatin_od,hem_mask_fill_1um - default_51,canine cutaneous mast cell tumor,domain,7,0.009523809523809525,3,2,2,5,0.5,0.0625,-0.007142857142857143,0.02619047619047619,-0.013780112868047324,0.032827731915666375,False,0.01904761904761905,300.tiff,3.0,0.002777777777777778,1.0,0.4375,True
chromatin_od,hem_mask_fill_1um - default_51,canine lung cancer,domain,7,-0.007142857142857143,1,3,3,4,0.5,0.125,-0.01904761904761905,0.004761904761904762,-0.022185474363685755,0.007899760077971468,False,0.01904761904761905,233.tiff,-2.0,-0.002777777777777778,1.0,0.875,True
chromatin_od,hem_mask_fill_1um - default_51,canine lymphosarcoma,domain,7,0.016666666666666666,2,2,3,4,0.5,0.125,-0.016666666666666666,0.05476190476190476,-0.03367555942581499,0.06700889275914831,False,0.023809523809523808,291.tiff,6.0,0.002777777777777778,1.0,0.875,True
chromatin_od,hem_mask_fill_1um - default_51,canine soft tissue sarcoma,domain,7,-0.002380952380952381,1,3,3,4,1.0,0.125,-0.011904761904761904,0.011904761904761904,-0.018859313932479384,0.014097409170574624,False,-0.004761904761904762,460.tiff,2.0,-0.008333333333333333,1.0,0.875,True
chromatin_od,hem_mask_fill_1um - default_51,human breast cancer,domain,7,0.009523809523809525,3,1,3,4,0.5,0.125,-0.002380952380952381,0.023809523809523808,-0.010089363749504214,0.029136982797123262,False,0.004761904761904762,128.tiff,3.0,0.002777777777777778,1.0,0.875,True
chromatin_od,hem_mask_fill_1um - default_51,human melanoma,domain,7,0.004761904761904762,2,0,5,2,0.5,0.5,0.0,0.009523809523809525,-0.0027594038485095453,0.012283213372319069,False,0.004761904761904762,524.tiff,1.0,0.002777777777777778,1.0,3.5,True
chromatin_od,hem_mask_fill_1um - default_51,human neuroendocrine tumor,domain,7,-0.009523809523809525,1,3,3,4,0.375,0.125,-0.023809523809523808,0.002380952380952381,-0.027001751317702154,0.00795413227008311,False,-0.014285714285714285,402.tiff,-2.0,-0.005555555555555556,1.0,0.875,True
