file_name,tumor_type,image_id,seed_index,seed_ann_id,n_retries,contested_seed_tier,base_size,mpp,roi_h,roi_w,match_radius_px,nms_radius_px,pad_px,map_median,mad_scale,n_pre_nms_z1,n_post_nms_z1,n_at_current_z,n_gt_mitotic_eval,null_hit_frac,deep_recall_z1,precision_z1,coverage_z1,shortcut_ok,harness_full_list_recall,r5_n_detections,r5_tp,r5_precision,r5_recall,r5_fp_dup_on_mitotic
402.tiff,human neuroendocrine tumor,402,4,20182,0,False,27,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,13,0.005528690759092569,0.23520434351563452,49626,16700,16699,104,0.009111185238964216,1.0,0.00622791783939158,0.9434884131624904,True,0.1346153846153846,47,14,0.2978723404255319,0.1346153846153846,1
403.tiff,human neuroendocrine tumor,403,0,20334,0,False,33,0.22686065932495555,5412,7215,33.059940944881895,33.059940944881895,16,-0.001113019767217338,0.183406590051949,22533,11320,11319,52,0.004558862965942612,1.0,0.004594045410371941,0.690514033056662,True,0.23076923076923078,48,12,0.25,0.23076923076923078,0
403.tiff,human neuroendocrine tumor,403,1,20344,0,False,43,0.22686065932495555,5412,7215,33.059940944881895,33.059940944881895,21,-0.004597270395606756,0.4258130649983883,20006,11091,11090,52,0.004558862965942612,1.0,0.004688908926961226,0.6725271275238899,True,0.19230769230769232,48,10,0.20833333333333334,0.19230769230769232,0
403.tiff,human neuroendocrine tumor,403,2,20355,0,False,51,0.22686065932495555,5412,7215,33.059940944881895,33.059940944881895,25,-0.0016719300765544176,0.6103152091741562,21148,11163,11162,52,0.004578485044705636,1.0,0.004658663321985307,0.6732596851310427,True,0.23076923076923078,48,12,0.25,0.23076923076923078,1
403.tiff,human neuroendocrine tumor,403,3,20353,0,False,45,0.22686065932495555,5412,7215,33.059940944881895,33.059940944881895,22,-0.005658888258039951,0.5886798848032951,20411,10605,10604,52,0.004558862965942612,1.0,0.004903809883062995,0.6613883274794131,True,0.17307692307692307,44,9,0.20454545454545456,0.17307692307692307,0
403.tiff,human neuroendocrine tumor,403,4,20334,0,False,33,0.22686065932495555,5412,7215,33.059940944881895,33.059940944881895,16,-0.001113019767217338,0.183406590051949,22533,11320,11319,52,0.004558862965942612,1.0,0.004594045410371941,0.690514033056662,True,0.23076923076923078,48,12,0.25,0.23076923076923078,0
459.tiff,canine soft tissue sarcoma,459,0,22441,0,False,33,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,16,-0.05076500028371811,0.5032099391520023,27400,15835,15834,130,0.011499670091431803,1.0,0.008210180623973728,0.9213560813146071,True,0.17692307692307693,48,23,0.4791666666666667,0.17692307692307693,0
459.tiff,canine soft tissue sarcoma,459,1,22445,0,False,47,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,23,-0.09126412123441696,0.7691311110377311,19107,14167,14166,130,0.011507525057341251,1.0,0.00917690244246788,0.8857259559493512,True,0.23076923076923078,48,30,0.625,0.23076923076923078,0
459.tiff,canine soft tissue sarcoma,459,2,22306,0,False,39,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,19,-0.10058432072401047,0.7868055221557617,21733,15016,15015,130,0.011515380023250699,1.0,0.008658008658008658,0.9035253087001602,True,0.16923076923076924,48,22,0.4583333333333333,0.16923076923076924,0
459.tiff,canine soft tissue sarcoma,459,3,22371,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,25,-0.14223219454288483,1.2101119322776794,17043,13447,13446,130,0.011507525057341251,1.0,0.009668302840993605,0.8673296257894241,True,0.2923076923076923,48,38,0.7916666666666666,0.2923076923076923,0
459.tiff,canine soft tissue sarcoma,459,4,22305,0,False,45,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,22,-0.14085979759693146,1.0427692239403723,18308,14129,14128,130,0.011507525057341251,0.9923076923076923,0.009130804077010193,0.8843277720174695,True,0.2846153846153846,48,37,0.7708333333333334,0.2846153846153846,0
