file_name,image_id,tumor_type,seed_index,seed_ann_id,mpp,pad_px,match_radius_px,nms_radius_px,n_gt_within_seed_hole,seed_pool_size,arm_tag,map_median,mad_scale,deep_floor,n_peaks_deep,n_pool,n_band_candidates_pool,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,read_50,read_80,read_90,read_95,read_99,read_100,axis,z_cut,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,150,150,23,12,0.6571428571428571
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,200,200,26,13,0.7428571428571429
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,250,250,28,15,0.8
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,300,300,28,16,0.8
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,400,400,28,18,0.8
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,500,500,28,18,0.8
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,750,750,30,21,0.8571428571428571
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,1000,1000,30,23,0.8571428571428571
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,1500,1500,32,23,0.9142857142857143
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,2000,2000,32,26,0.9142857142857143
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,3000,3000,33,27,0.9428571428571428
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,5000,5000,33,31,0.9428571428571428
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,chromatin_od@pad_off,od,True,2.5,True,False,35,40,6967,0.5445,36,2,0.0,0.9714285714285714,36.0,246.0,1211.0,5965.0,,,chromatin_od,2.80586,10000,6967,34,36,0.9714285714285714
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,10,10,7,2,0.2
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,25,25,12,4,0.34285714285714286
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,50,50,17,6,0.4857142857142857
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,75,75,18,8,0.5142857142857142
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,100,100,21,8,0.6
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,150,150,22,8,0.6285714285714286
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,200,200,23,10,0.6571428571428571
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,250,250,24,11,0.6857142857142857
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,300,300,25,11,0.7142857142857143
460.tiff,460,canine soft tissue sarcoma,0,22577,0.24817,25,30.222,30.222,0,31,pad_off,-0.205728,1.204635,-2.012681,20917,14468,0,tm_score@pad_off,score,True,3.0,True,False,35,40,5400,0.4363,34,2,0.0,0.9714285714285714,52.0,572.0,4331.0,5035.0,,,tm_score,3.408177,400,400,26,12,0.7428571428571429
