file_name,arm,K,n_topk_shared,topk_identical,n_hem,n_gray,tp_counts_tie
246.tiff,od_contrast_GT_hit_sets,50,22,False,28.0,34.0,False
246.tiff,tm_score,10,0,False,,,
246.tiff,tm_score,20,0,False,,,
246.tiff,tm_score,30,0,False,,,
246.tiff,tm_score,50,0,False,,,
246.tiff,chromatin_od,10,0,False,,,
246.tiff,chromatin_od,20,0,False,,,
246.tiff,chromatin_od,30,0,False,,,
246.tiff,chromatin_od,50,0,False,,,
246.tiff,od_contrast,10,0,False,,,
246.tiff,od_contrast,20,0,False,,,
246.tiff,od_contrast,30,0,False,,,
246.tiff,od_contrast,50,0,False,,,
246.tiff/hem_bbox,chromatin_od_vs_tm_within,10,4,False,,,
246.tiff/hem_bbox,od_contrast_vs_tm_within,10,3,False,,,
246.tiff/gray_bbox,chromatin_od_vs_tm_within,10,3,False,,,
246.tiff/gray_bbox,od_contrast_vs_tm_within,10,3,False,,,
300.tiff,tm_score_GT_hit_sets,10,8,False,10.0,9.0,False
300.tiff,tm_score_GT_hit_sets,20,12,False,16.0,17.0,False
300.tiff,tm_score_GT_hit_sets,30,14,False,23.0,25.0,False
300.tiff,tm_score_GT_hit_sets,50,27,False,34.0,43.0,False
300.tiff,chromatin_od_GT_hit_sets,10,6,False,8.0,9.0,False
300.tiff,chromatin_od_GT_hit_sets,20,13,False,17.0,19.0,False
300.tiff,chromatin_od_GT_hit_sets,30,20,False,27.0,27.0,True
300.tiff,chromatin_od_GT_hit_sets,50,30,False,40.0,46.0,False
300.tiff,od_contrast_GT_hit_sets,10,5,False,8.0,8.0,True
300.tiff,od_contrast_GT_hit_sets,20,11,False,17.0,18.0,False
300.tiff,od_contrast_GT_hit_sets,30,18,False,26.0,28.0,False
300.tiff,od_contrast_GT_hit_sets,50,31,False,39.0,45.0,False
300.tiff,tm_score,10,0,False,,,
300.tiff,tm_score,20,0,False,,,
300.tiff,tm_score,30,0,False,,,
300.tiff,tm_score,50,0,False,,,
300.tiff,chromatin_od,10,0,False,,,
300.tiff,chromatin_od,20,0,False,,,
300.tiff,chromatin_od,30,0,False,,,
300.tiff,chromatin_od,50,0,False,,,
300.tiff,od_contrast,10,0,False,,,
300.tiff,od_contrast,20,0,False,,,
300.tiff,od_contrast,30,0,False,,,
