file_name,tumor_type,z,arm,n_r50,n_r75,rec_r50,rec_r75,cov_r50,cov_r75,pct_extra_at_r50,d_recall_r50_minus_r75
201.tiff,canine lung cancer,0.0,chromatin_od,21887,15542,1.0,1.0,0.9749,0.9306,40.82486166516537,0.0
201.tiff,canine lung cancer,0.5,chromatin_od,19873,14619,1.0,1.0,0.9507,0.9028,35.939530747657166,0.0
201.tiff,canine lung cancer,1.0,chromatin_od,16529,12973,1.0,1.0,0.8957,0.8468,27.410776227549526,0.0
201.tiff,canine lung cancer,1.5,chromatin_od,12590,10689,1.0,1.0,0.7859,0.7471,17.784638413322096,0.0
201.tiff,canine lung cancer,2.0,chromatin_od,8792,7952,1.0,1.0,0.6205,0.5972,10.563380281690149,0.0
201.tiff,canine lung cancer,2.5,chromatin_od,5622,5321,1.0,1.0,0.4337,0.4235,5.65683142266491,0.0
201.tiff,canine lung cancer,3.0,chromatin_od,3202,3129,1.0,1.0,0.262,0.2593,2.3330137424097064,0.0
201.tiff,canine lung cancer,-1.0,tm_score,22612,15842,1.0,1.0,0.9805,0.9378,42.73450321929049,0.0
201.tiff,canine lung cancer,-0.5,tm_score,22507,15798,1.0,1.0,0.9798,0.9368,42.46740093682744,0.0
201.tiff,canine lung cancer,0.0,tm_score,21887,15542,1.0,1.0,0.9749,0.9306,40.82486166516537,0.0
201.tiff,canine lung cancer,0.5,tm_score,19873,14619,1.0,1.0,0.9507,0.9028,35.939530747657166,0.0
201.tiff,canine lung cancer,1.0,tm_score,16529,12973,1.0,1.0,0.8957,0.8468,27.410776227549526,0.0
201.tiff,canine lung cancer,1.5,tm_score,12590,10689,1.0,1.0,0.7859,0.7471,17.784638413322096,0.0
201.tiff,canine lung cancer,2.0,tm_score,8792,7952,1.0,1.0,0.6205,0.5972,10.563380281690149,0.0
201.tiff,canine lung cancer,2.5,tm_score,5622,5321,1.0,1.0,0.4337,0.4235,5.65683142266491,0.0
201.tiff,canine lung cancer,3.0,tm_score,3202,3129,1.0,1.0,0.262,0.2593,2.3330137424097064,0.0
246.tiff,canine lymphosarcoma,-1.0,chromatin_od,30343,17763,1.0,1.0,0.9987,0.9616,70.82137026403197,0.0
246.tiff,canine lymphosarcoma,-0.5,chromatin_od,30327,17762,1.0,1.0,0.9987,0.9616,70.74090755545545,0.0
246.tiff,canine lymphosarcoma,0.0,chromatin_od,30151,17729,1.0,1.0,0.9985,0.9611,70.0659935698573,0.0
246.tiff,canine lymphosarcoma,0.5,chromatin_od,29247,17537,1.0,1.0,0.9975,0.9576,66.77310828533957,0.0
246.tiff,canine lymphosarcoma,1.0,chromatin_od,26677,16836,1.0,1.0,0.9921,0.944,58.452126395818496,0.0
246.tiff,canine lymphosarcoma,1.5,chromatin_od,21647,14963,1.0,1.0,0.9556,0.8942,44.6701864599345,0.0
246.tiff,canine lymphosarcoma,2.0,chromatin_od,14678,11248,1.0,1.0,0.8079,0.7474,30.494310099573262,0.0
246.tiff,canine lymphosarcoma,2.5,chromatin_od,8364,7046,1.0,1.0,0.552,0.516,18.705648594947476,0.0
246.tiff,canine lymphosarcoma,3.0,chromatin_od,4328,3853,0.9739130434782608,0.9739130434782609,0.3184,0.3025,12.32805606021281,-1.1102230246251565e-16
246.tiff,canine lymphosarcoma,-1.0,tm_score,30343,17763,1.0,1.0,0.9987,0.9616,70.82137026403197,0.0
246.tiff,canine lymphosarcoma,-0.5,tm_score,30327,17762,1.0,1.0,0.9987,0.9616,70.74090755545545,0.0
246.tiff,canine lymphosarcoma,0.0,tm_score,30151,17729,1.0,1.0,0.9985,0.9611,70.0659935698573,0.0
246.tiff,canine lymphosarcoma,0.5,tm_score,29247,17537,1.0,1.0,0.9975,0.9576,66.77310828533957,0.0
246.tiff,canine lymphosarcoma,1.0,tm_score,26677,16836,1.0,1.0,0.9921,0.944,58.452126395818496,0.0
246.tiff,canine lymphosarcoma,1.5,tm_score,21647,14963,1.0,1.0,0.9556,0.8942,44.6701864599345,0.0
246.tiff,canine lymphosarcoma,2.0,tm_score,14678,11248,1.0,1.0,0.8079,0.7474,30.494310099573262,0.0
246.tiff,canine lymphosarcoma,2.5,tm_score,8364,7046,1.0,1.0,0.552,0.516,18.705648594947476,0.0
246.tiff,canine lymphosarcoma,3.0,tm_score,4328,3853,0.9739130434782608,0.9739130434782609,0.3184,0.3025,12.32805606021281,-1.1102230246251565e-16
301.tiff,canine cutaneous mast cell tumor,-1.0,chromatin_od,25446,17963,1.0,1.0,0.9944,0.9621,41.65785225185103,0.0
301.tiff,canine cutaneous mast cell tumor,-0.5,chromatin_od,25437,17959,1.0,1.0,0.9943,0.9621,41.639289492733454,0.0
301.tiff,canine cutaneous mast cell tumor,0.0,chromatin_od,25198,17882,1.0,1.0,0.9936,0.9608,40.91264959176826,0.0
301.tiff,canine cutaneous mast cell tumor,0.5,chromatin_od,24058,17455,1.0,1.0,0.9874,0.9518,37.82870237754226,0.0
301.tiff,canine cutaneous mast cell tumor,1.0,chromatin_od,22227,16687,1.0,1.0,0.9739,0.9357,33.19949661413075,0.0
301.tiff,canine cutaneous mast cell tumor,1.5,chromatin_od,19656,15530,1.0,1.0,0.9446,0.9043,26.56793303283966,0.0
301.tiff,canine cutaneous mast cell tumor,2.0,chromatin_od,15836,13347,0.9953917050691244,0.9953917050691244,0.8682,0.8305,18.64838540495992,0.0
301.tiff,canine cutaneous mast cell tumor,2.5,chromatin_od,10861,9855,0.9631336405529954,0.9631336405529954,0.6993,0.6756,10.208016235413497,0.0
301.tiff,canine cutaneous mast cell tumor,3.0,chromatin_od,6142,5879,0.912442396313364,0.9124423963133641,0.4524,0.4438,4.473549923456366,-1.1102230246251565e-16
301.tiff,canine cutaneous mast cell tumor,-1.0,tm_score,25446,17963,1.0,1.0,0.9944,0.9621,41.65785225185103,0.0
301.tiff,canine cutaneous mast cell tumor,-0.5,tm_score,25437,17959,1.0,1.0,0.9943,0.9621,41.639289492733454,0.0
301.tiff,canine cutaneous mast cell tumor,0.0,tm_score,25198,17882,1.0,1.0,0.9936,0.9608,40.91264959176826,0.0
301.tiff,canine cutaneous mast cell tumor,0.5,tm_score,24058,17455,1.0,1.0,0.9874,0.9518,37.82870237754226,0.0
301.tiff,canine cutaneous mast cell tumor,1.0,tm_score,22227,16687,1.0,1.0,0.9739,0.9357,33.19949661413075,0.0
