file_name,tumor_type,decision_grade,seed_index,read_100_delta,read_95_delta,read_50_delta,full_list_recall_delta,n_detections_delta,recall_at_250_delta,arm_a,arm_b
506.tiff,human melanoma,False,0,-256.0,-256.0,15.0,0.0,7158,-0.09090909090909094,tm_ccoeff,tm_ccorr
506.tiff,human melanoma,False,1,246.0,246.0,30.0,0.0,6963,-0.09090909090909094,tm_ccoeff,tm_ccorr
506.tiff,human melanoma,False,2,329.0,329.0,146.0,0.0,6371,-0.45454545454545453,tm_ccoeff,tm_ccorr
506.tiff,human melanoma,False,3,-982.0,-982.0,8.0,0.0,5482,0.09090909090909094,tm_ccoeff,tm_ccorr
506.tiff,human melanoma,False,4,-136.0,-136.0,23.0,0.0,5424,0.0,tm_ccoeff,tm_ccorr
548.tiff,human melanoma,True,0,,-4103.0,-212.0,0.04201680672268904,7248,0.20168067226890762,tm_ccoeff,tm_ccorr
548.tiff,human melanoma,True,1,,,-322.0,0.054621848739495826,6828,0.22268907563025214,tm_ccoeff,tm_ccorr
548.tiff,human melanoma,True,2,,-3787.0,-236.0,0.04201680672268904,6631,0.2226890756302521,tm_ccoeff,tm_ccorr
548.tiff,human melanoma,True,3,,-3323.0,-98.0,0.008403361344537896,6461,0.1848739495798319,tm_ccoeff,tm_ccorr
548.tiff,human melanoma,True,4,,-2652.0,-347.0,0.04201680672268904,6373,0.2016806722689075,tm_ccoeff,tm_ccorr
350.tiff,human neuroendocrine tumor,False,0,-1845.0,-1845.0,-1653.0,0.0,7371,1.0,tm_ccoeff,tm_ccorr
350.tiff,human neuroendocrine tumor,False,1,-1121.0,-1121.0,-1138.0,0.0,7038,0.6666666666666667,tm_ccoeff,tm_ccorr
350.tiff,human neuroendocrine tumor,False,2,-1387.0,-1387.0,-184.0,0.0,6343,0.33333333333333337,tm_ccoeff,tm_ccorr
350.tiff,human neuroendocrine tumor,False,3,-797.0,-797.0,-55.0,0.0,6013,0.33333333333333337,tm_ccoeff,tm_ccorr
351.tiff,human neuroendocrine tumor,False,0,22.0,22.0,-2.0,0.0,6085,0.0,tm_ccoeff,tm_ccorr
351.tiff,human neuroendocrine tumor,False,1,-3.0,-3.0,0.0,0.0,4910,0.0,tm_ccoeff,tm_ccorr
351.tiff,human neuroendocrine tumor,False,2,-93.0,-93.0,-64.0,0.0,5054,0.33333333333333337,tm_ccoeff,tm_ccorr
351.tiff,human neuroendocrine tumor,False,3,-7.0,-7.0,-2.0,0.0,6123,0.0,tm_ccoeff,tm_ccorr
402.tiff,human neuroendocrine tumor,True,0,,-4093.0,-741.0,0.028846153846153855,8711,0.5096153846153846,tm_ccoeff,tm_ccorr
402.tiff,human neuroendocrine tumor,True,1,,,-1142.0,0.05769230769230771,9098,0.39423076923076916,tm_ccoeff,tm_ccorr
402.tiff,human neuroendocrine tumor,True,2,,-4658.0,-1068.0,0.028846153846153855,9469,0.5384615384615385,tm_ccoeff,tm_ccorr
402.tiff,human neuroendocrine tumor,True,3,-3416.0,-3898.0,-638.0,0.0,8173,0.36538461538461536,tm_ccoeff,tm_ccorr
402.tiff,human neuroendocrine tumor,True,4,,-4027.0,-750.0,0.019230769230769273,8468,0.4807692307692307,tm_ccoeff,tm_ccorr
