subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
testing_35,human melanoma,549.tiff,fill_alpha_0 - fill_alpha_1,30,-2,-4,-3,-9
original_14,human neuroendocrine tumor,402.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,-1,-1
original_14,human neuroendocrine tumor,402.tiff,fill_alpha_0 - fill_alpha_1,20,0,1,-1,0
original_14,human neuroendocrine tumor,402.tiff,fill_alpha_0 - fill_alpha_1,30,-3,2,-1,-2
original_14,human neuroendocrine tumor,403.tiff,fill_alpha_0 - fill_alpha_1,10,-1,1,1,1
original_14,human neuroendocrine tumor,403.tiff,fill_alpha_0 - fill_alpha_1,20,-3,1,-3,-5
original_14,human neuroendocrine tumor,403.tiff,fill_alpha_0 - fill_alpha_1,30,-2,0,-1,-3
testing_35,human neuroendocrine tumor,353.tiff,fill_alpha_0 - fill_alpha_1,10,1,0,0,1
testing_35,human neuroendocrine tumor,353.tiff,fill_alpha_0 - fill_alpha_1,20,1,-2,0,-1
testing_35,human neuroendocrine tumor,353.tiff,fill_alpha_0 - fill_alpha_1,30,1,-2,-1,-2
testing_35,human neuroendocrine tumor,364.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,-1,-1
testing_35,human neuroendocrine tumor,364.tiff,fill_alpha_0 - fill_alpha_1,20,0,1,0,1
testing_35,human neuroendocrine tumor,364.tiff,fill_alpha_0 - fill_alpha_1,30,0,1,1,2
testing_35,human neuroendocrine tumor,400.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,0,0
testing_35,human neuroendocrine tumor,400.tiff,fill_alpha_0 - fill_alpha_1,20,-2,0,0,-2
testing_35,human neuroendocrine tumor,400.tiff,fill_alpha_0 - fill_alpha_1,30,-3,-2,-1,-6
testing_35,human neuroendocrine tumor,401.tiff,fill_alpha_0 - fill_alpha_1,10,-2,-1,-3,-6
testing_35,human neuroendocrine tumor,401.tiff,fill_alpha_0 - fill_alpha_1,20,-3,-2,-4,-9
testing_35,human neuroendocrine tumor,401.tiff,fill_alpha_0 - fill_alpha_1,30,-4,-1,-5,-10
testing_35,human neuroendocrine tumor,404.tiff,fill_alpha_0 - fill_alpha_1,10,1,-2,-1,-2
testing_35,human neuroendocrine tumor,404.tiff,fill_alpha_0 - fill_alpha_1,20,-2,-3,-2,-7
testing_35,human neuroendocrine tumor,404.tiff,fill_alpha_0 - fill_alpha_1,30,-1,-4,-2,-7
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_2 - fill_alpha_0,10,1,0,-1,0
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_2 - fill_alpha_0,20,0,-1,0,-1
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_2 - fill_alpha_0,30,-1,-3,-1,-5
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_2 - fill_alpha_0,10,-3,0,-3,-6
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_2 - fill_alpha_0,20,-2,0,-3,-5
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_2 - fill_alpha_0,30,-4,1,-2,-5
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_2 - fill_alpha_0,10,0,0,0,0
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_2 - fill_alpha_0,20,1,0,0,1
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_2 - fill_alpha_0,30,3,0,1,4
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_2 - fill_alpha_0,10,0,2,2,4
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_2 - fill_alpha_0,20,2,4,3,9
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_2 - fill_alpha_0,30,1,4,3,8
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_2 - fill_alpha_0,10,2,1,2,5
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_2 - fill_alpha_0,20,1,1,3,5
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_2 - fill_alpha_0,30,3,1,4,8
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_2 - fill_alpha_0,10,1,2,3,6
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_2 - fill_alpha_0,20,1,3,4,8
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_2 - fill_alpha_0,30,2,2,6,10
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_2 - fill_alpha_0,10,-1,-2,0,-3
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_2 - fill_alpha_0,20,2,5,-2,5
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_2 - fill_alpha_0,30,7,8,3,18
original_14,canine lung cancer,201.tiff,fill_alpha_2 - fill_alpha_0,10,-1,1,-3,-3
original_14,canine lung cancer,201.tiff,fill_alpha_2 - fill_alpha_0,20,2,0,-3,-1
original_14,canine lung cancer,201.tiff,fill_alpha_2 - fill_alpha_0,30,4,1,-4,1
original_14,canine lung cancer,233.tiff,fill_alpha_2 - fill_alpha_0,10,1,1,1,3
original_14,canine lung cancer,233.tiff,fill_alpha_2 - fill_alpha_0,20,1,-2,0,-1
original_14,canine lung cancer,233.tiff,fill_alpha_2 - fill_alpha_0,30,2,-3,-2,-3
testing_35,canine lung cancer,211.tiff,fill_alpha_2 - fill_alpha_0,10,0,0,0,0
testing_35,canine lung cancer,211.tiff,fill_alpha_2 - fill_alpha_0,20,0,0,0,0
testing_35,canine lung cancer,211.tiff,fill_alpha_2 - fill_alpha_0,30,0,0,0,0
testing_35,canine lung cancer,220.tiff,fill_alpha_2 - fill_alpha_0,10,-1,0,1,0
testing_35,canine lung cancer,220.tiff,fill_alpha_2 - fill_alpha_0,20,0,0,2,2
testing_35,canine lung cancer,220.tiff,fill_alpha_2 - fill_alpha_0,30,5,-2,5,8
testing_35,canine lung cancer,230.tiff,fill_alpha_2 - fill_alpha_0,10,0,0,-1,-1
