figure,arm,row,col,value,annotation
fig1_roi_delta_heatmap,chromatin_od,548.tiff,K=30,0.0,
fig1_roi_delta_heatmap,chromatin_od,548.tiff,K=50,0.0,
fig1_roi_delta_heatmap,chromatin_od,402.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,402.tiff,K=20,0.0,
fig1_roi_delta_heatmap,chromatin_od,402.tiff,K=30,0.0,
fig1_roi_delta_heatmap,chromatin_od,402.tiff,K=50,0.0,
fig1_roi_delta_heatmap,chromatin_od,403.tiff,K=10,-0.1,
fig1_roi_delta_heatmap,chromatin_od,403.tiff,K=20,-0.1,
fig1_roi_delta_heatmap,chromatin_od,403.tiff,K=30,-0.0334,
fig1_roi_delta_heatmap,chromatin_od,403.tiff,K=50,0.0,
fig2_domain_delta_bars,tm_score,canine cutaneous mast cell tumor,K=10,0.15,
fig2_domain_delta_bars,tm_score,canine cutaneous mast cell tumor,K=20,0.05,
fig2_domain_delta_bars,tm_score,canine cutaneous mast cell tumor,K=30,0.0834,
fig2_domain_delta_bars,tm_score,canine cutaneous mast cell tumor,K=50,0.06,
fig2_domain_delta_bars,tm_score,canine lung cancer,K=10,0.1,
fig2_domain_delta_bars,tm_score,canine lung cancer,K=20,0.025,
fig2_domain_delta_bars,tm_score,canine lung cancer,K=30,-0.0333,
fig2_domain_delta_bars,tm_score,canine lung cancer,K=50,-0.06,
fig2_domain_delta_bars,tm_score,canine lymphosarcoma,K=10,0.0,
fig2_domain_delta_bars,tm_score,canine lymphosarcoma,K=20,0.025,
fig2_domain_delta_bars,tm_score,canine lymphosarcoma,K=30,-0.0333,
fig2_domain_delta_bars,tm_score,canine lymphosarcoma,K=50,0.0,
fig2_domain_delta_bars,tm_score,canine soft tissue sarcoma,K=10,-0.1,
fig2_domain_delta_bars,tm_score,canine soft tissue sarcoma,K=20,-0.075,
fig2_domain_delta_bars,tm_score,canine soft tissue sarcoma,K=30,-0.0834,
fig2_domain_delta_bars,tm_score,canine soft tissue sarcoma,K=50,-0.05,
fig2_domain_delta_bars,tm_score,human breast cancer,K=10,0.2,
fig2_domain_delta_bars,tm_score,human breast cancer,K=20,0.025,
fig2_domain_delta_bars,tm_score,human breast cancer,K=30,0.0,
fig2_domain_delta_bars,tm_score,human breast cancer,K=50,0.0,
fig2_domain_delta_bars,tm_score,human melanoma,K=10,-0.1,
fig2_domain_delta_bars,tm_score,human melanoma,K=20,-0.025,
fig2_domain_delta_bars,tm_score,human melanoma,K=30,0.0,
fig2_domain_delta_bars,tm_score,human melanoma,K=50,0.02,
fig2_domain_delta_bars,tm_score,human neuroendocrine tumor,K=10,-0.1,
fig2_domain_delta_bars,tm_score,human neuroendocrine tumor,K=20,-0.1,
fig2_domain_delta_bars,tm_score,human neuroendocrine tumor,K=30,-0.0834,
fig2_domain_delta_bars,tm_score,human neuroendocrine tumor,K=50,-0.05,
fig2_domain_delta_bars,chromatin_od,canine cutaneous mast cell tumor,K=10,0.05,
fig2_domain_delta_bars,chromatin_od,canine cutaneous mast cell tumor,K=20,0.0,
fig2_domain_delta_bars,chromatin_od,canine cutaneous mast cell tumor,K=30,-0.0334,
fig2_domain_delta_bars,chromatin_od,canine cutaneous mast cell tumor,K=50,0.0,
fig2_domain_delta_bars,chromatin_od,canine lung cancer,K=10,0.0,
fig2_domain_delta_bars,chromatin_od,canine lung cancer,K=20,0.025,
fig2_domain_delta_bars,chromatin_od,canine lung cancer,K=30,0.0,
fig2_domain_delta_bars,chromatin_od,canine lung cancer,K=50,0.01,
fig2_domain_delta_bars,chromatin_od,canine lymphosarcoma,K=10,0.0,
fig2_domain_delta_bars,chromatin_od,canine lymphosarcoma,K=20,0.025,
fig2_domain_delta_bars,chromatin_od,canine lymphosarcoma,K=30,0.0,
fig2_domain_delta_bars,chromatin_od,canine lymphosarcoma,K=50,0.03,
fig2_domain_delta_bars,chromatin_od,canine soft tissue sarcoma,K=10,0.0,
fig2_domain_delta_bars,chromatin_od,canine soft tissue sarcoma,K=20,0.0,
fig2_domain_delta_bars,chromatin_od,canine soft tissue sarcoma,K=30,0.0,
fig2_domain_delta_bars,chromatin_od,canine soft tissue sarcoma,K=50,0.0,
fig2_domain_delta_bars,chromatin_od,human breast cancer,K=10,0.0,
fig2_domain_delta_bars,chromatin_od,human breast cancer,K=20,-0.025,
fig2_domain_delta_bars,chromatin_od,human breast cancer,K=30,-0.0333,
fig2_domain_delta_bars,chromatin_od,human breast cancer,K=50,0.0,
fig2_domain_delta_bars,chromatin_od,human melanoma,K=10,0.0,
fig2_domain_delta_bars,chromatin_od,human melanoma,K=20,0.0,
fig2_domain_delta_bars,chromatin_od,human melanoma,K=30,0.0,
fig2_domain_delta_bars,chromatin_od,human melanoma,K=50,0.0,
fig2_domain_delta_bars,chromatin_od,human neuroendocrine tumor,K=10,-0.05,
fig2_domain_delta_bars,chromatin_od,human neuroendocrine tumor,K=20,-0.05,
fig2_domain_delta_bars,chromatin_od,human neuroendocrine tumor,K=30,-0.0167,
fig2_domain_delta_bars,chromatin_od,human neuroendocrine tumor,K=50,0.0,
fig3_win_counts,tm_score,wins,K=10,3.0,ties=2 (not plotted)
fig3_win_counts,tm_score,losses,K=10,6.0,stacked on wins
fig3_win_counts,tm_score,wins,K=20,1.0,ties=3 (not plotted)
fig3_win_counts,tm_score,losses,K=20,7.0,stacked on wins
fig3_win_counts,tm_score,wins,K=30,2.0,ties=1 (not plotted)
fig3_win_counts,tm_score,losses,K=30,8.0,stacked on wins
fig3_win_counts,tm_score,wins,K=50,2.0,ties=1 (not plotted)
fig3_win_counts,tm_score,losses,K=50,8.0,stacked on wins
fig3_win_counts,chromatin_od,wins,K=10,0.0,ties=10 (not plotted)
fig3_win_counts,chromatin_od,losses,K=10,1.0,stacked on wins
fig3_win_counts,chromatin_od,wins,K=20,2.0,ties=8 (not plotted)
fig3_win_counts,chromatin_od,losses,K=20,1.0,stacked on wins
fig3_win_counts,chromatin_od,wins,K=30,1.0,ties=7 (not plotted)
fig3_win_counts,chromatin_od,losses,K=30,3.0,stacked on wins
fig3_win_counts,chromatin_od,wins,K=50,2.0,ties=9 (not plotted)
fig3_win_counts,chromatin_od,losses,K=50,0.0,stacked on wins
