rank_key,pair,K,n_roi,n_clicks,pooled_delta_precision,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,holm_family,holm_p,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,boot_share_0_or_opposite,t_ci_low,t_ci_high,ci_excludes_0,t_ci_excludes_0,n_same_direction,majority_of_all_rois,d5_bar_met,d5_robustness
tm_score,mass_only - fill_alpha_0,20,49,147,0.09659863945578231,37,10,2,47,8.615095755715174e-05,1.4210854715202004e-14,tm_score | secondary_decomposition_6,0.00017230191511430348,0.05238095238095238,0.1401360544217687,1.0,0.0,0.0,0.05113070994338318,0.14206656896818146,True,True,37,True,True,met
tm_score,mass_only - fill_alpha_0,30,49,147,0.08639455782312926,36,10,3,46,3.8113263769901096e-05,2.842170943040401e-14,tm_score | secondary_decomposition_6,0.00011433979130970329,0.049206349206349205,0.12403628117913833,1.0,0.0,0.0,0.04744698406959701,0.1253421315766615,True,True,36,True,True,met
tm_score,fill_alpha_0 - fill_alpha_1,10,49,147,-0.13129251700680272,6,41,2,47,4.314117063586309e-09,1.4210854715202004e-14,tm_score | secondary_decomposition_6,1.7256468254345236e-08,-0.16938775510204082,-0.09523809523809523,0.0,1.0,0.0,-0.1700073408049169,-0.0925776932086885,True,True,41,True,True,met
tm_score,fill_alpha_0 - fill_alpha_1,20,49,147,-0.12755102040816327,2,44,3,46,1.1652900866465643e-12,2.842170943040401e-14,tm_score | secondary_decomposition_6,6.991740519879386e-12,-0.16224489795918368,-0.09523809523809523,0.0,1.0,0.0,-0.16220403980019135,-0.09289800101613513,True,True,44,True,True,met
tm_score,fill_alpha_0 - fill_alpha_1,30,49,147,-0.11678004535147392,3,45,1,48,1.6626700016786344e-12,7.105427357601002e-15,tm_score | secondary_decomposition_6,8.313350008393172e-12,-0.14648526077097507,-0.08820861678004535,0.0,1.0,0.0,-0.14683993175916768,-0.08672015894378013,True,True,45,True,True,met
tm_score,mass_only - default_51,10,49,147,-0.017687074829931974,20,18,11,38,0.34658882253279444,7.275957614183426e-12,tm_score | secondary_vs_default_6,1.0,-0.05238095238095238,0.014965986394557823,0.1618,0.8474,0.1618,-0.05346348876192476,0.018089339102060814,False,False,18,False,False,not met
tm_score,mass_only - default_51,20,49,147,-0.009523809523809525,27,18,4,45,0.44094143686083953,5.684341886080802e-14,tm_score | secondary_vs_default_6,1.0,-0.03231292517006803,0.01292517006802721,0.2113,0.7974,0.2113,-0.033219367383900605,0.014171748336281556,False,False,18,False,False,not met
tm_score,mass_only - default_51,30,49,147,-0.008843537414965987,23,22,4,45,0.3520210023687582,5.684341886080802e-14,tm_score | secondary_vs_default_6,1.0,-0.026757369614512472,0.008616780045351474,0.1688,0.8379,0.1688,-0.027269342364532174,0.0095822675346002,False,False,22,False,False,not met
tm_score,fill_alpha_1 - default_51,10,49,147,0.024489795918367346,21,11,17,32,0.03092012833803892,4.656612873077393e-10,tm_score | secondary_vs_default_6,0.12368051335215569,0.004761904761904762,0.04693877551020408,0.9937,0.0081,0.0081,0.0023979461015071167,0.04658164573522758,True,True,21,False,False,not met
tm_score,fill_alpha_1 - default_51,20,49,147,0.02142857142857143,23,8,18,31,0.007567526772618294,9.313225746154785e-10,tm_score | secondary_vs_default_6,0.03783763386309147,0.006802721088435374,0.03877551020408163,0.9993,0.0009,0.0009,0.0049607008709320055,0.03789644198621085,True,True,23,False,False,not met
tm_score,fill_alpha_1 - default_51,30,49,147,0.021541950113378686,28,13,8,41,0.0014683248846267816,9.094947017729282e-13,tm_score | secondary_vs_default_6,0.00880994930776069,0.008843537414965987,0.036281179138321996,1.0,0.0,0.0,0.007518048522712534,0.03556585170404483,True,True,28,True,True,met
