file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
405.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,13,0,0,13,19,0.0,13,0.0,1.0,1.0,7577,9,0.0,4,0.0,1.0,1.0,7577,13,19,7545,32,0.004223307377589518,0.0017157186221457416,13,0,19,0,0.5581,,,,,,,,,,,,,0.7831,canine soft tissue sarcoma,1.0,7323.0,7323.0
405.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,12,19,0.05263157894736842,13,0.0,0.6842105263157895,0.6923076923076923,7323,9,0.0,4,0.0,0.8888888888888888,0.25,7323,9,13,7301,22,0.0030042332377436835,0.0012290045063496886,9,4,13,6,0.4691,,,,,,,,,,,,,0.7831,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,18,rgb,0.2269,35.0,binary,0.0,False,7.0,7.0,7.0,33.1,8,0.0,2.01,0.0,0.0,0.0,0.0,0.125,0.25,0.375,8,0,0,8,7,0.0,8,0.0,0.8571428571428571,1.0,7430,6,0.0,2,0.0,1.0,1.0,7430,8,6,7416,14,0.0018842530282635417,0.0010767160161505953,8,0,6,1,0.5455,33.05,8.0,48.76,9697.0,1.0,7431.0,1.0,1.0,7430.0,0.8499360084533691,0.48,49.3,0.9488,human breast cancer,,,
002.tiff,nucleus_blobs,-1,hematoxylin,0.2269,,,,,,,,33.1,8,0.0,2.01,0.0,0.0,0.0,0.0,0.125,0.25,0.625,8,0,1,7,7,0.14285714285714285,8,0.0,1.0,0.875,8814,6,0.0,2,0.0,1.0,0.5,8814,7,7,8800,14,0.0015883821193553903,0.0007941910596776952,7,1,7,0,0.5751,,,,,,,,,,,,,0.9488,human breast cancer,0.875,7430.0,7430.0
002.tiff,random_in_tissue,-1,-,0.2269,,,,,,,,33.1,8,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,8,7,0.0,8,0.0,0.2857142857142857,0.75,7430,6,0.0,2,0.0,0.8333333333333334,0.5,7430,6,2,7422,8,0.0010767160161505953,0.0008075370121129465,6,2,2,5,0.4743,,,,,,,,,,,,,0.9488,human breast cancer,,,
506.tiff,find_and_suppress,24233,rgb,0.2274,43.0,binary,0.0,False,8.0,8.0,8.0,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,11,0,0,11,12,0.0,11,0.0,0.75,0.9090909090909091,5326,7,0.0,4,0.0,0.8571428571428571,1.0,5326,10,9,5307,19,0.0035674051821247524,0.0018775816748025013,10,1,9,3,0.3993,32.98,8.0,45.25,6134.0,1.0,5327.0,1.0,1.0,5326.0,0.7713627219200134,0.28,45.6,0.9194,human melanoma,,,
506.tiff,nucleus_blobs,-1,hematoxylin,0.2274,,,,,,,,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,11,0,0,11,12,0.0,11,0.0,0.9166666666666666,0.8181818181818182,8754,7,0.0,4,0.0,0.8571428571428571,0.75,8754,9,11,8734,20,0.002284669865204217,0.0010281014393418975,9,2,11,1,0.5371,,,,,,,,,,,,,0.9194,human melanoma,0.8181818181818182,5326.0,5326.0
506.tiff,random_in_tissue,-1,-,0.2274,,,,,,,,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,11,12,0.0,11,0.0,0.25,0.5454545454545454,5326,7,0.0,4,0.0,0.5714285714285714,0.5,5326,6,3,5317,9,0.001689823507322251,0.0011265490048815007,6,5,3,9,0.3646,,,,,,,,,,,,,0.9194,human melanoma,,,
350.tiff,find_and_suppress,18164,rgb,0.2274,41.0,binary,0.0,True,4.0,4.0,4.0,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3,0,0,3,16,0.0,3,0.0,0.9375,1.0,6904,0,,3,0.0,,1.0,6904,3,15,6886,18,0.002607184241019321,0.0004345307068365535,3,0,15,1,0.5141,32.98,8.0,149.6,8221.0,1.0,6905.0,1.0,1.0,6904.0,0.7804489135742188,1.71,151.4,0.9966,human neuroendocrine tumor,,,
350.tiff,nucleus_blobs,-1,hematoxylin,0.2274,,,,,,,,33.0,3,0.0,2.02,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,1,2,16,0.0625,3,0.0,0.6875,1.0,8173,0,,3,0.0,,1.0,8173,3,11,8159,14,0.0017129572984214225,0.00036706227823316196,3,0,11,5,0.5459,,,,,,,,,,,,,0.9966,human neuroendocrine tumor,1.0,6904.0,6904.0
350.tiff,random_in_tissue,-1,-,0.2274,,,,,,,,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.5,0.6666666666666666,6904,0,,3,0.0,,0.6666666666666666,6904,2,8,6894,10,0.0014484356894551784,0.0002896871378910357,2,1,8,8,0.4496,,,,,,,,,,,,,0.9966,human neuroendocrine tumor,,,
