file_name,seed_index,statistic,contrast,auc,ci_lo,ci_hi,n_pos,n_neg
301.tiff,0,resnet18_in1k__lookalike,tp_vs_lookalike,0.4448,0.3773,0.5123,217,106
301.tiff,0,resnet18_in1k__lookalike,tp_vs_unannotated,0.4672,0.4295,0.5049,217,20044
301.tiff,0,resnet18_in1k_16um__lookalike,tp_vs_lookalike,0.5705,0.5053,0.6358,217,106
301.tiff,0,resnet18_in1k_16um__lookalike,tp_vs_unannotated,0.6994,0.6601,0.7386,217,20044
301.tiff,0,rawpixel_ccoeff__lookalike,tp_vs_lookalike,0.5147,0.4478,0.5816,217,106
301.tiff,0,rawpixel_ccoeff__lookalike,tp_vs_unannotated,0.5083,0.4695,0.5472,217,20044
301.tiff,0,fcos_midogpp_r18__random,tp_vs_lookalike,0.5558,0.49,0.6216,217,106
301.tiff,0,fcos_midogpp_r18__random,tp_vs_unannotated,0.0179,0.0153,0.0206,217,20044
301.tiff,0,kaiko_vits16__random,tp_vs_lookalike,0.4051,0.338,0.4722,217,106
301.tiff,0,kaiko_vits16__random,tp_vs_unannotated,0.3705,0.3368,0.4041,217,20044
301.tiff,0,lunit_dino_vits16__random,tp_vs_lookalike,0.462,0.3945,0.5295,217,106
301.tiff,0,lunit_dino_vits16__random,tp_vs_unannotated,0.3674,0.3339,0.401,217,20044
301.tiff,0,lunit_dino_vits16_16um__random,tp_vs_lookalike,0.493,0.4257,0.5603,217,106
301.tiff,0,lunit_dino_vits16_16um__random,tp_vs_unannotated,0.5688,0.5289,0.6086,217,20044
301.tiff,0,resnet18_in1k__random,tp_vs_lookalike,0.4527,0.3852,0.5202,217,106
301.tiff,0,resnet18_in1k__random,tp_vs_unannotated,0.3781,0.344,0.4121,217,20044
301.tiff,0,resnet18_in1k_16um__random,tp_vs_lookalike,0.5613,0.4957,0.6269,217,106
301.tiff,0,resnet18_in1k_16um__random,tp_vs_unannotated,0.6712,0.6314,0.7109,217,20044
301.tiff,0,rawpixel_ccoeff__random,tp_vs_lookalike,0.4926,0.4254,0.5599,217,106
301.tiff,0,rawpixel_ccoeff__random,tp_vs_unannotated,0.4711,0.4333,0.5089,217,20044
301.tiff,1,fcos_midogpp_r18__mitotic,tp_vs_lookalike,0.5197,0.4531,0.5862,217,107
301.tiff,1,fcos_midogpp_r18__mitotic,tp_vs_unannotated,0.9948,0.9881,1.0016,217,20043
301.tiff,1,kaiko_vits16__mitotic,tp_vs_lookalike,0.5701,0.505,0.6351,217,107
301.tiff,1,kaiko_vits16__mitotic,tp_vs_unannotated,0.5793,0.5393,0.6192,217,20043
301.tiff,1,lunit_dino_vits16__mitotic,tp_vs_lookalike,0.5372,0.471,0.6033,217,107
301.tiff,1,lunit_dino_vits16__mitotic,tp_vs_unannotated,0.5634,0.5236,0.6032,217,20043
301.tiff,1,lunit_dino_vits16_16um__mitotic,tp_vs_lookalike,0.5312,0.4649,0.5975,217,107
301.tiff,1,lunit_dino_vits16_16um__mitotic,tp_vs_unannotated,0.7212,0.6825,0.7599,217,20043
301.tiff,1,resnet18_in1k__mitotic,tp_vs_lookalike,0.5771,0.5123,0.6419,217,107
301.tiff,1,resnet18_in1k__mitotic,tp_vs_unannotated,0.6143,0.5742,0.6544,217,20043
301.tiff,1,resnet18_in1k_16um__mitotic,tp_vs_lookalike,0.5771,0.5123,0.6419,217,107
301.tiff,1,resnet18_in1k_16um__mitotic,tp_vs_unannotated,0.6846,0.6451,0.7242,217,20043
301.tiff,1,rawpixel_ccoeff__mitotic,tp_vs_lookalike,0.5304,0.4641,0.5968,217,107
301.tiff,1,rawpixel_ccoeff__mitotic,tp_vs_unannotated,0.6563,0.6164,0.6963,217,20043
301.tiff,1,fcos_midogpp_r18__lookalike,tp_vs_lookalike,0.161,0.1105,0.2115,217,107
301.tiff,1,fcos_midogpp_r18__lookalike,tp_vs_unannotated,0.9193,0.8942,0.9444,217,20043
301.tiff,1,kaiko_vits16__lookalike,tp_vs_lookalike,0.5803,0.5156,0.6449,217,107
301.tiff,1,kaiko_vits16__lookalike,tp_vs_unannotated,0.6862,0.6467,0.7257,217,20043
301.tiff,1,lunit_dino_vits16__lookalike,tp_vs_lookalike,0.5958,0.5319,0.6598,217,107
301.tiff,1,lunit_dino_vits16__lookalike,tp_vs_unannotated,0.7195,0.6808,0.7583,217,20043
301.tiff,1,lunit_dino_vits16_16um__lookalike,tp_vs_lookalike,0.627,0.5646,0.6894,217,107
301.tiff,1,lunit_dino_vits16_16um__lookalike,tp_vs_unannotated,0.8602,0.8288,0.8916,217,20043
301.tiff,1,resnet18_in1k__lookalike,tp_vs_lookalike,0.4986,0.4317,0.5656,217,107
301.tiff,1,resnet18_in1k__lookalike,tp_vs_unannotated,0.5165,0.4775,0.5555,217,20043
301.tiff,1,resnet18_in1k_16um__lookalike,tp_vs_lookalike,0.5781,0.5133,0.6428,217,107
301.tiff,1,resnet18_in1k_16um__lookalike,tp_vs_unannotated,0.7919,0.7559,0.8279,217,20043
301.tiff,1,rawpixel_ccoeff__lookalike,tp_vs_lookalike,0.4974,0.4305,0.5644,217,107
301.tiff,1,rawpixel_ccoeff__lookalike,tp_vs_unannotated,0.5814,0.5414,0.6213,217,20043
301.tiff,1,fcos_midogpp_r18__random,tp_vs_lookalike,0.5993,0.5355,0.6632,217,107
301.tiff,1,fcos_midogpp_r18__random,tp_vs_unannotated,0.7954,0.7596,0.8312,217,20043
301.tiff,1,kaiko_vits16__random,tp_vs_lookalike,0.5831,0.5185,0.6476,217,107
301.tiff,1,kaiko_vits16__random,tp_vs_unannotated,0.6292,0.5891,0.6693,217,20043
301.tiff,1,lunit_dino_vits16__random,tp_vs_lookalike,0.6011,0.5374,0.6649,217,107
301.tiff,1,lunit_dino_vits16__random,tp_vs_unannotated,0.6578,0.6179,0.6977,217,20043
301.tiff,1,lunit_dino_vits16_16um__random,tp_vs_lookalike,0.5451,0.4791,0.611,217,107
301.tiff,1,lunit_dino_vits16_16um__random,tp_vs_unannotated,0.6981,0.6588,0.7374,217,20043
301.tiff,1,resnet18_in1k__random,tp_vs_lookalike,0.5271,0.4607,0.5935,217,107
301.tiff,1,resnet18_in1k__random,tp_vs_unannotated,0.5252,0.486,0.5644,217,20043
301.tiff,1,resnet18_in1k_16um__random,tp_vs_lookalike,0.4265,0.3593,0.4936,217,107
301.tiff,1,resnet18_in1k_16um__random,tp_vs_unannotated,0.3239,0.2928,0.355,217,20043
301.tiff,1,rawpixel_ccoeff__random,tp_vs_lookalike,0.4854,0.4183,0.5525,217,107
301.tiff,1,rawpixel_ccoeff__random,tp_vs_unannotated,0.6318,0.5918,0.6719,217,20043
301.tiff,2,fcos_midogpp_r18__mitotic,tp_vs_lookalike,0.8921,0.8582,0.926,217,106
301.tiff,2,fcos_midogpp_r18__mitotic,tp_vs_unannotated,0.9972,0.9923,1.0022,217,20044
301.tiff,2,kaiko_vits16__mitotic,tp_vs_lookalike,0.528,0.4614,0.5945,217,106
301.tiff,2,kaiko_vits16__mitotic,tp_vs_unannotated,0.5928,0.5528,0.6329,217,20044
301.tiff,2,lunit_dino_vits16__mitotic,tp_vs_lookalike,0.5536,0.4877,0.6195,217,106
301.tiff,2,lunit_dino_vits16__mitotic,tp_vs_unannotated,0.5845,0.5445,0.6245,217,20044
301.tiff,2,lunit_dino_vits16_16um__mitotic,tp_vs_lookalike,0.7262,0.6711,0.7814,217,106
301.tiff,2,lunit_dino_vits16_16um__mitotic,tp_vs_unannotated,0.933,0.9099,0.9561,217,20044
301.tiff,2,resnet18_in1k__mitotic,tp_vs_lookalike,0.5654,0.4999,0.6308,217,106
301.tiff,2,resnet18_in1k__mitotic,tp_vs_unannotated,0.623,0.5829,0.6631,217,20044
301.tiff,2,resnet18_in1k_16um__mitotic,tp_vs_lookalike,0.6162,0.5531,0.6793,217,106
301.tiff,2,resnet18_in1k_16um__mitotic,tp_vs_unannotated,0.8535,0.8215,0.8855,217,20044
301.tiff,2,rawpixel_ccoeff__mitotic,tp_vs_lookalike,0.67,0.6102,0.7297,217,106
301.tiff,2,rawpixel_ccoeff__mitotic,tp_vs_unannotated,0.7352,0.6969,0.7735,217,20044
301.tiff,2,fcos_midogpp_r18__lookalike,tp_vs_lookalike,0.1754,0.1229,0.228,217,106
301.tiff,2,fcos_midogpp_r18__lookalike,tp_vs_unannotated,0.8815,0.8521,0.911,217,20044
301.tiff,2,kaiko_vits16__lookalike,tp_vs_lookalike,0.5628,0.4973,0.6284,217,106
301.tiff,2,kaiko_vits16__lookalike,tp_vs_unannotated,0.7211,0.6824,0.7599,217,20044
301.tiff,2,lunit_dino_vits16__lookalike,tp_vs_lookalike,0.6373,0.5754,0.6993,217,106
301.tiff,2,lunit_dino_vits16__lookalike,tp_vs_unannotated,0.7427,0.7047,0.7808,217,20044
301.tiff,2,lunit_dino_vits16_16um__lookalike,tp_vs_lookalike,0.6179,0.5548,0.6809,217,106
301.tiff,2,lunit_dino_vits16_16um__lookalike,tp_vs_unannotated,0.7102,0.6712,0.7492,217,20044
301.tiff,2,resnet18_in1k__lookalike,tp_vs_lookalike,0.5794,0.5145,0.6443,217,106
301.tiff,2,resnet18_in1k__lookalike,tp_vs_unannotated,0.6207,0.5806,0.6608,217,20044
301.tiff,2,resnet18_in1k_16um__lookalike,tp_vs_lookalike,0.5336,0.4671,0.6,217,106
301.tiff,2,resnet18_in1k_16um__lookalike,tp_vs_unannotated,0.6572,0.6173,0.6971,217,20044
301.tiff,2,rawpixel_ccoeff__lookalike,tp_vs_lookalike,0.5691,0.5038,0.6344,217,106
301.tiff,2,rawpixel_ccoeff__lookalike,tp_vs_unannotated,0.4867,0.4485,0.525,217,20044
301.tiff,2,fcos_midogpp_r18__random,tp_vs_lookalike,0.7241,0.6688,0.7795,217,106
301.tiff,2,fcos_midogpp_r18__random,tp_vs_unannotated,0.1459,0.1289,0.163,217,20044
301.tiff,2,kaiko_vits16__random,tp_vs_lookalike,0.5703,0.505,0.6356,217,106
301.tiff,2,kaiko_vits16__random,tp_vs_unannotated,0.6049,0.5648,0.645,217,20044
301.tiff,2,lunit_dino_vits16__random,tp_vs_lookalike,0.5759,0.5109,0.641,217,106
301.tiff,2,lunit_dino_vits16__random,tp_vs_unannotated,0.6035,0.5634,0.6436,217,20044
301.tiff,2,lunit_dino_vits16_16um__random,tp_vs_lookalike,0.5018,0.4347,0.5689,217,106
301.tiff,2,lunit_dino_vits16_16um__random,tp_vs_unannotated,0.4993,0.4607,0.5379,217,20044
301.tiff,2,resnet18_in1k__random,tp_vs_lookalike,0.5088,0.4418,0.5758,217,106
301.tiff,2,resnet18_in1k__random,tp_vs_unannotated,0.4969,0.4584,0.5354,217,20044
301.tiff,2,resnet18_in1k_16um__random,tp_vs_lookalike,0.5669,0.5015,0.6323,217,106
301.tiff,2,resnet18_in1k_16um__random,tp_vs_unannotated,0.6072,0.5671,0.6473,217,20044
301.tiff,2,rawpixel_ccoeff__random,tp_vs_lookalike,0.5184,0.4516,0.5852,217,106
301.tiff,2,rawpixel_ccoeff__random,tp_vs_unannotated,0.5785,0.5385,0.6184,217,20044
301.tiff,3,fcos_midogpp_r18__mitotic,tp_vs_lookalike,0.87,0.8325,0.9075,217,107
301.tiff,3,fcos_midogpp_r18__mitotic,tp_vs_unannotated,0.9976,0.9929,1.0022,217,20043
301.tiff,3,kaiko_vits16__mitotic,tp_vs_lookalike,0.5854,0.5209,0.6498,217,107
301.tiff,3,kaiko_vits16__mitotic,tp_vs_unannotated,0.6614,0.6215,0.7012,217,20043
301.tiff,3,lunit_dino_vits16__mitotic,tp_vs_lookalike,0.5627,0.4973,0.628,217,107
301.tiff,3,lunit_dino_vits16__mitotic,tp_vs_unannotated,0.6628,0.623,0.7027,217,20043
301.tiff,3,lunit_dino_vits16_16um__mitotic,tp_vs_lookalike,0.6653,0.6053,0.7252,217,107
301.tiff,3,lunit_dino_vits16_16um__mitotic,tp_vs_unannotated,0.8178,0.7833,0.8523,217,20043
301.tiff,3,resnet18_in1k__mitotic,tp_vs_lookalike,0.4787,0.4115,0.5458,217,107
301.tiff,3,resnet18_in1k__mitotic,tp_vs_unannotated,0.5595,0.5198,0.5993,217,20043
301.tiff,3,resnet18_in1k_16um__mitotic,tp_vs_lookalike,0.511,0.4442,0.5777,217,107
301.tiff,3,resnet18_in1k_16um__mitotic,tp_vs_unannotated,0.6645,0.6247,0.7044,217,20043
301.tiff,3,rawpixel_ccoeff__mitotic,tp_vs_lookalike,0.5997,0.5359,0.6635,217,107
301.tiff,3,rawpixel_ccoeff__mitotic,tp_vs_unannotated,0.6431,0.6031,0.6831,217,20043
301.tiff,3,fcos_midogpp_r18__lookalike,tp_vs_lookalike,0.3098,0.2462,0.3734,217,107
301.tiff,3,fcos_midogpp_r18__lookalike,tp_vs_unannotated,0.9841,0.9723,0.9958,217,20043
301.tiff,3,kaiko_vits16__lookalike,tp_vs_lookalike,0.4459,0.3786,0.5132,217,107
301.tiff,3,kaiko_vits16__lookalike,tp_vs_unannotated,0.4548,0.4176,0.4921,217,20043
301.tiff,3,lunit_dino_vits16__lookalike,tp_vs_lookalike,0.4241,0.357,0.4913,217,107
301.tiff,3,lunit_dino_vits16__lookalike,tp_vs_unannotated,0.3858,0.3513,0.4202,217,20043
301.tiff,3,lunit_dino_vits16_16um__lookalike,tp_vs_lookalike,0.5377,0.4715,0.6038,217,107
301.tiff,3,lunit_dino_vits16_16um__lookalike,tp_vs_unannotated,0.6867,0.6472,0.7262,217,20043
301.tiff,3,resnet18_in1k__lookalike,tp_vs_lookalike,0.5264,0.46,0.5928,217,107
301.tiff,3,resnet18_in1k__lookalike,tp_vs_unannotated,0.5711,0.5312,0.611,217,20043
301.tiff,3,resnet18_in1k_16um__lookalike,tp_vs_lookalike,0.5924,0.5282,0.6565,217,107
301.tiff,3,resnet18_in1k_16um__lookalike,tp_vs_unannotated,0.685,0.6455,0.7245,217,20043
301.tiff,3,rawpixel_ccoeff__lookalike,tp_vs_lookalike,0.4638,0.3965,0.5311,217,107
301.tiff,3,rawpixel_ccoeff__lookalike,tp_vs_unannotated,0.5645,0.5247,0.6043,217,20043
301.tiff,3,fcos_midogpp_r18__random,tp_vs_lookalike,0.2001,0.145,0.2552,217,107
301.tiff,3,fcos_midogpp_r18__random,tp_vs_unannotated,0.0808,0.0705,0.091,217,20043
301.tiff,3,kaiko_vits16__random,tp_vs_lookalike,0.4578,0.3905,0.5251,217,107
301.tiff,3,kaiko_vits16__random,tp_vs_unannotated,0.3759,0.3419,0.4098,217,20043
301.tiff,3,lunit_dino_vits16__random,tp_vs_lookalike,0.4712,0.404,0.5384,217,107
301.tiff,3,lunit_dino_vits16__random,tp_vs_unannotated,0.4038,0.3686,0.4391,217,20043
301.tiff,3,lunit_dino_vits16_16um__random,tp_vs_lookalike,0.4191,0.352,0.4862,217,107
301.tiff,3,lunit_dino_vits16_16um__random,tp_vs_unannotated,0.3817,0.3475,0.4159,217,20043
301.tiff,3,resnet18_in1k__random,tp_vs_lookalike,0.5575,0.492,0.623,217,107
301.tiff,3,resnet18_in1k__random,tp_vs_unannotated,0.5664,0.5265,0.6062,217,20043
301.tiff,3,resnet18_in1k_16um__random,tp_vs_lookalike,0.5249,0.4585,0.5914,217,107
301.tiff,3,resnet18_in1k_16um__random,tp_vs_unannotated,0.4966,0.4581,0.5352,217,20043
301.tiff,3,rawpixel_ccoeff__random,tp_vs_lookalike,0.5726,0.5076,0.6376,217,107
301.tiff,3,rawpixel_ccoeff__random,tp_vs_unannotated,0.4483,0.4113,0.4854,217,20043
301.tiff,4,fcos_midogpp_r18__mitotic,tp_vs_lookalike,0.9101,0.8795,0.9407,217,107
301.tiff,4,fcos_midogpp_r18__mitotic,tp_vs_unannotated,0.9955,0.9892,1.0018,217,20043
301.tiff,4,kaiko_vits16__mitotic,tp_vs_lookalike,0.6131,0.5499,0.6762,217,107
301.tiff,4,kaiko_vits16__mitotic,tp_vs_unannotated,0.6861,0.6466,0.7256,217,20043
301.tiff,4,lunit_dino_vits16__mitotic,tp_vs_lookalike,0.6257,0.5632,0.6881,217,107
301.tiff,4,lunit_dino_vits16__mitotic,tp_vs_unannotated,0.696,0.6567,0.7354,217,20043
301.tiff,4,lunit_dino_vits16_16um__mitotic,tp_vs_lookalike,0.6952,0.6375,0.7529,217,107
301.tiff,4,lunit_dino_vits16_16um__mitotic,tp_vs_unannotated,0.9022,0.8749,0.9294,217,20043
301.tiff,4,resnet18_in1k__mitotic,tp_vs_lookalike,0.576,0.5112,0.6408,217,107
301.tiff,4,resnet18_in1k__mitotic,tp_vs_unannotated,0.5932,0.5531,0.6332,217,20043
301.tiff,4,resnet18_in1k_16um__mitotic,tp_vs_lookalike,0.6515,0.5906,0.7124,217,107
301.tiff,4,resnet18_in1k_16um__mitotic,tp_vs_unannotated,0.8205,0.7861,0.8548,217,20043
301.tiff,4,rawpixel_ccoeff__mitotic,tp_vs_lookalike,0.5693,0.5042,0.6344,217,107
301.tiff,4,rawpixel_ccoeff__mitotic,tp_vs_unannotated,0.5551,0.5154,0.5948,217,20043
301.tiff,4,fcos_midogpp_r18__lookalike,tp_vs_lookalike,0.2037,0.1482,0.2591,217,107
301.tiff,4,fcos_midogpp_r18__lookalike,tp_vs_unannotated,0.944,0.9227,0.9653,217,20043
301.tiff,4,kaiko_vits16__lookalike,tp_vs_lookalike,0.4204,0.3533,0.4875,217,107
301.tiff,4,kaiko_vits16__lookalike,tp_vs_unannotated,0.472,0.4342,0.5099,217,20043
301.tiff,4,lunit_dino_vits16__lookalike,tp_vs_lookalike,0.4225,0.3553,0.4896,217,107
301.tiff,4,lunit_dino_vits16__lookalike,tp_vs_unannotated,0.5014,0.4627,0.54,217,20043
301.tiff,4,lunit_dino_vits16_16um__lookalike,tp_vs_lookalike,0.4671,0.3999,0.5344,217,107
301.tiff,4,lunit_dino_vits16_16um__lookalike,tp_vs_unannotated,0.6434,0.6034,0.6834,217,20043
301.tiff,4,resnet18_in1k__lookalike,tp_vs_lookalike,0.3784,0.3122,0.4447,217,107
301.tiff,4,resnet18_in1k__lookalike,tp_vs_unannotated,0.379,0.3449,0.4131,217,20043
301.tiff,4,resnet18_in1k_16um__lookalike,tp_vs_lookalike,0.4284,0.3612,0.4956,217,107
301.tiff,4,resnet18_in1k_16um__lookalike,tp_vs_unannotated,0.4181,0.3822,0.454,217,20043
301.tiff,4,rawpixel_ccoeff__lookalike,tp_vs_lookalike,0.5283,0.4619,0.5947,217,107
301.tiff,4,rawpixel_ccoeff__lookalike,tp_vs_unannotated,0.5749,0.535,0.6148,217,20043
301.tiff,4,fcos_midogpp_r18__random,tp_vs_lookalike,0.236,0.1775,0.2945,217,107
301.tiff,4,fcos_midogpp_r18__random,tp_vs_unannotated,0.6866,0.6471,0.7261,217,20043
301.tiff,4,kaiko_vits16__random,tp_vs_lookalike,0.3798,0.3135,0.4461,217,107
301.tiff,4,kaiko_vits16__random,tp_vs_unannotated,0.4381,0.4014,0.4747,217,20043
301.tiff,4,lunit_dino_vits16__random,tp_vs_lookalike,0.4097,0.3428,0.4766,217,107
301.tiff,4,lunit_dino_vits16__random,tp_vs_unannotated,0.4832,0.445,0.5213,217,20043
301.tiff,4,lunit_dino_vits16_16um__random,tp_vs_lookalike,0.4909,0.4238,0.558,217,107
301.tiff,4,lunit_dino_vits16_16um__random,tp_vs_unannotated,0.6384,0.5983,0.6784,217,20043
301.tiff,4,resnet18_in1k__random,tp_vs_lookalike,0.4061,0.3393,0.473,217,107
301.tiff,4,resnet18_in1k__random,tp_vs_unannotated,0.4217,0.3857,0.4578,217,20043
301.tiff,4,resnet18_in1k_16um__random,tp_vs_lookalike,0.461,0.3937,0.5282,217,107
301.tiff,4,resnet18_in1k_16um__random,tp_vs_unannotated,0.4349,0.3984,0.4715,217,20043
301.tiff,4,rawpixel_ccoeff__random,tp_vs_lookalike,0.4067,0.3398,0.4736,217,107
301.tiff,4,rawpixel_ccoeff__random,tp_vs_unannotated,0.454,0.4167,0.4912,217,20043
246.tiff,0,fcos_midogpp_r18__mitotic,tp_vs_lookalike,0.9655,0.9409,0.9901,111,123
246.tiff,0,fcos_midogpp_r18__mitotic,tp_vs_unannotated,0.999,0.9948,1.0032,111,20822
246.tiff,0,kaiko_vits16__mitotic,tp_vs_lookalike,0.569,0.4955,0.6426,111,123
246.tiff,0,kaiko_vits16__mitotic,tp_vs_unannotated,0.6339,0.5779,0.6898,111,20822
246.tiff,0,lunit_dino_vits16__mitotic,tp_vs_lookalike,0.552,0.4782,0.6259,111,123
246.tiff,0,lunit_dino_vits16__mitotic,tp_vs_unannotated,0.6067,0.5507,0.6627,111,20822
246.tiff,0,lunit_dino_vits16_16um__mitotic,tp_vs_lookalike,0.6169,0.5449,0.689,111,123
246.tiff,0,lunit_dino_vits16_16um__mitotic,tp_vs_unannotated,0.7841,0.7333,0.8349,111,20822
246.tiff,0,resnet18_in1k__mitotic,tp_vs_lookalike,0.5011,0.4268,0.5753,111,123
246.tiff,0,resnet18_in1k__mitotic,tp_vs_unannotated,0.5964,0.5405,0.6523,111,20822
246.tiff,0,resnet18_in1k_16um__mitotic,tp_vs_lookalike,0.6337,0.5624,0.705,111,123
246.tiff,0,resnet18_in1k_16um__mitotic,tp_vs_unannotated,0.7193,0.6652,0.7735,111,20822
246.tiff,0,rawpixel_ccoeff__mitotic,tp_vs_lookalike,0.6648,0.5951,0.7344,111,123
246.tiff,0,rawpixel_ccoeff__mitotic,tp_vs_unannotated,0.7069,0.6523,0.7614,111,20822
246.tiff,0,fcos_midogpp_r18__lookalike,tp_vs_lookalike,0.2012,0.1448,0.2576,111,123
246.tiff,0,fcos_midogpp_r18__lookalike,tp_vs_unannotated,0.4885,0.4351,0.5419,111,20822
246.tiff,0,kaiko_vits16__lookalike,tp_vs_lookalike,0.4598,0.3859,0.5336,111,123
246.tiff,0,kaiko_vits16__lookalike,tp_vs_unannotated,0.4447,0.3933,0.4962,111,20822
246.tiff,0,lunit_dino_vits16__lookalike,tp_vs_lookalike,0.47,0.396,0.544,111,123
246.tiff,0,lunit_dino_vits16__lookalike,tp_vs_unannotated,0.4592,0.407,0.5113,111,20822
246.tiff,0,lunit_dino_vits16_16um__lookalike,tp_vs_lookalike,0.5443,0.4703,0.6183,111,123
246.tiff,0,lunit_dino_vits16_16um__lookalike,tp_vs_unannotated,0.651,0.5952,0.7068,111,20822
246.tiff,0,resnet18_in1k__lookalike,tp_vs_lookalike,0.4953,0.4211,0.5696,111,123
246.tiff,0,resnet18_in1k__lookalike,tp_vs_unannotated,0.5691,0.5135,0.6247,111,20822
246.tiff,0,resnet18_in1k_16um__lookalike,tp_vs_lookalike,0.4988,0.4246,0.573,111,123
246.tiff,0,resnet18_in1k_16um__lookalike,tp_vs_unannotated,0.7162,0.662,0.7705,111,20822
246.tiff,0,rawpixel_ccoeff__lookalike,tp_vs_lookalike,0.5755,0.5021,0.6489,111,123
246.tiff,0,rawpixel_ccoeff__lookalike,tp_vs_unannotated,0.686,0.6308,0.7411,111,20822
246.tiff,0,fcos_midogpp_r18__random,tp_vs_lookalike,0.8822,0.837,0.9273,111,123
246.tiff,0,fcos_midogpp_r18__random,tp_vs_unannotated,0.9277,0.8942,0.9611,111,20822
246.tiff,0,kaiko_vits16__random,tp_vs_lookalike,0.578,0.5046,0.6513,111,123
246.tiff,0,kaiko_vits16__random,tp_vs_unannotated,0.5448,0.4896,0.5999,111,20822
246.tiff,0,lunit_dino_vits16__random,tp_vs_lookalike,0.5581,0.4844,0.6319,111,123
246.tiff,0,lunit_dino_vits16__random,tp_vs_unannotated,0.5636,0.508,0.6191,111,20822
246.tiff,0,lunit_dino_vits16_16um__random,tp_vs_lookalike,0.5329,0.4588,0.607,111,123
246.tiff,0,lunit_dino_vits16_16um__random,tp_vs_unannotated,0.573,0.5173,0.6286,111,20822
246.tiff,0,resnet18_in1k__random,tp_vs_lookalike,0.5026,0.4284,0.5768,111,123
246.tiff,0,resnet18_in1k__random,tp_vs_unannotated,0.6245,0.5685,0.6805,111,20822
246.tiff,0,resnet18_in1k_16um__random,tp_vs_lookalike,0.6028,0.5302,0.6754,111,123
246.tiff,0,resnet18_in1k_16um__random,tp_vs_unannotated,0.6382,0.5823,0.6941,111,20822
246.tiff,0,rawpixel_ccoeff__random,tp_vs_lookalike,0.5159,0.4416,0.5901,111,123
246.tiff,0,rawpixel_ccoeff__random,tp_vs_unannotated,0.3968,0.3481,0.4455,111,20822
246.tiff,1,fcos_midogpp_r18__mitotic,tp_vs_lookalike,0.9651,0.9403,0.9898,111,122
246.tiff,1,fcos_midogpp_r18__mitotic,tp_vs_unannotated,0.9988,0.9943,1.0033,111,20823
246.tiff,1,kaiko_vits16__mitotic,tp_vs_lookalike,0.5491,0.4751,0.6232,111,122
246.tiff,1,kaiko_vits16__mitotic,tp_vs_unannotated,0.6117,0.5557,0.6676,111,20823
246.tiff,1,lunit_dino_vits16__mitotic,tp_vs_lookalike,0.5516,0.4776,0.6256,111,122
246.tiff,1,lunit_dino_vits16__mitotic,tp_vs_unannotated,0.5903,0.5344,0.6461,111,20823
246.tiff,1,lunit_dino_vits16_16um__mitotic,tp_vs_lookalike,0.6498,0.5792,0.7204,111,122
246.tiff,1,lunit_dino_vits16_16um__mitotic,tp_vs_unannotated,0.7975,0.7477,0.8474,111,20823
