file_name,image_id,tumor_type,decision_grade,seed_index,provenance,seed_ann_id,seed_cx,seed_cy,base_size,map_median,mad_scale,extract_floor,n_pool,channel,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_100,z_cut,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,301,canine cutaneous mast cell tumor,True,4,a_mitotic,14816,4919.0,1339.0,51,-0.00243,0.20478,0.09996,14558,rgb,pipeline,od,True,2.0,True,False,217,108,5607,0.4457,40,2,0.0,0.6267281105990783,29.609,349.0,,,0.40713,5000,5000,136,40,0.6267281105990783
301.tiff,301,canine cutaneous mast cell tumor,True,4,b_lookalike,14804,2899.0,1246.0,51,-0.00075,0.19831,0.09841,15689,rgb,pipeline,od,True,2.0,True,False,217,108,6009,0.4693,47,2,0.0,0.6589861751152074,29.609,414.0,,,0.39587,500,500,113,23,0.5207373271889401
301.tiff,301,canine cutaneous mast cell tumor,True,4,b_lookalike,14804,2899.0,1246.0,51,-0.00075,0.19831,0.09841,15689,rgb,pipeline,od,True,2.0,True,False,217,108,6009,0.4693,47,2,0.0,0.6589861751152074,29.609,414.0,,,0.39587,1000,1000,126,35,0.5806451612903226
301.tiff,301,canine cutaneous mast cell tumor,True,4,b_lookalike,14804,2899.0,1246.0,51,-0.00075,0.19831,0.09841,15689,rgb,pipeline,od,True,2.0,True,False,217,108,6009,0.4693,47,2,0.0,0.6589861751152074,29.609,414.0,,,0.39587,2000,2000,134,40,0.6175115207373272
301.tiff,301,canine cutaneous mast cell tumor,True,4,b_lookalike,14804,2899.0,1246.0,51,-0.00075,0.19831,0.09841,15689,rgb,pipeline,od,True,2.0,True,False,217,108,6009,0.4693,47,2,0.0,0.6589861751152074,29.609,414.0,,,0.39587,5000,5000,143,47,0.6589861751152074
301.tiff,301,canine cutaneous mast cell tumor,True,4,c_random_blob,-1,1076.3,2619.0,19,0.00657,0.27684,0.14499,18424,rgb,pipeline,od,True,2.0,True,False,217,108,10859,0.736,99,2,0.014366,0.8018433179723502,29.609,351.0,10759.0,,0.56025,500,500,117,48,0.5391705069124424
301.tiff,301,canine cutaneous mast cell tumor,True,4,c_random_blob,-1,1076.3,2619.0,19,0.00657,0.27684,0.14499,18424,rgb,pipeline,od,True,2.0,True,False,217,108,10859,0.736,99,2,0.014366,0.8018433179723502,29.609,351.0,10759.0,,0.56025,1000,1000,133,71,0.6129032258064516
301.tiff,301,canine cutaneous mast cell tumor,True,4,c_random_blob,-1,1076.3,2619.0,19,0.00657,0.27684,0.14499,18424,rgb,pipeline,od,True,2.0,True,False,217,108,10859,0.736,99,2,0.014366,0.8018433179723502,29.609,351.0,10759.0,,0.56025,2000,2000,148,86,0.6820276497695853
301.tiff,301,canine cutaneous mast cell tumor,True,4,c_random_blob,-1,1076.3,2619.0,19,0.00657,0.27684,0.14499,18424,rgb,pipeline,od,True,2.0,True,False,217,108,10859,0.736,99,2,0.014366,0.8018433179723502,29.609,351.0,10759.0,,0.56025,5000,5000,166,97,0.7649769585253456
246.tiff,246,canine lymphosarcoma,True,0,a_mitotic,6549,3945.0,3679.0,51,0.0004,0.11005,0.05543,16560,rgb,pipeline,od,True,2.0,True,False,115,122,9728,0.6937,89,2,0.0,0.8869565217391304,30.222,104.0,763.0,,0.22051,500,500,89,41,0.7739130434782608
246.tiff,246,canine lymphosarcoma,True,0,a_mitotic,6549,3945.0,3679.0,51,0.0004,0.11005,0.05543,16560,rgb,pipeline,od,True,2.0,True,False,115,122,9728,0.6937,89,2,0.0,0.8869565217391304,30.222,104.0,763.0,,0.22051,1000,1000,93,57,0.808695652173913
246.tiff,246,canine lymphosarcoma,True,0,a_mitotic,6549,3945.0,3679.0,51,0.0004,0.11005,0.05543,16560,rgb,pipeline,od,True,2.0,True,False,115,122,9728,0.6937,89,2,0.0,0.8869565217391304,30.222,104.0,763.0,,0.22051,2000,2000,101,77,0.8782608695652174
246.tiff,246,canine lymphosarcoma,True,0,a_mitotic,6549,3945.0,3679.0,51,0.0004,0.11005,0.05543,16560,rgb,pipeline,od,True,2.0,True,False,115,122,9728,0.6937,89,2,0.0,0.8869565217391304,30.222,104.0,763.0,,0.22051,5000,5000,102,84,0.8869565217391304
246.tiff,246,canine lymphosarcoma,True,0,b_lookalike,6449,6040.0,789.0,39,-4e-05,0.11213,0.05603,17966,rgb,pipeline,od,True,2.0,True,False,115,122,12532,0.8154,114,2,0.006623,0.9652173913043478,30.222,131.0,678.0,,0.22422,500,500,83,45,0.7217391304347827
246.tiff,246,canine lymphosarcoma,True,0,b_lookalike,6449,6040.0,789.0,39,-4e-05,0.11213,0.05603,17966,rgb,pipeline,od,True,2.0,True,False,115,122,12532,0.8154,114,2,0.006623,0.9652173913043478,30.222,131.0,678.0,,0.22422,1000,1000,95,64,0.8260869565217391
246.tiff,246,canine lymphosarcoma,True,0,b_lookalike,6449,6040.0,789.0,39,-4e-05,0.11213,0.05603,17966,rgb,pipeline,od,True,2.0,True,False,115,122,12532,0.8154,114,2,0.006623,0.9652173913043478,30.222,131.0,678.0,,0.22422,2000,2000,103,85,0.8956521739130435
246.tiff,246,canine lymphosarcoma,True,0,b_lookalike,6449,6040.0,789.0,39,-4e-05,0.11213,0.05603,17966,rgb,pipeline,od,True,2.0,True,False,115,122,12532,0.8154,114,2,0.006623,0.9652173913043478,30.222,131.0,678.0,,0.22422,5000,5000,107,108,0.9304347826086956
246.tiff,246,canine lymphosarcoma,True,0,c_random_blob,-1,4221.7,1082.6,51,-0.00072,0.09458,0.04657,16769,rgb,pipeline,od,True,2.0,True,False,115,122,9483,0.6802,84,2,0.0,0.7391304347826086,30.222,136.0,,,0.18844,500,500,73,39,0.6347826086956522
246.tiff,246,canine lymphosarcoma,True,0,c_random_blob,-1,4221.7,1082.6,51,-0.00072,0.09458,0.04657,16769,rgb,pipeline,od,True,2.0,True,False,115,122,9483,0.6802,84,2,0.0,0.7391304347826086,30.222,136.0,,,0.18844,1000,1000,77,55,0.6695652173913044
