file_name,tumor_type,image_id,z,score_cut,n_peaks_pre_nms,n_retained,n_returned_at_k,tp_at_k,lookalike_at_k,unannotated_at_k,precision_at_k,tp_full,lookalike_full,unannotated_full,precision_full,n_gt_mitotic,recall_full,t_z_s
529.tiff,human melanoma,529,4.0,1.2888093782126904,4939,4101,20,4,4,12,0.2,19,22,4060,0.004633016337478664,19,1.0,0.3
529.tiff,human melanoma,529,5.0,1.6221047813892364,2446,2106,20,4,4,12,0.2,19,20,2067,0.009021842355175688,19,1.0,0.28
529.tiff,human melanoma,529,6.0,1.9554001845657827,1169,1022,20,4,4,12,0.2,15,18,989,0.014677103718199608,19,0.7894736842105263,0.27
529.tiff,human melanoma,529,8.0,2.6219909909188748,342,317,20,4,4,12,0.2,14,8,295,0.04416403785488959,19,0.7368421052631579,0.27
529.tiff,human melanoma,529,10.0,3.288581797271967,58,56,20,4,4,12,0.2,7,5,44,0.125,19,0.3684210526315789,0.26
529.tiff,human melanoma,529,12.0,3.9551726036250594,7,6,6,2,2,2,0.3333333333333333,2,2,2,0.3333333333333333,19,0.10526315789473684,0.27
529.tiff,human melanoma,529,15.0,4.9550588131546975,0,0,0,0,0,0,,0,0,0,,19,0.0,0.31
529.tiff,human melanoma,529,18.0,5.954945022684336,0,0,0,0,0,0,,0,0,0,,19,0.0,0.3
529.tiff,human melanoma,529,22.0,7.28812663539052,0,0,0,0,0,0,,0,0,0,,19,0.0,0.31
529.tiff,human melanoma,529,26.0,8.621308248096705,0,0,0,0,0,0,,0,0,0,,19,0.0,0.29
548.tiff,human melanoma,548,-1.5,-0.975986766141653,40520,17413,20,12,4,4,0.6,238,117,17058,0.013667949233331419,238,1.0,1.63
548.tiff,human melanoma,548,1.0,0.5588390619039535,27375,14484,20,12,4,4,0.6,237,117,14130,0.01636288318144159,238,0.9957983193277311,0.53
548.tiff,human melanoma,548,2.0,1.172769393122196,16890,11103,20,12,4,4,0.6,236,117,10750,0.02125551652706476,238,0.9915966386554622,0.51
548.tiff,human melanoma,548,3.0,1.7866997243404388,8185,6639,20,12,4,4,0.6,235,113,6291,0.035396897123060704,238,0.9873949579831933,0.38
