file_name,tumor_type,seed_index,nms_radius_um,nms_radius_px,axis,z,n_detections,n_gt_mitotic,n_found,gained_vs_control,lost_vs_control,gt_claim_change,n_within_match_radius,n_dup_fp,dup_fp_frac,topk_churn,gap_n,gap_median_px,gap_p05_px,gap_p95_px
094.tiff,human breast cancer,3,7.5,32.63,chromatin_od,1.0,12918,81,81,-1,-1,-1,203,20,0.00155,,4,14.34,12.72,17.17
094.tiff,human breast cancer,3,5.9,25.669,tm_score,1.0,14644,81,81,-1,-1,-1,210,27,0.00184,0.0,4,14.34,12.72,17.17
094.tiff,human breast cancer,3,5.9,25.669,chromatin_od,1.0,14644,81,81,0,0,64,210,27,0.00184,0.16176470588235292,4,14.34,12.72,17.17
094.tiff,human breast cancer,3,5.0,21.754,tm_score,1.0,15678,81,81,-1,-1,-1,213,30,0.00191,0.007968127490039834,4,14.34,12.72,17.17
094.tiff,human breast cancer,3,5.0,21.754,chromatin_od,1.0,15678,81,81,0,0,64,213,30,0.00191,0.23943661971830987,4,14.34,12.72,17.17
094.tiff,human breast cancer,4,7.5,32.63,tm_score,1.0,13853,81,81,-1,-1,-1,211,28,0.00202,,2,27.25,27.21,27.29
094.tiff,human breast cancer,4,7.5,32.63,chromatin_od,1.0,13853,81,81,-1,-1,-1,211,28,0.00202,,2,27.25,27.21,27.29
094.tiff,human breast cancer,4,5.9,25.669,tm_score,1.0,17319,81,81,-1,-1,-1,244,61,0.00352,0.015873015873015928,0,,,
094.tiff,human breast cancer,4,5.9,25.669,chromatin_od,1.0,17319,81,81,0,0,61,244,61,0.00352,0.35526315789473684,0,,,
094.tiff,human breast cancer,4,5.0,21.754,tm_score,1.0,18613,81,81,-1,-1,-1,256,73,0.00392,0.015873015873015928,0,,,
094.tiff,human breast cancer,4,5.0,21.754,chromatin_od,1.0,18613,81,81,0,0,64,256,73,0.00392,0.432601880877743,0,,,
201.tiff,canine lung cancer,0,7.5,30.222,tm_score,1.0,12973,17,17,-1,-1,-1,69,3,0.00023,,0,,,
201.tiff,canine lung cancer,0,7.5,30.222,chromatin_od,1.0,12973,17,17,-1,-1,-1,69,3,0.00023,,0,,,
201.tiff,canine lung cancer,0,5.9,23.774,tm_score,1.0,15172,17,17,-1,-1,-1,78,12,0.00079,0.0,0,,,
201.tiff,canine lung cancer,0,5.9,23.774,chromatin_od,1.0,15172,17,17,0,0,12,78,12,0.00079,0.18840579710144922,0,,,
201.tiff,canine lung cancer,0,5.0,20.148,tm_score,1.0,16529,17,17,-1,-1,-1,82,16,0.00097,0.0,0,,,
201.tiff,canine lung cancer,0,5.0,20.148,chromatin_od,1.0,16529,17,17,0,0,14,82,16,0.00097,0.27586206896551724,0,,,
201.tiff,canine lung cancer,1,7.5,30.222,tm_score,1.0,13952,17,17,-1,-1,-1,73,7,0.0005,,0,,,
201.tiff,canine lung cancer,1,7.5,30.222,chromatin_od,1.0,13952,17,17,-1,-1,-1,73,7,0.0005,,0,,,
201.tiff,canine lung cancer,1,5.9,23.774,tm_score,1.0,16806,17,17,-1,-1,-1,91,25,0.00149,0.03149606299212604,0,,,
201.tiff,canine lung cancer,1,5.9,23.774,chromatin_od,1.0,16806,17,17,0,0,17,91,25,0.00149,0.2142857142857143,0,,,
201.tiff,canine lung cancer,1,5.0,20.148,tm_score,1.0,18302,17,17,-1,-1,-1,96,30,0.00164,0.03149606299212604,0,,,
201.tiff,canine lung cancer,1,5.0,20.148,chromatin_od,1.0,18302,17,17,0,0,17,96,30,0.00164,0.27586206896551724,0,,,
201.tiff,canine lung cancer,2,7.5,30.222,tm_score,1.0,13422,17,17,-1,-1,-1,70,5,0.00037,,0,,,
201.tiff,canine lung cancer,2,7.5,30.222,chromatin_od,1.0,13422,17,17,-1,-1,-1,70,5,0.00037,,0,,,
201.tiff,canine lung cancer,2,5.9,23.774,tm_score,1.0,15057,17,17,-1,-1,-1,76,10,0.00066,0.015873015873015928,0,,,
201.tiff,canine lung cancer,2,5.9,23.774,chromatin_od,1.0,15057,17,17,0,0,17,76,10,0.00066,0.12030075187969924,0,,,
201.tiff,canine lung cancer,2,5.0,20.148,tm_score,1.0,15924,17,17,-1,-1,-1,78,12,0.00075,0.015873015873015928,0,,,
201.tiff,canine lung cancer,2,5.0,20.148,chromatin_od,1.0,15924,17,17,0,0,17,78,12,0.00075,0.16849816849816845,0,,,
201.tiff,canine lung cancer,3,7.5,30.222,tm_score,1.0,12676,17,17,-1,-1,-1,69,4,0.00032,,3,13.15,10.71,20.11
201.tiff,canine lung cancer,3,7.5,30.222,chromatin_od,1.0,12676,17,17,-1,-1,-1,69,4,0.00032,,3,13.15,10.71,20.11
201.tiff,canine lung cancer,3,5.9,23.774,tm_score,1.0,14467,17,17,-1,-1,-1,77,11,0.00076,0.007968127490039834,3,13.15,10.71,20.11
201.tiff,canine lung cancer,3,5.9,23.774,chromatin_od,1.0,14467,17,17,0,0,17,77,11,0.00076,0.22064056939501775,3,13.15,10.71,20.11
201.tiff,canine lung cancer,3,5.0,20.148,tm_score,1.0,16926,17,17,-1,-1,-1,86,20,0.00118,0.02371541501976282,2,11.8,10.58,13.02
201.tiff,canine lung cancer,3,5.0,20.148,chromatin_od,1.0,16926,17,17,0,0,17,86,20,0.00118,0.360655737704918,2,11.8,10.58,13.02
201.tiff,canine lung cancer,4,7.5,30.222,tm_score,1.0,11508,17,17,-1,-1,-1,67,1,9e-05,,0,,,
201.tiff,canine lung cancer,4,7.5,30.222,chromatin_od,1.0,11508,17,17,-1,-1,-1,67,1,9e-05,,0,,,
201.tiff,canine lung cancer,4,5.9,23.774,tm_score,1.0,12425,17,17,-1,-1,-1,69,3,0.00024,0.0,0,,,
201.tiff,canine lung cancer,4,5.9,23.774,chromatin_od,1.0,12425,17,17,0,0,17,69,3,0.00024,0.09160305343511455,0,,,
201.tiff,canine lung cancer,4,5.0,20.148,tm_score,1.0,12807,17,17,-1,-1,-1,70,4,0.00031,0.007968127490039834,0,,,
201.tiff,canine lung cancer,4,5.0,20.148,chromatin_od,1.0,12807,17,17,0,0,17,70,4,0.00031,0.12734082397003743,0,,,
233.tiff,canine lung cancer,0,7.5,30.222,tm_score,1.0,12567,17,17,-1,-1,-1,45,8,0.00064,,0,,,
233.tiff,canine lung cancer,0,7.5,30.222,chromatin_od,1.0,12567,17,17,-1,-1,-1,45,8,0.00064,,0,,,
233.tiff,canine lung cancer,0,5.9,23.774,tm_score,1.0,14727,17,17,-1,-1,-1,51,13,0.00088,0.0,0,,,
233.tiff,canine lung cancer,0,5.9,23.774,chromatin_od,1.0,14727,17,17,0,0,8,51,13,0.00088,0.34983498349834985,0,,,
233.tiff,canine lung cancer,0,5.0,20.148,tm_score,1.0,15291,17,17,-1,-1,-1,53,14,0.00092,0.0,0,,,
233.tiff,canine lung cancer,0,5.0,20.148,chromatin_od,1.0,15291,17,17,0,0,12,53,14,0.00092,0.432601880877743,0,,,
233.tiff,canine lung cancer,1,7.5,30.222,tm_score,1.0,11605,17,17,-1,-1,-1,44,5,0.00043,,0,,,
233.tiff,canine lung cancer,1,7.5,30.222,chromatin_od,1.0,11605,17,17,-1,-1,-1,44,5,0.00043,,0,,,
233.tiff,canine lung cancer,1,5.9,23.774,tm_score,1.0,12776,17,17,-1,-1,-1,49,10,0.00078,0.0,0,,,
233.tiff,canine lung cancer,1,5.9,23.774,chromatin_od,1.0,12776,17,17,0,0,7,49,10,0.00078,0.20788530465949817,0,,,
233.tiff,canine lung cancer,1,5.0,20.148,tm_score,1.0,13134,17,17,-1,-1,-1,51,12,0.00091,0.0,0,,,
233.tiff,canine lung cancer,1,5.0,20.148,chromatin_od,1.0,13134,17,17,0,0,7,51,12,0.00091,0.2517482517482518,0,,,
233.tiff,canine lung cancer,2,7.5,30.222,tm_score,1.0,11669,17,17,-1,-1,-1,43,5,0.00043,,1,11.05,11.05,11.05
233.tiff,canine lung cancer,2,7.5,30.222,chromatin_od,1.0,11669,17,17,-1,-1,-1,43,5,0.00043,,1,11.05,11.05,11.05
233.tiff,canine lung cancer,2,5.9,23.774,tm_score,1.0,12870,17,17,-1,-1,-1,45,6,0.00047,0.0,1,11.05,11.05,11.05
233.tiff,canine lung cancer,2,5.9,23.774,chromatin_od,1.0,12870,17,17,0,0,7,45,6,0.00047,0.22064056939501775,1,11.05,11.05,11.05
233.tiff,canine lung cancer,2,5.0,20.148,tm_score,1.0,13355,17,17,-1,-1,-1,50,11,0.00082,0.0,1,11.05,11.05,11.05
233.tiff,canine lung cancer,2,5.0,20.148,chromatin_od,1.0,13355,17,17,0,0,7,50,11,0.00082,0.27586206896551724,1,11.05,11.05,11.05
233.tiff,canine lung cancer,3,7.5,30.222,tm_score,1.0,12149,17,17,-1,-1,-1,46,7,0.00058,,0,,,
233.tiff,canine lung cancer,3,7.5,30.222,chromatin_od,1.0,12149,17,17,-1,-1,-1,46,7,0.00058,,0,,,
233.tiff,canine lung cancer,3,5.9,23.774,tm_score,1.0,13935,17,17,-1,-1,-1,54,15,0.00108,0.0,0,,,
233.tiff,canine lung cancer,3,5.9,23.774,chromatin_od,1.0,13935,17,17,0,0,11,54,15,0.00108,0.2578397212543554,0,,,
233.tiff,canine lung cancer,3,5.0,20.148,tm_score,1.0,14447,17,17,-1,-1,-1,54,15,0.00104,0.0,0,,,
233.tiff,canine lung cancer,3,5.0,20.148,chromatin_od,1.0,14447,17,17,0,0,11,54,15,0.00104,0.3221476510067114,0,,,
233.tiff,canine lung cancer,4,7.5,30.222,tm_score,1.0,13309,17,17,-1,-1,-1,50,11,0.00083,,0,,,
233.tiff,canine lung cancer,4,7.5,30.222,chromatin_od,1.0,13309,17,17,-1,-1,-1,50,11,0.00083,,0,,,
