figure,key,notebook,audit,agrees
fig2_domain_bars,canine cutaneous mast cell tumor/chromatin_od/K50,0.0,0.0,True
fig2_domain_bars,canine cutaneous mast cell tumor/tm_score/K10,0.15,0.15,True
fig2_domain_bars,canine cutaneous mast cell tumor/tm_score/K20,0.05,0.05,True
fig2_domain_bars,canine cutaneous mast cell tumor/tm_score/K30,0.0834,0.0834,True
fig2_domain_bars,canine cutaneous mast cell tumor/tm_score/K50,0.06,0.06,True
fig2_domain_bars,canine lung cancer/chromatin_od/K10,0.0,0.0,True
fig2_domain_bars,canine lung cancer/chromatin_od/K20,0.025,0.025,True
fig2_domain_bars,canine lung cancer/chromatin_od/K30,0.0,0.0,True
fig2_domain_bars,canine lung cancer/chromatin_od/K50,0.01,0.01,True
fig2_domain_bars,canine lung cancer/tm_score/K10,0.1,0.1,True
fig2_domain_bars,canine lung cancer/tm_score/K20,0.025,0.025,True
fig2_domain_bars,canine lung cancer/tm_score/K30,-0.0333,-0.0333,True
fig2_domain_bars,canine lung cancer/tm_score/K50,-0.06,-0.06,True
fig2_domain_bars,canine lymphosarcoma/chromatin_od/K10,0.0,0.0,True
fig2_domain_bars,canine lymphosarcoma/chromatin_od/K20,0.025,0.025,True
fig2_domain_bars,canine lymphosarcoma/chromatin_od/K30,0.0,0.0,True
fig2_domain_bars,canine lymphosarcoma/chromatin_od/K50,0.03,0.03,True
fig2_domain_bars,canine lymphosarcoma/tm_score/K10,0.0,0.0,True
fig2_domain_bars,canine lymphosarcoma/tm_score/K20,0.025,0.025,True
fig2_domain_bars,canine lymphosarcoma/tm_score/K30,-0.0333,-0.0333,True
fig2_domain_bars,canine lymphosarcoma/tm_score/K50,0.0,0.0,True
fig2_domain_bars,canine soft tissue sarcoma/chromatin_od/K10,0.0,0.0,True
fig2_domain_bars,canine soft tissue sarcoma/chromatin_od/K20,0.0,0.0,True
fig2_domain_bars,canine soft tissue sarcoma/chromatin_od/K30,0.0,0.0,True
fig2_domain_bars,canine soft tissue sarcoma/chromatin_od/K50,0.0,0.0,True
fig2_domain_bars,canine soft tissue sarcoma/tm_score/K10,-0.1,-0.1,True
