file_name,seed_index,condition,my_mpp,nb_mpp,my_radius,nb_radius,my_tp_10,my_tp_20,my_tp_30,nb_tp_10,nb_tp_20,nb_tp_30,my_contested_10,my_contested_20,my_contested_30,my_n_gt_mitotic,nb_n_gt_mitotic,my_nearest_other,nb_nearest_other,seed_is_mitotic,seed_is_unanimous,seed_click_matches,seed_border_ok,tpl_patch_readable,my_offset,nb_offset,od_descending,od_nan,base_odd,base_le_51
100.tiff,0,hem_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,9,15,20,9,15,20,5,8,11,43,43,172.53,172.53,True,True,True,True,True,4.031,4.031,True,0,True,True
100.tiff,1,default_51,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,9,17,20,9,17,20,4,10,11,43,43,1107.36,1107.36,True,True,True,True,True,0.0,0.0,True,0,True,True
100.tiff,1,gray_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,9,17,20,9,17,20,4,10,11,43,43,1107.36,1107.36,True,True,True,True,True,6.5,6.5,True,0,True,True
100.tiff,1,hem_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,9,17,20,9,17,20,4,10,11,43,43,1107.36,1107.36,True,True,True,True,True,6.5,6.5,True,0,True,True
100.tiff,2,default_51,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,9,17,23,9,17,23,4,9,11,43,43,51.79,51.79,True,True,True,True,True,0.0,0.0,True,0,True,True
100.tiff,2,gray_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,9,16,19,9,16,19,5,9,11,43,43,51.79,51.79,True,True,True,True,True,2.55,2.55,True,0,True,True
100.tiff,2,hem_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,9,14,18,9,14,18,4,7,9,43,43,51.79,51.79,True,True,True,True,True,3.041,3.041,True,0,True,True
123.tiff,0,default_51,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,6,9,11,6,9,11,3,4,4,35,35,359.78,359.78,True,True,True,True,True,0.0,0.0,True,0,True,True
123.tiff,0,gray_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,6,8,10,6,8,10,3,4,4,35,35,359.78,359.78,True,True,True,True,True,1.581,1.581,True,0,True,True
123.tiff,0,hem_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,6,8,10,6,8,10,3,4,4,35,35,359.78,359.78,True,True,True,True,True,2.062,2.062,True,0,True,True
123.tiff,1,default_51,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,5,10,13,5,10,13,3,5,5,35,35,398.49,398.49,True,True,True,True,True,0.0,0.0,True,0,True,True
123.tiff,1,gray_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,5,8,9,5,8,9,4,5,5,35,35,398.49,398.49,True,True,True,True,True,3.202,3.202,True,0,True,True
123.tiff,1,hem_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,5,6,7,5,6,7,3,3,3,35,35,398.49,398.49,True,True,True,True,True,2.55,2.55,True,0,True,True
123.tiff,2,default_51,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,5,9,11,5,9,11,3,5,5,35,35,378.36,378.36,True,True,True,True,True,0.0,0.0,True,0,True,True
123.tiff,2,gray_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,5,8,9,5,8,9,3,4,4,35,35,378.36,378.36,True,True,True,True,True,7.018,7.018,True,0,True,True
123.tiff,2,hem_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,5,8,9,5,8,9,3,4,4,35,35,378.36,378.36,True,True,True,True,True,7.517,7.517,True,0,True,True
128.tiff,0,default_51,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,6,12,13,6,12,13,0,1,1,29,29,195.62,195.62,True,True,True,True,True,0.0,0.0,True,0,True,True
128.tiff,0,gray_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,7,11,12,7,11,12,0,1,1,29,29,195.62,195.62,True,True,True,True,True,4.0,4.0,True,0,True,True
128.tiff,0,hem_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,7,10,12,7,10,12,0,1,1,29,29,195.62,195.62,True,True,True,True,True,5.099,5.099,True,0,True,True
