check,label,n,n_items,passed,note,max_abs_diff,n_seeds,n_distinct_ann,pool_size,n_distinct_streams,n_dropped,atol,caps,min_distance,radius,n_direct,n_filtered,used_radius,expected_radius,mpp,n_cells,n_rois,max_abs_recall_diff,max_abs_ndet_diff
no_cap,013.tiff/tm_score@pad_on,,6374.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,6374.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
gt_within_seed_hole,013.tiff/si1,,0.0,True,,,,,,,,,,,,,,,,,,,,
valid_geometry,013.tiff/si1/pad_off,38418730.0,38418730.0,True,,,,,,,,,,,,,,,,,,,,
valid_geometry,013.tiff/si1/pad_on,39047580.0,39047580.0,True,,,,,,,,,,,,,,,,,,,,
dropband_subset,013.tiff/si1,16363.0,15935.0,True,,,,,,,428.0,,,,,,,,,,,,,
od_nan,013.tiff/si1/pad_off,,0.0,True,,,,,,,,,,,,,,,,,,,,
no_cap,013.tiff/si1/pad_off/deep_pool,,42253.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
min_separation,013.tiff/si1/pad_off,16099.0,,True,,,,,,,,,,33.24154027718932,33.13877952755905,,,,,,,,,
od_nan,013.tiff/si1/pad_on_dropband,,0.0,True,,,,,,,,,,,,,,,,,,,,
no_cap,013.tiff/si1/pad_on_dropband/deep_pool,,42985.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
min_separation,013.tiff/si1/pad_on_dropband,15936.0,,True,,,,,,,,,,33.24154027718932,33.13877952755905,,,,,,,,,
od_nan,013.tiff/si1/pad_on,,0.0,True,,,,,,,,,,,,,,,,,,,,
no_cap,013.tiff/si1/pad_on/deep_pool,,42985.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
min_separation,013.tiff/si1/pad_on,16364.0,,True,,,,,,,,,,33.24154027718932,33.13877952755905,,,,,,,,,
no_cap,013.tiff/tm_score@pad_off,,14017.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,14017.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,11019.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,11019.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,8756.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,8756.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,7516.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,7516.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,6775.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,6775.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,6145.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,6145.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,13886.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,13886.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,10915.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,10915.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,8671.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,8671.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,7446.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,7446.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,6715.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
