file_name,condition,largest_od_tie_block,base_size,tpl_cx,tpl_cy,round_tpl_equals_round_click,n_above_floor,n_peaks,n_after_nms,n_self_hits,n_detections,top30_identical_to_notebook,top30_shared_coordinates,od_max_abs_diff,full_list_within_r_of_click,t_search_s,tp_at_10_full_list_match,tp_at_10_topk_only_match,tp_at_10_mitotic_only_full,tp_at_10_mitotic_only_topk,tp_at_20_full_list_match,tp_at_20_topk_only_match,tp_at_20_mitotic_only_full,tp_at_20_mitotic_only_topk,tp_at_30_full_list_match,tp_at_30_topk_only_match,tp_at_30_mitotic_only_full,tp_at_30_mitotic_only_topk
300.tiff,gray_bbox,1,49,1413.0,3549.5,False,29536,100,100,1,99,True,30,2.2552334361103377e-08,0,2.34,9,9,9,9,19,19,19,19,27,27,27,27
300.tiff,hem_bbox,1,25,1412.0,3555.0,False,44384,100,100,1,99,True,30,1.8998980472195726e-08,0,2.09,8,8,8,8,17,17,17,17,27,27,27,27
301.tiff,default_51,1,51,5911.0,3548.0,True,31629,100,100,1,99,True,30,2.4586915947644172e-08,0,2.65,8,8,8,8,18,18,18,18,26,26,26,26
301.tiff,gray_bbox,1,41,5916.5,3548.0,False,36174,100,99,1,98,True,30,1.7136335295209193e-08,0,2.54,8,8,8,8,18,18,18,18,27,27,27,27
301.tiff,hem_bbox,1,33,5911.0,3552.5,False,39243,100,100,1,99,True,30,1.98586629085451e-08,0,2.51,8,8,8,8,17,17,17,17,26,26,26,26
402.tiff,default_51,1,51,989.0,4917.0,True,31600,100,100,1,99,True,30,3.67944057444447e-08,0,3.73,8,8,8,8,14,14,14,14,19,19,19,19
402.tiff,gray_bbox,1,29,990.0,4915.5,False,52211,100,99,1,98,True,30,4.115012974814647e-08,0,3.63,7,7,7,7,12,12,12,12,15,15,15,15
402.tiff,hem_bbox,1,25,989.0,4915.0,False,62747,100,99,1,98,True,30,3.862839481616476e-08,0,3.34,7,7,7,7,11,11,11,11,15,15,15,15
403.tiff,default_51,1,51,2227.0,2970.0,True,35600,100,99,1,98,True,30,4.000388653668807e-08,0,3.75,5,5,5,5,10,10,10,10,14,14,14,14
403.tiff,gray_bbox,1,51,2227.0,2968.0,False,34638,100,99,1,98,True,30,3.816989746496802e-08,0,3.6,5,5,5,5,10,10,10,10,14,14,14,14
403.tiff,hem_bbox,1,31,2225.0,2974.5,False,53746,100,96,1,95,True,30,3.507504103827941e-08,0,3.32,4,4,4,4,7,7,7,7,10,10,10,10
459.tiff,default_51,1,51,1845.0,4003.0,True,21269,100,100,1,99,True,30,1.9658070282702056e-08,0,3.21,9,9,9,9,17,17,17,17,26,26,26,26
459.tiff,gray_bbox,1,33,1844.5,4002.5,False,34916,100,100,1,99,True,30,2.2409053918037714e-08,0,2.69,9,9,9,9,17,17,17,17,25,25,25,25
459.tiff,hem_bbox,1,31,1845.0,4002.0,False,40493,100,100,1,99,True,30,1.2551362699175783e-08,0,2.75,9,9,9,9,17,17,17,17,25,25,25,25
460.tiff,default_51,1,51,5152.0,3999.0,True,21324,100,100,1,99,True,30,2.0976250042492595e-08,0,2.91,7,7,7,7,16,16,16,16,17,17,17,17
