subset,domain,file_name,condition,rank_key,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
testing_35,canine lung cancer,230.tiff,fill_alpha_0,tm_score,3,20,27,34,0.6666666666666666,0.45,0.37777777777777777
testing_35,canine lung cancer,230.tiff,mass_only,chromatin_od,3,16,24,26,0.5333333333333333,0.4,0.28888888888888886
testing_35,canine lung cancer,230.tiff,mass_only,tm_score,3,7,11,15,0.23333333333333334,0.18333333333333332,0.16666666666666666
testing_35,canine lung cancer,230.tiff,fill_alpha_1,chromatin_od,3,18,37,41,0.6,0.6166666666666667,0.45555555555555555
testing_35,canine lung cancer,230.tiff,fill_alpha_1,tm_score,3,18,26,31,0.6,0.43333333333333335,0.34444444444444444
testing_35,canine lung cancer,235.tiff,default_51,chromatin_od,3,10,11,17,0.3333333333333333,0.18333333333333332,0.18888888888888888
testing_35,canine lung cancer,235.tiff,default_51,tm_score,3,11,14,17,0.36666666666666664,0.23333333333333334,0.18888888888888888
testing_35,canine lung cancer,235.tiff,fill_alpha_0,chromatin_od,3,9,9,13,0.3,0.15,0.14444444444444443
testing_35,canine lung cancer,235.tiff,fill_alpha_0,tm_score,3,10,13,16,0.3333333333333333,0.21666666666666667,0.17777777777777778
testing_35,canine lung cancer,235.tiff,mass_only,chromatin_od,3,10,16,23,0.3333333333333333,0.26666666666666666,0.25555555555555554
testing_35,canine lung cancer,235.tiff,mass_only,tm_score,3,16,18,24,0.5333333333333333,0.3,0.26666666666666666
testing_35,canine lung cancer,235.tiff,fill_alpha_1,chromatin_od,3,11,12,20,0.36666666666666664,0.2,0.2222222222222222
testing_35,canine lung cancer,235.tiff,fill_alpha_1,tm_score,3,13,21,22,0.43333333333333335,0.35,0.24444444444444444
testing_35,canine lung cancer,242.tiff,default_51,chromatin_od,3,1,3,3,0.03333333333333333,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,default_51,tm_score,3,0,2,2,0.0,0.03333333333333333,0.022222222222222223
