roi,domain,prov,seed,z,rank_key,pool,ceiling,read_50,read_95,recall_at_250
201.tiff,canine lung cancer,mitotic,0,2.0,od,8291,0.9412,25.0,,0.9411764705882353
201.tiff,canine lung cancer,mitotic,0,2.5,score,5915,0.9412,41.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,0,2.5,od,5915,0.9412,24.0,,0.9411764705882353
201.tiff,canine lung cancer,mitotic,0,3.0,score,3786,0.8824,41.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,0,3.0,od,3786,0.8824,24.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,0,4.0,score,1139,0.8235,41.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,0,4.0,od,1139,0.8235,23.0,,0.8235294117647058
201.tiff,canine lung cancer,mitotic,1,0.5,score,14815,0.8824,33.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,1,0.5,od,14815,0.8824,35.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,1,1.0,score,13260,0.8824,33.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,1,1.0,od,13260,0.8824,35.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,1,1.5,score,11171,0.8824,33.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,1,1.5,od,11171,0.8824,35.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,1,2.0,score,8704,0.8824,33.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,1,2.0,od,8704,0.8824,35.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,1,2.5,score,6203,0.8824,33.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,1,2.5,od,6203,0.8824,35.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,1,3.0,score,4059,0.8235,33.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,1,3.0,od,4059,0.8235,34.0,,0.8235294117647058
201.tiff,canine lung cancer,mitotic,1,4.0,score,1470,0.8235,33.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,1,4.0,od,1470,0.8235,34.0,,0.8235294117647058
201.tiff,canine lung cancer,mitotic,2,0.5,score,14374,0.9412,55.0,,0.7058823529411765
201.tiff,canine lung cancer,mitotic,2,0.5,od,14374,0.9412,37.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,2,1.0,score,12910,0.9412,55.0,,0.7058823529411765
201.tiff,canine lung cancer,mitotic,2,1.0,od,12910,0.9412,37.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,2,1.5,score,10952,0.9412,55.0,,0.7058823529411765
201.tiff,canine lung cancer,mitotic,2,1.5,od,10952,0.9412,37.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,2,2.0,score,8745,0.9412,55.0,,0.7058823529411765
201.tiff,canine lung cancer,mitotic,2,2.0,od,8745,0.9412,36.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,2,2.5,score,6449,0.9412,55.0,,0.7058823529411765
201.tiff,canine lung cancer,mitotic,2,2.5,od,6449,0.9412,36.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,2,3.0,score,4375,0.8824,55.0,,0.7058823529411765
201.tiff,canine lung cancer,mitotic,2,3.0,od,4375,0.8824,35.0,,0.8823529411764706
201.tiff,canine lung cancer,mitotic,2,4.0,score,1654,0.7647,55.0,,0.7058823529411765
201.tiff,canine lung cancer,mitotic,2,4.0,od,1654,0.7647,34.0,,0.7647058823529411
201.tiff,canine lung cancer,lookalike,0,0.5,score,13622,1.0,45.0,3710.0,0.7647058823529411
201.tiff,canine lung cancer,lookalike,0,0.5,od,13622,1.0,23.0,586.0,0.9411764705882353
201.tiff,canine lung cancer,lookalike,0,1.0,score,11691,1.0,45.0,3710.0,0.7647058823529411
201.tiff,canine lung cancer,lookalike,0,1.0,od,11691,1.0,23.0,585.0,0.9411764705882353
201.tiff,canine lung cancer,lookalike,0,1.5,score,9382,1.0,45.0,3710.0,0.7647058823529411
201.tiff,canine lung cancer,lookalike,0,1.5,od,9382,1.0,23.0,585.0,0.9411764705882353
201.tiff,canine lung cancer,lookalike,0,2.0,score,6924,1.0,45.0,3710.0,0.7647058823529411
201.tiff,canine lung cancer,lookalike,0,2.0,od,6924,1.0,23.0,578.0,0.9411764705882353
201.tiff,canine lung cancer,lookalike,0,2.5,score,4671,1.0,45.0,3710.0,0.7647058823529411
201.tiff,canine lung cancer,lookalike,0,2.5,od,4671,1.0,23.0,549.0,0.9411764705882353
201.tiff,canine lung cancer,lookalike,0,3.0,score,3040,0.9412,45.0,,0.7647058823529411
201.tiff,canine lung cancer,lookalike,0,3.0,od,3040,0.9412,23.0,,0.8823529411764706
201.tiff,canine lung cancer,lookalike,0,4.0,score,1056,0.8235,45.0,,0.7647058823529411
201.tiff,canine lung cancer,lookalike,0,4.0,od,1056,0.8235,23.0,,0.8235294117647058
202.tiff,canine lung cancer,mitotic,0,0.5,score,17667,1.0,88.0,1910.0,0.8
202.tiff,canine lung cancer,mitotic,0,0.5,od,17667,1.0,17.0,5900.0,0.8666666666666667
202.tiff,canine lung cancer,mitotic,0,1.0,score,16937,1.0,88.0,1910.0,0.8
202.tiff,canine lung cancer,mitotic,0,1.0,od,16937,1.0,17.0,5893.0,0.8666666666666667
202.tiff,canine lung cancer,mitotic,0,1.5,score,15391,1.0,88.0,1910.0,0.8
202.tiff,canine lung cancer,mitotic,0,1.5,od,15391,1.0,17.0,5854.0,0.8666666666666667
202.tiff,canine lung cancer,mitotic,0,2.0,score,12926,1.0,88.0,1910.0,0.8
202.tiff,canine lung cancer,mitotic,0,2.0,od,12926,1.0,17.0,5693.0,0.8666666666666667
202.tiff,canine lung cancer,mitotic,0,2.5,score,10108,1.0,88.0,1910.0,0.8
202.tiff,canine lung cancer,mitotic,0,2.5,od,10108,1.0,17.0,5350.0,0.8666666666666667
202.tiff,canine lung cancer,mitotic,0,3.0,score,7263,1.0,88.0,1910.0,0.8
202.tiff,canine lung cancer,mitotic,0,3.0,od,7263,1.0,17.0,4634.0,0.8666666666666667
202.tiff,canine lung cancer,mitotic,0,4.0,score,3180,1.0,88.0,1910.0,0.8
202.tiff,canine lung cancer,mitotic,0,4.0,od,3180,1.0,17.0,2688.0,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,0.5,score,12853,0.9333,16.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,0.5,od,12853,0.9333,20.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,1.0,score,11694,0.9333,16.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,1.0,od,11694,0.9333,20.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,1.5,score,10723,0.9333,16.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,1.5,od,10723,0.9333,20.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,2.0,score,9436,0.9333,16.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,2.0,od,9436,0.9333,20.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,2.5,score,7820,0.9333,16.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,2.5,od,7820,0.9333,20.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,3.0,score,5847,0.9333,16.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,3.0,od,5847,0.9333,20.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,4.0,score,2488,0.9333,16.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,1,4.0,od,2488,0.9333,20.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,0.5,score,13352,0.9333,18.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,0.5,od,13352,0.9333,14.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,1.0,score,12053,0.9333,18.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,1.0,od,12053,0.9333,13.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,1.5,score,11015,0.9333,18.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,1.5,od,11015,0.9333,13.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,2.0,score,9714,0.9333,18.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,2.0,od,9714,0.9333,13.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,2.5,score,8004,0.9333,18.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,2.5,od,8004,0.9333,13.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,3.0,score,6045,0.9333,18.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,3.0,od,6045,0.9333,13.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,4.0,score,2945,0.9333,18.0,,0.8666666666666667
202.tiff,canine lung cancer,mitotic,2,4.0,od,2945,0.9333,13.0,,0.8666666666666667
202.tiff,canine lung cancer,lookalike,0,0.5,score,12342,1.0,22.0,2523.0,0.9333333333333333
202.tiff,canine lung cancer,lookalike,0,0.5,od,12342,1.0,13.0,4336.0,0.8666666666666667
202.tiff,canine lung cancer,lookalike,0,1.0,score,11060,1.0,22.0,2523.0,0.9333333333333333
202.tiff,canine lung cancer,lookalike,0,1.0,od,11060,1.0,13.0,4309.0,0.8666666666666667
202.tiff,canine lung cancer,lookalike,0,1.5,score,9741,1.0,22.0,2523.0,0.9333333333333333
202.tiff,canine lung cancer,lookalike,0,1.5,od,9741,1.0,13.0,4242.0,0.8666666666666667
202.tiff,canine lung cancer,lookalike,0,2.0,score,8142,1.0,22.0,2523.0,0.9333333333333333
202.tiff,canine lung cancer,lookalike,0,2.0,od,8142,1.0,13.0,4125.0,0.8666666666666667
202.tiff,canine lung cancer,lookalike,0,2.5,score,6151,1.0,22.0,2523.0,0.9333333333333333
202.tiff,canine lung cancer,lookalike,0,2.5,od,6151,1.0,13.0,3786.0,0.8666666666666667
202.tiff,canine lung cancer,lookalike,0,3.0,score,4037,1.0,22.0,2523.0,0.9333333333333333
202.tiff,canine lung cancer,lookalike,0,3.0,od,4037,1.0,13.0,3112.0,0.8666666666666667
