analysis,subset,pair,K,n_units,delta_pts,wins,losses,ties,test,p,min_attainable_p,main_delta_pts,main_exact_p,main_holm_p,level_a,level_b,human_delta_pts,canine_delta_pts,holm_p
recall_at_k,testing_35,gray_bbox - default_51,10,35,-0.6127357448566361,10.0,13.0,12.0,monte_carlo_200000_float,0.15499922500387497,,-0.9523809523809524,0.44310808181762695,0.44310808181762695,,,,,0.15499922500387497
worst_click,testing_35,gray_bbox - default_51,10,35,-2.5714285714285716,4.0,10.0,21.0,exact_convolution,0.093505859375,0.0001220703125,-0.9523809523809524,0.44310808181762695,0.44310808181762695,0.45714285714285713,0.4828571428571429,,,0.18923091888427734
recall_at_k,testing_35,gray_bbox - default_51,20,35,-1.8909046649023036,8.0,23.0,4.0,monte_carlo_200000_float,0.0035949820250898747,,-2.4285714285714284,0.008120142854750156,0.032480571419000626,,,,,0.012859935700321498
worst_click,testing_35,gray_bbox - default_51,20,35,-3.142857142857143,3.0,17.0,15.0,exact_convolution,0.0064697265625,1.9073486328125e-06,-2.4285714285714284,0.008120142854750156,0.032480571419000626,0.3742857142857143,0.4057142857142857,,,0.038818359375
recall_at_k,testing_35,gray_bbox - default_51,30,35,-2.520148746787555,4.0,21.0,10.0,monte_carlo_200000_float,1.9999900000499998e-05,,-2.4444444444444446,0.00019669532775878906,0.0013768672943115234,,,,,0.00015999920000399999
worst_click,testing_35,gray_bbox - default_51,30,35,-2.5714285714285716,6.0,17.0,12.0,exact_convolution,0.017254114151000977,2.384185791015625e-07,-2.4444444444444446,0.00019669532775878906,0.0013768672943115234,0.3161904761904762,0.3419047619047619,,,0.08627057075500488
recall_at_k,testing_35,hem_bbox - default_51,10,35,-1.5824243832903422,6.0,20.0,9.0,monte_carlo_200000_float,0.005824970875145624,,-3.2380952380952377,0.0952170193195343,0.1904340386390686,,,,,0.012859935700321498
worst_click,testing_35,hem_bbox - default_51,10,35,-5.428571428571429,4.0,18.0,13.0,exact_convolution,0.06307697296142578,4.76837158203125e-07,-3.2380952380952377,0.0952170193195343,0.1904340386390686,0.42857142857142855,0.4828571428571429,,,0.18923091888427734
recall_at_k,testing_35,hem_bbox - default_51,20,35,-3.8304891973274295,5.0,26.0,4.0,monte_carlo_200000_float,2.4999875000624998e-05,,-5.333333333333334,0.00020505115389823914,0.0013768672943115234,,,,,0.00017499912500437497
worst_click,testing_35,hem_bbox - default_51,20,35,-6.428571428571429,4.0,24.0,7.0,exact_convolution,0.0010828524827957153,7.450580596923828e-09,-5.333333333333334,0.00020505115389823914,0.0013768672943115234,0.3414285714285714,0.4057142857142857,,,0.008662819862365723
recall_at_k,testing_35,hem_bbox - default_51,30,35,-5.245958233058252,4.0,27.0,4.0,monte_carlo_200000_float,4.9999750001249995e-06,,-5.4603174603174605,3.1189993023872375e-06,2.8070993721485138e-05,,,,,4.4999775001124996e-05
worst_click,testing_35,hem_bbox - default_51,30,35,-6.095238095238095,4.0,24.0,7.0,exact_convolution,0.00012110918760299683,7.450580596923828e-09,-5.4603174603174605,3.1189993023872375e-06,2.8070993721485138e-05,0.28095238095238095,0.3419047619047619,,,0.0010899826884269714
recall_at_k,testing_35,hem_bbox - gray_bbox,10,35,-0.9696886384337065,4.0,18.0,13.0,monte_carlo_200000_float,0.0032149839250803745,,-2.2857142857142856,0.05773353576660156,0.1732006072998047,,,,,0.012859935700321498
worst_click,testing_35,hem_bbox - gray_bbox,10,35,-2.857142857142857,3.0,11.0,21.0,exact_convolution,0.2301025390625,0.0001220703125,-2.2857142857142856,0.05773353576660156,0.1732006072998047,0.42857142857142855,0.45714285714285713,,,0.2301025390625
recall_at_k,testing_35,hem_bbox - gray_bbox,20,35,-1.9395845324251255,5.0,21.0,9.0,monte_carlo_200000_float,0.0006999965000174999,,-2.9047619047619047,0.0007341206073760986,0.003670603036880493,,,,,0.0034999825000874996
worst_click,testing_35,hem_bbox - gray_bbox,20,35,-3.2857142857142856,4.0,18.0,13.0,exact_convolution,0.024799346923828125,4.76837158203125e-07,-2.9047619047619047,0.0007341206073760986,0.003670603036880493,0.3414285714285714,0.3742857142857143,,,0.0991973876953125
recall_at_k,testing_35,hem_bbox - gray_bbox,30,35,-2.725809486270696,3.0,22.0,10.0,monte_carlo_200000_float,0.000564997175014125,,-3.015873015873016,6.693601608276367e-05,0.0005354881286621094,,,,,0.0033899830500847498
worst_click,testing_35,hem_bbox - gray_bbox,30,35,-3.5238095238095237,2.0,22.0,11.0,exact_convolution,0.0010896921157836914,1.1920928955078125e-07,-3.015873015873016,6.693601608276367e-05,0.0005354881286621094,0.28095238095238095,0.3161904761904762,,,0.008662819862365723
domain_as_unit,all_49,gray_bbox - default_51,10,7,-0.8163265306122449,4.0,3.0,0.0,exact_convolution,0.5625,0.015625,-0.8163265306122449,0.4042282998561859,0.4042282998561859,,,,,0.5625
species_split,all_49,gray_bbox - default_51,10,7,-4.9603174603174605,,,,domain_label_permutation_35,0.02857142857142857,0.02857142857142857,-0.8163265306122449,0.4042282998561859,0.4042282998561859,,,-3.6507936507936507,1.3095238095238095,
