file_name,seed_index,tumor_type,z,recall,mitoses_lost,n_kept,coverage_frac,cut_vs_z1_pct
013.tiff,0,human breast cancer,13.1,0.6470588235294118,6,203,0.0176271674221167,98.69528890031492
013.tiff,0,human breast cancer,13.2,0.6470588235294118,6,193,0.016744173877780613,98.75956038305804
013.tiff,0,human breast cancer,13.3,0.6470588235294118,6,188,0.01631248814499408,98.79169612442959
013.tiff,0,human breast cancer,13.4,0.6470588235294118,6,177,0.01537716905728993,98.862394755447
013.tiff,0,human breast cancer,13.5,0.6470588235294118,6,168,0.014579204520926948,98.92023908991581
013.tiff,0,human breast cancer,13.6,0.6470588235294118,6,160,0.013885891071300093,98.97165627611028
013.tiff,0,human breast cancer,13.7,0.6470588235294118,6,155,0.013447664645592555,99.00379201748184
013.tiff,0,human breast cancer,13.8,0.6470588235294118,6,149,0.012944031290674934,99.0423549071277
013.tiff,0,human breast cancer,13.9,0.5882352941176471,7,143,0.012433857242836306,99.08091779677358
013.tiff,0,human breast cancer,14.0,0.5882352941176471,7,142,0.012348828234863201,99.08734494504789
013.tiff,0,human breast cancer,14.1,0.5882352941176471,7,138,0.012034874974654814,99.11305353814512
013.tiff,0,human breast cancer,14.2,0.5882352941176471,7,134,0.01168167755692038,99.13876213124236
013.tiff,0,human breast cancer,14.3,0.5882352941176471,7,127,0.011060311729424616,99.18375216916255
013.tiff,0,human breast cancer,14.4,0.5882352941176471,7,120,0.010452027287770867,99.22874220708272
013.tiff,0,human breast cancer,14.5,0.5882352941176471,7,117,0.010183858878009537,99.24802365190565
013.tiff,0,human breast cancer,14.6,0.5882352941176471,7,114,0.009922231161169213,99.26730509672859
013.tiff,0,human breast cancer,14.7,0.5882352941176471,7,106,0.009228917711542361,99.31872228292306
013.tiff,0,human breast cancer,14.8,0.5882352941176471,7,100,0.008679499506177685,99.35728517256894
013.tiff,0,human breast cancer,14.9,0.5882352941176471,7,97,0.008404790403495347,99.37656661739186
013.tiff,0,human breast cancer,15.0,0.5882352941176471,7,91,0.007868453583972685,99.41512950703772
013.tiff,0,human breast cancer,15.1,0.5882352941176471,7,82,0.007077029740530712,99.47297384150653
013.tiff,0,human breast cancer,15.2,0.5882352941176471,7,81,0.006992000732557607,99.47940098978083
013.tiff,0,human breast cancer,15.3,0.5882352941176471,7,79,0.006808861330769382,99.49225528632945
013.tiff,0,human breast cancer,15.4,0.5882352941176471,7,76,0.006593018464376116,99.51153673115239
013.tiff,0,human breast cancer,15.5,0.5882352941176471,7,73,0.006351012826298818,99.53081817597533
013.tiff,0,human breast cancer,15.6,0.5882352941176471,7,70,0.006082844416537488,99.55009962079825
013.tiff,0,human breast cancer,15.7,0.5882352941176471,7,65,0.005644617990829949,99.5822353621698
013.tiff,0,human breast cancer,15.8,0.5882352941176471,7,61,0.0052914205730955136,99.60794395526705
013.tiff,0,human breast cancer,15.9,0.5882352941176471,7,58,0.005062496320860232,99.62722540008998
013.tiff,0,human breast cancer,16.0,0.5294117647058824,8,56,0.004885897611993015,99.64007969663861
013.tiff,1,human breast cancer,1.0,1.0,0,16523,0.8404659589636926,0.0
013.tiff,1,human breast cancer,1.1,1.0,0,15350,0.8053424379778794,7.099195061429519
013.tiff,1,human breast cancer,1.2,1.0,0,14337,0.7713112127098745,13.230042970404888
013.tiff,1,human breast cancer,1.3,1.0,0,13478,0.7403475724218224,18.42885674514313
013.tiff,1,human breast cancer,1.4,1.0,0,12724,0.7120656162313835,22.992192701083336
013.tiff,1,human breast cancer,1.5,1.0,0,12113,0.686445722059795,26.69006838951764
013.tiff,1,human breast cancer,1.6,1.0,0,11626,0.6669086723047439,29.637475034799976
013.tiff,1,human breast cancer,1.7,1.0,0,11190,0.6488956040002878,32.27622102523755
013.tiff,1,human breast cancer,1.8,1.0,0,10826,0.6338520102819692,34.47921079707075
013.tiff,1,human breast cancer,1.9,1.0,0,10503,0.6204174270222187,36.43406161108758
013.tiff,1,human breast cancer,2.0,1.0,0,10201,0.6063614779349724,38.26181686134479
013.tiff,1,human breast cancer,2.1,1.0,0,9930,0.5949610501736554,39.901954850814015
013.tiff,1,human breast cancer,2.2,1.0,0,9674,0.5831027739078678,41.451310294740665
013.tiff,1,human breast cancer,2.3,1.0,0,9438,0.5725657176121238,42.879622344610546
013.tiff,1,human breast cancer,2.4,1.0,0,9253,0.5651616532255427,43.999273739635655
013.tiff,1,human breast cancer,2.5,1.0,0,9054,0.5562205260025247,45.20365551050052
013.tiff,1,human breast cancer,2.6,1.0,0,8877,0.5484109386548411,46.27488954790292
013.tiff,1,human breast cancer,2.7,1.0,0,8676,0.5391362360928517,47.49137565817345
013.tiff,1,human breast cancer,2.8,1.0,0,8515,0.5319545552655849,48.465774980330444
013.tiff,1,human breast cancer,2.9,1.0,0,8369,0.5245308688002407,49.34939175694486
013.tiff,1,human breast cancer,3.0,1.0,0,8195,0.5164596537357168,50.40246928523876
013.tiff,1,human breast cancer,3.1,1.0,0,8038,0.5091406183571088,51.3526599285844
013.tiff,1,human breast cancer,3.2,1.0,0,7897,0.5024364081130755,52.20601585668463
013.tiff,1,human breast cancer,3.3,1.0,0,7754,0.49589571519206743,53.07147612419052
013.tiff,1,human breast cancer,3.4,1.0,0,7614,0.48925037118432324,53.918779882587906
013.tiff,1,human breast cancer,3.5,1.0,0,7470,0.48234994015265975,54.79029231979664
013.tiff,1,human breast cancer,3.6,1.0,0,7329,0.4757830844599677,55.64364824789687
013.tiff,1,human breast cancer,3.7,1.0,0,7175,0.46769224731668074,56.575682382134
013.tiff,1,human breast cancer,3.8,1.0,0,7020,0.4602162353079685,57.51376868607396
013.tiff,1,human breast cancer,3.9,1.0,0,6871,0.4526486535983622,58.41554197179689
013.tiff,1,human breast cancer,4.0,1.0,0,6740,0.44602293166938106,59.20837620286873
013.tiff,1,human breast cancer,4.1,1.0,0,6600,0.4389197391571663,60.05567996126611
013.tiff,1,human breast cancer,4.2,1.0,0,6468,0.4315156747705852,60.854566362040785
013.tiff,1,human breast cancer,4.3,1.0,0,6330,0.42456291819555364,61.6897657810325
013.tiff,1,human breast cancer,4.4,1.0,0,6192,0.4174008594470498,62.524965200024205
013.tiff,1,human breast cancer,4.5,1.0,0,6073,0.41149461373937957,63.24517339466198
013.tiff,1,human breast cancer,4.6,1.0,0,5947,0.4048754325033194,64.00774677721964
013.tiff,1,human breast cancer,4.7,1.0,0,5797,0.39649026417858707,64.9155722326454
013.tiff,1,human breast cancer,4.8,1.0,0,5664,0.38906657771324293,65.7205108031229
013.tiff,1,human breast cancer,4.9,1.0,0,5559,0.38351352942330713,66.35598862192096
013.tiff,1,human breast cancer,5.0,1.0,0,5436,0.3767700750217478,67.10040549537008
013.tiff,1,human breast cancer,5.1,1.0,0,5318,0.37016397517152966,67.81456152030503
013.tiff,1,human breast cancer,5.2,1.0,0,5200,0.3635317125496275,68.52871754523997
013.tiff,1,human breast cancer,5.3,1.0,0,5072,0.35631078756483464,69.3033952672033
013.tiff,1,human breast cancer,5.4,1.0,0,4934,0.34929262406059297,70.138594686195
013.tiff,1,human breast cancer,5.5,1.0,0,4818,0.34302009954934626,70.84064637172428
013.tiff,1,human breast cancer,5.6,1.0,0,4699,0.3364597845495752,71.56085456636204
013.tiff,1,human breast cancer,5.7,1.0,0,4579,0.32967708599048984,72.28711493070266
013.tiff,1,human breast cancer,5.8,1.0,0,4449,0.321684359241018,73.07389699207165
013.tiff,1,human breast cancer,5.9,1.0,0,4345,0.31556881135987547,73.70332264116686
013.tiff,1,human breast cancer,6.0,1.0,0,4229,0.3089300080450523,74.40537432669612
013.tiff,1,human breast cancer,6.1,1.0,0,4107,0.301382048414209,75.14373903044242
013.tiff,1,human breast cancer,6.2,1.0,0,3997,0.29485443687904295,75.80947769775464
013.tiff,1,human breast cancer,6.3,1.0,0,3889,0.28825487772174585,76.4631120256612
013.tiff,1,human breast cancer,6.4,1.0,0,3777,0.28137406876884535,77.14095503237911
013.tiff,1,human breast cancer,6.5,1.0,0,3687,0.27559209622667424,77.68565030563457
013.tiff,1,human breast cancer,6.6,1.0,0,3569,0.2682468980763822,78.3998063305695
013.tiff,1,human breast cancer,6.7,1.0,0,3471,0.2618108562421103,78.99291896144767
013.tiff,1,human breast cancer,6.8,1.0,0,3373,0.2552440005494182,79.58603159232584
013.tiff,1,human breast cancer,6.9,1.0,0,3270,0.2486575227779631,80.20940507171821
013.tiff,1,human breast cancer,7.0,1.0,0,3168,0.24173092897461557,80.82672638140774
013.tiff,1,human breast cancer,7.1,1.0,0,3052,0.23432686458803445,81.528778066937
013.tiff,1,human breast cancer,7.2,1.0,0,2965,0.2284337002662062,82.05531683108394
013.tiff,1,human breast cancer,7.3,1.0,0,2867,0.22165100170712085,82.64842946196211
013.tiff,1,human breast cancer,7.4,1.0,0,2780,0.2158363257003447,83.17496822610906
013.tiff,1,human breast cancer,7.5,1.0,0,2686,0.20930871416517866,83.74387217817588
013.tiff,1,human breast cancer,7.6,1.0,0,2591,0.20261758530698742,84.31882829994552
013.tiff,1,human breast cancer,7.7,1.0,0,2517,0.19784942016757256,84.76668885795557
013.tiff,1,human breast cancer,7.8,1.0,0,2424,0.1916423025855359,85.32954064031955
013.tiff,1,human breast cancer,7.9,1.0,0,2335,0.18514085382205392,85.86818374387218
013.tiff,1,human breast cancer,8.0,1.0,0,2252,0.17926731157898868,86.37051382920777
013.tiff,1,human breast cancer,8.1,1.0,0,2176,0.1737665888324209,86.8304787266235
013.tiff,1,human breast cancer,8.2,1.0,0,2095,0.16797153490440778,87.32070447255342
013.tiff,1,human breast cancer,8.3,1.0,0,2024,0.1623923238427879,87.75040852145494
013.tiff,1,human breast cancer,8.4,1.0,0,1943,0.15643375259174958,88.24063426738485
013.tiff,1,human breast cancer,8.5,1.0,0,1880,0.15195991863378006,88.62192095866368
013.tiff,1,human breast cancer,8.6,1.0,0,1805,0.146217190249135,89.07583368637657
013.tiff,1,human breast cancer,8.7,1.0,0,1739,0.14149480996016717,89.47527688676391
013.tiff,1,human breast cancer,8.8,1.0,0,1687,0.1376161790580094,89.7899897113115
013.tiff,1,human breast cancer,8.9,1.0,0,1625,0.1329134208478046,90.16522423288748
013.tiff,1,human breast cancer,9.0,1.0,0,1563,0.1281779591729948,90.54045875446347
013.tiff,1,human breast cancer,9.1,1.0,0,1512,0.12425354342038995,90.84911940930823
013.tiff,1,human breast cancer,9.2,1.0,0,1463,0.12049264499081033,91.14567572474732
013.tiff,1,human breast cancer,9.3,1.0,0,1420,0.11716343229401723,91.40591902196937
013.tiff,1,human breast cancer,9.4,1.0,0,1360,0.11262419140683765,91.76904920413969
013.tiff,1,human breast cancer,9.5,1.0,0,1307,0.10863436872502273,92.08981419839012
013.tiff,1,human breast cancer,9.6,1.0,0,1265,0.10535094087867669,92.34400532590934
013.tiff,1,human breast cancer,9.7,1.0,0,1227,0.10234222213501298,92.57398777461721
013.tiff,1,human breast cancer,9.8,1.0,0,1179,0.09847667261869722,92.86449192035344
013.tiff,1,human breast cancer,9.9,1.0,0,1138,0.09518016338650917,93.11263087816982
013.tiff,1,human breast cancer,10.0,1.0,0,1094,0.09178554376050599,93.37892634509471
013.tiff,1,human breast cancer,10.1,1.0,0,1042,0.08759950029106084,93.69363916964232
013.tiff,1,human breast cancer,10.2,1.0,0,1003,0.08445996768897697,93.92967378805301
013.tiff,1,human breast cancer,10.3,1.0,0,973,0.08205953338696702,94.11123887913817
013.tiff,1,human breast cancer,10.4,1.0,0,933,0.0786256696034378,94.35332566725171
013.tiff,1,human breast cancer,10.5,1.0,0,893,0.07542727076506485,94.59541245536525
013.tiff,1,human breast cancer,10.6,1.0,0,866,0.07324267932944817,94.75882103734189
013.tiff,1,human breast cancer,10.7,1.0,0,827,0.07005736187691725,94.99485565575259
013.tiff,1,human breast cancer,10.8,1.0,0,796,0.06748686955896108,95.18247291654059
013.tiff,1,human breast cancer,10.9,1.0,0,767,0.06506027248526709,95.3579858379229
013.tiff,1,human breast cancer,11.0,1.0,0,743,0.06302611698683358,95.50323791079101
013.tiff,1,human breast cancer,11.1,1.0,0,724,0.061462891378712664,95.61822913514494
013.tiff,1,human breast cancer,11.2,1.0,0,699,0.05940911380151613,95.76953337771592
013.tiff,1,human breast cancer,11.3,1.0,0,668,0.05675359247558687,95.9571506385039
013.tiff,1,human breast cancer,11.4,1.0,0,641,0.05441202440986598,96.12055922048054
013.tiff,1,human breast cancer,11.5,1.0,0,618,0.05246289791940558,96.25975912364582
013.tiff,1,human breast cancer,11.6,1.0,0,591,0.050180196089973775,96.42316770562248
013.tiff,1,human breast cancer,11.7,1.0,0,560,0.0476031630790966,96.61078496641046
013.tiff,1,human breast cancer,11.8,1.0,0,539,0.04591566430547652,96.73788053017006
013.tiff,1,human breast cancer,11.9,1.0,0,517,0.044097351673436286,96.87102826363251
013.tiff,1,human breast cancer,12.0,1.0,0,495,0.042239794883869995,97.00417599709496
013.tiff,1,human breast cancer,12.1,1.0,0,469,0.04002249998364827,97.16153240936876
013.tiff,1,human breast cancer,12.2,1.0,0,450,0.038491977840132384,97.27652363372269
013.tiff,1,human breast cancer,12.3,1.0,0,431,0.036935292924932465,97.39151485807662
