file_name,tumor_type,image_id,seed_index,seed_ann_id,n_retries,contested_seed_tier,base_size,mpp,roi_h,roi_w,match_radius_px,nms_radius_px,pad_px,map_median,mad_scale,n_pool,n_gt_mitotic,n_tp_found,deep_recall,n_at_current_z,z_max,tp_score_min
245.tiff,canine lymphosarcoma,245,2,6249,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.00698518194258213,0.25166740287244316,36765,89,89,1.0,33567,1.3430378437042236,0.33101367950439453
245.tiff,canine lymphosarcoma,245,3,6257,0,False,41,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,20,-0.0006057264399714768,0.14518131827116013,38012,89,89,1.0,35213,1.9315786361694336,0.2798233926296234
245.tiff,canine lymphosarcoma,245,4,6354,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.007403915282338858,0.25984552402496336,37617,89,89,1.0,35688,1.5528154373168945,0.39608824253082275
246.tiff,canine lymphosarcoma,246,0,6548,0,False,41,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,20,-0.006127519533038139,0.17130555468052625,30343,115,115,1.0,26677,2.7220458984375,0.4601740837097168
246.tiff,canine lymphosarcoma,246,1,6599,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.004754615481942892,0.18055911477059125,31638,115,115,1.0,27677,1.8915382623672485,0.3367798626422882
246.tiff,canine lymphosarcoma,246,2,6484,0,False,47,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,23,-0.0036368416622281075,0.18420176402181385,29149,115,115,1.0,24987,2.3642191886901855,0.4318564832210541
246.tiff,canine lymphosarcoma,246,3,6520,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,25,-0.010693099349737167,0.18345034417212008,28531,115,115,1.0,25478,2.7782137393951416,0.4989711344242096
246.tiff,canine lymphosarcoma,246,4,6587,0,False,37,0.24816562612969095,4933,6577,30.221751968503938,20.147834645669292,18,-0.0039575183764100075,0.18126200852841137,31289,115,115,1.0,27816,2.555565357208252,0.45926937460899353
300.tiff,canine cutaneous mast cell tumor,300,0,14581,0,False,45,0.2533008895448562,4835,6447,29.609055118110238,19.73937007874016,22,-0.05718629062175751,0.37148231139779087,23413,180,180,1.0,18451,2.5446724891662598,0.8881145119667053
300.tiff,canine cutaneous mast cell tumor,300,1,14577,0,False,41,0.2533008895448562,4835,6447,29.609055118110238,19.73937007874016,20,-0.025555752217769623,0.4118960071921348,29804,180,180,1.0,24999,1.471129298210144,0.5803965926170349
300.tiff,canine cutaneous mast cell tumor,300,2,14614,0,False,47,0.2533008895448562,4835,6447,29.609055118110238,19.73937007874016,23,-0.08870109915733337,0.4143374893069267,23524,180,180,1.0,18702,2.771357774734497,1.0595762729644775
300.tiff,canine cutaneous mast cell tumor,300,3,14614,0,False,47,0.2533008895448562,4835,6447,29.609055118110238,19.73937007874016,23,-0.08870109915733337,0.4143374893069267,23524,180,180,1.0,18702,2.771357774734497,1.0595762729644775
300.tiff,canine cutaneous mast cell tumor,300,4,14500,0,False,29,0.2533008895448562,4835,6447,29.609055118110238,19.73937007874016,14,-0.03419354557991028,0.28042261948585506,28442,180,180,1.0,21906,3.0992021560668945,0.8348928689956665
