file_name,ranker,n_gt_mitotic,n_captured,n_pool,ceiling,quantile,sens_of_captured,sens_of_all_gt,depth,frac_of_pool,fp_lookalike,fp_unannotated,fp_per_tp
202.tiff,chromatin_od,16,16,13440,1.0,0.99,1.0,1.0,5409,0.4025,25,5368,337.1
202.tiff,chromatin_od,16,16,13440,1.0,1.0,1.0,1.0,5409,0.4025,25,5368,337.1
202.tiff,rankfuse,16,16,13440,1.0,0.5,0.5,0.5,12,0.0009,4,0,0.5
202.tiff,rankfuse,16,16,13440,1.0,0.9,0.9375,0.9375,2385,0.1775,25,2345,158.0
202.tiff,rankfuse,16,16,13440,1.0,0.95,1.0,1.0,2622,0.1951,25,2581,162.9
202.tiff,rankfuse,16,16,13440,1.0,0.98,1.0,1.0,2622,0.1951,25,2581,162.9
202.tiff,rankfuse,16,16,13440,1.0,0.99,1.0,1.0,2622,0.1951,25,2581,162.9
202.tiff,rankfuse,16,16,13440,1.0,1.0,1.0,1.0,2622,0.1951,25,2581,162.9
405.tiff,blob_score,14,14,7577,1.0,0.5,0.5,0.5,796,0.1051,9,780,112.7
405.tiff,blob_score,14,14,7577,1.0,0.9,0.9286,0.9286,2968,0.3917,17,2938,227.3
405.tiff,blob_score,14,14,7577,1.0,0.95,1.0,1.0,3630,0.4791,18,3598,258.3
405.tiff,blob_score,14,14,7577,1.0,0.98,1.0,1.0,3630,0.4791,18,3598,258.3
405.tiff,blob_score,14,14,7577,1.0,0.99,1.0,1.0,3630,0.4791,18,3598,258.3
405.tiff,blob_score,14,14,7577,1.0,1.0,1.0,1.0,3630,0.4791,18,3598,258.3
405.tiff,chromatin_od,14,14,7577,1.0,0.5,0.5,0.5,13,0.0017,2,4,0.9
405.tiff,chromatin_od,14,14,7577,1.0,0.9,0.9286,0.9286,245,0.0323,8,224,17.8
405.tiff,chromatin_od,14,14,7577,1.0,0.95,1.0,1.0,1102,0.1454,13,1075,77.7
405.tiff,chromatin_od,14,14,7577,1.0,0.98,1.0,1.0,1102,0.1454,13,1075,77.7
405.tiff,chromatin_od,14,14,7577,1.0,0.99,1.0,1.0,1102,0.1454,13,1075,77.7
405.tiff,chromatin_od,14,14,7577,1.0,1.0,1.0,1.0,1102,0.1454,13,1075,77.7
405.tiff,rankfuse,14,14,7577,1.0,0.5,0.5,0.5,273,0.036,6,260,38.0
405.tiff,rankfuse,14,14,7577,1.0,0.9,0.9286,0.9286,1398,0.1845,14,1371,106.5
405.tiff,rankfuse,14,14,7577,1.0,0.95,1.0,1.0,1864,0.246,16,1834,132.1
405.tiff,rankfuse,14,14,7577,1.0,0.98,1.0,1.0,1864,0.246,16,1834,132.1
405.tiff,rankfuse,14,14,7577,1.0,0.99,1.0,1.0,1864,0.246,16,1834,132.1
405.tiff,rankfuse,14,14,7577,1.0,1.0,1.0,1.0,1864,0.246,16,1834,132.1
