scope,group,pair,K,G,pooled_delta,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,holm_p,nb_holm_p,nb_boot_ci_low,nb_boot_ci_high,boot_share_ge_0,boot_share_le_0,nb_boot_excludes_0,majority_of_all_rois,nb_d5_bar_met,t_ci_low,t_ci_high,t_excludes_0,n_same,majority_all,majority_nonzero,n_structural_zero_rois,majority_excl_structural_zero,d5_bar_under_t,repro_ci_low,repro_ci_high,repro_share_ge_0,repro_share_le_0,share_of_200_seeds_ci_excludes_0,d5_bar_seed_fragile
subset,testing_35,hem_bbox - gray_bbox,30,35,-0.03015873015873016,3,22,10,25,6.693601608276367e-05,5.960464477539063e-08,0.0005354881286621094,0.0005354881286621094,-0.04666666666666667,-0.01619047619047619,0.0,1.0,True,True,True,-0.04610061329400691,-0.014216847023453414,True,22,True,True,1,True,True,-0.04666666666666667,-0.01619047619047619,0.0,1.0,1.0,False
domain,canine cutaneous mast cell tumor,gray_bbox - default_51,10,7,0.014285714285714285,3,1,3,4,0.75,0.125,,,,,,,,,,-0.05659039868136796,0.08516182725279653,False,3,False,True,0,False,,,,,,,
domain,canine cutaneous mast cell tumor,gray_bbox - default_51,20,7,0.009523809523809525,5,2,0,7,0.703125,0.015625,,,,,,,,,,-0.04301779361883267,0.06206541266645173,False,5,True,True,0,True,,,,,,,
domain,canine cutaneous mast cell tumor,gray_bbox - default_51,30,7,0.004761904761904762,3,2,2,5,0.9375,0.0625,,,,,,,,,,-0.049890637664328975,0.0594144471881385,False,3,False,True,0,False,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - default_51,10,7,-0.03333333333333333,3,3,1,6,0.5,0.03125,,,,,,,,,,-0.12918207622444383,0.06251540955777715,False,3,False,False,0,False,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - default_51,20,7,-0.06904761904761905,1,6,0,7,0.078125,0.015625,,,,,,,,,,-0.1399237320147013,0.001828493919463196,False,6,True,True,0,True,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - default_51,30,7,-0.08095238095238096,1,6,0,7,0.078125,0.015625,,,,,,,,,,-0.16788777718009215,0.005983015275330268,False,6,True,True,0,True,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - gray_bbox,10,7,-0.047619047619047616,0,5,2,5,0.0625,0.0625,,,,,,,,,,-0.08684539416567509,-0.008392701072420147,True,5,True,True,0,True,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - gray_bbox,20,7,-0.07857142857142857,0,7,0,7,0.015625,0.015625,,,,,,,,,,-0.10903040696359918,-0.04811245017925798,True,7,True,True,0,True,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - gray_bbox,30,7,-0.08571428571428572,0,7,0,7,0.015625,0.015625,,,,,,,,,,-0.1437579135607576,-0.02767065786781385,True,7,True,True,0,True,,,,,,,
domain,canine lung cancer,gray_bbox - default_51,10,7,0.014285714285714285,4,1,2,5,0.375,0.0625,,,,,,,,,,-0.009969777162948655,0.03854120573437723,False,4,True,True,1,True,,,,,,,
domain,canine lung cancer,gray_bbox - default_51,20,7,0.0,2,2,3,4,1.0,0.125,,,,,,,,,,-0.012585556523120411,0.012585556523120411,False,0,False,False,1,False,,,,,,,
domain,canine lung cancer,gray_bbox - default_51,30,7,0.0,2,3,2,5,1.0,0.0625,,,,,,,,,,-0.011865776483340038,0.011865776483340038,False,0,False,False,1,False,,,,,,,
domain,canine lung cancer,hem_bbox - default_51,10,7,0.01904761904761905,2,1,4,3,0.75,0.25,,,,,,,,,,-0.03084309813880819,0.06893833623404629,False,2,False,True,1,False,,,,,,,
domain,canine lung cancer,hem_bbox - default_51,20,7,0.009523809523809525,3,3,1,6,0.6875,0.03125,,,,,,,,,,-0.031119104124479748,0.05016672317209879,False,3,False,False,1,False,,,,,,,
domain,canine lung cancer,hem_bbox - default_51,30,7,-0.0031746031746031746,2,3,2,5,0.8125,0.0625,,,,,,,,,,-0.04328824909681281,0.03693904274760646,False,3,False,True,1,False,,,,,,,
domain,canine lung cancer,hem_bbox - gray_bbox,10,7,0.004761904761904762,2,2,3,4,1.0,0.125,,,,,,,,,,-0.04374907813542112,0.05327288765923064,False,2,False,False,1,False,,,,,,,
domain,canine lung cancer,hem_bbox - gray_bbox,20,7,0.009523809523809525,3,2,2,5,0.6875,0.0625,,,,,,,,,,-0.027014580750379904,0.04606219979799895,False,3,False,True,1,False,,,,,,,
domain,canine lung cancer,hem_bbox - gray_bbox,30,7,-0.0031746031746031746,2,3,2,5,0.875,0.0625,,,,,,,,,,-0.039609631458758995,0.03326042510955265,False,3,False,True,1,False,,,,,,,
domain,canine lymphosarcoma,gray_bbox - default_51,10,7,0.009523809523809525,3,3,1,6,0.90625,0.03125,,,,,,,,,,-0.08911722814638075,0.10816484719399978,False,3,False,False,0,False,,,,,,,
domain,canine lymphosarcoma,gray_bbox - default_51,20,7,-0.007142857142857143,2,4,1,6,0.84375,0.03125,,,,,,,,,,-0.07881268033050559,0.0645269660447913,False,4,True,True,0,True,,,,,,,
domain,canine lymphosarcoma,gray_bbox - default_51,30,7,-0.006349206349206349,2,4,1,6,0.75,0.03125,,,,,,,,,,-0.03876751035794851,0.026069097659535807,False,4,True,True,0,True,,,,,,,
domain,canine lymphosarcoma,hem_bbox - default_51,10,7,0.02857142857142857,3,3,1,6,0.78125,0.03125,,,,,,,,,,-0.14801121459334154,0.20515407173619865,False,3,False,False,0,False,,,,,,,
domain,canine lymphosarcoma,hem_bbox - default_51,20,7,-0.02857142857142857,2,4,1,6,0.5625,0.03125,,,,,,,,,,-0.12263290322778111,0.06549004608492397,False,4,True,True,0,True,,,,,,,
domain,canine lymphosarcoma,hem_bbox - default_51,30,7,-0.03650793650793651,2,5,0,7,0.15625,0.015625,,,,,,,,,,-0.08709925974772098,0.014083386731847971,False,5,True,True,0,True,,,,,,,
domain,canine lymphosarcoma,hem_bbox - gray_bbox,10,7,0.01904761904761905,2,2,3,4,0.75,0.125,,,,,,,,,,-0.06788777718009215,0.10598301527533026,False,2,False,False,0,False,,,,,,,
domain,canine lymphosarcoma,hem_bbox - gray_bbox,20,7,-0.02142857142857143,2,4,1,6,0.5,0.03125,,,,,,,,,,-0.06911627786499291,0.026259135007850053,False,4,True,True,0,True,,,,,,,
domain,canine lymphosarcoma,hem_bbox - gray_bbox,30,7,-0.03015873015873016,0,5,2,5,0.0625,0.0625,,,,,,,,,,-0.06460745487409009,0.004289994556629765,False,5,True,True,0,True,,,,,,,
domain,canine soft tissue sarcoma,gray_bbox - default_51,10,7,0.014285714285714285,4,1,2,5,0.5625,0.0625,,,,,,,,,,-0.024940632260913188,0.05351206083234176,False,4,True,True,0,True,,,,,,,
domain,canine soft tissue sarcoma,gray_bbox - default_51,20,7,-0.02619047619047619,1,5,1,6,0.09375,0.03125,,,,,,,,,,-0.05267573684319293,0.00029478446224055673,False,5,True,True,0,True,,,,,,,
domain,canine soft tissue sarcoma,gray_bbox - default_51,30,7,-0.012698412698412698,1,4,2,5,0.1875,0.0625,,,,,,,,,,-0.029922775056092664,0.004525949659267265,False,4,True,True,0,True,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - default_51,10,7,-0.06666666666666667,2,3,2,5,0.25,0.0625,,,,,,,,,,-0.18063372816131965,0.04730039482798631,False,3,False,True,0,False,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - default_51,20,7,-0.09761904761904762,0,6,1,6,0.03125,0.03125,,,,,,,,,,-0.22517121707172827,0.029933121833633065,False,6,True,True,0,True,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - default_51,30,7,-0.06666666666666667,1,4,2,5,0.125,0.0625,,,,,,,,,,-0.16540960626245016,0.03207627292911683,False,4,True,True,0,True,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - gray_bbox,10,7,-0.08095238095238096,1,5,1,6,0.125,0.03125,,,,,,,,,,-0.18297637475388337,0.021071612849121454,False,5,True,True,0,True,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - gray_bbox,20,7,-0.07142857142857142,0,4,3,4,0.125,0.125,,,,,,,,,,-0.18770518080435725,0.044848037947214404,False,4,True,True,0,True,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - gray_bbox,30,7,-0.05396825396825397,1,4,2,5,0.125,0.0625,,,,,,,,,,-0.14480706434878318,0.03687055641227526,False,4,True,True,0,True,,,,,,,
domain,human breast cancer,gray_bbox - default_51,10,7,-0.014285714285714285,1,2,4,3,0.5,0.25,,,,,,,,,,-0.04924159787349956,0.02067016930207099,False,2,False,True,0,False,,,,,,,
domain,human breast cancer,gray_bbox - default_51,20,7,-0.05476190476190476,1,6,0,7,0.0625,0.015625,,,,,,,,,,-0.10566288521571951,-0.003860924308090012,True,6,True,True,0,True,,,,,,,
