tumor_type,file_name,seed_index,budget,recall_at_k
canine lymphosarcoma,245.tiff,0,2000,0.4044943820224719
canine lymphosarcoma,245.tiff,0,5000,0.651685393258427
canine lymphosarcoma,245.tiff,1,25,0.0
canine lymphosarcoma,245.tiff,1,50,0.0
canine lymphosarcoma,245.tiff,1,100,0.02247191011235955
canine lymphosarcoma,245.tiff,1,250,0.07865168539325842
canine lymphosarcoma,245.tiff,1,500,0.16853932584269662
canine lymphosarcoma,245.tiff,1,1000,0.29213483146067415
canine lymphosarcoma,245.tiff,1,2000,0.3595505617977528
canine lymphosarcoma,245.tiff,1,5000,0.6853932584269663
canine lymphosarcoma,245.tiff,2,25,0.033707865168539325
canine lymphosarcoma,245.tiff,2,50,0.0898876404494382
canine lymphosarcoma,245.tiff,2,100,0.1348314606741573
canine lymphosarcoma,245.tiff,2,250,0.1797752808988764
canine lymphosarcoma,245.tiff,2,500,0.25842696629213485
canine lymphosarcoma,245.tiff,2,1000,0.3707865168539326
canine lymphosarcoma,245.tiff,2,2000,0.5056179775280899
canine lymphosarcoma,245.tiff,2,5000,0.7191011235955056
canine lymphosarcoma,245.tiff,3,25,0.0449438202247191
canine lymphosarcoma,245.tiff,3,50,0.10112359550561797
canine lymphosarcoma,245.tiff,3,100,0.15730337078651685
canine lymphosarcoma,245.tiff,3,250,0.24719101123595505
canine lymphosarcoma,245.tiff,3,500,0.33707865168539325
canine lymphosarcoma,245.tiff,3,1000,0.42696629213483145
canine lymphosarcoma,245.tiff,3,2000,0.5730337078651685
canine lymphosarcoma,245.tiff,3,5000,0.7191011235955056
canine lymphosarcoma,245.tiff,4,25,0.0898876404494382
canine lymphosarcoma,245.tiff,4,50,0.14606741573033707
canine lymphosarcoma,245.tiff,4,100,0.20224719101123595
canine lymphosarcoma,245.tiff,4,250,0.29213483146067415
canine lymphosarcoma,245.tiff,4,500,0.38202247191011235
canine lymphosarcoma,245.tiff,4,1000,0.43820224719101125
canine lymphosarcoma,245.tiff,4,2000,0.5393258426966292
canine lymphosarcoma,245.tiff,4,5000,0.6853932584269663
canine lymphosarcoma,246.tiff,0,25,0.1826086956521739
canine lymphosarcoma,246.tiff,0,50,0.2782608695652174
canine lymphosarcoma,246.tiff,0,100,0.4260869565217391
canine lymphosarcoma,246.tiff,0,250,0.6347826086956522
canine lymphosarcoma,246.tiff,0,500,0.7130434782608696
canine lymphosarcoma,246.tiff,0,1000,0.8521739130434782
canine lymphosarcoma,246.tiff,0,2000,0.9565217391304348
canine lymphosarcoma,246.tiff,0,5000,0.991304347826087
canine lymphosarcoma,246.tiff,1,25,0.16521739130434782
canine lymphosarcoma,246.tiff,1,50,0.26956521739130435
canine lymphosarcoma,246.tiff,1,100,0.41739130434782606
canine lymphosarcoma,246.tiff,1,250,0.6086956521739131
canine lymphosarcoma,246.tiff,1,500,0.7565217391304347
canine lymphosarcoma,246.tiff,1,1000,0.8434782608695652
canine lymphosarcoma,246.tiff,1,2000,0.8956521739130435
canine lymphosarcoma,246.tiff,1,5000,0.9565217391304348
canine lymphosarcoma,246.tiff,2,25,0.2
canine lymphosarcoma,246.tiff,2,50,0.3130434782608696
canine lymphosarcoma,246.tiff,2,100,0.4260869565217391
canine lymphosarcoma,246.tiff,2,250,0.6521739130434783
canine lymphosarcoma,246.tiff,2,500,0.7739130434782608
canine lymphosarcoma,246.tiff,2,1000,0.8608695652173913
canine lymphosarcoma,246.tiff,2,2000,0.9217391304347826
canine lymphosarcoma,246.tiff,2,5000,0.9652173913043478
canine lymphosarcoma,246.tiff,3,25,0.2
canine lymphosarcoma,246.tiff,3,50,0.3130434782608696
canine lymphosarcoma,246.tiff,3,100,0.45217391304347826
canine lymphosarcoma,246.tiff,3,250,0.6173913043478261
canine lymphosarcoma,246.tiff,3,500,0.7217391304347827
canine lymphosarcoma,246.tiff,3,1000,0.8
canine lymphosarcoma,246.tiff,3,2000,0.8782608695652174
canine lymphosarcoma,246.tiff,3,5000,0.9739130434782609
canine lymphosarcoma,246.tiff,4,25,0.19130434782608696
canine lymphosarcoma,246.tiff,4,50,0.28695652173913044
canine lymphosarcoma,246.tiff,4,100,0.3826086956521739
canine lymphosarcoma,246.tiff,4,250,0.591304347826087
canine lymphosarcoma,246.tiff,4,500,0.7652173913043478
canine lymphosarcoma,246.tiff,4,1000,0.8869565217391304
canine lymphosarcoma,246.tiff,4,2000,0.9478260869565217
canine lymphosarcoma,246.tiff,4,5000,0.991304347826087
canine cutaneous mast cell tumor,300.tiff,0,25,0.09444444444444444
canine cutaneous mast cell tumor,300.tiff,0,50,0.17777777777777778
canine cutaneous mast cell tumor,300.tiff,0,100,0.3
canine cutaneous mast cell tumor,300.tiff,0,250,0.4222222222222222
canine cutaneous mast cell tumor,300.tiff,0,500,0.5944444444444444
canine cutaneous mast cell tumor,300.tiff,0,1000,0.6888888888888889
canine cutaneous mast cell tumor,300.tiff,0,2000,0.8
canine cutaneous mast cell tumor,300.tiff,0,5000,0.9111111111111111
canine cutaneous mast cell tumor,300.tiff,1,25,0.08333333333333333
canine cutaneous mast cell tumor,300.tiff,1,50,0.13333333333333333
canine cutaneous mast cell tumor,300.tiff,1,100,0.2388888888888889
canine cutaneous mast cell tumor,300.tiff,1,250,0.3888888888888889
canine cutaneous mast cell tumor,300.tiff,1,500,0.5444444444444444
canine cutaneous mast cell tumor,300.tiff,1,1000,0.7333333333333333
canine cutaneous mast cell tumor,300.tiff,1,2000,0.8555555555555555
canine cutaneous mast cell tumor,300.tiff,1,5000,0.9555555555555556
canine cutaneous mast cell tumor,300.tiff,2,25,0.11666666666666667
canine cutaneous mast cell tumor,300.tiff,2,50,0.23333333333333334
canine cutaneous mast cell tumor,300.tiff,2,100,0.40555555555555556
canine cutaneous mast cell tumor,300.tiff,2,250,0.6555555555555556
canine cutaneous mast cell tumor,300.tiff,2,500,0.7333333333333333
canine cutaneous mast cell tumor,300.tiff,2,1000,0.8055555555555556
canine cutaneous mast cell tumor,300.tiff,2,2000,0.8611111111111112
canine cutaneous mast cell tumor,300.tiff,2,5000,0.9277777777777778
canine cutaneous mast cell tumor,300.tiff,3,25,0.11666666666666667
canine cutaneous mast cell tumor,300.tiff,3,50,0.23333333333333334
canine cutaneous mast cell tumor,300.tiff,3,100,0.40555555555555556
canine cutaneous mast cell tumor,300.tiff,3,250,0.6555555555555556
canine cutaneous mast cell tumor,300.tiff,3,500,0.7333333333333333
canine cutaneous mast cell tumor,300.tiff,3,1000,0.8055555555555556
canine cutaneous mast cell tumor,300.tiff,3,2000,0.8611111111111112
canine cutaneous mast cell tumor,300.tiff,3,5000,0.9277777777777778
canine cutaneous mast cell tumor,300.tiff,4,25,0.10555555555555556
canine cutaneous mast cell tumor,300.tiff,4,50,0.18333333333333332
canine cutaneous mast cell tumor,300.tiff,4,100,0.25555555555555554
canine cutaneous mast cell tumor,300.tiff,4,250,0.4388888888888889
canine cutaneous mast cell tumor,300.tiff,4,500,0.5777777777777777
canine cutaneous mast cell tumor,300.tiff,4,1000,0.7444444444444445
canine cutaneous mast cell tumor,300.tiff,4,2000,0.8388888888888889
canine cutaneous mast cell tumor,300.tiff,4,5000,0.9277777777777778
canine cutaneous mast cell tumor,301.tiff,0,25,0.0967741935483871
canine cutaneous mast cell tumor,301.tiff,0,50,0.17511520737327188
canine cutaneous mast cell tumor,301.tiff,0,100,0.3271889400921659
canine cutaneous mast cell tumor,301.tiff,0,250,0.47465437788018433
canine cutaneous mast cell tumor,301.tiff,0,500,0.5576036866359447
canine cutaneous mast cell tumor,301.tiff,0,1000,0.6497695852534562
canine cutaneous mast cell tumor,301.tiff,0,2000,0.7788018433179723
canine cutaneous mast cell tumor,301.tiff,0,5000,0.9032258064516129
canine cutaneous mast cell tumor,301.tiff,1,25,0.08755760368663594
canine cutaneous mast cell tumor,301.tiff,1,50,0.14285714285714285
canine cutaneous mast cell tumor,301.tiff,1,100,0.23963133640552994
canine cutaneous mast cell tumor,301.tiff,1,250,0.41013824884792627
canine cutaneous mast cell tumor,301.tiff,1,500,0.6175115207373272
canine cutaneous mast cell tumor,301.tiff,1,1000,0.7235023041474654
canine cutaneous mast cell tumor,301.tiff,1,2000,0.8341013824884793
canine cutaneous mast cell tumor,301.tiff,1,5000,0.9539170506912442
canine cutaneous mast cell tumor,301.tiff,2,25,0.08755760368663594
canine cutaneous mast cell tumor,301.tiff,2,50,0.17972350230414746
canine cutaneous mast cell tumor,301.tiff,2,100,0.3317972350230415
canine cutaneous mast cell tumor,301.tiff,2,250,0.5990783410138248
canine cutaneous mast cell tumor,301.tiff,2,500,0.7649769585253456
canine cutaneous mast cell tumor,301.tiff,2,1000,0.8709677419354839
canine cutaneous mast cell tumor,301.tiff,2,2000,0.9447004608294931
canine cutaneous mast cell tumor,301.tiff,2,5000,0.9769585253456221
canine cutaneous mast cell tumor,301.tiff,3,25,0.06912442396313365
canine cutaneous mast cell tumor,301.tiff,3,50,0.1382488479262673
canine cutaneous mast cell tumor,301.tiff,3,100,0.2350230414746544
canine cutaneous mast cell tumor,301.tiff,3,250,0.45161290322580644
canine cutaneous mast cell tumor,301.tiff,3,500,0.6267281105990783
canine cutaneous mast cell tumor,301.tiff,3,1000,0.7741935483870968
canine cutaneous mast cell tumor,301.tiff,3,2000,0.8617511520737328
canine cutaneous mast cell tumor,301.tiff,3,5000,0.9400921658986175
canine cutaneous mast cell tumor,301.tiff,4,25,0.10138248847926268
canine cutaneous mast cell tumor,301.tiff,4,50,0.2073732718894009
canine cutaneous mast cell tumor,301.tiff,4,100,0.3686635944700461
canine cutaneous mast cell tumor,301.tiff,4,250,0.5622119815668203
canine cutaneous mast cell tumor,301.tiff,4,500,0.6405529953917051
canine cutaneous mast cell tumor,301.tiff,4,1000,0.7557603686635944
canine cutaneous mast cell tumor,301.tiff,4,2000,0.8341013824884793
canine cutaneous mast cell tumor,301.tiff,4,5000,0.9308755760368663
human neuroendocrine tumor,402.tiff,0,25,0.11538461538461539
human neuroendocrine tumor,402.tiff,0,50,0.22115384615384615
human neuroendocrine tumor,402.tiff,0,100,0.4230769230769231
human neuroendocrine tumor,402.tiff,0,250,0.7403846153846154
human neuroendocrine tumor,402.tiff,0,500,0.875
human neuroendocrine tumor,402.tiff,0,1000,0.9423076923076923
human neuroendocrine tumor,402.tiff,0,2000,0.9807692307692307
human neuroendocrine tumor,402.tiff,0,5000,0.9903846153846154
human neuroendocrine tumor,402.tiff,1,25,0.18269230769230768
human neuroendocrine tumor,402.tiff,1,50,0.3076923076923077
human neuroendocrine tumor,402.tiff,1,100,0.4807692307692308
human neuroendocrine tumor,402.tiff,1,250,0.6923076923076923
human neuroendocrine tumor,402.tiff,1,500,0.8365384615384616
human neuroendocrine tumor,402.tiff,1,1000,0.875
human neuroendocrine tumor,402.tiff,1,2000,0.9230769230769231
human neuroendocrine tumor,402.tiff,1,5000,0.9711538461538461
human neuroendocrine tumor,402.tiff,2,25,0.125
human neuroendocrine tumor,402.tiff,2,50,0.21153846153846154
human neuroendocrine tumor,402.tiff,2,100,0.2980769230769231
human neuroendocrine tumor,402.tiff,2,250,0.5384615384615384
human neuroendocrine tumor,402.tiff,2,500,0.7019230769230769
human neuroendocrine tumor,402.tiff,2,1000,0.8461538461538461
human neuroendocrine tumor,402.tiff,2,2000,0.9326923076923077
human neuroendocrine tumor,402.tiff,2,5000,0.9903846153846154
human neuroendocrine tumor,402.tiff,3,25,0.17307692307692307
human neuroendocrine tumor,402.tiff,3,50,0.2980769230769231
human neuroendocrine tumor,402.tiff,3,100,0.47115384615384615
human neuroendocrine tumor,402.tiff,3,250,0.6826923076923077
human neuroendocrine tumor,402.tiff,3,500,0.8461538461538461
human neuroendocrine tumor,402.tiff,3,1000,0.9134615384615384
human neuroendocrine tumor,402.tiff,3,2000,0.9711538461538461
human neuroendocrine tumor,402.tiff,3,5000,0.9903846153846154
human neuroendocrine tumor,402.tiff,4,25,0.0673076923076923
human neuroendocrine tumor,402.tiff,4,50,0.14423076923076922
human neuroendocrine tumor,402.tiff,4,100,0.28846153846153844
human neuroendocrine tumor,402.tiff,4,250,0.5288461538461539
human neuroendocrine tumor,402.tiff,4,500,0.7403846153846154
human neuroendocrine tumor,402.tiff,4,1000,0.8557692307692307
human neuroendocrine tumor,402.tiff,4,2000,0.9615384615384616
human neuroendocrine tumor,402.tiff,4,5000,0.9903846153846154
human neuroendocrine tumor,403.tiff,0,25,0.1346153846153846
human neuroendocrine tumor,403.tiff,0,50,0.23076923076923078
human neuroendocrine tumor,403.tiff,0,100,0.4423076923076923
human neuroendocrine tumor,403.tiff,0,250,0.6346153846153846
human neuroendocrine tumor,403.tiff,0,500,0.7692307692307693
human neuroendocrine tumor,403.tiff,0,1000,0.8653846153846154
human neuroendocrine tumor,403.tiff,0,2000,0.9230769230769231
human neuroendocrine tumor,403.tiff,0,5000,0.9807692307692307
human neuroendocrine tumor,403.tiff,1,25,0.15384615384615385
human neuroendocrine tumor,403.tiff,1,50,0.19230769230769232
human neuroendocrine tumor,403.tiff,1,100,0.23076923076923078
human neuroendocrine tumor,403.tiff,1,250,0.46153846153846156
human neuroendocrine tumor,403.tiff,1,500,0.6153846153846154
human neuroendocrine tumor,403.tiff,1,1000,0.7307692307692307
human neuroendocrine tumor,403.tiff,1,2000,0.8269230769230769
human neuroendocrine tumor,403.tiff,1,5000,1.0
human neuroendocrine tumor,403.tiff,2,25,0.11538461538461539
human neuroendocrine tumor,403.tiff,2,50,0.23076923076923078
human neuroendocrine tumor,403.tiff,2,100,0.36538461538461536
human neuroendocrine tumor,403.tiff,2,250,0.5576923076923077
human neuroendocrine tumor,403.tiff,2,500,0.6346153846153846
human neuroendocrine tumor,403.tiff,2,1000,0.7115384615384616
human neuroendocrine tumor,403.tiff,2,2000,0.8846153846153846
human neuroendocrine tumor,403.tiff,2,5000,0.9807692307692307
human neuroendocrine tumor,403.tiff,3,25,0.11538461538461539
human neuroendocrine tumor,403.tiff,3,50,0.19230769230769232
human neuroendocrine tumor,403.tiff,3,100,0.25
human neuroendocrine tumor,403.tiff,3,250,0.38461538461538464
human neuroendocrine tumor,403.tiff,3,500,0.46153846153846156
human neuroendocrine tumor,403.tiff,3,1000,0.7307692307692307
human neuroendocrine tumor,403.tiff,3,2000,0.8269230769230769
human neuroendocrine tumor,403.tiff,3,5000,0.9807692307692307
human neuroendocrine tumor,403.tiff,4,25,0.1346153846153846
human neuroendocrine tumor,403.tiff,4,50,0.23076923076923078
human neuroendocrine tumor,403.tiff,4,100,0.4423076923076923
human neuroendocrine tumor,403.tiff,4,250,0.6346153846153846
human neuroendocrine tumor,403.tiff,4,500,0.7692307692307693
human neuroendocrine tumor,403.tiff,4,1000,0.8653846153846154
human neuroendocrine tumor,403.tiff,4,2000,0.9230769230769231
human neuroendocrine tumor,403.tiff,4,5000,0.9807692307692307
canine soft tissue sarcoma,459.tiff,0,25,0.1076923076923077
canine soft tissue sarcoma,459.tiff,0,50,0.18461538461538463
canine soft tissue sarcoma,459.tiff,0,100,0.3076923076923077
canine soft tissue sarcoma,459.tiff,0,250,0.4153846153846154
canine soft tissue sarcoma,459.tiff,0,500,0.5153846153846153
canine soft tissue sarcoma,459.tiff,0,1000,0.6692307692307692
canine soft tissue sarcoma,459.tiff,0,2000,0.7923076923076923
canine soft tissue sarcoma,459.tiff,0,5000,0.9
canine soft tissue sarcoma,459.tiff,1,25,0.13846153846153847
canine soft tissue sarcoma,459.tiff,1,50,0.24615384615384617
canine soft tissue sarcoma,459.tiff,1,100,0.4076923076923077
canine soft tissue sarcoma,459.tiff,1,250,0.5923076923076923
canine soft tissue sarcoma,459.tiff,1,500,0.7076923076923077
