file_name,tumor_type,seed_index,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,axis,cutoff_rule,z_used,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,canine cutaneous mast cell tumor,1,tm_score@domain,score,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,domain,1.66567,250,250,89,29,0.41013824884792627
301.tiff,canine cutaneous mast cell tumor,1,tm_score@domain,score,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,domain,1.66567,500,500,134,47,0.6175115207373272
301.tiff,canine cutaneous mast cell tumor,1,tm_score@domain,score,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,domain,1.66567,1000,1000,157,59,0.7235023041474654
301.tiff,canine cutaneous mast cell tumor,1,tm_score@domain,score,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,domain,1.66567,2000,2000,181,86,0.8341013824884793
301.tiff,canine cutaneous mast cell tumor,1,tm_score@domain,score,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,323.0,1656.0,3179.0,4956.0,13565.0,15769.0,tm_score,domain,1.66567,5000,5000,207,97,0.9539170506912442
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@domain,od,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,299.0,1534.0,3686.0,6086.0,10114.0,17502.0,chromatin_od,domain,1.66567,25,25,16,2,0.07373271889400922
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@domain,od,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,299.0,1534.0,3686.0,6086.0,10114.0,17502.0,chromatin_od,domain,1.66567,50,50,26,3,0.11981566820276497
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@domain,od,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,299.0,1534.0,3686.0,6086.0,10114.0,17502.0,chromatin_od,domain,1.66567,100,100,50,3,0.2304147465437788
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@domain,od,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,299.0,1534.0,3686.0,6086.0,10114.0,17502.0,chromatin_od,domain,1.66567,250,250,99,18,0.45622119815668205
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@domain,od,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,299.0,1534.0,3686.0,6086.0,10114.0,17502.0,chromatin_od,domain,1.66567,500,500,134,33,0.6175115207373272
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@domain,od,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,299.0,1534.0,3686.0,6086.0,10114.0,17502.0,chromatin_od,domain,1.66567,1000,1000,157,51,0.7235023041474654
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@domain,od,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,299.0,1534.0,3686.0,6086.0,10114.0,17502.0,chromatin_od,domain,1.66567,2000,2000,180,82,0.8294930875576036
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od@domain,od,True,1.66567,True,False,217,109,22016,0.9316,109,2,0.0,1.0,29.609,299.0,1534.0,3686.0,6086.0,10114.0,17502.0,chromatin_od,domain,1.66567,5000,5000,203,100,0.9354838709677419
301.tiff,canine cutaneous mast cell tumor,2,tm_score@current,score,True,1.0,True,False,217,109,29263,0.9893,109,2,0.0,1.0,29.609,172.0,599.0,1226.0,2324.0,7358.0,10756.0,tm_score,current,1.0,25,25,19,6,0.08755760368663594
301.tiff,canine cutaneous mast cell tumor,2,tm_score@current,score,True,1.0,True,False,217,109,29263,0.9893,109,2,0.0,1.0,29.609,172.0,599.0,1226.0,2324.0,7358.0,10756.0,tm_score,current,1.0,50,50,39,6,0.17972350230414746
301.tiff,canine cutaneous mast cell tumor,2,tm_score@current,score,True,1.0,True,False,217,109,29263,0.9893,109,2,0.0,1.0,29.609,172.0,599.0,1226.0,2324.0,7358.0,10756.0,tm_score,current,1.0,100,100,72,10,0.3317972350230415
