rank_key,subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
chromatin_od,testing_35,human melanoma,549.tiff,mass_only - fill_alpha_1,30,-1,-4,-3,-8
chromatin_od,original_14,human neuroendocrine tumor,402.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,original_14,human neuroendocrine tumor,402.tiff,mass_only - fill_alpha_1,20,1,1,1,3
chromatin_od,original_14,human neuroendocrine tumor,402.tiff,mass_only - fill_alpha_1,30,0,1,1,2
chromatin_od,original_14,human neuroendocrine tumor,403.tiff,mass_only - fill_alpha_1,10,1,0,-1,0
chromatin_od,original_14,human neuroendocrine tumor,403.tiff,mass_only - fill_alpha_1,20,1,4,-2,3
chromatin_od,original_14,human neuroendocrine tumor,403.tiff,mass_only - fill_alpha_1,30,3,5,0,8
chromatin_od,testing_35,human neuroendocrine tumor,353.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,human neuroendocrine tumor,353.tiff,mass_only - fill_alpha_1,20,0,1,0,1
chromatin_od,testing_35,human neuroendocrine tumor,353.tiff,mass_only - fill_alpha_1,30,-1,0,1,0
chromatin_od,testing_35,human neuroendocrine tumor,364.tiff,mass_only - fill_alpha_1,10,-1,0,0,-1
chromatin_od,testing_35,human neuroendocrine tumor,364.tiff,mass_only - fill_alpha_1,20,-1,0,0,-1
chromatin_od,testing_35,human neuroendocrine tumor,364.tiff,mass_only - fill_alpha_1,30,-1,0,0,-1
chromatin_od,testing_35,human neuroendocrine tumor,400.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,human neuroendocrine tumor,400.tiff,mass_only - fill_alpha_1,20,0,1,1,2
chromatin_od,testing_35,human neuroendocrine tumor,400.tiff,mass_only - fill_alpha_1,30,1,0,2,3
chromatin_od,testing_35,human neuroendocrine tumor,401.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,human neuroendocrine tumor,401.tiff,mass_only - fill_alpha_1,20,0,0,0,0
chromatin_od,testing_35,human neuroendocrine tumor,401.tiff,mass_only - fill_alpha_1,30,0,1,0,1
chromatin_od,testing_35,human neuroendocrine tumor,404.tiff,mass_only - fill_alpha_1,10,1,2,0,3
chromatin_od,testing_35,human neuroendocrine tumor,404.tiff,mass_only - fill_alpha_1,20,1,5,2,8
chromatin_od,testing_35,human neuroendocrine tumor,404.tiff,mass_only - fill_alpha_1,30,3,6,1,10
chromatin_od,original_14,canine cutaneous mast cell tumor,300.tiff,mass_only - fill_alpha_0,10,0,0,-1,-1
chromatin_od,original_14,canine cutaneous mast cell tumor,300.tiff,mass_only - fill_alpha_0,20,0,-1,0,-1
chromatin_od,original_14,canine cutaneous mast cell tumor,300.tiff,mass_only - fill_alpha_0,30,-1,-2,-1,-4
chromatin_od,original_14,canine cutaneous mast cell tumor,301.tiff,mass_only - fill_alpha_0,10,-3,0,-2,-5
chromatin_od,original_14,canine cutaneous mast cell tumor,301.tiff,mass_only - fill_alpha_0,20,-3,1,-3,-5
chromatin_od,original_14,canine cutaneous mast cell tumor,301.tiff,mass_only - fill_alpha_0,30,-7,2,-3,-8
chromatin_od,testing_35,canine cutaneous mast cell tumor,322.tiff,mass_only - fill_alpha_0,10,0,0,0,0
