file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,z_at_rank,precision_at_budget
201.tiff,canine lung cancer,201,4457,51,0.40179,0.5845,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15532,0.9303,49,2,0.0,1.0,30.222,43.0,146.0,439.0,1196.0,1196.0,1196.0,30,30,7,9,0.4117647058823529,6.1479022745433145,0.23333333333333334
201.tiff,canine lung cancer,201,4457,51,0.40179,0.5845,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15532,0.9303,49,2,0.0,1.0,30.222,43.0,146.0,439.0,1196.0,1196.0,1196.0,50,50,10,11,0.5882352941176471,5.8269177992248675,0.2
233.tiff,canine lung cancer,233,5761,25,0.11325,0.16865,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17070,0.9539,22,2,0.0,1.0,30.222,26.0,113.0,668.0,1371.0,1371.0,1371.0,10,10,4,1,0.23529411764705882,9.69013198764118,0.4
233.tiff,canine lung cancer,233,5761,25,0.11325,0.16865,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17070,0.9539,22,2,0.0,1.0,30.222,26.0,113.0,668.0,1371.0,1371.0,1371.0,20,20,7,2,0.4117647058823529,9.156466965137895,0.35
233.tiff,canine lung cancer,233,5761,25,0.11325,0.16865,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17070,0.9539,22,2,0.0,1.0,30.222,26.0,113.0,668.0,1371.0,1371.0,1371.0,30,30,9,2,0.5294117647058824,8.827377846336269,0.3
233.tiff,canine lung cancer,233,5761,25,0.11325,0.16865,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17070,0.9539,22,2,0.0,1.0,30.222,26.0,113.0,668.0,1371.0,1371.0,1371.0,50,50,11,4,0.6470588235294118,8.508289141758755,0.22
245.tiff,canine lymphosarcoma,245,6274,47,0.28515,0.1547,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,18790,0.9772,70,2,0.0,0.9550561797752809,30.222,1667.0,5343.0,11128.0,12569.0,,,10,10,1,0,0.011235955056179775,6.415151548082082,0.1
245.tiff,canine lymphosarcoma,245,6274,47,0.28515,0.1547,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,18790,0.9772,70,2,0.0,0.9550561797752809,30.222,1667.0,5343.0,11128.0,12569.0,,,20,20,1,1,0.011235955056179775,6.12352551948861,0.05
245.tiff,canine lymphosarcoma,245,6274,47,0.28515,0.1547,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,18790,0.9772,70,2,0.0,0.9550561797752809,30.222,1667.0,5343.0,11128.0,12569.0,,,30,30,1,1,0.011235955056179775,5.918235140325826,0.03333333333333333
245.tiff,canine lymphosarcoma,245,6274,47,0.28515,0.1547,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,18790,0.9772,70,2,0.0,0.9550561797752809,30.222,1667.0,5343.0,11128.0,12569.0,,,50,50,1,2,0.011235955056179775,5.6888928995616626,0.02
