subset,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,margin_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
testing_35,canine cutaneous mast cell tumor,337.tiff,337,2,default_51,17118,5688.0,3403.0,0.2533008895448562,29.609055118110238,4,29,2bcfdb350d19012a13d821c9fbaec76f88bd57b0,100,99,1,0,,0,True,6.395,8,11,13,30.0,0.8,0.55,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,337.tiff,337,2,hem_rect_fill,17118,5688.0,3403.0,0.2533008895448562,29.609055118110238,4,29,f639dd346001779587d679b6dea38f8b9f45bb2f,100,99,1,0,,0,True,4.98,8,11,13,30.0,0.8,0.55,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,337.tiff,337,2,hem_rect_fill_1um,17118,5688.0,3403.0,0.2533008895448562,29.609055118110238,4,29,cc6e0b4a8bf9fa170a3a76b8271601cfd4a346f9,100,99,1,0,,0,True,4.898,8,11,13,,0.8,0.55,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,339.tiff,339,0,default_51,17152,587.0,1289.0,0.2533008895448562,29.609055118110238,4,14,16ad063e052f9384fcfe7853f9ae7193697ef1ce,100,98,1,0,,0,True,5.936,4,5,7,30.0,0.4,0.25,0.23333333333333334
testing_35,canine cutaneous mast cell tumor,339.tiff,339,0,hem_rect_fill,17152,587.0,1289.0,0.2533008895448562,29.609055118110238,4,14,3654e1ea061efa92eaae0fad9414bcb2dbefa797,100,98,1,0,,0,True,4.84,4,5,7,30.0,0.4,0.25,0.23333333333333334
testing_35,canine cutaneous mast cell tumor,339.tiff,339,0,hem_rect_fill_1um,17152,587.0,1289.0,0.2533008895448562,29.609055118110238,4,14,9b6da397645f04b907d40d277a338cc8396e5a38,100,98,1,0,,0,True,5.243,4,5,7,,0.4,0.25,0.23333333333333334
testing_35,canine cutaneous mast cell tumor,339.tiff,339,1,default_51,17149,1659.0,41.0,0.2533008895448562,29.609055118110238,4,14,38beb41eb8ec6e2a146b623b80157d7ed89ed0f0,100,99,1,0,,0,True,5.682,4,5,5,30.0,0.4,0.25,0.16666666666666666
testing_35,canine cutaneous mast cell tumor,339.tiff,339,1,hem_rect_fill,17149,1659.0,41.0,0.2533008895448562,29.609055118110238,4,14,f496b3496fb602287a408ebdafb57e77346f1318,100,99,1,0,,0,True,5.674,5,5,5,30.0,0.5,0.25,0.16666666666666666
testing_35,canine cutaneous mast cell tumor,339.tiff,339,1,hem_rect_fill_1um,17149,1659.0,41.0,0.2533008895448562,29.609055118110238,4,14,8dd1c65b63d999918be5cfcea6ffe8ebc7c4a238,100,99,1,0,,0,True,5.648,5,5,5,,0.5,0.25,0.16666666666666666
testing_35,canine cutaneous mast cell tumor,339.tiff,339,2,default_51,17151,4409.0,140.0,0.2533008895448562,29.609055118110238,4,14,d0b63c871f08a1d8deded9e96de17d1e1e7bcd10,100,98,1,0,,0,True,6.827,5,6,6,30.0,0.5,0.3,0.2
testing_35,canine cutaneous mast cell tumor,339.tiff,339,2,hem_rect_fill,17151,4409.0,140.0,0.2533008895448562,29.609055118110238,4,14,fafa6f80857d1eeae39318b58d7ac6d7a58dd7bc,100,98,1,0,,0,True,5.711,5,6,6,30.0,0.5,0.3,0.2
testing_35,canine cutaneous mast cell tumor,339.tiff,339,2,hem_rect_fill_1um,17151,4409.0,140.0,0.2533008895448562,29.609055118110238,4,14,9e60f7c49d08d3cdd7afd690745c373f21b6efc1,100,98,1,0,,0,True,5.453,5,6,6,,0.5,0.3,0.2
testing_35,canine cutaneous mast cell tumor,343.tiff,343,0,default_51,17382,5675.0,4651.0,0.2533008895448562,29.609055118110238,4,36,b774afe99b8c4f96ce18b56d8dea55e11395d6f6,100,95,1,0,,0,True,4.388,6,9,9,30.0,0.6,0.45,0.3
testing_35,canine cutaneous mast cell tumor,343.tiff,343,0,hem_rect_fill,17382,5675.0,4651.0,0.2533008895448562,29.609055118110238,4,36,993e97288ccf2160805601bc0b5841397c59ef86,100,99,0,0,,0,True,3.43,7,7,11,30.0,0.7,0.35,0.36666666666666664
testing_35,canine cutaneous mast cell tumor,343.tiff,343,0,hem_rect_fill_1um,17382,5675.0,4651.0,0.2533008895448562,29.609055118110238,4,36,16762b6ac30ec27ce5a03c757306354f230fc2f3,100,98,1,0,,0,True,3.503,7,7,11,,0.7,0.35,0.36666666666666664
testing_35,canine cutaneous mast cell tumor,343.tiff,343,1,default_51,17363,489.0,4565.0,0.2533008895448562,29.609055118110238,4,36,6ece88324204eb4bf947a1e6e2d193312caddd58,100,99,1,0,,0,True,3.243,7,8,11,30.0,0.7,0.4,0.36666666666666664
testing_35,canine cutaneous mast cell tumor,343.tiff,343,1,hem_rect_fill,17363,489.0,4565.0,0.2533008895448562,29.609055118110238,4,36,4b502ac39ae5424bf6558e46548c6ab9216126d7,100,99,0,0,,0,True,3.918,7,8,9,30.0,0.7,0.4,0.3
testing_35,canine cutaneous mast cell tumor,343.tiff,343,1,hem_rect_fill_1um,17363,489.0,4565.0,0.2533008895448562,29.609055118110238,4,36,02f09746be41b0a94088939dea4ec2db18279f79,100,99,0,0,,0,True,4.844,7,8,10,,0.7,0.4,0.3333333333333333
testing_35,canine cutaneous mast cell tumor,343.tiff,343,2,default_51,17368,2083.0,2749.0,0.2533008895448562,29.609055118110238,4,36,74ac1062665f7ba02c13de668f7facc9a3d70f60,100,99,1,0,,0,True,5.624,8,9,12,30.0,0.8,0.45,0.4
testing_35,canine cutaneous mast cell tumor,343.tiff,343,2,hem_rect_fill,17368,2083.0,2749.0,0.2533008895448562,29.609055118110238,4,36,fc0718adae5b0c252a278153541986a2c2a360e3,100,99,1,0,,0,True,6.003,8,9,12,30.0,0.8,0.45,0.4
testing_35,canine cutaneous mast cell tumor,343.tiff,343,2,hem_rect_fill_1um,17368,2083.0,2749.0,0.2533008895448562,29.609055118110238,4,36,a40cd734a9a6c2e78d056ca5c482409294a55742,100,99,1,0,,0,True,4.949,8,9,11,,0.8,0.45,0.36666666666666664
testing_35,canine cutaneous mast cell tumor,344.tiff,344,0,default_51,17457,1797.0,3481.0,0.2533008895448562,29.609055118110238,4,43,8a5236e8821278f3c63e7cfc2a07b82597ed3e28,100,99,1,0,,0,True,5.111,6,12,19,30.0,0.6,0.6,0.6333333333333333
testing_35,canine cutaneous mast cell tumor,344.tiff,344,0,hem_rect_fill,17457,1797.0,3481.0,0.2533008895448562,29.609055118110238,4,43,b78a85bb02ac6cca3d2712c126f393a262a3572b,100,99,1,0,,0,True,5.37,6,12,19,30.0,0.6,0.6,0.6333333333333333
testing_35,canine cutaneous mast cell tumor,344.tiff,344,0,hem_rect_fill_1um,17457,1797.0,3481.0,0.2533008895448562,29.609055118110238,4,43,14f650f4fa7eade9c95518abdd15322af3655fe4,100,99,1,0,,0,True,5.472,6,12,19,,0.6,0.6,0.6333333333333333
testing_35,canine cutaneous mast cell tumor,344.tiff,344,1,default_51,17469,4351.0,1782.0,0.2533008895448562,29.609055118110238,4,43,90f14f7f33a951d6bb335b2f8cf871a54ded930e,100,98,1,0,,0,True,5.486,6,15,20,30.0,0.6,0.75,0.6666666666666666
testing_35,canine cutaneous mast cell tumor,344.tiff,344,1,hem_rect_fill,17469,4351.0,1782.0,0.2533008895448562,29.609055118110238,4,43,8436d17061392762f6f872bb7b78044a0d6916e5,100,99,1,0,,0,True,7.52,6,14,19,30.0,0.6,0.7,0.6333333333333333
testing_35,canine cutaneous mast cell tumor,344.tiff,344,1,hem_rect_fill_1um,17469,4351.0,1782.0,0.2533008895448562,29.609055118110238,4,43,5a059835626bab636a6ac76001f36ad1348bbee0,100,99,1,0,,0,True,6.404,6,15,19,,0.6,0.75,0.6333333333333333
