file_name,image_id,tumor_type,seed_index,seed_ann_id,arm_tag,arm,axis,z,roi_h,roi_w,pad_px,match_radius_px,map_median,mad_scale,deep_floor,z_cut,n_peaks_deep,n_pool,n_detections,n_gt_mitotic,n_found,n_gained_vs_pad_off,n_lost_vs_pad_off,n_gained_in_band,n_lost_in_band,gained_ann_ids,gained_edge_dists_px,lost_ann_ids,lost_edge_dists_px,n_band_candidates_pool,n_band_candidates_h,n_within_match_radius,n_dup_fp,dup_fp_frac,band_in_top50,margin_tp_density_k50,band_in_top250,margin_tp_density_k250,band_in_top1000,margin_tp_density_k1000,interior_lost_prenms,interior_gained_prenms,interior_lost_total_h,interior_lost_dilation_h,interior_lost_postnms_z
013.tiff,13,human breast cancer,1,243,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5412,7215,25,33.139,-0.029256,0.190341,-0.314768,0.161086,42985,15935,10915,17,16,0,1,0,0,,,262,34.0,0,0,43,12,0.001099,0,3,0,0,0,0,302,3,121,83,38
013.tiff,13,human breast cancer,1,243,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5412,7215,25,33.139,-0.029256,0.190341,-0.314768,0.161086,42985,16363,11187,17,17,0,0,0,0,,,,,428,272,44,12,0.001073,2,3,10,0,31,0,302,3,121,83,38
013.tiff,13,human breast cancer,2,260,pad_off,tm_score@pad_off,tm_score,1.0,5412,7215,25,33.139,-0.021417,0.314811,-0.493634,0.293395,31954,16087,11024,17,17,0,0,0,0,,,,,0,0,57,25,0.002268,0,3,0,0,0,0,274,2,108,96,12
013.tiff,13,human breast cancer,2,260,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5412,7215,25,33.139,-0.021234,0.314915,-0.493607,0.293681,32484,15930,10929,17,17,0,0,0,0,,,,,0,0,56,24,0.002196,0,3,0,0,0,0,274,2,108,96,12
013.tiff,13,human breast cancer,2,260,pad_on,tm_score@pad_on,tm_score,1.0,5412,7215,25,33.139,-0.021234,0.314915,-0.493607,0.293681,32484,16357,11199,17,17,0,0,0,0,,,,,427,270,57,25,0.002232,0,3,3,0,15,0,274,2,108,96,12
013.tiff,13,human breast cancer,2,260,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5412,7215,25,33.139,-0.021417,0.314811,-0.493634,0.293395,31954,16087,11024,17,17,0,0,0,0,,,,,0,0,57,25,0.002268,0,2,0,0,0,0,274,2,108,96,12
013.tiff,13,human breast cancer,2,260,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5412,7215,25,33.139,-0.021234,0.314915,-0.493607,0.293681,32484,15930,10929,17,17,0,0,0,0,,,,,0,0,56,24,0.002196,0,2,0,0,0,0,274,2,108,96,12
013.tiff,13,human breast cancer,2,260,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5412,7215,25,33.139,-0.021234,0.314915,-0.493607,0.293681,32484,16357,11199,17,17,0,0,0,0,,,,,427,270,57,25,0.002232,1,2,6,0,24,0,274,2,108,96,12
013.tiff,13,human breast cancer,3,263,pad_off,tm_score@pad_off,tm_score,1.0,5412,7215,25,33.139,-0.068212,0.327279,-0.55913,0.259067,29778,16136,9955,17,17,0,0,0,0,,,,,0,0,35,3,0.000301,0,2,0,0,0,0,253,5,95,85,10
013.tiff,13,human breast cancer,3,263,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5412,7215,25,33.139,-0.067987,0.327199,-0.558785,0.259211,30299,15989,9871,17,17,0,0,0,0,,,,,0,0,35,3,0.000304,0,2,0,0,0,0,253,5,95,85,10
013.tiff,13,human breast cancer,3,263,pad_on,tm_score@pad_on,tm_score,1.0,5412,7215,25,33.139,-0.067987,0.327199,-0.558785,0.259211,30299,16435,10152,17,17,0,0,0,0,,,,,446,281,35,3,0.000296,2,2,7,0,21,0,253,5,95,85,10
013.tiff,13,human breast cancer,3,263,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5412,7215,25,33.139,-0.068212,0.327279,-0.55913,0.259067,29778,16136,9955,17,17,0,0,0,0,,,,,0,0,35,3,0.000301,0,3,0,0,0,0,253,5,95,85,10
013.tiff,13,human breast cancer,3,263,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5412,7215,25,33.139,-0.067987,0.327199,-0.558785,0.259211,30299,15989,9871,17,17,0,0,0,0,,,,,0,0,35,3,0.000304,0,3,0,0,0,0,253,5,95,85,10
013.tiff,13,human breast cancer,3,263,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5412,7215,25,33.139,-0.067987,0.327199,-0.558785,0.259211,30299,16435,10152,17,17,0,0,0,0,,,,,446,281,35,3,0.000296,3,3,8,0,26,0,253,5,95,85,10
013.tiff,13,human breast cancer,4,242,pad_off,tm_score@pad_off,tm_score,1.0,5412,7215,25,33.139,-0.034515,0.160831,-0.275761,0.126316,38158,16903,11313,17,17,0,0,0,0,,,,,0,0,34,2,0.000177,0,5,0,1,0,0,286,1,104,87,17
013.tiff,13,human breast cancer,4,242,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5412,7215,25,33.139,-0.034419,0.160825,-0.275656,0.126406,38835,16748,11219,17,17,0,0,0,0,,,,,0,0,34,2,0.000178,0,5,0,1,0,0,286,1,104,87,17
013.tiff,13,human breast cancer,4,242,pad_on,tm_score@pad_on,tm_score,1.0,5412,7215,25,33.139,-0.034419,0.160825,-0.275656,0.126406,38835,17197,11525,17,17,0,0,0,0,,,,,449,306,34,2,0.000174,1,5,7,1,23,0,286,1,104,87,17
013.tiff,13,human breast cancer,4,242,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5412,7215,25,33.139,-0.034515,0.160831,-0.275761,0.126316,38158,16903,11313,17,17,0,0,0,0,,,,,0,0,34,2,0.000177,0,3,0,0,0,0,286,1,104,87,17
013.tiff,13,human breast cancer,4,242,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5412,7215,25,33.139,-0.034419,0.160825,-0.275656,0.126406,38835,16748,11219,17,17,0,0,0,0,,,,,0,0,34,2,0.000178,0,3,0,0,0,0,286,1,104,87,17
013.tiff,13,human breast cancer,4,242,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5412,7215,25,33.139,-0.034419,0.160825,-0.275656,0.126406,38835,17197,11525,17,17,0,0,0,0,,,,,449,306,34,2,0.000174,3,3,8,0,25,0,286,1,104,87,17
094.tiff,94,human breast cancer,0,2512,pad_off,tm_score@pad_off,tm_score,1.0,5364,7103,25,32.63,-0.010771,0.118764,-0.188918,0.107993,36831,16755,13669,81,81,0,0,0,0,,,,,0,0,208,25,0.001829,0,16,0,0,0,1,297,3,102,78,24
094.tiff,94,human breast cancer,0,2512,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5364,7103,25,32.63,-0.01059,0.118316,-0.188064,0.107726,37507,16606,13587,81,81,0,0,0,0,,,,,0,0,208,25,0.00184,0,16,0,0,0,1,297,3,102,78,24
094.tiff,94,human breast cancer,0,2512,pad_on,tm_score@pad_on,tm_score,1.0,5364,7103,25,32.63,-0.01059,0.118316,-0.188064,0.107726,37507,17053,13871,81,81,0,0,0,0,,,,,447,284,209,26,0.001874,1,16,8,0,27,1,297,3,102,78,24
094.tiff,94,human breast cancer,0,2512,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5364,7103,25,32.63,-0.010771,0.118764,-0.188918,0.107993,36831,16755,13669,81,81,0,0,0,0,,,,,0,0,208,25,0.001829,0,16,0,2,0,0,297,3,102,78,24
094.tiff,94,human breast cancer,0,2512,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5364,7103,25,32.63,-0.01059,0.118316,-0.188064,0.107726,37507,16606,13587,81,81,0,0,0,0,,,,,0,0,208,25,0.00184,0,16,0,2,0,0,297,3,102,78,24
094.tiff,94,human breast cancer,0,2512,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5364,7103,25,32.63,-0.01059,0.118316,-0.188064,0.107726,37507,17053,13871,81,81,0,0,0,0,,,,,447,284,209,26,0.001874,2,16,11,2,47,0,297,3,102,78,24
094.tiff,94,human breast cancer,1,2536,pad_off,tm_score@pad_off,tm_score,1.0,5364,7103,25,32.63,-0.010728,0.114233,-0.182078,0.103505,37412,17233,13791,81,81,0,0,0,0,,,,,0,0,210,27,0.001958,0,15,0,1,0,0,303,5,111,83,28
094.tiff,94,human breast cancer,1,2536,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5364,7103,25,32.63,-0.010524,0.113881,-0.181345,0.103357,38064,17063,13698,81,81,0,0,0,0,,,,,0,0,210,27,0.001971,0,15,0,1,0,0,303,5,111,83,28
094.tiff,94,human breast cancer,1,2536,pad_on,tm_score@pad_on,tm_score,1.0,5364,7103,25,32.63,-0.010524,0.113881,-0.181345,0.103357,38064,17512,13984,81,81,0,0,0,0,,,,,449,286,210,27,0.001931,0,15,2,1,32,0,303,5,111,83,28
094.tiff,94,human breast cancer,1,2536,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5364,7103,25,32.63,-0.010728,0.114233,-0.182078,0.103505,37412,17233,13791,81,81,0,0,0,0,,,,,0,0,210,27,0.001958,0,15,0,2,0,0,303,5,111,83,28
094.tiff,94,human breast cancer,1,2536,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5364,7103,25,32.63,-0.010524,0.113881,-0.181345,0.103357,38064,17063,13698,81,81,0,0,0,0,,,,,0,0,210,27,0.001971,0,15,0,2,0,0,303,5,111,83,28
094.tiff,94,human breast cancer,1,2536,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5364,7103,25,32.63,-0.010524,0.113881,-0.181345,0.103357,38064,17512,13984,81,81,0,0,0,0,,,,,449,286,210,27,0.001931,1,15,13,2,52,0,303,5,111,83,28
094.tiff,94,human breast cancer,2,2494,pad_off,tm_score@pad_off,tm_score,1.0,5364,7103,25,32.63,-0.015786,0.158,-0.252785,0.142213,41158,16913,12993,81,81,0,0,0,0,,,,,0,0,198,15,0.001154,0,15,0,1,0,1,339,5,106,80,26
094.tiff,94,human breast cancer,2,2494,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5364,7103,25,32.63,-0.015549,0.157448,-0.251721,0.141899,41883,16727,12896,81,81,0,0,0,0,,,,,0,0,197,15,0.001163,0,15,0,1,0,1,339,5,106,80,26
094.tiff,94,human breast cancer,2,2494,pad_on,tm_score@pad_on,tm_score,1.0,5364,7103,25,32.63,-0.015549,0.157448,-0.251721,0.141899,41883,17201,13187,81,81,0,0,0,0,,,,,474,291,198,15,0.001137,1,15,8,1,30,1,339,5,106,80,26
094.tiff,94,human breast cancer,2,2494,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5364,7103,25,32.63,-0.015786,0.158,-0.252785,0.142213,41158,16913,12993,81,81,0,0,0,0,,,,,0,0,198,15,0.001154,0,16,0,1,0,0,339,5,106,80,26
094.tiff,94,human breast cancer,2,2494,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5364,7103,25,32.63,-0.015549,0.157448,-0.251721,0.141899,41883,16727,12896,81,81,0,0,0,0,,,,,0,0,197,15,0.001163,0,16,0,1,0,0,339,5,106,80,26
094.tiff,94,human breast cancer,2,2494,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5364,7103,25,32.63,-0.015549,0.157448,-0.251721,0.141899,41883,17201,13187,81,81,0,0,0,0,,,,,474,291,198,15,0.001137,3,16,16,1,51,0,339,5,106,80,26
094.tiff,94,human breast cancer,3,2612,pad_off,tm_score@pad_off,tm_score,1.0,5364,7103,25,32.63,-0.017094,0.173252,-0.276973,0.156158,31606,16684,12726,81,81,0,0,0,0,,,,,0,0,203,20,0.001572,0,14,0,2,0,1,286,3,83,72,11
094.tiff,94,human breast cancer,3,2612,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5364,7103,25,32.63,-0.016885,0.172578,-0.275751,0.155693,32195,16518,12658,81,81,0,0,0,0,,,,,0,0,203,20,0.00158,0,14,0,2,0,1,286,3,83,72,11
094.tiff,94,human breast cancer,3,2612,pad_on,tm_score@pad_on,tm_score,1.0,5364,7103,25,32.63,-0.016885,0.172578,-0.275751,0.155693,32195,16968,12918,81,81,0,0,0,0,,,,,450,260,203,20,0.001548,0,14,7,2,30,1,286,3,83,72,11
094.tiff,94,human breast cancer,3,2612,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5364,7103,25,32.63,-0.017094,0.173252,-0.276973,0.156158,31606,16684,12726,81,81,0,0,0,0,,,,,0,0,203,20,0.001572,0,16,0,1,0,0,286,3,83,72,11
094.tiff,94,human breast cancer,3,2612,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5364,7103,25,32.63,-0.016885,0.172578,-0.275751,0.155693,32195,16518,12658,81,81,0,0,0,0,,,,,0,0,203,20,0.00158,0,16,0,1,0,0,286,3,83,72,11
094.tiff,94,human breast cancer,3,2612,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5364,7103,25,32.63,-0.016885,0.172578,-0.275751,0.155693,32195,16968,12918,81,81,0,0,0,0,,,,,450,260,203,20,0.001548,1,16,11,1,46,0,286,3,83,72,11
094.tiff,94,human breast cancer,4,2493,pad_off,tm_score@pad_off,tm_score,1.0,5364,7103,25,32.63,-0.013413,0.105497,-0.171659,0.092083,37405,17193,13654,81,81,0,0,0,0,,,,,0,0,211,28,0.002051,0,18,0,3,0,0,289,2,104,74,30
094.tiff,94,human breast cancer,4,2493,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,5364,7103,25,32.63,-0.013259,0.10516,-0.170998,0.091901,38124,17025,13568,81,81,0,0,0,0,,,,,0,0,211,28,0.002064,0,18,0,3,0,0,289,2,104,74,30
094.tiff,94,human breast cancer,4,2493,pad_on,tm_score@pad_on,tm_score,1.0,5364,7103,25,32.63,-0.013259,0.10516,-0.170998,0.091901,38124,17487,13853,81,81,0,0,0,0,,,,,462,285,211,28,0.002021,0,18,5,3,26,0,289,2,104,74,30
094.tiff,94,human breast cancer,4,2493,pad_off,chromatin_od@pad_off,chromatin_od,1.0,5364,7103,25,32.63,-0.013413,0.105497,-0.171659,0.092083,37405,17193,13654,81,81,0,0,0,0,,,,,0,0,211,28,0.002051,0,16,0,2,0,0,289,2,104,74,30
094.tiff,94,human breast cancer,4,2493,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,5364,7103,25,32.63,-0.013259,0.10516,-0.170998,0.091901,38124,17025,13568,81,81,0,0,0,0,,,,,0,0,211,28,0.002064,0,16,0,2,0,0,289,2,104,74,30
094.tiff,94,human breast cancer,4,2493,pad_on,chromatin_od@pad_on,chromatin_od,1.0,5364,7103,25,32.63,-0.013259,0.10516,-0.170998,0.091901,38124,17487,13853,81,81,0,0,0,0,,,,,462,285,211,28,0.002021,1,16,11,2,43,0,289,2,104,74,30
201.tiff,201,canine lung cancer,0,4457,pad_off,tm_score@pad_off,tm_score,1.0,4933,6577,25,30.222,-0.028276,0.612476,-0.946991,0.5842,30722,15549,12740,17,17,0,0,0,0,,,,,0,0,69,3,0.000235,0,3,0,1,0,0,266,1,108,86,22
201.tiff,201,canine lung cancer,0,4457,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,4933,6577,25,30.222,-0.028426,0.6123,-0.946875,0.583874,31314,15386,12647,17,15,0,2,0,2,,,4494;4502,13.0;17.0,0,0,66,3,0.000237,0,3,0,1,0,0,266,1,108,86,22
201.tiff,201,canine lung cancer,0,4457,pad_on,tm_score@pad_on,tm_score,1.0,4933,6577,25,30.222,-0.028426,0.6123,-0.946875,0.583874,31314,15848,12973,17,17,0,0,0,0,,,,,462,326,69,3,0.000231,3,3,9,1,26,0,266,1,108,86,22
201.tiff,201,canine lung cancer,0,4457,pad_off,chromatin_od@pad_off,chromatin_od,1.0,4933,6577,25,30.222,-0.028276,0.612476,-0.946991,0.5842,30722,15549,12740,17,17,0,0,0,0,,,,,0,0,69,3,0.000235,0,1,0,0,0,0,266,1,108,86,22
201.tiff,201,canine lung cancer,0,4457,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,4933,6577,25,30.222,-0.028426,0.6123,-0.946875,0.583874,31314,15386,12647,17,15,0,2,0,2,,,4494;4502,13.0;17.0,0,0,66,3,0.000237,0,1,0,0,0,0,266,1,108,86,22
201.tiff,201,canine lung cancer,0,4457,pad_on,chromatin_od@pad_on,chromatin_od,1.0,4933,6577,25,30.222,-0.028426,0.6123,-0.946875,0.583874,31314,15848,12973,17,17,0,0,0,0,,,,,462,326,69,3,0.000231,4,1,14,0,36,0,266,1,108,86,22
201.tiff,201,canine lung cancer,1,4469,pad_off,tm_score@pad_off,tm_score,1.0,4933,6577,25,30.222,-0.036189,0.7129,-1.105539,0.676711,29111,16107,13685,17,16,0,0,0,0,,,,,0,0,71,6,0.000438,0,0,0,0,0,0,252,2,112,90,22
201.tiff,201,canine lung cancer,1,4469,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,4933,6577,25,30.222,-0.03652,0.712357,-1.105055,0.675836,29649,15962,13586,17,16,0,0,0,0,,,,,0,0,70,6,0.000442,0,0,0,0,0,0,252,2,112,90,22
201.tiff,201,canine lung cancer,1,4469,pad_on,tm_score@pad_on,tm_score,1.0,4933,6577,25,30.222,-0.03652,0.712357,-1.105055,0.675836,29649,16432,13952,17,17,1,0,1,0,4494,13.0,,,470,366,73,7,0.000502,1,0,6,0,22,0,252,2,112,90,22
201.tiff,201,canine lung cancer,1,4469,pad_off,chromatin_od@pad_off,chromatin_od,1.0,4933,6577,25,30.222,-0.036189,0.7129,-1.105539,0.676711,29111,16107,13685,17,16,0,0,0,0,,,,,0,0,71,6,0.000438,0,2,0,0,0,0,252,2,112,90,22
201.tiff,201,canine lung cancer,1,4469,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,4933,6577,25,30.222,-0.03652,0.712357,-1.105055,0.675836,29649,15962,13586,17,16,0,0,0,0,,,,,0,0,70,6,0.000442,0,2,0,0,0,0,252,2,112,90,22
201.tiff,201,canine lung cancer,1,4469,pad_on,chromatin_od@pad_on,chromatin_od,1.0,4933,6577,25,30.222,-0.03652,0.712357,-1.105055,0.675836,29649,16432,13952,17,17,1,0,1,0,4494,13.0,,,470,366,73,7,0.000502,4,2,14,0,38,0,252,2,112,90,22
201.tiff,201,canine lung cancer,2,4476,pad_off,tm_score@pad_off,tm_score,1.0,4933,6577,25,30.222,-0.053254,0.868503,-1.356008,0.815249,26603,15776,13175,17,16,0,0,0,0,,,,,0,0,69,5,0.00038,0,1,0,0,0,0,255,3,104,90,14
201.tiff,201,canine lung cancer,2,4476,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,4933,6577,25,30.222,-0.053478,0.867932,-1.355377,0.814455,27081,15614,13083,17,15,0,1,0,1,,,4502,17.0,0,0,67,5,0.000382,0,1,0,0,0,0,255,3,104,90,14
201.tiff,201,canine lung cancer,2,4476,pad_on,tm_score@pad_on,tm_score,1.0,4933,6577,25,30.222,-0.053478,0.867932,-1.355377,0.814455,27081,16076,13422,17,17,1,0,1,0,4494,13.0,,,462,339,70,5,0.000373,3,1,6,0,19,0,255,3,104,90,14
201.tiff,201,canine lung cancer,2,4476,pad_off,chromatin_od@pad_off,chromatin_od,1.0,4933,6577,25,30.222,-0.053254,0.868503,-1.356008,0.815249,26603,15776,13175,17,16,0,0,0,0,,,,,0,0,69,5,0.00038,0,2,0,0,0,0,255,3,104,90,14
201.tiff,201,canine lung cancer,2,4476,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,4933,6577,25,30.222,-0.053478,0.867932,-1.355377,0.814455,27081,15614,13083,17,15,0,1,0,1,,,4502,17.0,0,0,67,5,0.000382,0,2,0,0,0,0,255,3,104,90,14
201.tiff,201,canine lung cancer,2,4476,pad_on,chromatin_od@pad_on,chromatin_od,1.0,4933,6577,25,30.222,-0.053478,0.867932,-1.355377,0.814455,27081,16076,13422,17,17,1,0,1,0,4494,13.0,,,462,339,70,5,0.000373,3,2,14,0,39,0,255,3,104,90,14
201.tiff,201,canine lung cancer,3,4454,pad_off,tm_score@pad_off,tm_score,1.0,4933,6577,25,30.222,-0.037478,0.761687,-1.180009,0.724209,31215,15341,12441,17,17,0,0,0,0,,,,,0,0,69,4,0.000322,0,3,0,0,0,0,264,2,119,91,28
201.tiff,201,canine lung cancer,3,4454,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,4933,6577,25,30.222,-0.037724,0.761123,-1.179409,0.7234,31775,15191,12343,17,15,0,2,0,2,,,4494;4502,13.0;17.0,0,0,66,4,0.000324,0,3,0,0,0,0,264,2,119,91,28
201.tiff,201,canine lung cancer,3,4454,pad_on,tm_score@pad_on,tm_score,1.0,4933,6577,25,30.222,-0.037724,0.761123,-1.179409,0.7234,31775,15642,12676,17,17,0,0,0,0,,,,,451,333,69,4,0.000316,2,3,4,0,17,0,264,2,119,91,28
201.tiff,201,canine lung cancer,3,4454,pad_off,chromatin_od@pad_off,chromatin_od,1.0,4933,6577,25,30.222,-0.037478,0.761687,-1.180009,0.724209,31215,15341,12441,17,17,0,0,0,0,,,,,0,0,69,4,0.000322,0,1,0,0,0,0,264,2,119,91,28
201.tiff,201,canine lung cancer,3,4454,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,4933,6577,25,30.222,-0.037724,0.761123,-1.179409,0.7234,31775,15191,12343,17,15,0,2,0,2,,,4494;4502,13.0;17.0,0,0,66,4,0.000324,0,1,0,0,0,0,264,2,119,91,28
201.tiff,201,canine lung cancer,3,4454,pad_on,chromatin_od@pad_on,chromatin_od,1.0,4933,6577,25,30.222,-0.037724,0.761123,-1.179409,0.7234,31775,15642,12676,17,17,0,0,0,0,,,,,451,333,69,4,0.000316,4,1,13,0,36,0,264,2,119,91,28
201.tiff,201,canine lung cancer,4,4479,pad_off,tm_score@pad_off,tm_score,1.0,4933,6577,25,30.222,-0.043572,1.010502,-1.559325,0.966929,18804,13927,11290,17,17,0,0,0,0,,,,,0,0,67,1,8.9e-05,0,2,0,1,0,0,214,0,100,92,8
201.tiff,201,canine lung cancer,4,4479,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,4933,6577,25,30.222,-0.04357,1.01045,-1.559245,0.96688,19179,13772,11196,17,15,0,2,0,2,,,4494;4502,13.0;17.0,0,0,64,1,8.9e-05,0,2,0,1,0,0,214,0,100,92,8
201.tiff,201,canine lung cancer,4,4479,pad_on,tm_score@pad_on,tm_score,1.0,4933,6577,25,30.222,-0.04357,1.01045,-1.559245,0.96688,19179,14218,11508,17,17,0,0,0,0,,,,,446,312,67,1,8.7e-05,2,2,6,1,25,0,214,0,100,92,8
201.tiff,201,canine lung cancer,4,4479,pad_off,chromatin_od@pad_off,chromatin_od,1.0,4933,6577,25,30.222,-0.043572,1.010502,-1.559325,0.966929,18804,13927,11290,17,17,0,0,0,0,,,,,0,0,67,1,8.9e-05,0,1,0,0,0,0,214,0,100,92,8
201.tiff,201,canine lung cancer,4,4479,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1.0,4933,6577,25,30.222,-0.04357,1.01045,-1.559245,0.96688,19179,13772,11196,17,15,0,2,0,2,,,4494;4502,13.0;17.0,0,0,64,1,8.9e-05,0,1,0,0,0,0,214,0,100,92,8
201.tiff,201,canine lung cancer,4,4479,pad_on,chromatin_od@pad_on,chromatin_od,1.0,4933,6577,25,30.222,-0.04357,1.01045,-1.559245,0.96688,19179,14218,11508,17,17,0,0,0,0,,,,,446,312,67,1,8.7e-05,4,1,16,0,40,0,214,0,100,92,8
233.tiff,233,canine lung cancer,0,5761,pad_off,tm_score@pad_off,tm_score,1.0,4933,6577,25,30.222,-0.089474,0.469603,-0.793879,0.380128,23361,15765,12353,17,17,0,0,0,0,,,,,0,0,45,8,0.000648,0,0,0,0,0,0,273,4,148,125,23
233.tiff,233,canine lung cancer,0,5761,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1.0,4933,6577,25,30.222,-0.089063,0.469362,-0.793106,0.3803,23801,15579,12213,17,16,0,1,0,1,,,5762,20.0,0,0,44,8,0.000655,0,0,0,0,0,0,273,4,148,125,23
