subset,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
testing_35,canine lung cancer,211.tiff,211,1,hem_rect_fill,4919,2856.0,2567.0,0.24816562612969095,30.221751968503938,19,4cbcc0afd2d342391180dee5fda5d65438e536b4,100,99,1,0,,0,True,2.074,0,0,0,,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,211,2,default_51,4909,2429.0,1188.0,0.24816562612969095,30.221751968503938,19,949a0a7d28beb45703bdb71660ba1123e112b03c,100,100,0,0,,0,True,2.04,0,0,0,30.0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,211,2,hem_rect_fill,4909,2429.0,1188.0,0.24816562612969095,30.221751968503938,19,a7a7aa96a4c3a5608c58edcf04ff232e5bc04634,100,99,0,0,,0,True,1.975,0,0,0,,0.0,0.0,0.0
testing_35,canine lung cancer,220.tiff,220,0,default_51,5270,1034.0,2942.0,0.24816562612969095,30.221751968503938,76,423a7c1972a741e29e64a2ff9ca08aafc4929cdc,100,98,1,0,,0,True,1.968,3,7,11,30.0,0.3,0.35,0.36666666666666664
testing_35,canine lung cancer,220.tiff,220,0,hem_rect_fill,5270,1034.0,2942.0,0.24816562612969095,30.221751968503938,76,96dc5b077bde24ebd1afe71c36c82223da9c693d,100,98,1,0,,0,True,2.208,5,10,16,,0.5,0.5,0.5333333333333333
testing_35,canine lung cancer,220.tiff,220,1,default_51,5293,3107.0,4582.0,0.24816562612969095,30.221751968503938,76,47a841961733cb6918a86aa31e084bc0793967ba,100,99,1,0,,0,True,2.035,4,9,11,30.0,0.4,0.45,0.36666666666666664
testing_35,canine lung cancer,220.tiff,220,1,hem_rect_fill,5293,3107.0,4582.0,0.24816562612969095,30.221751968503938,76,db416ee0648a82037da6cc685d34cafc9b723101,100,98,1,0,,0,True,1.983,5,7,10,,0.5,0.35,0.3333333333333333
testing_35,canine lung cancer,220.tiff,220,2,default_51,5247,3813.0,1715.0,0.24816562612969095,30.221751968503938,76,f170b1870fa5760a57ff0dae65ace6ee95bdb01b,100,99,1,0,,0,True,2.041,6,9,13,30.0,0.6,0.45,0.43333333333333335
testing_35,canine lung cancer,220.tiff,220,2,hem_rect_fill,5247,3813.0,1715.0,0.24816562612969095,30.221751968503938,76,8ec935672e417156ecfe087ab72ef62a245019e6,100,99,1,0,,0,True,2.032,6,10,13,,0.6,0.5,0.43333333333333335
testing_35,canine lung cancer,230.tiff,230,0,default_51,5689,1637.0,1590.0,0.24816562612969095,30.221751968503938,17,166fb7ce4212b6fc9c0c933086cf8ddea3d70c17,100,99,1,0,,0,True,2.218,6,12,13,30.0,0.6,0.6,0.43333333333333335
