domain,condition,arm,n_roi,K,tp_sum,delivered_sum,precision_pooled,precision_worst_roi,worst_roi_file,worst_roi_tied
human breast cancer,gray_bbox,od_contrast,2,20,23,40,0.575,0.4,013.tiff,False
human breast cancer,gray_bbox,od_contrast,2,30,29,60,0.4833,0.2667,013.tiff,False
human breast cancer,gray_bbox,od_contrast,2,50,34,100,0.34,0.18,013.tiff,False
human breast cancer,gray_bbox,tm_score,2,10,10,20,0.5,0.4,094.tiff,False
human breast cancer,gray_bbox,tm_score,2,20,16,40,0.4,0.3,013.tiff,False
human breast cancer,gray_bbox,tm_score,2,30,23,60,0.3833,0.2333,013.tiff,False
human breast cancer,gray_bbox,tm_score,2,50,29,100,0.29,0.14,013.tiff,False
human breast cancer,hem_bbox,chromatin_od,2,10,11,20,0.55,0.5,094.tiff,False
human breast cancer,hem_bbox,chromatin_od,2,20,23,40,0.575,0.45,013.tiff,False
human breast cancer,hem_bbox,chromatin_od,2,30,30,60,0.5,0.3333,013.tiff,False
human breast cancer,hem_bbox,chromatin_od,2,50,34,100,0.34,0.2,013.tiff,False
human breast cancer,hem_bbox,od_contrast,2,10,11,20,0.55,0.5,013.tiff,False
human breast cancer,hem_bbox,od_contrast,2,20,24,40,0.6,0.45,013.tiff,False
human breast cancer,hem_bbox,od_contrast,2,30,28,60,0.4667,0.3,013.tiff,False
human breast cancer,hem_bbox,od_contrast,2,50,32,100,0.32,0.2,013.tiff,False
human breast cancer,hem_bbox,tm_score,2,10,11,20,0.55,0.5,094.tiff,False
human breast cancer,hem_bbox,tm_score,2,20,15,40,0.375,0.3,013.tiff,False
human breast cancer,hem_bbox,tm_score,2,30,22,60,0.3667,0.2333,013.tiff,False
human breast cancer,hem_bbox,tm_score,2,50,28,100,0.28,0.14,013.tiff,False
human melanoma,gray_bbox,chromatin_od,2,10,14,20,0.7,0.6,529.tiff,False
human melanoma,gray_bbox,chromatin_od,2,20,20,40,0.5,0.35,529.tiff,False
human melanoma,gray_bbox,chromatin_od,2,30,28,60,0.4667,0.2333,529.tiff,False
human melanoma,gray_bbox,chromatin_od,2,50,43,100,0.43,0.14,529.tiff,False
human melanoma,gray_bbox,od_contrast,2,10,14,20,0.7,0.6,529.tiff,False
human melanoma,gray_bbox,od_contrast,2,20,22,40,0.55,0.35,529.tiff,False
human melanoma,gray_bbox,od_contrast,2,30,31,60,0.5167,0.2333,529.tiff,False
human melanoma,gray_bbox,od_contrast,2,50,42,100,0.42,0.14,529.tiff,False
human melanoma,gray_bbox,tm_score,2,10,8,20,0.4,0.3,529.tiff,False
human melanoma,gray_bbox,tm_score,2,20,14,40,0.35,0.2,529.tiff,False
human melanoma,gray_bbox,tm_score,2,30,20,60,0.3333,0.1333,529.tiff,False
human melanoma,gray_bbox,tm_score,2,50,34,100,0.34,0.12,529.tiff,False
human melanoma,hem_bbox,chromatin_od,2,10,14,20,0.7,0.6,529.tiff,False
human melanoma,hem_bbox,chromatin_od,2,20,21,40,0.525,0.4,529.tiff,False
human melanoma,hem_bbox,chromatin_od,2,30,29,60,0.4833,0.2667,529.tiff,False
human melanoma,hem_bbox,chromatin_od,2,50,43,100,0.43,0.16,529.tiff,False
human melanoma,hem_bbox,od_contrast,2,10,15,20,0.75,0.6,529.tiff,False
human melanoma,hem_bbox,od_contrast,2,20,24,40,0.6,0.4,529.tiff,False
human melanoma,hem_bbox,od_contrast,2,30,32,60,0.5333,0.2667,529.tiff,False
human melanoma,hem_bbox,od_contrast,2,50,43,100,0.43,0.16,529.tiff,False
human melanoma,hem_bbox,tm_score,2,10,6,20,0.3,0.2,529.tiff,False
human melanoma,hem_bbox,tm_score,2,20,13,40,0.325,0.2,529.tiff,False
human melanoma,hem_bbox,tm_score,2,30,20,60,0.3333,0.1667,529.tiff,False
human melanoma,hem_bbox,tm_score,2,50,36,100,0.36,0.12,529.tiff,False
human neuroendocrine tumor,gray_bbox,chromatin_od,2,10,12,20,0.6,0.5,403.tiff,False
human neuroendocrine tumor,gray_bbox,chromatin_od,2,20,22,40,0.55,0.5,403.tiff,False
human neuroendocrine tumor,gray_bbox,chromatin_od,2,30,29,60,0.4833,0.4667,403.tiff,False
human neuroendocrine tumor,gray_bbox,chromatin_od,2,50,42,100,0.42,0.34,403.tiff,False
human neuroendocrine tumor,gray_bbox,od_contrast,2,10,10,20,0.5,0.4,402.tiff,False
