file_name,tumor_type,seed_index,z,n_at_z
301.tiff,canine cutaneous mast cell tumor,1,0.95,29355
301.tiff,canine cutaneous mast cell tumor,1,1.0,29010
301.tiff,canine cutaneous mast cell tumor,1,1.05,28647
301.tiff,canine cutaneous mast cell tumor,1,1.1,28264
301.tiff,canine cutaneous mast cell tumor,1,1.15,27832
301.tiff,canine cutaneous mast cell tumor,1,1.2,27377
301.tiff,canine cutaneous mast cell tumor,1,1.25,26915
301.tiff,canine cutaneous mast cell tumor,1,1.3,26421
301.tiff,canine cutaneous mast cell tumor,1,1.35,25920
301.tiff,canine cutaneous mast cell tumor,1,1.4,25338
301.tiff,canine cutaneous mast cell tumor,1,1.45,24777
301.tiff,canine cutaneous mast cell tumor,1,1.5,24155
301.tiff,canine cutaneous mast cell tumor,1,1.55,23566
301.tiff,canine cutaneous mast cell tumor,1,1.6,22902
301.tiff,canine cutaneous mast cell tumor,1,1.65,22233
301.tiff,canine cutaneous mast cell tumor,1,1.7,21575
301.tiff,canine cutaneous mast cell tumor,1,1.75,20890
301.tiff,canine cutaneous mast cell tumor,1,1.8,20172
301.tiff,canine cutaneous mast cell tumor,1,1.85,19434
301.tiff,canine cutaneous mast cell tumor,1,1.9,18719
301.tiff,canine cutaneous mast cell tumor,1,1.95,18014
301.tiff,canine cutaneous mast cell tumor,1,2.0,17286
301.tiff,canine cutaneous mast cell tumor,1,2.05,16561
301.tiff,canine cutaneous mast cell tumor,1,2.1,15810
301.tiff,canine cutaneous mast cell tumor,1,2.15,15137
301.tiff,canine cutaneous mast cell tumor,1,2.2,14426
301.tiff,canine cutaneous mast cell tumor,1,2.25,13722
301.tiff,canine cutaneous mast cell tumor,1,2.3,13054
301.tiff,canine cutaneous mast cell tumor,1,2.35,12406
301.tiff,canine cutaneous mast cell tumor,1,2.4,11772
301.tiff,canine cutaneous mast cell tumor,1,2.45,11134
301.tiff,canine cutaneous mast cell tumor,1,2.5,10503
301.tiff,canine cutaneous mast cell tumor,1,2.55,9931
301.tiff,canine cutaneous mast cell tumor,1,2.6,9339
301.tiff,canine cutaneous mast cell tumor,1,2.65,8778
301.tiff,canine cutaneous mast cell tumor,1,2.7,8229
301.tiff,canine cutaneous mast cell tumor,1,2.75,7720
301.tiff,canine cutaneous mast cell tumor,1,2.8,7226
301.tiff,canine cutaneous mast cell tumor,1,2.85,6757
301.tiff,canine cutaneous mast cell tumor,1,2.9,6297
301.tiff,canine cutaneous mast cell tumor,1,2.95,5857
301.tiff,canine cutaneous mast cell tumor,1,3.0,5446
301.tiff,canine cutaneous mast cell tumor,1,3.05,5073
301.tiff,canine cutaneous mast cell tumor,1,3.1,4714
301.tiff,canine cutaneous mast cell tumor,1,3.15,4405
301.tiff,canine cutaneous mast cell tumor,1,3.2,4076
301.tiff,canine cutaneous mast cell tumor,1,3.25,3808
301.tiff,canine cutaneous mast cell tumor,1,3.3,3554
301.tiff,canine cutaneous mast cell tumor,1,3.35,3280
301.tiff,canine cutaneous mast cell tumor,1,3.4,3041
301.tiff,canine cutaneous mast cell tumor,1,3.45,2839
301.tiff,canine cutaneous mast cell tumor,1,3.5,2615
301.tiff,canine cutaneous mast cell tumor,1,3.55,2427
301.tiff,canine cutaneous mast cell tumor,1,3.6,2247
301.tiff,canine cutaneous mast cell tumor,1,3.65,2087
301.tiff,canine cutaneous mast cell tumor,1,3.7,1931
301.tiff,canine cutaneous mast cell tumor,1,3.75,1804
301.tiff,canine cutaneous mast cell tumor,1,3.8,1656
301.tiff,canine cutaneous mast cell tumor,1,3.85,1540
301.tiff,canine cutaneous mast cell tumor,1,3.9,1446
301.tiff,canine cutaneous mast cell tumor,1,3.95,1338
301.tiff,canine cutaneous mast cell tumor,1,4.0,1220
301.tiff,canine cutaneous mast cell tumor,1,4.05,1124
301.tiff,canine cutaneous mast cell tumor,1,4.1,1041
301.tiff,canine cutaneous mast cell tumor,1,4.15,973
301.tiff,canine cutaneous mast cell tumor,1,4.2,913
301.tiff,canine cutaneous mast cell tumor,1,4.25,836
301.tiff,canine cutaneous mast cell tumor,1,4.3,782
301.tiff,canine cutaneous mast cell tumor,1,4.35,720
301.tiff,canine cutaneous mast cell tumor,1,4.4,664
301.tiff,canine cutaneous mast cell tumor,1,4.45,618
301.tiff,canine cutaneous mast cell tumor,1,4.5,574
301.tiff,canine cutaneous mast cell tumor,1,4.55,528
301.tiff,canine cutaneous mast cell tumor,1,4.6,498
301.tiff,canine cutaneous mast cell tumor,1,4.65,455
301.tiff,canine cutaneous mast cell tumor,1,4.7,426
301.tiff,canine cutaneous mast cell tumor,1,4.75,395
301.tiff,canine cutaneous mast cell tumor,1,4.8,375
301.tiff,canine cutaneous mast cell tumor,1,4.85,348
301.tiff,canine cutaneous mast cell tumor,1,4.9,333
301.tiff,canine cutaneous mast cell tumor,1,4.95,301
301.tiff,canine cutaneous mast cell tumor,1,5.0,282
301.tiff,canine cutaneous mast cell tumor,1,5.05,268
301.tiff,canine cutaneous mast cell tumor,1,5.1,252
301.tiff,canine cutaneous mast cell tumor,1,5.15,236
301.tiff,canine cutaneous mast cell tumor,1,5.2,221
301.tiff,canine cutaneous mast cell tumor,1,5.25,207
301.tiff,canine cutaneous mast cell tumor,1,5.3,188
301.tiff,canine cutaneous mast cell tumor,1,5.35,177
301.tiff,canine cutaneous mast cell tumor,1,5.4,172
301.tiff,canine cutaneous mast cell tumor,1,5.45,156
301.tiff,canine cutaneous mast cell tumor,1,5.5,142
301.tiff,canine cutaneous mast cell tumor,1,5.55,127
301.tiff,canine cutaneous mast cell tumor,1,5.6,122
301.tiff,canine cutaneous mast cell tumor,1,5.65,116
301.tiff,canine cutaneous mast cell tumor,1,5.7,108
301.tiff,canine cutaneous mast cell tumor,1,5.75,102
301.tiff,canine cutaneous mast cell tumor,1,5.8,93
301.tiff,canine cutaneous mast cell tumor,1,5.85,89
301.tiff,canine cutaneous mast cell tumor,1,5.9,80
301.tiff,canine cutaneous mast cell tumor,1,5.95,72
301.tiff,canine cutaneous mast cell tumor,1,6.0,68
301.tiff,canine cutaneous mast cell tumor,2,0.0,33603
301.tiff,canine cutaneous mast cell tumor,2,0.05,33558
301.tiff,canine cutaneous mast cell tumor,2,0.1,33483
301.tiff,canine cutaneous mast cell tumor,2,0.15,33382
301.tiff,canine cutaneous mast cell tumor,2,0.2,33255
301.tiff,canine cutaneous mast cell tumor,2,0.25,33115
301.tiff,canine cutaneous mast cell tumor,2,0.3,32960
301.tiff,canine cutaneous mast cell tumor,2,0.35,32780
301.tiff,canine cutaneous mast cell tumor,2,0.4,32595
301.tiff,canine cutaneous mast cell tumor,2,0.45,32376
301.tiff,canine cutaneous mast cell tumor,2,0.5,32143
301.tiff,canine cutaneous mast cell tumor,2,0.55,31888
301.tiff,canine cutaneous mast cell tumor,2,0.6,31618
301.tiff,canine cutaneous mast cell tumor,2,0.65,31338
301.tiff,canine cutaneous mast cell tumor,2,0.7,31076
301.tiff,canine cutaneous mast cell tumor,2,0.75,30762
301.tiff,canine cutaneous mast cell tumor,2,0.8,30462
301.tiff,canine cutaneous mast cell tumor,2,0.85,30182
301.tiff,canine cutaneous mast cell tumor,2,0.9,29892
301.tiff,canine cutaneous mast cell tumor,2,0.95,29595
301.tiff,canine cutaneous mast cell tumor,2,1.0,29263
301.tiff,canine cutaneous mast cell tumor,2,1.05,28950
301.tiff,canine cutaneous mast cell tumor,2,1.1,28662
301.tiff,canine cutaneous mast cell tumor,2,1.15,28354
301.tiff,canine cutaneous mast cell tumor,2,1.2,28027
301.tiff,canine cutaneous mast cell tumor,2,1.25,27719
301.tiff,canine cutaneous mast cell tumor,2,1.3,27425
301.tiff,canine cutaneous mast cell tumor,2,1.35,27140
301.tiff,canine cutaneous mast cell tumor,2,1.4,26826
301.tiff,canine cutaneous mast cell tumor,2,1.45,26485
301.tiff,canine cutaneous mast cell tumor,2,1.5,26186
301.tiff,canine cutaneous mast cell tumor,2,1.55,25902
301.tiff,canine cutaneous mast cell tumor,2,1.6,25572
301.tiff,canine cutaneous mast cell tumor,2,1.65,25290
301.tiff,canine cutaneous mast cell tumor,2,1.7,24970
301.tiff,canine cutaneous mast cell tumor,2,1.75,24643
301.tiff,canine cutaneous mast cell tumor,2,1.8,24307
301.tiff,canine cutaneous mast cell tumor,2,1.85,23965
301.tiff,canine cutaneous mast cell tumor,2,1.9,23574
301.tiff,canine cutaneous mast cell tumor,2,1.95,23269
301.tiff,canine cutaneous mast cell tumor,2,2.0,22917
301.tiff,canine cutaneous mast cell tumor,2,2.05,22544
301.tiff,canine cutaneous mast cell tumor,2,2.1,22190
301.tiff,canine cutaneous mast cell tumor,2,2.15,21791
301.tiff,canine cutaneous mast cell tumor,2,2.2,21410
301.tiff,canine cutaneous mast cell tumor,2,2.25,21044
301.tiff,canine cutaneous mast cell tumor,2,2.3,20668
301.tiff,canine cutaneous mast cell tumor,2,2.35,20243
301.tiff,canine cutaneous mast cell tumor,2,2.4,19843
301.tiff,canine cutaneous mast cell tumor,2,2.45,19420
301.tiff,canine cutaneous mast cell tumor,2,2.5,18985
301.tiff,canine cutaneous mast cell tumor,2,2.55,18550
301.tiff,canine cutaneous mast cell tumor,2,2.6,18108
301.tiff,canine cutaneous mast cell tumor,2,2.65,17709
301.tiff,canine cutaneous mast cell tumor,2,2.7,17278
301.tiff,canine cutaneous mast cell tumor,2,2.75,16828
301.tiff,canine cutaneous mast cell tumor,2,2.8,16368
301.tiff,canine cutaneous mast cell tumor,2,2.85,15910
301.tiff,canine cutaneous mast cell tumor,2,2.9,15435
301.tiff,canine cutaneous mast cell tumor,2,2.95,14920
301.tiff,canine cutaneous mast cell tumor,2,3.0,14465
301.tiff,canine cutaneous mast cell tumor,2,3.05,13973
301.tiff,canine cutaneous mast cell tumor,2,3.1,13528
301.tiff,canine cutaneous mast cell tumor,2,3.15,13040
301.tiff,canine cutaneous mast cell tumor,2,3.2,12557
301.tiff,canine cutaneous mast cell tumor,2,3.25,12141
301.tiff,canine cutaneous mast cell tumor,2,3.3,11689
301.tiff,canine cutaneous mast cell tumor,2,3.35,11227
301.tiff,canine cutaneous mast cell tumor,2,3.4,10788
301.tiff,canine cutaneous mast cell tumor,2,3.45,10341
301.tiff,canine cutaneous mast cell tumor,2,3.5,9916
301.tiff,canine cutaneous mast cell tumor,2,3.55,9487
301.tiff,canine cutaneous mast cell tumor,2,3.6,9044
301.tiff,canine cutaneous mast cell tumor,2,3.65,8635
301.tiff,canine cutaneous mast cell tumor,2,3.7,8216
301.tiff,canine cutaneous mast cell tumor,2,3.75,7846
301.tiff,canine cutaneous mast cell tumor,2,3.8,7442
301.tiff,canine cutaneous mast cell tumor,2,3.85,7072
301.tiff,canine cutaneous mast cell tumor,2,3.9,6739
301.tiff,canine cutaneous mast cell tumor,2,3.95,6388
301.tiff,canine cutaneous mast cell tumor,2,4.0,6061
301.tiff,canine cutaneous mast cell tumor,2,4.05,5754
301.tiff,canine cutaneous mast cell tumor,2,4.1,5463
301.tiff,canine cutaneous mast cell tumor,2,4.15,5172
301.tiff,canine cutaneous mast cell tumor,2,4.2,4885
301.tiff,canine cutaneous mast cell tumor,2,4.25,4640
301.tiff,canine cutaneous mast cell tumor,2,4.3,4405
