file_name,method,seed_ann_id,channel,mpp,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
405.tiff,nucleus_blobs,-1,hematoxylin,0.2482,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,13,0,0,13,19,0.0,13,0.0,1.0,1.0,7577,9,0.0,4,0.0,1.0,1.0,7577,13,19,7545,32,0.004223307377589518,0.0017157186221457416,13,0,19,0,0.5581,,,,,,,,,,,,,0.7831,canine soft tissue sarcoma,1.0,13658.0,7577.0
405.tiff,random_in_tissue,-1,-,0.2482,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,13,19,0.0,13,0.0,0.631578947368421,0.46153846153846156,13658,9,0.0,4,0.0,0.3333333333333333,0.75,13658,6,12,13640,18,0.0013179089178502476,0.0004393029726167492,6,7,12,7,0.6905,,,,,,,,,,,,,0.7831,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,20,gray_inverted,0.2269,33.1,8,0.125,2.01,0.0,0.0,0.125,0.125,0.125,0.5,0.5,8,1,0,7,7,0.0,8,0.125,1.0,1.0,17118,7,0.14285714285714285,1,0.0,1.0,1.0,17118,8,7,17103,15,0.0008762705923588693,0.00046734431592473024,8,0,7,0,0.9481,33.05,24.0,32.25,55987.0,0.9999997019767761,17119.0,1.0,0.9999997019767761,17118.0,0.7495095729827881,0.52,32.8,0.9488,human breast cancer,,,
002.tiff,nucleus_blobs,-1,hematoxylin,0.2269,33.1,8,0.0,2.01,0.0,0.0,0.0,0.0,0.125,0.25,0.5,8,0,1,7,7,0.14285714285714285,8,0.0,1.0,0.875,8814,7,0.0,1,0.0,1.0,0.0,8814,7,7,8800,14,0.0015883821193553903,0.0007941910596776952,7,1,7,0,0.5751,,,,,,,,,,,,,0.9488,human breast cancer,0.875,17118.0,8814.0
002.tiff,random_in_tissue,-1,-,0.2269,33.1,8,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,8,7,0.0,8,0.0,0.5714285714285714,0.625,17118,7,0.0,1,0.0,0.5714285714285714,1.0,17118,5,4,17109,9,0.0005257623554153216,0.0002920901974529564,5,3,4,3,0.7682,,,,,,,,,,,,,0.9488,human breast cancer,,,
506.tiff,find_and_suppress,24237,gray_inverted,0.2274,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,11,12,0.0,11,0.0,0.9166666666666666,1.0,15829,8,0.0,3,0.0,1.0,1.0,15829,11,11,15807,22,0.0013898540653230532,0.0006949270326615266,11,0,11,1,0.9067,32.98,24.0,35.13,37244.0,1.0,15830.0,1.0,1.0,15829.0,0.8947102427482605,0.44,35.6,0.9194,human melanoma,,,
506.tiff,nucleus_blobs,-1,hematoxylin,0.2274,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,11,0,0,11,12,0.0,11,0.0,0.9166666666666666,0.8181818181818182,8754,8,0.0,3,0.0,0.875,0.6666666666666666,8754,9,11,8734,20,0.002284669865204217,0.0010281014393418975,9,2,11,1,0.5371,,,,,,,,,,,,,0.9194,human melanoma,0.8181818181818182,15829.0,8754.0
506.tiff,random_in_tissue,-1,-,0.2274,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,11,0,0,11,12,0.0,11,0.0,0.4166666666666667,0.9090909090909091,15829,8,0.0,3,0.0,0.875,1.0,15829,10,5,15814,15,0.0009476277718111726,0.000631751847874115,10,1,5,7,0.7205,,,,,,,,,,,,,0.9194,human melanoma,,,
350.tiff,find_and_suppress,18164,gray_inverted,0.2274,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,0,3,16,0.0,3,0.0,1.0,1.0,15145,0,,3,0.0,,1.0,15145,3,16,15126,19,0.0012545394519642619,0.00019808517662593607,3,0,16,0,0.9087,32.98,24.0,46.9,31987.0,0.9999998211860657,15146.0,1.0,0.9999998211860657,15145.0,0.7807515263557434,0.53,47.5,0.9966,human neuroendocrine tumor,,,
350.tiff,nucleus_blobs,-1,hematoxylin,0.2274,33.0,3,0.0,2.02,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,1,2,16,0.0625,3,0.0,0.6875,1.0,8173,0,,3,0.0,,1.0,8173,3,11,8159,14,0.0017129572984214225,0.00036706227823316196,3,0,11,5,0.5459,,,,,,,,,,,,,0.9966,human neuroendocrine tumor,1.0,15145.0,8173.0
