subset,domain,file_name,image_id,seed_index,condition,keep_region,rank_key,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,margin_px,is_recorded_seed,n_gt_mitotic,tpl_sha1,n_kept_px,n_filled_px,fill_value,n_peaks,max_peaks_binding,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,rank_key_descending,t_search_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,300,3,hem_rect_fill,the Otsu rectangle,tm_score,14615,5651.0,2652.0,0.2533008895448562,29.609055118110238,4,False,180,aa026386daae5e3302832c2de11be0022a4f4679,572,2029,0.02158256247639656,100,True,100,2601,0,,0,True,1.205,9,16,24,,0.9,0.8,0.8
original_14,canine cutaneous mast cell tumor,300.tiff,300,3,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14615,5651.0,2652.0,0.2533008895448562,29.609055118110238,4,False,180,7981d82e0435f643f40806d63f60b165e2121774,1020,1581,0.022149818018078804,100,True,100,2601,0,,0,True,1.198,9,18,27,,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,3,hem_rect_fill_1um,that rectangle + 1 um,tm_score,14615,5651.0,2652.0,0.2533008895448562,29.609055118110238,4,False,180,7981d82e0435f643f40806d63f60b165e2121774,1020,1581,0.022149818018078804,100,True,100,2601,0,,0,True,1.198,8,15,24,,0.8,0.75,0.8
original_14,canine cutaneous mast cell tumor,300.tiff,300,3,hem_mask_fill_1um,the Otsu component + 1 um,chromatin_od,14615,5651.0,2652.0,0.2533008895448562,29.609055118110238,4,False,180,02f0206bbe1ba3de3baf45eb4ad902764b3898d1,766,1835,0.02157214656472206,100,True,100,2601,0,,0,True,1.216,9,18,27,,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,3,hem_mask_fill_1um,the Otsu component + 1 um,tm_score,14615,5651.0,2652.0,0.2533008895448562,29.609055118110238,4,False,180,02f0206bbe1ba3de3baf45eb4ad902764b3898d1,766,1835,0.02157214656472206,100,True,100,2601,0,,0,True,1.216,9,15,24,,0.9,0.75,0.8
original_14,canine cutaneous mast cell tumor,300.tiff,300,4,default_51,the whole window,chromatin_od,14501,774.0,3499.0,0.2533008895448562,29.609055118110238,4,False,180,2a365f7d4aa09e36f5e9e1d02bef1e91c6864472,2601,0,,100,True,99,2601,0,,0,True,1.213,8,18,27,,0.8,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,4,default_51,the whole window,tm_score,14501,774.0,3499.0,0.2533008895448562,29.609055118110238,4,False,180,2a365f7d4aa09e36f5e9e1d02bef1e91c6864472,2601,0,,100,True,99,2601,0,,0,True,1.213,9,19,27,,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,4,hem_rect_fill,the Otsu rectangle,chromatin_od,14501,774.0,3499.0,0.2533008895448562,29.609055118110238,4,False,180,ed2ae75a5c63c1888c2ee4fed455b9a47ae61ffb,380,2221,0.02801060862839222,100,True,100,2601,0,,0,True,1.197,9,19,27,,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,4,hem_rect_fill,the Otsu rectangle,tm_score,14501,774.0,3499.0,0.2533008895448562,29.609055118110238,4,False,180,ed2ae75a5c63c1888c2ee4fed455b9a47ae61ffb,380,2221,0.02801060862839222,100,True,100,2601,0,,0,True,1.197,10,19,28,,1.0,0.95,0.9333333333333333
original_14,canine cutaneous mast cell tumor,300.tiff,300,4,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14501,774.0,3499.0,0.2533008895448562,29.609055118110238,4,False,180,10f8f6a6cdd15dbcf7999c9f571bfd9af114f6f6,756,1845,0.02903439849615097,100,True,100,2601,0,,0,True,1.211,9,19,27,,0.9,0.95,0.9
