file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
405.tiff,find_and_suppress,20562,hematoxylin,0.2482,51.0,binary,0.0,False,10.0,10.0,8.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,13,0,0,13,19,0.0,13,0.0,1.0,1.0,6224,9,0.0,4,0.0,1.0,1.0,6224,13,19,6192,32,0.005141388174806372,0.0020886889460150883,13,0,19,0,0.4983,30.22,1.0,1.94,6409.0,0.9999998807907104,6225.0,1.0,0.9999998807907104,6224.0,0.8436732888221741,0.32,2.3,,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,18,hematoxylin,0.2269,35.0,binary,0.0,False,7.0,7.0,7.0,33.1,8,0.0,2.01,0.0,0.0,0.0,0.0,0.125,0.25,0.25,8,0,0,8,7,0.0,8,0.0,0.8571428571428571,0.75,4592,6,0.0,2,0.0,0.8333333333333334,0.5,4592,6,6,4580,12,0.0026132404181178977,0.0013066202090589488,6,2,6,1,0.3597,33.05,1.0,1.76,5220.0,0.9999999403953552,4593.0,1.0,0.9999999403953552,4592.0,0.840964138507843,0.32,2.1,,human breast cancer,,,
506.tiff,find_and_suppress,24233,hematoxylin,0.2274,43.0,binary,0.0,False,8.0,8.0,8.0,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,11,12,0.0,11,0.0,0.5,0.5454545454545454,3901,7,0.0,4,0.0,0.7142857142857143,0.25,3901,6,6,3889,12,0.0030761343245313826,0.0015380671622656913,6,5,6,6,0.3029,32.98,1.0,1.63,4164.0,0.9999999403953552,3902.0,1.0,0.9999999403953552,3901.0,0.7821657061576843,0.28,1.9,,human melanoma,,,
350.tiff,find_and_suppress,18164,hematoxylin,0.2274,41.0,binary,0.0,True,4.0,4.0,4.0,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3,0,0,3,16,0.0,3,0.0,0.5,0.6666666666666666,3615,0,,3,0.0,,0.6666666666666666,3615,2,8,3605,10,0.0027662517289065653,0.0005532503457813131,2,1,8,8,0.2881,32.98,1.0,1.51,3793.0,0.9999997019767761,3616.0,1.0,0.9999997019767761,3615.0,0.7957387566566467,0.26,1.8,,human neuroendocrine tumor,,,
301.tiff,find_and_suppress,14976,gray_inverted,0.2533,35.0,binary,0.0,False,164.0,162.0,136.0,29.6,217,0.2672811059907834,2.0,0.018433179723502304,0.018433179723502304,0.07373271889400922,0.10599078341013825,0.12442396313364056,0.17050691244239632,0.24423963133640553,217,58,12,147,109,0.11009174311926606,217,0.2672811059907834,0.908256880733945,0.9447004608294931,13615,163,0.3128834355828221,54,0.12962962962962962,0.9447852760736196,0.9444444444444444,13615,205,99,13311,304,0.022328314359161047,0.01505692251193426,205,12,99,10,0.8472,29.61,1.0,1.15,16638.0,0.9999986290931702,13616.0,1.0,0.9999986290931702,13615.0,0.9122716784477234,0.27,1.5,,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4469,gray_inverted,0.2482,51.0,binary,0.0,False,7.0,7.0,6.0,30.2,17,0.058823529411764705,2.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.17647058823529413,17,1,2,14,49,0.04081632653061224,17,0.058823529411764705,0.04081632653061224,0.17647058823529413,188,6,0.0,11,0.09090909090909091,0.16666666666666666,0.18181818181818182,188,3,2,183,5,0.026595744680709597,0.01595744680842576,3,14,2,47,0.0165,30.22,1.0,1.39,191.0,1.0,189.0,1.0,1.0,188.0,0.6393294930458069,0.29,1.7,,canine lung cancer,,,
246.tiff,find_and_suppress,6549,gray_inverted,0.2482,51.0,binary,0.0,False,100.0,97.0,87.0,30.2,115,0.017391304347826087,2.0,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,115,2,0,21,123,0.0,115,0.017391304347826087,0.0,0.017391304347826087,23,99,0.020202020202020204,16,0.0,0.020202020202020204,0.0,23,2,0,21,2,0.08695652173534972,0.08695652173534972,2,113,0,123,0.0021,30.22,1.0,1.73,24.0,1.0,24.0,1.0,1.0,23.0,0.6231480836868286,0.24,2.0,,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20562,gray_inverted,0.2482,51.0,binary,0.0,False,10.0,10.0,8.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,13,0,0,13,19,0.0,13,0.0,0.7368421052631579,1.0,4881,9,0.0,4,0.0,1.0,1.0,4881,13,14,4854,27,0.005531653349722283,0.0026633886498662845,13,0,14,5,0.4034,30.22,1.0,1.7,5137.0,0.9999992847442627,4882.0,1.0,0.9999992847442627,4881.0,0.8404320478439331,0.28,2.0,,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,18,gray_inverted,0.2269,35.0,binary,0.0,False,7.0,7.0,7.0,33.1,8,0.125,2.01,0.0,0.0,0.125,0.25,0.25,0.25,0.25,8,1,0,7,7,0.0,8,0.125,0.8571428571428571,1.0,5109,6,0.16666666666666666,2,0.0,1.0,1.0,5109,8,6,5095,14,0.0027402622822464786,0.001565864161283702,8,0,6,1,0.3947,33.05,1.0,1.67,5884.0,0.999998152256012,5110.0,1.0,0.999998152256012,5109.0,0.8302555680274963,0.32,2.0,,human breast cancer,,,
506.tiff,find_and_suppress,24233,gray_inverted,0.2274,43.0,binary,0.0,False,8.0,8.0,8.0,33.0,11,0.0,2.02,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,11,0,0,11,12,0.0,11,0.0,0.5,0.45454545454545453,2682,7,0.0,4,0.0,0.5714285714285714,0.25,2682,5,6,2671,11,0.004101416853093176,0.0018642803877696255,5,6,6,6,0.2159,32.98,1.0,1.91,2868.0,0.9999991655349731,2683.0,1.0,0.9999991655349731,2682.0,0.7548456788063049,0.32,2.3,,human melanoma,,,
350.tiff,find_and_suppress,18164,gray_inverted,0.2274,41.0,binary,0.0,True,4.0,4.0,4.0,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.4375,0.6666666666666666,2700,0,,3,0.0,,0.6666666666666666,2700,2,7,2691,9,0.003333333333332099,0.0007407407407404664,2,1,7,9,0.2192,32.98,1.0,2.0,2819.0,0.9999990463256836,2701.0,1.0,0.9999990463256836,2700.0,0.7948483228683472,0.34,2.4,,human neuroendocrine tumor,,,
