rank_key,subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_s3,delta_tp_s4,delta_tp_s5,delta_tp_sum,delta_tp_recorded_seeds
chromatin_od,testing_35,canine cutaneous mast cell tumor,337.tiff,hem_rect_fill_1um - default_51,10,0,0,0,0,0,0,0,0
chromatin_od,testing_35,canine cutaneous mast cell tumor,339.tiff,hem_rect_fill_1um - default_51,10,0,1,0,0,0,0,1,1
chromatin_od,testing_35,canine cutaneous mast cell tumor,343.tiff,hem_rect_fill_1um - default_51,10,1,0,0,0,0,0,1,1
chromatin_od,testing_35,canine cutaneous mast cell tumor,344.tiff,hem_rect_fill_1um - default_51,10,0,0,0,0,-1,0,-1,0
chromatin_od,original_14,canine lung cancer,201.tiff,hem_rect_fill_1um - default_51,10,0,-1,0,0,0,1,0,-1
chromatin_od,original_14,canine lung cancer,233.tiff,hem_rect_fill_1um - default_51,10,0,1,0,0,-2,0,-1,1
chromatin_od,testing_35,canine lung cancer,211.tiff,hem_rect_fill_1um - default_51,10,0,0,0,0,0,0,0,0
chromatin_od,testing_35,canine lung cancer,220.tiff,hem_rect_fill_1um - default_51,10,2,1,0,0,-1,0,2,3
chromatin_od,testing_35,canine lung cancer,230.tiff,hem_rect_fill_1um - default_51,10,0,0,0,0,0,0,0,0
chromatin_od,testing_35,canine lung cancer,235.tiff,hem_rect_fill_1um - default_51,10,0,0,1,0,0,-1,0,1
chromatin_od,testing_35,canine lung cancer,242.tiff,hem_rect_fill_1um - default_51,10,0,0,0,0,-1,0,-1,0
chromatin_od,original_14,canine lymphosarcoma,245.tiff,hem_rect_fill_1um - default_51,10,1,1,1,0,1,0,4,3
chromatin_od,original_14,canine lymphosarcoma,246.tiff,hem_rect_fill_1um - default_51,10,0,0,0,0,0,0,0,0
chromatin_od,testing_35,canine lymphosarcoma,249.tiff,hem_rect_fill_1um - default_51,10,0,0,0,0,0,0,0,0
