subset,domain,file_name,image_id,seed_index,condition,terms,rank_key,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,t_search_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,fill_alpha_1,shape + mass,tm_score,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,217,d13e958db108e84ddfec66d442d5085c81d7df54,100,98,2601,0,,0,1.684,9,19,29,,0.9,0.95,0.9666666666666667
testing_35,canine cutaneous mast cell tumor,322.tiff,322,0,default_51,untouched window,chromatin_od,16292,2677.0,483.0,0.2533008895448562,29.609055118110238,22,ed220061df4d6d8e95189123d2b53908948adfe9,100,100,2601,0,,0,1.919,8,14,16,30.0,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,0,default_51,untouched window,tm_score,16292,2677.0,483.0,0.2533008895448562,29.609055118110238,22,ed220061df4d6d8e95189123d2b53908948adfe9,100,100,2601,0,,0,1.919,7,10,10,,0.7,0.5,0.3333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,0,fill_alpha_0,shape only,chromatin_od,16292,2677.0,483.0,0.2533008895448562,29.609055118110238,22,23ba350565e02a309977b412ae360dfc2ebe4104,100,99,2601,0,,0,2.451,8,13,13,30.0,0.8,0.65,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,322.tiff,322,0,fill_alpha_0,shape only,tm_score,16292,2677.0,483.0,0.2533008895448562,29.609055118110238,22,23ba350565e02a309977b412ae360dfc2ebe4104,100,99,2601,0,,0,2.451,6,6,6,,0.6,0.3,0.2
testing_35,canine cutaneous mast cell tumor,322.tiff,322,0,mass_only,mass only,chromatin_od,16292,2677.0,483.0,0.2533008895448562,29.609055118110238,22,dd7ae0d86a9f7f70e01edd19ae61a56cc1ad85a7,100,99,2601,0,,0,2.386,8,14,16,,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,0,mass_only,mass only,tm_score,16292,2677.0,483.0,0.2533008895448562,29.609055118110238,22,dd7ae0d86a9f7f70e01edd19ae61a56cc1ad85a7,100,99,2601,0,,0,2.386,6,9,10,,0.6,0.45,0.3333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,0,fill_alpha_1,shape + mass,chromatin_od,16292,2677.0,483.0,0.2533008895448562,29.609055118110238,22,95486a089b0a82534bae322d15789a15e6f8a88b,100,100,2601,0,,0,2.124,8,14,16,30.0,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,0,fill_alpha_1,shape + mass,tm_score,16292,2677.0,483.0,0.2533008895448562,29.609055118110238,22,95486a089b0a82534bae322d15789a15e6f8a88b,100,100,2601,0,,0,2.124,7,10,10,,0.7,0.5,0.3333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,default_51,untouched window,chromatin_od,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,22,270970a472f29471b5c475feec5a0e3cf3e118a2,100,99,2601,0,,0,2.384,8,13,15,30.0,0.8,0.65,0.5
