scope,group,pair,K,n_roi,n_clicks,pooled_delta_precision,mean_roi_summed_delta_tp,wins,losses,ties,ties_cancelling,n_nonzero,exact_p,min_attainable_p,mc_p,mc_extreme,mc_agrees,holm_family,holm_p,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,t_ci_low,t_ci_high,n_same_direction,ci_excludes_0,majority_of_all_rois,majority_of_nonzero_rois,d5_bar_met,t_ci_excludes_0,boot_share_0_or_opposite,d5_robustness
subset,testing_35,gray_bbox - default_51,20,35,105,-0.024285714285714285,-1.457142857142857,8,23,4,0,31,0.008120142854750156,9.313225746154785e-10,0.008264958675206624,1652,True,testing_35,0.032480571419000626,-0.040952380952380955,-0.007619047619047619,0.0022,0.9981,-0.041647933999567927,-0.006923494571860655,23,True,True,True,True,True,0.0022,met
subset,testing_35,gray_bbox - default_51,30,35,105,-0.024444444444444446,-2.2,4,21,10,5,25,0.00019669532775878906,5.960464477539063e-08,0.00019499902500487497,38,True,testing_35,0.0013768672943115234,-0.0381031746031746,-0.012698412698412698,0.0,1.0,-0.03785286763423513,-0.011036021254653748,21,True,True,True,True,True,0.0,met
subset,testing_35,hem_bbox - default_51,10,35,105,-0.03238095238095238,-0.9714285714285714,6,20,9,1,26,0.0952170193195343,2.9802322387695312e-08,0.09528452357738211,19056,True,testing_35,0.1904340386390686,-0.06571428571428571,0.004761904761904762,0.0433,0.9604,-0.06969029848731767,0.0049283937254129065,20,False,True,True,False,False,0.0433,not met
subset,testing_35,hem_bbox - default_51,20,35,105,-0.05333333333333334,-3.2,5,26,4,2,31,0.00020505115389823914,9.313225746154785e-10,0.00017999910000449998,35,True,testing_35,0.0013768672943115234,-0.07714285714285714,-0.029047619047619048,0.0,1.0,-0.07870268635218408,-0.02796398031448261,26,True,True,True,True,True,0.0,met
subset,testing_35,hem_bbox - default_51,30,35,105,-0.054603174603174605,-4.914285714285715,4,27,4,2,31,3.1189993023872375e-06,9.313225746154785e-10,4.9999750001249995e-06,0,True,testing_35,2.8070993721485138e-05,-0.07587301587301587,-0.035555555555555556,0.0,1.0,-0.07586170631070241,-0.03334464289564679,27,True,True,True,True,True,0.0,met
subset,testing_35,hem_bbox - gray_bbox,10,35,105,-0.022857142857142857,-0.6857142857142857,4,18,13,0,22,0.05773353576660156,4.76837158203125e-07,0.05786471067644662,11572,True,testing_35,0.1732006072998047,-0.04380952380952381,-0.0009523809523809524,0.0228,0.9806,-0.045550124159259554,-0.00016416155502615992,18,True,True,True,True,True,0.0228,borderline
subset,testing_35,hem_bbox - gray_bbox,20,35,105,-0.029047619047619048,-1.7428571428571429,5,21,9,3,26,0.0007341206073760986,2.9802322387695312e-08,0.0006349968250158749,126,True,testing_35,0.003670603036880493,-0.04428571428571428,-0.014285714285714285,0.0,1.0,-0.04496125634075822,-0.013133981754479874,21,True,True,True,True,True,0.0,met
subset,testing_35,hem_bbox - gray_bbox,30,35,105,-0.03015873015873016,-2.7142857142857144,3,22,10,4,25,6.693601608276367e-05,5.960464477539063e-08,7.999960000199999e-05,15,True,testing_35,0.0005354881286621094,-0.04666666666666667,-0.01619047619047619,0.0,1.0,-0.0461006132940069,-0.014216847023453414,22,True,True,True,True,True,0.0,met
domain,canine cutaneous mast cell tumor,gray_bbox - default_51,10,7,21,0.014285714285714285,0.42857142857142855,3,1,3,0,4,0.75,0.125,0.7495262523687382,149905,True,,,,,,,,,3,,,,,,,
domain,canine cutaneous mast cell tumor,gray_bbox - default_51,20,7,21,0.009523809523809525,0.5714285714285714,5,2,0,0,7,0.703125,0.015625,0.7039864800675997,140797,True,,,,,,,,,5,,,,,,,
domain,canine cutaneous mast cell tumor,gray_bbox - default_51,30,7,21,0.004761904761904762,0.42857142857142855,3,2,2,1,5,0.9375,0.0625,0.9378053109734451,187561,True,,,,,,,,,3,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - default_51,10,7,21,-0.03333333333333333,-1.0,3,3,1,0,6,0.5,0.03125,0.4992075039624802,99841,True,,,,,,,,,3,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - default_51,20,7,21,-0.06904761904761905,-4.142857142857143,1,6,0,0,7,0.078125,0.015625,0.07658961705191474,15317,True,,,,,,,,,6,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - default_51,30,7,21,-0.08095238095238096,-7.285714285714286,1,6,0,0,7,0.078125,0.015625,0.07865460672696636,15730,True,,,,,,,,,6,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - gray_bbox,10,7,21,-0.047619047619047616,-1.4285714285714286,0,5,2,0,5,0.0625,0.0625,0.06136469317653412,12272,True,,,,,,,,,5,,,,,,,
domain,canine cutaneous mast cell tumor,hem_bbox - gray_bbox,20,7,21,-0.07857142857142857,-4.714285714285714,0,7,0,0,7,0.015625,0.015625,0.016049919750401247,3209,True,,,,,,,,,7,,,,,,,
