file_name,condition,K,repo,hungarian_mitoses,mitoses_only_greedy,radius_minus_1px,radius_plus_1px
460.tiff,gray_bbox,30,17,17,17,17,17
460.tiff,hem_bbox,10,7,7,7,7,7
460.tiff,hem_bbox,20,14,14,14,14,14
460.tiff,hem_bbox,30,15,15,15,15,15
529.tiff,default_51,10,7,7,7,7,7
529.tiff,default_51,20,8,8,8,8,8
529.tiff,default_51,30,9,9,9,9,9
529.tiff,gray_bbox,10,6,6,6,6,6
529.tiff,gray_bbox,20,7,7,7,7,7
529.tiff,gray_bbox,30,7,7,7,7,7
529.tiff,hem_bbox,10,6,6,6,6,6
529.tiff,hem_bbox,20,8,8,8,8,8
529.tiff,hem_bbox,30,8,8,8,8,8
548.tiff,default_51,10,9,9,9,9,9
548.tiff,default_51,20,15,15,15,15,15
548.tiff,default_51,30,22,22,22,22,22
548.tiff,gray_bbox,10,8,8,8,8,8
548.tiff,gray_bbox,20,13,13,13,13,13
548.tiff,gray_bbox,30,21,21,21,21,21
548.tiff,hem_bbox,10,8,8,8,8,8
548.tiff,hem_bbox,20,13,13,13,13,13
548.tiff,hem_bbox,30,21,21,21,21,21
