file_name,arm,n_detections_new,coverage_frac_new,full_list_recall_new,read_95_new,read_100_new,n_lookalike_in_list_new,largest_tie_block_new,nan_rate_new,n_gt_mitotic_new,n_detections_old,coverage_frac_old,full_list_recall_old,read_95_old,read_100_old,n_lookalike_in_list_old,largest_tie_block_old,nan_rate_old,n_gt_mitotic_old,delta_n_detections,delta_coverage_frac,delta_full_list_recall,delta_read_95,delta_read_100,delta_n_lookalike_in_list,delta_largest_tie_block,delta_nan_rate,delta_n_gt_mitotic
301.tiff,chromatin_od,18394,0.9666,1.0,6604.0,14855.0,107,2,0.0,217,17710,0.958,0.9953917050691244,6125.0,,108,2,0.0,217,684,0.008600000000000052,0.004608294930875556,479.0,,-1,0,0.0,0
402.tiff,tm_score,18038,0.9693,1.0,1041.0,4759.0,79,2,0.0,104,17532,0.9627,1.0,971.0,3534.0,79,2,0.0,104,506,0.00660000000000005,0.0,70.0,1225.0,0,0,0.0,0
402.tiff,chromatin_od,18038,0.9693,1.0,3254.0,3996.0,79,2,0.0,104,17532,0.9627,1.0,3098.0,3903.0,79,2,0.0,104,506,0.00660000000000005,0.0,156.0,93.0,0,0,0.0,0
403.tiff,tm_score,17626,0.9603,1.0,2727.0,2973.0,46,2,0.0,52,16150,0.9304,1.0,3395.0,5545.0,41,2,0.0,52,1476,0.029900000000000038,0.0,-668.0,-2572.0,5,0,0.0,0
403.tiff,chromatin_od,17626,0.9603,1.0,836.0,2278.0,46,2,0.0,52,16150,0.9304,1.0,515.0,4882.0,41,2,0.0,52,1476,0.029900000000000038,0.0,321.0,-2604.0,5,0,0.0,0
459.tiff,tm_score,17909,0.9648,1.0,7439.0,12952.0,89,2,0.0,130,17806,0.9601,1.0,8181.0,13580.0,89,2,0.0,130,103,0.0047000000000000375,0.0,-742.0,-628.0,0,0,0.0,0
459.tiff,chromatin_od,17909,0.9648,1.0,7561.0,15646.0,89,2,0.0,130,17806,0.9601,1.0,7914.0,15507.0,89,2,0.0,130,103,0.0047000000000000375,0.0,-353.0,139.0,0,0,0.0,0
460.tiff,tm_score,16082,0.9389,1.0,4742.0,9577.0,40,2,0.0,35,15698,0.9331,1.0,4944.0,9937.0,40,2,0.0,35,384,0.005799999999999916,0.0,-202.0,-360.0,0,0,0.0,0
460.tiff,chromatin_od,16082,0.9389,1.0,7270.0,13180.0,40,2,0.0,35,15698,0.9331,1.0,7183.0,12605.0,40,2,0.0,35,384,0.005799999999999916,0.0,87.0,575.0,0,0,0.0,0
529.tiff,tm_score,16503,0.9421,1.0,2429.0,2429.0,25,2,0.0,19,16620,0.9441,1.0,1843.0,1843.0,25,2,0.0,19,-117,-0.0020000000000000018,0.0,586.0,586.0,0,0,0.0,0
529.tiff,chromatin_od,16503,0.9421,1.0,1774.0,1774.0,25,2,0.0,19,16620,0.9441,1.0,1755.0,1755.0,25,2,0.0,19,-117,-0.0020000000000000018,0.0,19.0,19.0,0,0,0.0,0
548.tiff,tm_score,18117,0.9673,1.0,1220.0,6882.0,118,2,0.0,238,17839,0.9634,1.0,1322.0,16775.0,118,2,0.0,238,278,0.0039000000000000146,0.0,-102.0,-9893.0,0,0,0.0,0
548.tiff,chromatin_od,18117,0.9673,1.0,2655.0,12664.0,118,2,0.0,238,17839,0.9634,1.0,3940.0,12436.0,118,3,0.0,238,278,0.0039000000000000146,0.0,-1285.0,228.0,0,-1,0.0,0
