file_name,domain,condition,arm,K,budget_delivered,tp_at_budget,lookalike_at_budget,precision,nb_tp_at_budget,nb_lookalike_at_budget,nb_precision
459.tiff,canine soft tissue sarcoma,gray_bbox,od_contrast,50,50,34,9,0.68,34,9,0.68
460.tiff,canine soft tissue sarcoma,hem_bbox,tm_score,10,10,7,1,0.7,7,1,0.7
460.tiff,canine soft tissue sarcoma,hem_bbox,tm_score,20,20,9,2,0.45,9,2,0.45
460.tiff,canine soft tissue sarcoma,hem_bbox,tm_score,30,30,11,5,0.36666666666666664,11,5,0.3666666666666666
460.tiff,canine soft tissue sarcoma,hem_bbox,tm_score,50,50,13,6,0.26,13,6,0.26
460.tiff,canine soft tissue sarcoma,hem_bbox,chromatin_od,10,10,7,1,0.7,7,1,0.7
460.tiff,canine soft tissue sarcoma,hem_bbox,chromatin_od,20,20,14,2,0.7,14,2,0.7
460.tiff,canine soft tissue sarcoma,hem_bbox,chromatin_od,30,30,15,5,0.5,15,5,0.5
460.tiff,canine soft tissue sarcoma,hem_bbox,chromatin_od,50,50,16,6,0.32,16,6,0.32
460.tiff,canine soft tissue sarcoma,hem_bbox,od_contrast,10,10,8,0,0.8,8,0,0.8
460.tiff,canine soft tissue sarcoma,hem_bbox,od_contrast,20,20,11,2,0.55,11,2,0.55
460.tiff,canine soft tissue sarcoma,hem_bbox,od_contrast,30,30,14,4,0.4666666666666667,14,4,0.4666666666666667
460.tiff,canine soft tissue sarcoma,hem_bbox,od_contrast,50,50,16,6,0.32,16,6,0.32
460.tiff,canine soft tissue sarcoma,gray_bbox,tm_score,10,10,7,1,0.7,7,1,0.7
460.tiff,canine soft tissue sarcoma,gray_bbox,tm_score,20,20,10,4,0.5,10,4,0.5
460.tiff,canine soft tissue sarcoma,gray_bbox,tm_score,30,30,12,4,0.4,12,4,0.4
460.tiff,canine soft tissue sarcoma,gray_bbox,tm_score,50,50,15,8,0.3,15,8,0.3
460.tiff,canine soft tissue sarcoma,gray_bbox,chromatin_od,10,10,7,1,0.7,7,1,0.7
460.tiff,canine soft tissue sarcoma,gray_bbox,chromatin_od,20,20,16,1,0.8,16,1,0.8
460.tiff,canine soft tissue sarcoma,gray_bbox,chromatin_od,30,30,17,5,0.5666666666666667,17,5,0.5666666666666667
460.tiff,canine soft tissue sarcoma,gray_bbox,chromatin_od,50,50,20,6,0.4,20,6,0.4
460.tiff,canine soft tissue sarcoma,gray_bbox,od_contrast,10,10,10,0,1.0,10,0,1.0
460.tiff,canine soft tissue sarcoma,gray_bbox,od_contrast,20,20,13,2,0.65,13,2,0.65
460.tiff,canine soft tissue sarcoma,gray_bbox,od_contrast,30,30,17,3,0.5666666666666667,17,3,0.5666666666666667
460.tiff,canine soft tissue sarcoma,gray_bbox,od_contrast,50,50,19,6,0.38,19,6,0.38
529.tiff,human melanoma,hem_bbox,tm_score,10,10,2,2,0.2,2,2,0.2
529.tiff,human melanoma,hem_bbox,tm_score,20,20,4,2,0.2,4,2,0.2
529.tiff,human melanoma,hem_bbox,tm_score,30,30,5,2,0.16666666666666666,5,2,0.1666666666666666
529.tiff,human melanoma,hem_bbox,tm_score,50,50,6,3,0.12,6,3,0.12
529.tiff,human melanoma,hem_bbox,chromatin_od,10,10,6,2,0.6,6,2,0.6
529.tiff,human melanoma,hem_bbox,chromatin_od,20,20,8,4,0.4,8,4,0.4
529.tiff,human melanoma,hem_bbox,chromatin_od,30,30,8,4,0.26666666666666666,8,4,0.2666666666666666
529.tiff,human melanoma,hem_bbox,chromatin_od,50,50,8,5,0.16,8,5,0.16
529.tiff,human melanoma,hem_bbox,od_contrast,10,10,6,2,0.6,6,2,0.6
529.tiff,human melanoma,hem_bbox,od_contrast,20,20,8,4,0.4,8,4,0.4
529.tiff,human melanoma,hem_bbox,od_contrast,30,30,8,6,0.26666666666666666,8,6,0.2666666666666666
529.tiff,human melanoma,hem_bbox,od_contrast,50,50,8,7,0.16,8,7,0.16
529.tiff,human melanoma,gray_bbox,tm_score,10,10,3,2,0.3,3,2,0.3
529.tiff,human melanoma,gray_bbox,tm_score,20,20,4,3,0.2,4,3,0.2
529.tiff,human melanoma,gray_bbox,tm_score,30,30,4,4,0.13333333333333333,4,4,0.1333333333333333
529.tiff,human melanoma,gray_bbox,tm_score,50,50,6,4,0.12,6,4,0.12
529.tiff,human melanoma,gray_bbox,chromatin_od,10,10,6,2,0.6,6,2,0.6
529.tiff,human melanoma,gray_bbox,chromatin_od,20,20,7,4,0.35,7,4,0.35
529.tiff,human melanoma,gray_bbox,chromatin_od,30,30,7,4,0.23333333333333334,7,4,0.2333333333333333
529.tiff,human melanoma,gray_bbox,chromatin_od,50,50,7,4,0.14,7,4,0.14
529.tiff,human melanoma,gray_bbox,od_contrast,10,10,6,2,0.6,6,2,0.6
529.tiff,human melanoma,gray_bbox,od_contrast,20,20,7,3,0.35,7,3,0.35
529.tiff,human melanoma,gray_bbox,od_contrast,30,30,7,5,0.23333333333333334,7,5,0.2333333333333333
529.tiff,human melanoma,gray_bbox,od_contrast,50,50,7,5,0.14,7,5,0.14
548.tiff,human melanoma,hem_bbox,tm_score,10,10,4,3,0.4,4,3,0.4
548.tiff,human melanoma,hem_bbox,tm_score,20,20,9,6,0.45,9,6,0.45
548.tiff,human melanoma,hem_bbox,tm_score,30,30,15,8,0.5,15,8,0.5
548.tiff,human melanoma,hem_bbox,tm_score,50,50,30,11,0.6,30,11,0.6
548.tiff,human melanoma,hem_bbox,chromatin_od,10,10,8,2,0.8,8,2,0.8
548.tiff,human melanoma,hem_bbox,chromatin_od,20,20,13,5,0.65,13,5,0.65
548.tiff,human melanoma,hem_bbox,chromatin_od,30,30,21,6,0.7,21,6,0.7
548.tiff,human melanoma,hem_bbox,chromatin_od,50,50,35,8,0.7,35,8,0.7
548.tiff,human melanoma,hem_bbox,od_contrast,10,10,9,0,0.9,9,0,0.9
548.tiff,human melanoma,hem_bbox,od_contrast,20,20,16,3,0.8,16,3,0.8
548.tiff,human melanoma,hem_bbox,od_contrast,30,30,24,4,0.8,24,4,0.8
548.tiff,human melanoma,hem_bbox,od_contrast,50,50,35,9,0.7,35,9,0.7
548.tiff,human melanoma,gray_bbox,tm_score,10,10,5,2,0.5,5,2,0.5
548.tiff,human melanoma,gray_bbox,tm_score,20,20,10,6,0.5,10,6,0.5
548.tiff,human melanoma,gray_bbox,tm_score,30,30,16,8,0.5333333333333333,16,8,0.5333333333333333
548.tiff,human melanoma,gray_bbox,tm_score,50,50,28,12,0.56,28,12,0.56
548.tiff,human melanoma,gray_bbox,chromatin_od,10,10,8,2,0.8,8,2,0.8
548.tiff,human melanoma,gray_bbox,chromatin_od,20,20,13,5,0.65,13,5,0.65
548.tiff,human melanoma,gray_bbox,chromatin_od,30,30,21,6,0.7,21,6,0.7
548.tiff,human melanoma,gray_bbox,chromatin_od,50,50,36,7,0.72,36,7,0.72
548.tiff,human melanoma,gray_bbox,od_contrast,10,10,8,1,0.8,8,1,0.8
548.tiff,human melanoma,gray_bbox,od_contrast,20,20,15,4,0.75,15,4,0.75
548.tiff,human melanoma,gray_bbox,od_contrast,30,30,24,4,0.8,24,4,0.8
548.tiff,human melanoma,gray_bbox,od_contrast,50,50,35,9,0.7,35,9,0.7
