file_name,domain,condition,arm,K,budget_delivered,tp_at_budget,lookalike_at_budget,precision,nb_tp_at_budget,nb_lookalike_at_budget,nb_precision
094.tiff,human breast cancer,hem_bbox,chromatin_od,30,30,20,9,0.6666666666666666,20,9,0.6666666666666666
094.tiff,human breast cancer,hem_bbox,chromatin_od,50,50,24,14,0.48,24,14,0.48
094.tiff,human breast cancer,hem_bbox,od_contrast,10,10,6,4,0.6,6,4,0.6
094.tiff,human breast cancer,hem_bbox,od_contrast,20,20,15,5,0.75,15,5,0.75
094.tiff,human breast cancer,hem_bbox,od_contrast,30,30,19,10,0.6333333333333333,19,10,0.6333333333333333
094.tiff,human breast cancer,hem_bbox,od_contrast,50,50,22,14,0.44,22,14,0.44
094.tiff,human breast cancer,gray_bbox,tm_score,10,10,4,5,0.4,4,5,0.4
094.tiff,human breast cancer,gray_bbox,tm_score,20,20,10,7,0.5,10,7,0.5
094.tiff,human breast cancer,gray_bbox,tm_score,30,30,16,9,0.5333333333333333,16,9,0.5333333333333333
094.tiff,human breast cancer,gray_bbox,tm_score,50,50,22,13,0.44,22,13,0.44
094.tiff,human breast cancer,gray_bbox,chromatin_od,10,10,5,5,0.5,5,5,0.5
094.tiff,human breast cancer,gray_bbox,chromatin_od,20,20,15,5,0.75,15,5,0.75
094.tiff,human breast cancer,gray_bbox,chromatin_od,30,30,22,7,0.7333333333333333,22,7,0.7333333333333333
094.tiff,human breast cancer,gray_bbox,chromatin_od,50,50,27,16,0.54,27,16,0.54
094.tiff,human breast cancer,gray_bbox,od_contrast,10,10,5,5,0.5,5,5,0.5
094.tiff,human breast cancer,gray_bbox,od_contrast,20,20,15,5,0.75,15,5,0.75
094.tiff,human breast cancer,gray_bbox,od_contrast,30,30,21,8,0.7,21,8,0.7
094.tiff,human breast cancer,gray_bbox,od_contrast,50,50,25,15,0.5,25,15,0.5
201.tiff,canine lung cancer,hem_bbox,tm_score,10,10,4,1,0.4,4,1,0.4
201.tiff,canine lung cancer,hem_bbox,tm_score,20,20,5,4,0.25,5,4,0.25
201.tiff,canine lung cancer,hem_bbox,tm_score,30,30,5,6,0.16666666666666666,5,6,0.1666666666666666
201.tiff,canine lung cancer,hem_bbox,tm_score,50,50,6,7,0.12,6,7,0.12
201.tiff,canine lung cancer,hem_bbox,chromatin_od,10,10,4,1,0.4,4,1,0.4
201.tiff,canine lung cancer,hem_bbox,chromatin_od,20,20,6,4,0.3,6,4,0.3
201.tiff,canine lung cancer,hem_bbox,chromatin_od,30,30,7,7,0.23333333333333334,7,7,0.2333333333333333
201.tiff,canine lung cancer,hem_bbox,chromatin_od,50,50,7,11,0.14,7,11,0.14
201.tiff,canine lung cancer,hem_bbox,od_contrast,10,10,4,2,0.4,4,2,0.4
201.tiff,canine lung cancer,hem_bbox,od_contrast,20,20,6,5,0.3,6,5,0.3
201.tiff,canine lung cancer,hem_bbox,od_contrast,30,30,6,8,0.2,6,8,0.2
201.tiff,canine lung cancer,hem_bbox,od_contrast,50,50,8,12,0.16,8,12,0.16
201.tiff,canine lung cancer,gray_bbox,tm_score,10,10,3,1,0.3,3,1,0.3
201.tiff,canine lung cancer,gray_bbox,tm_score,20,20,5,1,0.25,5,1,0.25
201.tiff,canine lung cancer,gray_bbox,tm_score,30,30,6,2,0.2,6,2,0.2
201.tiff,canine lung cancer,gray_bbox,tm_score,50,50,11,5,0.22,11,5,0.22
201.tiff,canine lung cancer,gray_bbox,chromatin_od,10,10,4,1,0.4,4,1,0.4
201.tiff,canine lung cancer,gray_bbox,chromatin_od,20,20,8,5,0.4,8,5,0.4
201.tiff,canine lung cancer,gray_bbox,chromatin_od,30,30,9,7,0.3,9,7,0.3
201.tiff,canine lung cancer,gray_bbox,chromatin_od,50,50,11,11,0.22,11,11,0.22
201.tiff,canine lung cancer,gray_bbox,od_contrast,10,10,4,2,0.4,4,2,0.4
201.tiff,canine lung cancer,gray_bbox,od_contrast,20,20,7,4,0.35,7,4,0.35
201.tiff,canine lung cancer,gray_bbox,od_contrast,30,30,8,6,0.26666666666666666,8,6,0.2666666666666666
201.tiff,canine lung cancer,gray_bbox,od_contrast,50,50,11,11,0.22,11,11,0.22
233.tiff,canine lung cancer,hem_bbox,tm_score,10,10,4,1,0.4,4,1,0.4
233.tiff,canine lung cancer,hem_bbox,tm_score,20,20,6,2,0.3,6,2,0.3
233.tiff,canine lung cancer,hem_bbox,tm_score,30,30,7,4,0.23333333333333334,7,4,0.2333333333333333
233.tiff,canine lung cancer,hem_bbox,tm_score,50,50,7,4,0.14,7,4,0.14
233.tiff,canine lung cancer,hem_bbox,chromatin_od,10,10,6,0,0.6,6,0,0.6
233.tiff,canine lung cancer,hem_bbox,chromatin_od,20,20,7,1,0.35,7,1,0.35
233.tiff,canine lung cancer,hem_bbox,chromatin_od,30,30,9,2,0.3,9,2,0.3
233.tiff,canine lung cancer,hem_bbox,chromatin_od,50,50,9,3,0.18,9,3,0.18
233.tiff,canine lung cancer,hem_bbox,od_contrast,10,10,7,0,0.7,7,0,0.7
233.tiff,canine lung cancer,hem_bbox,od_contrast,20,20,7,1,0.35,7,1,0.35
233.tiff,canine lung cancer,hem_bbox,od_contrast,30,30,9,1,0.3,9,1,0.3
233.tiff,canine lung cancer,hem_bbox,od_contrast,50,50,10,3,0.2,10,3,0.2
233.tiff,canine lung cancer,gray_bbox,tm_score,10,10,3,2,0.3,3,2,0.3
