file_name,arm,n_gt_mitotic,n_captured,ceiling,n_pool,quantile,depth,frac_of_pool
202.tiff,cc_maxarea10k,16,16,1.0,13462,0.95,2304,0.1711
202.tiff,cc_maxarea10k,16,16,1.0,13462,0.98,2304,0.1711
202.tiff,cc_maxarea10k,16,16,1.0,13462,0.99,2304,0.1711
202.tiff,cc_maxarea10k,16,16,1.0,13462,1.0,2304,0.1711
202.tiff,watershed,16,16,1.0,30287,0.5,32,0.0011
202.tiff,watershed,16,16,1.0,30287,0.9,1288,0.0425
202.tiff,watershed,16,16,1.0,30287,0.95,1859,0.0614
202.tiff,watershed,16,16,1.0,30287,0.98,1859,0.0614
202.tiff,watershed,16,16,1.0,30287,0.99,1859,0.0614
202.tiff,watershed,16,16,1.0,30287,1.0,1859,0.0614
202.tiff,watershed_maxarea10k,16,16,1.0,30287,0.5,32,0.0011
202.tiff,watershed_maxarea10k,16,16,1.0,30287,0.9,1288,0.0425
202.tiff,watershed_maxarea10k,16,16,1.0,30287,0.95,1859,0.0614
202.tiff,watershed_maxarea10k,16,16,1.0,30287,0.98,1859,0.0614
202.tiff,watershed_maxarea10k,16,16,1.0,30287,0.99,1859,0.0614
202.tiff,watershed_maxarea10k,16,16,1.0,30287,1.0,1859,0.0614
405.tiff,connected_components,14,14,1.0,7577,0.5,796,0.1051
405.tiff,connected_components,14,14,1.0,7577,0.9,2968,0.3917
405.tiff,connected_components,14,14,1.0,7577,0.95,3630,0.4791
405.tiff,connected_components,14,14,1.0,7577,0.98,3630,0.4791
405.tiff,connected_components,14,14,1.0,7577,0.99,3630,0.4791
405.tiff,connected_components,14,14,1.0,7577,1.0,3630,0.4791
405.tiff,cc_maxarea10k,14,14,1.0,7579,0.5,796,0.105
405.tiff,cc_maxarea10k,14,14,1.0,7579,0.9,2969,0.3917
405.tiff,cc_maxarea10k,14,14,1.0,7579,0.95,3632,0.4792
405.tiff,cc_maxarea10k,14,14,1.0,7579,0.98,3632,0.4792
405.tiff,cc_maxarea10k,14,14,1.0,7579,0.99,3632,0.4792
405.tiff,cc_maxarea10k,14,14,1.0,7579,1.0,3632,0.4792
405.tiff,watershed,14,14,1.0,12611,0.5,506,0.0401
405.tiff,watershed,14,14,1.0,12611,0.9,2110,0.1673
405.tiff,watershed,14,14,1.0,12611,0.95,3531,0.28
405.tiff,watershed,14,14,1.0,12611,0.98,3531,0.28
405.tiff,watershed,14,14,1.0,12611,0.99,3531,0.28
405.tiff,watershed,14,14,1.0,12611,1.0,3531,0.28
405.tiff,watershed_maxarea10k,14,14,1.0,12611,0.5,506,0.0401
405.tiff,watershed_maxarea10k,14,14,1.0,12611,0.9,2110,0.1673
405.tiff,watershed_maxarea10k,14,14,1.0,12611,0.95,3531,0.28
405.tiff,watershed_maxarea10k,14,14,1.0,12611,0.98,3531,0.28
405.tiff,watershed_maxarea10k,14,14,1.0,12611,0.99,3531,0.28
405.tiff,watershed_maxarea10k,14,14,1.0,12611,1.0,3531,0.28
