tumor_type,file_name,seed_index,seed_ann_id,n_retries,base_size,n_pool,n_gt_mitotic,deep_recall,map_median,mad_scale,z_max,tp_score_min,n_at_current_z,n_at_z_max,pct_pool_cut
canine lymphosarcoma,246.tiff,3,6520,0,51,18564,115,1.0,-0.010693099349737167,0.18345034417212008,2.7782137393951416,0.4989711344242096,17637,6409,63.66
canine lymphosarcoma,246.tiff,4,6587,0,37,17784,115,1.0,-0.0039575183764100075,0.18126200852841137,2.555565357208252,0.45926937460899353,16929,7018,58.54
canine soft tissue sarcoma,459.tiff,0,22441,0,33,17994,130,1.0,-0.05076500028371811,0.5032099391520023,1.8907809257507324,0.9006947875022888,15834,12838,18.92
canine soft tissue sarcoma,459.tiff,1,22445,0,47,16569,130,1.0,-0.09126412123441696,0.7691311110377311,1.6142152547836304,1.1502790451049805,14166,12189,13.96
canine soft tissue sarcoma,459.tiff,2,22306,0,39,17119,130,1.0,-0.10058432072401047,0.7868055221557617,1.8067939281463623,1.3210111856460571,15015,12109,19.35
canine soft tissue sarcoma,459.tiff,3,22371,0,51,15882,130,1.0,-0.14223219454288483,1.2101119322776794,1.3078757524490356,1.4404438734054565,13446,12535,6.78
canine soft tissue sarcoma,459.tiff,4,22305,0,45,16609,130,0.9923,-0.14085979759693146,1.0427692239403723,1.3727209568023682,1.2905713319778442,14128,13061,7.55
human breast cancer,094.tiff,0,2512,0,25,18410,81,1.0,-0.003239314304664731,0.0505320100620389,4.767851829528809,0.2376898229122162,15369,3305,78.5
human breast cancer,094.tiff,1,2534,0,37,18450,81,1.0,-0.009720981121063232,0.11340501276701688,3.6053645610809326,0.3991454243659973,14621,4441,69.63
human breast cancer,094.tiff,2,2494,0,35,18809,81,1.0,-0.00320444256067276,0.07754829588532447,3.995893955230713,0.30667033791542053,15399,3454,77.57
human breast cancer,094.tiff,3,2612,0,37,18524,81,1.0,-0.008004341274499893,0.10703577818423508,3.4876599311828613,0.3653000593185425,14362,4420,69.22
human breast cancer,094.tiff,4,2494,0,35,18809,81,1.0,-0.00320444256067276,0.07754829588532447,3.995893955230713,0.30667033791542053,15399,3454,77.57
human melanoma,548.tiff,0,25804,0,29,17413,238,1.0,-0.05509126931428909,0.6139303312182426,0.43783292174339294,0.21370764076709747,14484,16532,-14.14
human melanoma,548.tiff,1,25712,0,37,17659,238,1.0,-0.07451345026493073,0.6772858111917972,1.199796438217163,0.7380916476249695,14348,13655,4.83
human melanoma,548.tiff,2,25735,0,33,17652,238,1.0,-0.09509076923131943,0.7429956406116485,2.3363265991210938,1.6407897472381592,14594,10055,31.1
human melanoma,548.tiff,3,25802,0,33,17456,238,0.9958,-0.08206693828105927,0.8118129514932632,2.292304039001465,1.7788550853729248,14472,9580,33.8
human melanoma,548.tiff,4,25719,0,33,17980,238,1.0,-0.04526914283633232,0.47655768186450004,3.0326178073883057,1.3999481201171875,15212,6503,57.25
human neuroendocrine tumor,402.tiff,0,20254,0,29,17337,104,1.0,-0.05574367940425873,0.9205197040557861,3.1865651607513428,2.8775522708892822,15912,4592,71.14
human neuroendocrine tumor,402.tiff,1,20258,0,51,15879,104,1.0,-0.1100701093673706,2.2206543522834776,1.825117588043213,3.942885160446167,13768,9066,34.15
human neuroendocrine tumor,402.tiff,2,20245,0,51,16304,104,1.0,0.011568618938326836,0.9436282421350478,1.918854832649231,1.8222543001174927,13652,7567,44.57
human neuroendocrine tumor,402.tiff,3,20183,0,31,17057,104,1.0,-0.044723816215991974,0.9165974967956543,2.626025438308716,2.3622846603393555,15445,6354,58.86
human neuroendocrine tumor,402.tiff,4,20182,0,27,18068,104,1.0,0.005528690759092569,0.23520434351563452,2.4882559776306152,0.5907772779464722,16699,8375,49.85
