file_name,tumor_type,image_id,condition,tighten_channel,base_size,tpl_cx,tpl_cy,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,30,30,20,9,0.24691358024691357,0.6666666666666666
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,50,50,24,14,0.2962962962962963,0.48
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,10,10,6,4,0.07407407407407407,0.6
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,20,20,15,5,0.18518518518518517,0.75
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,30,30,19,10,0.2345679012345679,0.6333333333333333
094.tiff,human breast cancer,94,hem_bbox,hematoxylin_od,23,5557.5,1177.0,-0.00184,0.03821,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,98,0.0086,20,1,0.0,0.32098765432098764,32.63,,,,,,,50,50,22,14,0.2716049382716049,0.44
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,10,10,4,5,0.04938271604938271,0.4
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,20,20,10,7,0.12345679012345678,0.5
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,30,30,16,9,0.19753086419753085,0.5333333333333333
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,tm_score,score,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,50,50,22,13,0.2716049382716049,0.44
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,10,10,5,5,0.06172839506172839,0.5
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,20,20,15,5,0.18518518518518517,0.75
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,30,30,22,7,0.2716049382716049,0.7333333333333333
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,chromatin_od,od51,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,50,50,27,16,0.3333333333333333,0.54
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,10,10,5,5,0.06172839506172839,0.5
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,20,20,15,5,0.18518518518518517,0.75
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,30,30,21,8,0.25925925925925924,0.7
094.tiff,human breast cancer,94,gray_bbox,gray_inverted,25,5557.5,1178.0,-0.00341,0.04558,0.22984761284250915,od_contrast,od_contrast,True,-1.5,True,False,81,102,96,0.0084,21,1,0.0,0.37037037037037035,32.63,,,,,,,50,50,25,15,0.30864197530864196,0.5
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,10,10,4,1,0.23529411764705882,0.4
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,20,20,5,4,0.29411764705882354,0.25
