subset,domain,file_name,condition,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
testing_35,canine soft tissue sarcoma,425.tiff,default_51,3,27,42,42,0.9,0.7,0.4666666666666667
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_m1,3,22,24,24,0.7333333333333333,0.4,0.26666666666666666
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_0,3,28,41,42,0.9333333333333333,0.6833333333333333,0.4666666666666667
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_1,3,27,41,41,0.9,0.6833333333333333,0.45555555555555555
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_2,3,27,41,42,0.9,0.6833333333333333,0.4666666666666667
testing_35,canine soft tissue sarcoma,435.tiff,default_51,3,18,25,32,0.6,0.4166666666666667,0.35555555555555557
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_m1,3,1,2,2,0.03333333333333333,0.03333333333333333,0.022222222222222223
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_0,3,13,17,25,0.43333333333333335,0.2833333333333333,0.2777777777777778
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_1,3,17,25,33,0.5666666666666667,0.4166666666666667,0.36666666666666664
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_2,3,17,27,34,0.5666666666666667,0.45,0.37777777777777777
testing_35,canine soft tissue sarcoma,462.tiff,default_51,3,3,7,9,0.1,0.11666666666666667,0.1
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_m1,3,2,2,2,0.06666666666666667,0.03333333333333333,0.022222222222222223
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_0,3,3,5,6,0.1,0.08333333333333333,0.06666666666666667
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_1,3,3,8,9,0.1,0.13333333333333333,0.1
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_2,3,2,7,8,0.06666666666666667,0.11666666666666667,0.08888888888888889
testing_35,canine soft tissue sarcoma,499.tiff,default_51,3,22,44,60,0.7333333333333333,0.7333333333333333,0.6666666666666666
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_m1,3,10,22,38,0.3333333333333333,0.36666666666666664,0.4222222222222222
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_0,3,23,42,63,0.7666666666666667,0.7,0.7
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_1,3,22,42,60,0.7333333333333333,0.7,0.6666666666666666
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_2,3,22,44,62,0.7333333333333333,0.7333333333333333,0.6888888888888889
original_14,human breast cancer,013.tiff,default_51,3,17,25,27,0.5666666666666667,0.4166666666666667,0.3
original_14,human breast cancer,013.tiff,fill_alpha_m1,3,9,18,23,0.3,0.3,0.25555555555555554
original_14,human breast cancer,013.tiff,fill_alpha_0,3,15,23,27,0.5,0.38333333333333336,0.3
original_14,human breast cancer,013.tiff,fill_alpha_1,3,17,25,27,0.5666666666666667,0.4166666666666667,0.3
original_14,human breast cancer,013.tiff,fill_alpha_2,3,16,25,27,0.5333333333333333,0.4166666666666667,0.3
original_14,human breast cancer,094.tiff,default_51,3,15,44,62,0.5,0.7333333333333333,0.6888888888888889
original_14,human breast cancer,094.tiff,fill_alpha_m1,3,15,16,17,0.5,0.26666666666666666,0.18888888888888888
original_14,human breast cancer,094.tiff,fill_alpha_0,3,15,39,60,0.5,0.65,0.6666666666666666
original_14,human breast cancer,094.tiff,fill_alpha_1,3,15,44,62,0.5,0.7333333333333333,0.6888888888888889
original_14,human breast cancer,094.tiff,fill_alpha_2,3,15,44,63,0.5,0.7333333333333333,0.7
testing_35,human breast cancer,007.tiff,default_51,3,18,21,22,0.6,0.35,0.24444444444444444
testing_35,human breast cancer,007.tiff,fill_alpha_m1,3,15,15,15,0.5,0.25,0.16666666666666666
testing_35,human breast cancer,007.tiff,fill_alpha_0,3,17,20,21,0.5666666666666667,0.3333333333333333,0.23333333333333334
testing_35,human breast cancer,007.tiff,fill_alpha_1,3,18,21,21,0.6,0.35,0.23333333333333334
testing_35,human breast cancer,007.tiff,fill_alpha_2,3,18,21,21,0.6,0.35,0.23333333333333334
testing_35,human breast cancer,072.tiff,default_51,3,18,35,48,0.6,0.5833333333333334,0.5333333333333333
testing_35,human breast cancer,072.tiff,fill_alpha_m1,3,7,7,7,0.23333333333333334,0.11666666666666667,0.07777777777777778
testing_35,human breast cancer,072.tiff,fill_alpha_0,3,17,26,30,0.5666666666666667,0.43333333333333335,0.3333333333333333
testing_35,human breast cancer,072.tiff,fill_alpha_1,3,18,35,48,0.6,0.5833333333333334,0.5333333333333333
testing_35,human breast cancer,072.tiff,fill_alpha_2,3,17,36,50,0.5666666666666667,0.6,0.5555555555555556
testing_35,human breast cancer,100.tiff,default_51,3,27,51,64,0.9,0.85,0.7111111111111111
testing_35,human breast cancer,100.tiff,fill_alpha_m1,3,22,39,50,0.7333333333333333,0.65,0.5555555555555556
testing_35,human breast cancer,100.tiff,fill_alpha_0,3,27,46,57,0.9,0.7666666666666667,0.6333333333333333
testing_35,human breast cancer,100.tiff,fill_alpha_1,3,27,52,65,0.9,0.8666666666666667,0.7222222222222222
testing_35,human breast cancer,100.tiff,fill_alpha_2,3,27,51,65,0.9,0.85,0.7222222222222222
testing_35,human breast cancer,123.tiff,default_51,3,16,28,35,0.5333333333333333,0.4666666666666667,0.3888888888888889
testing_35,human breast cancer,123.tiff,fill_alpha_m1,3,15,22,26,0.5,0.36666666666666664,0.28888888888888886
testing_35,human breast cancer,123.tiff,fill_alpha_0,3,13,19,23,0.43333333333333335,0.31666666666666665,0.25555555555555554
testing_35,human breast cancer,123.tiff,fill_alpha_1,3,16,29,37,0.5333333333333333,0.48333333333333334,0.4111111111111111
testing_35,human breast cancer,123.tiff,fill_alpha_2,3,16,30,39,0.5333333333333333,0.5,0.43333333333333335
testing_35,human breast cancer,128.tiff,default_51,3,21,37,38,0.7,0.6166666666666667,0.4222222222222222
testing_35,human breast cancer,128.tiff,fill_alpha_m1,3,16,26,26,0.5333333333333333,0.43333333333333335,0.28888888888888886
testing_35,human breast cancer,128.tiff,fill_alpha_0,3,21,31,33,0.7,0.5166666666666667,0.36666666666666664
testing_35,human breast cancer,128.tiff,fill_alpha_1,3,21,35,36,0.7,0.5833333333333334,0.4
testing_35,human breast cancer,128.tiff,fill_alpha_2,3,22,37,39,0.7333333333333333,0.6166666666666667,0.43333333333333335
original_14,human melanoma,529.tiff,default_51,3,21,29,32,0.7,0.48333333333333334,0.35555555555555557
original_14,human melanoma,529.tiff,fill_alpha_m1,3,3,3,3,0.1,0.05,0.03333333333333333
original_14,human melanoma,529.tiff,fill_alpha_0,3,15,18,19,0.5,0.3,0.2111111111111111
original_14,human melanoma,529.tiff,fill_alpha_1,3,20,29,33,0.6666666666666666,0.48333333333333334,0.36666666666666664
original_14,human melanoma,529.tiff,fill_alpha_2,3,21,30,33,0.7,0.5,0.36666666666666664
original_14,human melanoma,548.tiff,default_51,3,29,46,71,0.9666666666666667,0.7666666666666667,0.7888888888888889
original_14,human melanoma,548.tiff,fill_alpha_m1,3,18,39,56,0.6,0.65,0.6222222222222222
original_14,human melanoma,548.tiff,fill_alpha_0,3,27,41,66,0.9,0.6833333333333333,0.7333333333333333
original_14,human melanoma,548.tiff,fill_alpha_1,3,29,46,71,0.9666666666666667,0.7666666666666667,0.7888888888888889
original_14,human melanoma,548.tiff,fill_alpha_2,3,29,49,73,0.9666666666666667,0.8166666666666667,0.8111111111111111
testing_35,human melanoma,509.tiff,default_51,3,5,16,26,0.16666666666666666,0.26666666666666666,0.28888888888888886
testing_35,human melanoma,509.tiff,fill_alpha_m1,3,5,16,23,0.16666666666666666,0.26666666666666666,0.25555555555555554
testing_35,human melanoma,509.tiff,fill_alpha_0,3,5,17,24,0.16666666666666666,0.2833333333333333,0.26666666666666666
testing_35,human melanoma,509.tiff,fill_alpha_1,3,5,17,28,0.16666666666666666,0.2833333333333333,0.3111111111111111
testing_35,human melanoma,509.tiff,fill_alpha_2,3,6,17,29,0.2,0.2833333333333333,0.32222222222222224
testing_35,human melanoma,524.tiff,default_51,3,6,7,8,0.2,0.11666666666666667,0.08888888888888889
testing_35,human melanoma,524.tiff,fill_alpha_m1,3,1,1,1,0.03333333333333333,0.016666666666666666,0.011111111111111112
testing_35,human melanoma,524.tiff,fill_alpha_0,3,4,4,5,0.13333333333333333,0.06666666666666667,0.05555555555555555
testing_35,human melanoma,524.tiff,fill_alpha_1,3,6,8,8,0.2,0.13333333333333333,0.08888888888888889
testing_35,human melanoma,524.tiff,fill_alpha_2,3,6,7,7,0.2,0.11666666666666667,0.07777777777777778
testing_35,human melanoma,527.tiff,default_51,3,10,16,19,0.3333333333333333,0.26666666666666666,0.2111111111111111
testing_35,human melanoma,527.tiff,fill_alpha_m1,3,1,2,2,0.03333333333333333,0.03333333333333333,0.022222222222222223
testing_35,human melanoma,527.tiff,fill_alpha_0,3,5,9,11,0.16666666666666666,0.15,0.12222222222222222
testing_35,human melanoma,527.tiff,fill_alpha_1,3,11,18,22,0.36666666666666664,0.3,0.24444444444444444
testing_35,human melanoma,527.tiff,fill_alpha_2,3,12,19,22,0.4,0.31666666666666665,0.24444444444444444
testing_35,human melanoma,546.tiff,default_51,3,3,4,10,0.1,0.06666666666666667,0.1111111111111111
testing_35,human melanoma,546.tiff,fill_alpha_m1,3,0,0,0,0.0,0.0,0.0
testing_35,human melanoma,546.tiff,fill_alpha_0,3,2,4,5,0.06666666666666667,0.06666666666666667,0.05555555555555555
testing_35,human melanoma,546.tiff,fill_alpha_1,3,3,5,9,0.1,0.08333333333333333,0.1
testing_35,human melanoma,546.tiff,fill_alpha_2,3,3,4,9,0.1,0.06666666666666667,0.1
testing_35,human melanoma,549.tiff,default_51,3,24,31,35,0.8,0.5166666666666667,0.3888888888888889
testing_35,human melanoma,549.tiff,fill_alpha_m1,3,8,9,10,0.26666666666666666,0.15,0.1111111111111111
testing_35,human melanoma,549.tiff,fill_alpha_0,3,21,24,26,0.7,0.4,0.28888888888888886
testing_35,human melanoma,549.tiff,fill_alpha_1,3,24,31,35,0.8,0.5166666666666667,0.3888888888888889
testing_35,human melanoma,549.tiff,fill_alpha_2,3,24,29,32,0.8,0.48333333333333334,0.35555555555555557
original_14,human neuroendocrine tumor,402.tiff,default_51,3,23,41,55,0.7666666666666667,0.6833333333333333,0.6111111111111112
original_14,human neuroendocrine tumor,402.tiff,fill_alpha_m1,3,11,15,17,0.36666666666666664,0.25,0.18888888888888888
original_14,human neuroendocrine tumor,402.tiff,fill_alpha_0,3,21,37,50,0.7,0.6166666666666667,0.5555555555555556
original_14,human neuroendocrine tumor,402.tiff,fill_alpha_1,3,22,37,52,0.7333333333333333,0.6166666666666667,0.5777777777777777
original_14,human neuroendocrine tumor,402.tiff,fill_alpha_2,3,22,40,53,0.7333333333333333,0.6666666666666666,0.5888888888888889
original_14,human neuroendocrine tumor,403.tiff,default_51,3,16,30,41,0.5333333333333333,0.5,0.45555555555555555
original_14,human neuroendocrine tumor,403.tiff,fill_alpha_m1,3,12,18,23,0.4,0.3,0.25555555555555554
original_14,human neuroendocrine tumor,403.tiff,fill_alpha_0,3,16,26,35,0.5333333333333333,0.43333333333333335,0.3888888888888889
original_14,human neuroendocrine tumor,403.tiff,fill_alpha_1,3,15,31,38,0.5,0.5166666666666667,0.4222222222222222
