file_name,seed,ranker,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
202.tiff,0,tm_rot24,0.98,13031,15,15,1.0,0.9696
202.tiff,0,tm_rot24,0.99,13031,15,15,1.0,0.9696
202.tiff,0,tm_rot24,1.0,13031,15,15,1.0,0.9696
202.tiff,1,blob_score,0.5,41,15,15,1.0,0.0031
202.tiff,1,blob_score,0.9,1019,15,15,1.0,0.0758
202.tiff,1,blob_score,0.95,2303,15,15,1.0,0.1714
202.tiff,1,blob_score,0.98,2303,15,15,1.0,0.1714
202.tiff,1,blob_score,0.99,2303,15,15,1.0,0.1714
202.tiff,1,blob_score,1.0,2303,15,15,1.0,0.1714
202.tiff,1,tm_single,0.5,591,15,15,1.0,0.044
202.tiff,1,tm_single,0.9,5343,15,15,1.0,0.3976
202.tiff,1,tm_single,0.95,13090,15,15,1.0,0.974
202.tiff,1,tm_single,0.98,13090,15,15,1.0,0.974
202.tiff,1,tm_single,0.99,13090,15,15,1.0,0.974
202.tiff,1,tm_single,1.0,13090,15,15,1.0,0.974
202.tiff,1,tm_rot24,0.5,164,15,15,1.0,0.0122
202.tiff,1,tm_rot24,0.9,7425,15,15,1.0,0.5525
202.tiff,1,tm_rot24,0.95,13086,15,15,1.0,0.9737
202.tiff,1,tm_rot24,0.98,13086,15,15,1.0,0.9737
202.tiff,1,tm_rot24,0.99,13086,15,15,1.0,0.9737
202.tiff,1,tm_rot24,1.0,13086,15,15,1.0,0.9737
202.tiff,2,blob_score,0.5,41,15,15,1.0,0.0031
202.tiff,2,blob_score,0.9,1019,15,15,1.0,0.0758
202.tiff,2,blob_score,0.95,2303,15,15,1.0,0.1714
202.tiff,2,blob_score,0.98,2303,15,15,1.0,0.1714
202.tiff,2,blob_score,0.99,2303,15,15,1.0,0.1714
202.tiff,2,blob_score,1.0,2303,15,15,1.0,0.1714
202.tiff,2,tm_single,0.5,326,15,15,1.0,0.0243
202.tiff,2,tm_single,0.9,4936,15,15,1.0,0.3673
202.tiff,2,tm_single,0.95,13069,15,15,1.0,0.9725
202.tiff,2,tm_single,0.98,13069,15,15,1.0,0.9725
202.tiff,2,tm_single,0.99,13069,15,15,1.0,0.9725
202.tiff,2,tm_single,1.0,13069,15,15,1.0,0.9725
202.tiff,2,tm_rot24,0.5,242,15,15,1.0,0.018
202.tiff,2,tm_rot24,0.9,4294,15,15,1.0,0.3195
202.tiff,2,tm_rot24,0.95,12228,15,15,1.0,0.9099
202.tiff,2,tm_rot24,0.98,12228,15,15,1.0,0.9099
202.tiff,2,tm_rot24,0.99,12228,15,15,1.0,0.9099
202.tiff,2,tm_rot24,1.0,12228,15,15,1.0,0.9099
202.tiff,3,blob_score,0.5,27,15,15,1.0,0.002
202.tiff,3,blob_score,0.9,746,15,15,1.0,0.0555
202.tiff,3,blob_score,0.95,1020,15,15,1.0,0.0759
202.tiff,3,blob_score,0.98,1020,15,15,1.0,0.0759
202.tiff,3,blob_score,0.99,1020,15,15,1.0,0.0759
202.tiff,3,blob_score,1.0,1020,15,15,1.0,0.0759
202.tiff,3,tm_single,0.5,8859,15,15,1.0,0.6592
202.tiff,3,tm_single,0.9,10784,15,15,1.0,0.8024
202.tiff,3,tm_single,0.95,11411,15,15,1.0,0.8491
202.tiff,3,tm_single,0.98,11411,15,15,1.0,0.8491
202.tiff,3,tm_single,0.99,11411,15,15,1.0,0.8491
202.tiff,3,tm_single,1.0,11411,15,15,1.0,0.8491
202.tiff,3,tm_rot24,0.5,12372,15,15,1.0,0.9206
202.tiff,3,tm_rot24,0.9,13090,15,15,1.0,0.974
202.tiff,3,tm_rot24,0.95,13107,15,15,1.0,0.9753
202.tiff,3,tm_rot24,0.98,13107,15,15,1.0,0.9753
202.tiff,3,tm_rot24,0.99,13107,15,15,1.0,0.9753
202.tiff,3,tm_rot24,1.0,13107,15,15,1.0,0.9753
202.tiff,4,blob_score,0.5,27,15,15,1.0,0.002
202.tiff,4,blob_score,0.9,1019,15,15,1.0,0.0758
202.tiff,4,blob_score,0.95,2303,15,15,1.0,0.1714
202.tiff,4,blob_score,0.98,2303,15,15,1.0,0.1714
202.tiff,4,blob_score,0.99,2303,15,15,1.0,0.1714
202.tiff,4,blob_score,1.0,2303,15,15,1.0,0.1714
202.tiff,4,tm_single,0.5,329,15,15,1.0,0.0245
202.tiff,4,tm_single,0.9,8035,15,15,1.0,0.5979
202.tiff,4,tm_single,0.95,13067,15,15,1.0,0.9723
202.tiff,4,tm_single,0.98,13067,15,15,1.0,0.9723
202.tiff,4,tm_single,0.99,13067,15,15,1.0,0.9723
202.tiff,4,tm_single,1.0,13067,15,15,1.0,0.9723
202.tiff,4,tm_rot24,0.5,149,15,15,1.0,0.0111
202.tiff,4,tm_rot24,0.9,7698,15,15,1.0,0.5728
202.tiff,4,tm_rot24,0.95,12933,15,15,1.0,0.9623
202.tiff,4,tm_rot24,0.98,12933,15,15,1.0,0.9623
202.tiff,4,tm_rot24,0.99,12933,15,15,1.0,0.9623
202.tiff,4,tm_rot24,1.0,12933,15,15,1.0,0.9623
245.tiff,0,blob_score,0.5,884,89,89,1.0,0.0253
245.tiff,0,blob_score,0.9,10182,89,89,1.0,0.2917
245.tiff,0,blob_score,0.95,13480,89,89,1.0,0.3861
245.tiff,0,blob_score,0.98,15958,89,89,1.0,0.4571
245.tiff,0,blob_score,0.99,17472,89,89,1.0,0.5005
245.tiff,0,blob_score,1.0,17472,89,89,1.0,0.5005
245.tiff,0,tm_single,0.5,6322,89,89,1.0,0.1811
245.tiff,0,tm_single,0.9,17053,89,89,1.0,0.4885
245.tiff,0,tm_single,0.95,26268,89,89,1.0,0.7525
245.tiff,0,tm_single,0.98,30299,89,89,1.0,0.8679
245.tiff,0,tm_single,0.99,31348,89,89,1.0,0.898
245.tiff,0,tm_single,1.0,31348,89,89,1.0,0.898
245.tiff,0,tm_rot24,0.5,6878,89,89,1.0,0.197
245.tiff,0,tm_rot24,0.9,19063,89,89,1.0,0.5461
245.tiff,0,tm_rot24,0.95,24885,89,89,1.0,0.7129
245.tiff,0,tm_rot24,0.98,31533,89,89,1.0,0.9033
245.tiff,0,tm_rot24,0.99,32503,89,89,1.0,0.9311
245.tiff,0,tm_rot24,1.0,32503,89,89,1.0,0.9311
245.tiff,1,blob_score,0.5,944,89,89,1.0,0.027
245.tiff,1,blob_score,0.9,10182,89,89,1.0,0.2917
245.tiff,1,blob_score,0.95,13480,89,89,1.0,0.3861
245.tiff,1,blob_score,0.98,15958,89,89,1.0,0.4571
245.tiff,1,blob_score,0.99,17472,89,89,1.0,0.5005
245.tiff,1,blob_score,1.0,17472,89,89,1.0,0.5005
245.tiff,1,tm_single,0.5,4760,89,89,1.0,0.1364
245.tiff,1,tm_single,0.9,16534,89,89,1.0,0.4736
245.tiff,1,tm_single,0.95,22366,89,89,1.0,0.6407
245.tiff,1,tm_single,0.98,31988,89,89,1.0,0.9163
245.tiff,1,tm_single,0.99,32597,89,89,1.0,0.9338
245.tiff,1,tm_single,1.0,32597,89,89,1.0,0.9338
245.tiff,1,tm_rot24,0.5,5145,89,89,1.0,0.1474
245.tiff,1,tm_rot24,0.9,16201,89,89,1.0,0.4641
245.tiff,1,tm_rot24,0.95,22150,89,89,1.0,0.6345
245.tiff,1,tm_rot24,0.98,26524,89,89,1.0,0.7598
245.tiff,1,tm_rot24,0.99,33318,89,89,1.0,0.9544
245.tiff,1,tm_rot24,1.0,33318,89,89,1.0,0.9544
245.tiff,2,blob_score,0.5,944,89,89,1.0,0.027
245.tiff,2,blob_score,0.9,10182,89,89,1.0,0.2917
245.tiff,2,blob_score,0.95,13480,89,89,1.0,0.3861
245.tiff,2,blob_score,0.98,15958,89,89,1.0,0.4571
245.tiff,2,blob_score,0.99,17472,89,89,1.0,0.5005
245.tiff,2,blob_score,1.0,17472,89,89,1.0,0.5005
245.tiff,2,tm_single,0.5,5508,89,89,1.0,0.1578
245.tiff,2,tm_single,0.9,20007,89,89,1.0,0.5731
245.tiff,2,tm_single,0.95,23928,89,89,1.0,0.6854
245.tiff,2,tm_single,0.98,25983,89,89,1.0,0.7443
245.tiff,2,tm_single,0.99,27029,89,89,1.0,0.7743
245.tiff,2,tm_single,1.0,27029,89,89,1.0,0.7743
245.tiff,2,tm_rot24,0.5,4127,89,89,1.0,0.1182
245.tiff,2,tm_rot24,0.9,17237,89,89,1.0,0.4938
245.tiff,2,tm_rot24,0.95,22911,89,89,1.0,0.6563
245.tiff,2,tm_rot24,0.98,30755,89,89,1.0,0.881
245.tiff,2,tm_rot24,0.99,31935,89,89,1.0,0.9148
245.tiff,2,tm_rot24,1.0,31935,89,89,1.0,0.9148
245.tiff,3,blob_score,0.5,944,89,89,1.0,0.027
245.tiff,3,blob_score,0.9,10182,89,89,1.0,0.2917
245.tiff,3,blob_score,0.95,13480,89,89,1.0,0.3861
245.tiff,3,blob_score,0.98,15958,89,89,1.0,0.4571
245.tiff,3,blob_score,0.99,17472,89,89,1.0,0.5005
245.tiff,3,blob_score,1.0,17472,89,89,1.0,0.5005
245.tiff,3,tm_single,0.5,4556,89,89,1.0,0.1305
245.tiff,3,tm_single,0.9,16642,89,89,1.0,0.4767
245.tiff,3,tm_single,0.95,22537,89,89,1.0,0.6456
245.tiff,3,tm_single,0.98,24307,89,89,1.0,0.6963
245.tiff,3,tm_single,0.99,26896,89,89,1.0,0.7705
245.tiff,3,tm_single,1.0,26896,89,89,1.0,0.7705
245.tiff,3,tm_rot24,0.5,2613,89,89,1.0,0.0749
245.tiff,3,tm_rot24,0.9,17070,89,89,1.0,0.489
245.tiff,3,tm_rot24,0.95,22607,89,89,1.0,0.6476
245.tiff,3,tm_rot24,0.98,33080,89,89,1.0,0.9476
245.tiff,3,tm_rot24,0.99,33672,89,89,1.0,0.9646
245.tiff,3,tm_rot24,1.0,33672,89,89,1.0,0.9646
245.tiff,4,blob_score,0.5,884,89,89,1.0,0.0253
245.tiff,4,blob_score,0.9,10182,89,89,1.0,0.2917
245.tiff,4,blob_score,0.95,13480,89,89,1.0,0.3861
245.tiff,4,blob_score,0.98,15958,89,89,1.0,0.4571
245.tiff,4,blob_score,0.99,17472,89,89,1.0,0.5005
245.tiff,4,blob_score,1.0,17472,89,89,1.0,0.5005
245.tiff,4,tm_single,0.5,6550,89,89,1.0,0.1876
245.tiff,4,tm_single,0.9,17605,89,89,1.0,0.5043
245.tiff,4,tm_single,0.95,22999,89,89,1.0,0.6588
245.tiff,4,tm_single,0.98,30481,89,89,1.0,0.8732
245.tiff,4,tm_single,0.99,31276,89,89,1.0,0.8959
245.tiff,4,tm_single,1.0,31276,89,89,1.0,0.8959
245.tiff,4,tm_rot24,0.5,3619,89,89,1.0,0.1037
245.tiff,4,tm_rot24,0.9,16202,89,89,1.0,0.4641
245.tiff,4,tm_rot24,0.95,25637,89,89,1.0,0.7344
245.tiff,4,tm_rot24,0.98,29968,89,89,1.0,0.8585
245.tiff,4,tm_rot24,0.99,33471,89,89,1.0,0.9588
245.tiff,4,tm_rot24,1.0,33471,89,89,1.0,0.9588
246.tiff,0,blob_score,0.5,187,111,115,0.9652,0.0089
246.tiff,0,blob_score,0.9,1044,111,115,0.9652,0.0496
246.tiff,0,blob_score,0.95,1756,111,115,0.9652,0.0834
246.tiff,0,blob_score,0.98,1965,111,115,0.9652,0.0933
246.tiff,0,blob_score,0.99,17320,111,115,0.9652,0.8225
246.tiff,0,blob_score,1.0,20492,111,115,0.9652,0.9731
246.tiff,0,tm_single,0.5,765,111,115,0.9652,0.0363
246.tiff,0,tm_single,0.9,5079,111,115,0.9652,0.2412
246.tiff,0,tm_single,0.95,12972,111,115,0.9652,0.616
246.tiff,0,tm_single,0.98,17499,111,115,0.9652,0.831
246.tiff,0,tm_single,0.99,18175,111,115,0.9652,0.8631
246.tiff,0,tm_single,1.0,20614,111,115,0.9652,0.9789
246.tiff,0,tm_rot24,0.5,754,111,115,0.9652,0.0358
246.tiff,0,tm_rot24,0.9,7696,111,115,0.9652,0.3655
246.tiff,0,tm_rot24,0.95,14104,111,115,0.9652,0.6698
246.tiff,0,tm_rot24,0.98,18847,111,115,0.9652,0.895
246.tiff,0,tm_rot24,0.99,19781,111,115,0.9652,0.9394
246.tiff,0,tm_rot24,1.0,20614,111,115,0.9652,0.9789
246.tiff,1,blob_score,0.5,187,111,115,0.9652,0.0089
246.tiff,1,blob_score,0.9,1044,111,115,0.9652,0.0496
246.tiff,1,blob_score,0.95,1756,111,115,0.9652,0.0834
246.tiff,1,blob_score,0.98,1965,111,115,0.9652,0.0933
246.tiff,1,blob_score,0.99,17320,111,115,0.9652,0.8225
246.tiff,1,blob_score,1.0,20492,111,115,0.9652,0.9731
246.tiff,1,tm_single,0.5,580,111,115,0.9652,0.0275
246.tiff,1,tm_single,0.9,9399,111,115,0.9652,0.4463
246.tiff,1,tm_single,0.95,17779,111,115,0.9652,0.8443
246.tiff,1,tm_single,0.98,19659,111,115,0.9652,0.9336
246.tiff,1,tm_single,0.99,20451,111,115,0.9652,0.9712
246.tiff,1,tm_single,1.0,20614,111,115,0.9652,0.9789
246.tiff,1,tm_rot24,0.5,344,111,115,0.9652,0.0163
246.tiff,1,tm_rot24,0.9,5748,111,115,0.9652,0.273
246.tiff,1,tm_rot24,0.95,9342,111,115,0.9652,0.4436
246.tiff,1,tm_rot24,0.98,19396,111,115,0.9652,0.9211
246.tiff,1,tm_rot24,0.99,20515,111,115,0.9652,0.9742
246.tiff,1,tm_rot24,1.0,20614,111,115,0.9652,0.9789
246.tiff,2,blob_score,0.5,191,111,115,0.9652,0.0091
246.tiff,2,blob_score,0.9,1044,111,115,0.9652,0.0496
246.tiff,2,blob_score,0.95,1756,111,115,0.9652,0.0834
246.tiff,2,blob_score,0.98,1965,111,115,0.9652,0.0933
246.tiff,2,blob_score,0.99,17320,111,115,0.9652,0.8225
246.tiff,2,blob_score,1.0,20492,111,115,0.9652,0.9731
246.tiff,2,tm_single,0.5,515,111,115,0.9652,0.0245
246.tiff,2,tm_single,0.9,7213,111,115,0.9652,0.3425
246.tiff,2,tm_single,0.95,15595,111,115,0.9652,0.7406
246.tiff,2,tm_single,0.98,18455,111,115,0.9652,0.8764
246.tiff,2,tm_single,0.99,19837,111,115,0.9652,0.942
246.tiff,2,tm_single,1.0,20614,111,115,0.9652,0.9789
246.tiff,2,tm_rot24,0.5,183,111,115,0.9652,0.0087
246.tiff,2,tm_rot24,0.9,7456,111,115,0.9652,0.3541
246.tiff,2,tm_rot24,0.95,13813,111,115,0.9652,0.656
246.tiff,2,tm_rot24,0.98,19750,111,115,0.9652,0.9379
246.tiff,2,tm_rot24,0.99,19834,111,115,0.9652,0.9419
246.tiff,2,tm_rot24,1.0,20614,111,115,0.9652,0.9789
246.tiff,3,blob_score,0.5,191,111,115,0.9652,0.0091
246.tiff,3,blob_score,0.9,1044,111,115,0.9652,0.0496
246.tiff,3,blob_score,0.95,1756,111,115,0.9652,0.0834
246.tiff,3,blob_score,0.98,1965,111,115,0.9652,0.0933
246.tiff,3,blob_score,0.99,17320,111,115,0.9652,0.8225
246.tiff,3,blob_score,1.0,20492,111,115,0.9652,0.9731
246.tiff,3,tm_single,0.5,846,111,115,0.9652,0.0402
246.tiff,3,tm_single,0.9,7850,111,115,0.9652,0.3728
246.tiff,3,tm_single,0.95,12382,111,115,0.9652,0.588
246.tiff,3,tm_single,0.98,20260,111,115,0.9652,0.9621
246.tiff,3,tm_single,0.99,20547,111,115,0.9652,0.9757
246.tiff,3,tm_single,1.0,20614,111,115,0.9652,0.9789
246.tiff,3,tm_rot24,0.5,330,111,115,0.9652,0.0157
246.tiff,3,tm_rot24,0.9,7822,111,115,0.9652,0.3715
246.tiff,3,tm_rot24,0.95,14506,111,115,0.9652,0.6889
246.tiff,3,tm_rot24,0.98,18655,111,115,0.9652,0.8859
246.tiff,3,tm_rot24,0.99,18887,111,115,0.9652,0.8969
246.tiff,3,tm_rot24,1.0,20614,111,115,0.9652,0.9789
246.tiff,4,blob_score,0.5,187,111,115,0.9652,0.0089
246.tiff,4,blob_score,0.9,1044,111,115,0.9652,0.0496
246.tiff,4,blob_score,0.95,1756,111,115,0.9652,0.0834
246.tiff,4,blob_score,0.98,1965,111,115,0.9652,0.0933
246.tiff,4,blob_score,0.99,17320,111,115,0.9652,0.8225
246.tiff,4,blob_score,1.0,20492,111,115,0.9652,0.9731
246.tiff,4,tm_single,0.5,1003,111,115,0.9652,0.0476
246.tiff,4,tm_single,0.9,8503,111,115,0.9652,0.4038
246.tiff,4,tm_single,0.95,12422,111,115,0.9652,0.5899
246.tiff,4,tm_single,0.98,18441,111,115,0.9652,0.8757
246.tiff,4,tm_single,0.99,20480,111,115,0.9652,0.9726
246.tiff,4,tm_single,1.0,20614,111,115,0.9652,0.9789
246.tiff,4,tm_rot24,0.5,911,111,115,0.9652,0.0433
246.tiff,4,tm_rot24,0.9,10176,111,115,0.9652,0.4832
246.tiff,4,tm_rot24,0.95,13893,111,115,0.9652,0.6597
246.tiff,4,tm_rot24,0.98,17548,111,115,0.9652,0.8333
246.tiff,4,tm_rot24,0.99,20260,111,115,0.9652,0.9621
246.tiff,4,tm_rot24,1.0,20614,111,115,0.9652,0.9789
300.tiff,0,blob_score,0.5,141,180,180,1.0,0.0081
300.tiff,0,blob_score,0.9,698,180,180,1.0,0.0402
300.tiff,0,blob_score,0.95,1156,180,180,1.0,0.0665
300.tiff,0,blob_score,0.98,2509,180,180,1.0,0.1444
300.tiff,0,blob_score,0.99,3240,180,180,1.0,0.1865
300.tiff,0,blob_score,1.0,4245,180,180,1.0,0.2443
300.tiff,0,tm_single,0.5,1234,180,180,1.0,0.071
300.tiff,0,tm_single,0.9,10020,180,180,1.0,0.5767
300.tiff,0,tm_single,0.95,13722,180,180,1.0,0.7898
300.tiff,0,tm_single,0.98,16904,180,180,1.0,0.9729
300.tiff,0,tm_single,0.99,17064,180,180,1.0,0.9821
300.tiff,0,tm_single,1.0,17092,180,180,1.0,0.9837
300.tiff,0,tm_rot24,0.5,310,180,180,1.0,0.0178
300.tiff,0,tm_rot24,0.9,7274,180,180,1.0,0.4186
300.tiff,0,tm_rot24,0.95,14336,180,180,1.0,0.8251
300.tiff,0,tm_rot24,0.98,16778,180,180,1.0,0.9656
300.tiff,0,tm_rot24,0.99,17064,180,180,1.0,0.9821
300.tiff,0,tm_rot24,1.0,17092,180,180,1.0,0.9837
300.tiff,2,blob_score,0.5,142,180,180,1.0,0.0082
300.tiff,2,blob_score,0.9,698,180,180,1.0,0.0402
300.tiff,2,blob_score,0.95,1156,180,180,1.0,0.0665
300.tiff,2,blob_score,0.98,2509,180,180,1.0,0.1444
300.tiff,2,blob_score,0.99,3240,180,180,1.0,0.1865
300.tiff,2,blob_score,1.0,4245,180,180,1.0,0.2443
300.tiff,2,tm_single,0.5,1167,180,180,1.0,0.0672
300.tiff,2,tm_single,0.9,10026,180,180,1.0,0.577
300.tiff,2,tm_single,0.95,14961,180,180,1.0,0.8611
300.tiff,2,tm_single,0.98,16298,180,180,1.0,0.938
300.tiff,2,tm_single,0.99,17064,180,180,1.0,0.9821
300.tiff,2,tm_single,1.0,17092,180,180,1.0,0.9837
300.tiff,2,tm_rot24,0.5,243,180,180,1.0,0.014
300.tiff,2,tm_rot24,0.9,3726,180,180,1.0,0.2144
300.tiff,2,tm_rot24,0.95,11289,180,180,1.0,0.6497
300.tiff,2,tm_rot24,0.98,15576,180,180,1.0,0.8965
300.tiff,2,tm_rot24,0.99,17064,180,180,1.0,0.9821
300.tiff,2,tm_rot24,1.0,17092,180,180,1.0,0.9837
300.tiff,3,blob_score,0.5,142,180,180,1.0,0.0082
300.tiff,3,blob_score,0.9,698,180,180,1.0,0.0402
300.tiff,3,blob_score,0.95,1156,180,180,1.0,0.0665
300.tiff,3,blob_score,0.98,2509,180,180,1.0,0.1444
300.tiff,3,blob_score,0.99,3240,180,180,1.0,0.1865
300.tiff,3,blob_score,1.0,4245,180,180,1.0,0.2443
300.tiff,3,tm_single,0.5,1472,180,180,1.0,0.0847
300.tiff,3,tm_single,0.9,11365,180,180,1.0,0.6541
300.tiff,3,tm_single,0.95,14392,180,180,1.0,0.8283
300.tiff,3,tm_single,0.98,16436,180,180,1.0,0.946
300.tiff,3,tm_single,0.99,17064,180,180,1.0,0.9821
300.tiff,3,tm_single,1.0,17092,180,180,1.0,0.9837
300.tiff,3,tm_rot24,0.5,712,180,180,1.0,0.041
300.tiff,3,tm_rot24,0.9,12842,180,180,1.0,0.7391
300.tiff,3,tm_rot24,0.95,16012,180,180,1.0,0.9216
300.tiff,3,tm_rot24,0.98,16964,180,180,1.0,0.9763
300.tiff,3,tm_rot24,0.99,17064,180,180,1.0,0.9821
300.tiff,3,tm_rot24,1.0,17092,180,180,1.0,0.9837
300.tiff,4,blob_score,0.5,141,180,180,1.0,0.0081
300.tiff,4,blob_score,0.9,698,180,180,1.0,0.0402
300.tiff,4,blob_score,0.95,1156,180,180,1.0,0.0665
300.tiff,4,blob_score,0.98,2509,180,180,1.0,0.1444
300.tiff,4,blob_score,0.99,3240,180,180,1.0,0.1865
300.tiff,4,blob_score,1.0,4245,180,180,1.0,0.2443
300.tiff,4,tm_single,0.5,4225,180,180,1.0,0.2432
300.tiff,4,tm_single,0.9,11902,180,180,1.0,0.685
300.tiff,4,tm_single,0.95,13800,180,180,1.0,0.7942
300.tiff,4,tm_single,0.98,15061,180,180,1.0,0.8668
300.tiff,4,tm_single,0.99,17064,180,180,1.0,0.9821
300.tiff,4,tm_single,1.0,17092,180,180,1.0,0.9837
300.tiff,4,tm_rot24,0.5,3258,180,180,1.0,0.1875
300.tiff,4,tm_rot24,0.9,10788,180,180,1.0,0.6209
