file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
201.tiff,canine lung cancer,201,4457,51,-0.02843,0.6123,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,15848,0.9379,49,2,0.0,1.0,30.222,41.0,90.0,122.0,347.0,347.0,347.0,20,20,7,3,0.4117647058823529,0.35
201.tiff,canine lung cancer,201,4457,51,-0.02843,0.6123,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,15848,0.9379,49,2,0.0,1.0,30.222,41.0,90.0,122.0,347.0,347.0,347.0,30,30,8,6,0.47058823529411764,0.26666666666666666
201.tiff,canine lung cancer,201,4457,51,-0.02843,0.6123,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,15848,0.9379,49,2,0.0,1.0,30.222,41.0,90.0,122.0,347.0,347.0,347.0,50,50,9,10,0.5294117647058824,0.18
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,39.0,332.0,417.0,1217.0,1217.0,1217.0,10,10,4,2,0.23529411764705882,0.4
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,39.0,332.0,417.0,1217.0,1217.0,1217.0,20,20,7,3,0.4117647058823529,0.35
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,39.0,332.0,417.0,1217.0,1217.0,1217.0,30,30,7,4,0.4117647058823529,0.23333333333333334
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,39.0,332.0,417.0,1217.0,1217.0,1217.0,50,50,10,4,0.5882352941176471,0.2
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,16.0,202.0,1273.0,2441.0,2441.0,2441.0,10,10,5,0,0.29411764705882354,0.5
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,16.0,202.0,1273.0,2441.0,2441.0,2441.0,20,20,9,0,0.5294117647058824,0.45
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,16.0,202.0,1273.0,2441.0,2441.0,2441.0,30,30,10,0,0.5882352941176471,0.3333333333333333
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,16.0,202.0,1273.0,2441.0,2441.0,2441.0,50,50,10,1,0.5882352941176471,0.2
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od31,od31,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,14.0,176.0,207.0,434.0,434.0,434.0,10,10,7,0,0.4117647058823529,0.7
