file_name,seed,seed_ann_id,ranker,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
202.tiff,0,4514,od51_sim,0.9,4637,15,15,1.0,0.345
202.tiff,0,4514,od51_sim,0.95,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_sim,0.98,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_sim,0.99,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_sim,1.0,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_onesided,0.5,26,15,15,1.0,0.0019
202.tiff,0,4514,od51_onesided,0.9,4637,15,15,1.0,0.345
202.tiff,0,4514,od51_onesided,0.95,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_onesided,0.98,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_onesided,0.99,5408,15,15,1.0,0.4024
202.tiff,0,4514,od51_onesided,1.0,5408,15,15,1.0,0.4024
202.tiff,0,4514,feat_sim,0.5,83,15,15,1.0,0.0062
202.tiff,0,4514,feat_sim,0.9,2629,15,15,1.0,0.1956
202.tiff,0,4514,feat_sim,0.95,3125,15,15,1.0,0.2325
202.tiff,0,4514,feat_sim,0.98,3125,15,15,1.0,0.2325
202.tiff,0,4514,feat_sim,0.99,3125,15,15,1.0,0.2325
202.tiff,0,4514,feat_sim,1.0,3125,15,15,1.0,0.2325
202.tiff,1,4531,blob_abs,0.5,41,15,15,1.0,0.0031
202.tiff,1,4531,blob_abs,0.9,1019,15,15,1.0,0.0758
202.tiff,1,4531,blob_abs,0.95,2303,15,15,1.0,0.1714
202.tiff,1,4531,blob_abs,0.98,2303,15,15,1.0,0.1714
202.tiff,1,4531,blob_abs,0.99,2303,15,15,1.0,0.1714
202.tiff,1,4531,blob_abs,1.0,2303,15,15,1.0,0.1714
202.tiff,1,4531,od51_abs,0.5,12,15,15,1.0,0.0009
202.tiff,1,4531,od51_abs,0.9,4637,15,15,1.0,0.345
202.tiff,1,4531,od51_abs,0.95,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_abs,0.98,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_abs,0.99,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_abs,1.0,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_sim,0.5,272,15,15,1.0,0.0202
202.tiff,1,4531,od51_sim,0.9,4637,15,15,1.0,0.345
202.tiff,1,4531,od51_sim,0.95,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_sim,0.98,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_sim,0.99,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_sim,1.0,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_onesided,0.5,12,15,15,1.0,0.0009
202.tiff,1,4531,od51_onesided,0.9,4637,15,15,1.0,0.345
202.tiff,1,4531,od51_onesided,0.95,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_onesided,0.98,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_onesided,0.99,5408,15,15,1.0,0.4024
202.tiff,1,4531,od51_onesided,1.0,5408,15,15,1.0,0.4024
202.tiff,1,4531,feat_sim,0.5,63,15,15,1.0,0.0047
202.tiff,1,4531,feat_sim,0.9,1279,15,15,1.0,0.0952
202.tiff,1,4531,feat_sim,0.95,4762,15,15,1.0,0.3543
202.tiff,1,4531,feat_sim,0.98,4762,15,15,1.0,0.3543
202.tiff,1,4531,feat_sim,0.99,4762,15,15,1.0,0.3543
202.tiff,1,4531,feat_sim,1.0,4762,15,15,1.0,0.3543
202.tiff,2,4513,blob_abs,0.5,41,15,15,1.0,0.0031
202.tiff,2,4513,blob_abs,0.9,1019,15,15,1.0,0.0758
202.tiff,2,4513,blob_abs,0.95,2303,15,15,1.0,0.1714
202.tiff,2,4513,blob_abs,0.98,2303,15,15,1.0,0.1714
202.tiff,2,4513,blob_abs,0.99,2303,15,15,1.0,0.1714
202.tiff,2,4513,blob_abs,1.0,2303,15,15,1.0,0.1714
202.tiff,2,4513,od51_abs,0.5,12,15,15,1.0,0.0009
202.tiff,2,4513,od51_abs,0.9,4637,15,15,1.0,0.345
202.tiff,2,4513,od51_abs,0.95,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_abs,0.98,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_abs,0.99,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_abs,1.0,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_sim,0.5,476,15,15,1.0,0.0354
202.tiff,2,4513,od51_sim,0.9,4637,15,15,1.0,0.345
202.tiff,2,4513,od51_sim,0.95,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_sim,0.98,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_sim,0.99,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_sim,1.0,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_onesided,0.5,12,15,15,1.0,0.0009
202.tiff,2,4513,od51_onesided,0.9,4637,15,15,1.0,0.345
202.tiff,2,4513,od51_onesided,0.95,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_onesided,0.98,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_onesided,0.99,5408,15,15,1.0,0.4024
202.tiff,2,4513,od51_onesided,1.0,5408,15,15,1.0,0.4024
202.tiff,2,4513,feat_sim,0.5,102,15,15,1.0,0.0076
202.tiff,2,4513,feat_sim,0.9,1457,15,15,1.0,0.1084
202.tiff,2,4513,feat_sim,0.95,6350,15,15,1.0,0.4725
202.tiff,2,4513,feat_sim,0.98,6350,15,15,1.0,0.4725
202.tiff,2,4513,feat_sim,0.99,6350,15,15,1.0,0.4725
202.tiff,2,4513,feat_sim,1.0,6350,15,15,1.0,0.4725
202.tiff,3,4516,blob_abs,0.5,27,15,15,1.0,0.002
202.tiff,3,4516,blob_abs,0.9,746,15,15,1.0,0.0555
202.tiff,3,4516,blob_abs,0.95,1020,15,15,1.0,0.0759
202.tiff,3,4516,blob_abs,0.98,1020,15,15,1.0,0.0759
202.tiff,3,4516,blob_abs,0.99,1020,15,15,1.0,0.0759
202.tiff,3,4516,blob_abs,1.0,1020,15,15,1.0,0.0759
202.tiff,3,4516,od51_abs,0.5,26,15,15,1.0,0.0019
202.tiff,3,4516,od51_abs,0.9,4637,15,15,1.0,0.345
202.tiff,3,4516,od51_abs,0.95,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_abs,0.98,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_abs,0.99,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_abs,1.0,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_sim,0.5,140,15,15,1.0,0.0104
202.tiff,3,4516,od51_sim,0.9,4637,15,15,1.0,0.345
202.tiff,3,4516,od51_sim,0.95,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_sim,0.98,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_sim,0.99,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_sim,1.0,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_onesided,0.5,26,15,15,1.0,0.0019
202.tiff,3,4516,od51_onesided,0.9,4637,15,15,1.0,0.345
202.tiff,3,4516,od51_onesided,0.95,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_onesided,0.98,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_onesided,0.99,5408,15,15,1.0,0.4024
202.tiff,3,4516,od51_onesided,1.0,5408,15,15,1.0,0.4024
202.tiff,3,4516,feat_sim,0.5,7168,15,15,1.0,0.5334
202.tiff,3,4516,feat_sim,0.9,10331,15,15,1.0,0.7687
202.tiff,3,4516,feat_sim,0.95,10923,15,15,1.0,0.8128
202.tiff,3,4516,feat_sim,0.98,10923,15,15,1.0,0.8128
202.tiff,3,4516,feat_sim,0.99,10923,15,15,1.0,0.8128
202.tiff,3,4516,feat_sim,1.0,10923,15,15,1.0,0.8128
202.tiff,4,4509,blob_abs,0.5,27,15,15,1.0,0.002
202.tiff,4,4509,blob_abs,0.9,1019,15,15,1.0,0.0758
202.tiff,4,4509,blob_abs,0.95,2303,15,15,1.0,0.1714
202.tiff,4,4509,blob_abs,0.98,2303,15,15,1.0,0.1714
202.tiff,4,4509,blob_abs,0.99,2303,15,15,1.0,0.1714
202.tiff,4,4509,blob_abs,1.0,2303,15,15,1.0,0.1714
202.tiff,4,4509,od51_abs,0.5,12,15,15,1.0,0.0009
202.tiff,4,4509,od51_abs,0.9,4637,15,15,1.0,0.345
202.tiff,4,4509,od51_abs,0.95,5408,15,15,1.0,0.4024
202.tiff,4,4509,od51_abs,0.98,5408,15,15,1.0,0.4024
202.tiff,4,4509,od51_abs,0.99,5408,15,15,1.0,0.4024
202.tiff,4,4509,od51_abs,1.0,5408,15,15,1.0,0.4024
202.tiff,4,4509,od51_sim,0.5,2053,15,15,1.0,0.1528
202.tiff,4,4509,od51_sim,0.9,9602,15,15,1.0,0.7145
202.tiff,4,4509,od51_sim,0.95,9780,15,15,1.0,0.7277
202.tiff,4,4509,od51_sim,0.98,9780,15,15,1.0,0.7277
202.tiff,4,4509,od51_sim,0.99,9780,15,15,1.0,0.7277
202.tiff,4,4509,od51_sim,1.0,9780,15,15,1.0,0.7277
202.tiff,4,4509,od51_onesided,0.5,12,15,15,1.0,0.0009
202.tiff,4,4509,od51_onesided,0.9,4637,15,15,1.0,0.345
