file_name,tumor_type,branch,budget,n_detections,n_gt_mitotic,budget_delivered,tp_at_budget,precision_at_budget,recall_at_budget
460.tiff,canine soft tissue sarcoma,variant,30,99,35,30,12,0.4,0.34285714285714286
529.tiff,human melanoma,baseline,10,16620,19,10,3,0.3,0.15789473684210525
529.tiff,human melanoma,variant,10,97,19,10,3,0.3,0.15789473684210525
529.tiff,human melanoma,baseline,20,16620,19,20,4,0.2,0.21052631578947367
529.tiff,human melanoma,variant,20,97,19,20,4,0.2,0.21052631578947367
529.tiff,human melanoma,baseline,30,16620,19,30,4,0.13333333333333333,0.21052631578947367
529.tiff,human melanoma,variant,30,97,19,30,4,0.13333333333333333,0.21052631578947367
548.tiff,human melanoma,baseline,10,17839,238,10,5,0.5,0.02100840336134454
548.tiff,human melanoma,variant,10,98,238,10,5,0.5,0.02100840336134454
548.tiff,human melanoma,baseline,20,17839,238,20,10,0.5,0.04201680672268908
548.tiff,human melanoma,variant,20,98,238,20,10,0.5,0.04201680672268908
548.tiff,human melanoma,baseline,30,17839,238,30,16,0.5333333333333333,0.06722689075630252
548.tiff,human melanoma,variant,30,98,238,30,16,0.5333333333333333,0.06722689075630252
