file_name,tumor_type,arm,budget,n_detections,n_gt_mitotic,budget_delivered,tp_at_budget,precision_at_budget,recall_at_budget
403.tiff,human neuroendocrine tumor,tm_score,30,49,52,30,8,0.26666666666666666,0.15384615384615385
459.tiff,canine soft tissue sarcoma,chromatin_od,10,49,130,10,9,0.9,0.06923076923076923
459.tiff,canine soft tissue sarcoma,od_contrast,10,49,130,10,7,0.7,0.05384615384615385
459.tiff,canine soft tissue sarcoma,tm_score,10,49,130,10,6,0.6,0.046153846153846156
459.tiff,canine soft tissue sarcoma,chromatin_od,20,49,130,20,17,0.85,0.13076923076923078
459.tiff,canine soft tissue sarcoma,od_contrast,20,49,130,20,14,0.7,0.1076923076923077
459.tiff,canine soft tissue sarcoma,tm_score,20,49,130,20,11,0.55,0.08461538461538462
459.tiff,canine soft tissue sarcoma,chromatin_od,30,49,130,30,22,0.7333333333333333,0.16923076923076924
459.tiff,canine soft tissue sarcoma,od_contrast,30,49,130,30,22,0.7333333333333333,0.16923076923076924
459.tiff,canine soft tissue sarcoma,tm_score,30,49,130,30,19,0.6333333333333333,0.14615384615384616
460.tiff,canine soft tissue sarcoma,chromatin_od,10,49,35,10,8,0.8,0.22857142857142856
460.tiff,canine soft tissue sarcoma,od_contrast,10,49,35,10,8,0.8,0.22857142857142856
460.tiff,canine soft tissue sarcoma,tm_score,10,49,35,10,7,0.7,0.2
460.tiff,canine soft tissue sarcoma,chromatin_od,20,49,35,20,13,0.65,0.37142857142857144
460.tiff,canine soft tissue sarcoma,od_contrast,20,49,35,20,12,0.6,0.34285714285714286
460.tiff,canine soft tissue sarcoma,tm_score,20,49,35,20,10,0.5,0.2857142857142857
460.tiff,canine soft tissue sarcoma,chromatin_od,30,49,35,30,15,0.5,0.42857142857142855
460.tiff,canine soft tissue sarcoma,od_contrast,30,49,35,30,13,0.43333333333333335,0.37142857142857144
460.tiff,canine soft tissue sarcoma,tm_score,30,49,35,30,12,0.4,0.34285714285714286
529.tiff,human melanoma,chromatin_od,10,49,19,10,5,0.5,0.2631578947368421
529.tiff,human melanoma,od_contrast,10,49,19,10,6,0.6,0.3157894736842105
529.tiff,human melanoma,tm_score,10,49,19,10,3,0.3,0.15789473684210525
529.tiff,human melanoma,chromatin_od,20,49,19,20,6,0.3,0.3157894736842105
529.tiff,human melanoma,od_contrast,20,49,19,20,6,0.3,0.3157894736842105
