seed_index,file_name,tumor_type,base_size,n_retries,seed_ann_id,map_median,mad_scale,n_peaks,n_detections,roi_pixels,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,t4_threshold_peak_extraction_s,t5_nms_selfhit_s,t6_baseline_s,t6a_od_pad_s,t6b_od51_loop_s,t6c_chromatin_od_rank_s,t_shared_stages_s,t_chromatin_od_overhead_s,t_baseline_pipeline_s,t_chromatin_od_pipeline_s,t_outer_total_s,chromatin_od_nan_rate,chromatin_od_largest_tie_block,t_setup_ms,t1_refine_seed_box_ms,t2_patch_template_build_ms,t3_template_matching_ms,t4_threshold_peak_extraction_ms,t5_nms_selfhit_ms,t6_baseline_ms,t6a_od_pad_ms,t6b_od51_loop_ms,t6c_chromatin_od_rank_ms,t_shared_stages_ms,t_chromatin_od_overhead_ms,t_baseline_pipeline_ms,t_chromatin_od_pipeline_ms,t_outer_total_ms
0,459.tiff,canine soft tissue sarcoma,33,0,22441,-0.04479,0.53097,100,99,32444341,2.327109,0.001068,2.1e-05,0.82921,0.219191,0.000661,0.0002,0.023923,0.004239,0.000323,1.050151,0.028485,1.050352,1.078637,1.098975,0.0,1,2327.109,1.068,0.021,829.21,219.191,0.661,0.2,23.923,4.239,0.323,1050.151,28.485,1050.352,1078.637,1098.975
0,460.tiff,canine soft tissue sarcoma,47,0,22577,-0.16232,0.97396,100,99,32444341,2.319063,0.001109,2e-05,0.951537,0.218796,0.00067,0.000211,0.025203,0.004494,0.000319,1.172132,0.030016,1.172343,1.202148,1.222691,0.0,1,2319.063,1.109,0.02,951.537,218.796,0.67,0.211,25.203,4.494,0.319,1172.132,30.016,1172.343,1202.148,1222.691
0,529.tiff,human melanoma,37,0,24918,-0.05051,0.28553,100,97,39047580,3.295228,0.001147,2.1e-05,1.068417,0.265634,0.000642,0.000197,0.030944,0.004104,0.000313,1.335862,0.035361,1.336058,1.371223,1.395583,0.0,1,3295.228,1.147,0.021,1068.417,265.634,0.642,0.197,30.944,4.104,0.313,1335.862,35.361,1336.058,1371.223,1395.583
0,548.tiff,human melanoma,29,0,25804,-0.06179,0.48898,100,98,39047580,3.352527,0.000888,2.1e-05,1.025892,0.267351,0.000643,0.000193,0.031975,0.004209,0.000317,1.294796,0.036501,1.294988,1.331297,1.356657,0.0,1,3352.527,0.888,0.021,1025.892,267.351,0.643,0.193,31.975,4.209,0.317,1294.796,36.501,1294.988,1331.297,1356.657
1,013.tiff,human breast cancer,39,0,246,-0.01794,0.15747,100,97,39047580,2.743245,0.000949,2e-05,1.083822,0.259719,0.000648,0.000192,0.031384,0.004101,0.000312,1.345159,0.035797,1.345351,1.380956,1.40359,0.0,1,2743.245,0.949,0.02,1083.822,259.719,0.648,0.192,31.384,4.101,0.312,1345.159,35.797,1345.351,1380.956,1403.59
1,094.tiff,human breast cancer,37,0,2534,-0.00973,0.11088,100,99,38100492,2.574673,0.000906,2.1e-05,1.048521,0.255293,0.000649,0.000202,0.028566,0.00423,0.000315,1.305389,0.033111,1.305591,1.3385,1.362361,0.0,1,2574.673,0.906,0.021,1048.521,255.293,0.649,0.202,28.566,4.23,0.315,1305.389,33.111,1305.591,1338.5,1362.361
1,201.tiff,canine lung cancer,51,0,4457,-0.02843,0.6123,100,98,32444341,2.345808,0.001091,2e-05,1.06922,0.21838,0.000662,0.000214,0.024519,0.004129,0.000433,1.289372,0.029081,1.289586,1.318453,1.337795,0.0,1,2345.808,1.091,0.02,1069.22,218.38,0.662,0.214,24.519,4.129,0.433,1289.372,29.081,1289.586,1318.453,1337.795
1,233.tiff,canine lung cancer,25,0,5761,-0.01397,0.1566,100,97,32444341,2.331156,0.001049,2e-05,0.839292,0.229091,0.000644,0.000194,0.024381,0.004101,0.000311,1.070096,0.028793,1.07029,1.098888,1.117368,0.0,1,2331.156,1.049,0.02,839.292,229.091,0.644,0.194,24.381,4.101,0.311,1070.096,28.793,1070.29,1098.888,1117.368
1,245.tiff,canine lymphosarcoma,51,0,6243,-0.00321,0.16914,100,95,32444341,2.349481,0.001259,2.1e-05,1.116382,0.228505,0.000659,0.000286,0.026693,0.004263,0.000327,1.346827,0.031283,1.347113,1.37811,1.398491,0.0,1,2349.481,1.259,0.021,1116.382,228.505,0.659,0.286,26.693,4.263,0.327,1346.827,31.283,1347.113,1378.11,1398.491
1,246.tiff,canine lymphosarcoma,51,0,6599,-0.00475,0.18056,100,97,32444341,2.385203,0.001108,2.1e-05,1.109621,0.223564,0.000652,0.000199,0.024431,0.004449,0.000311,1.334966,0.02919,1.335166,1.364157,1.383715,0.0,1,2385.203,1.108,0.021,1109.621,223.564,0.652,0.199,24.431,4.449,0.311,1334.966,29.19,1335.166,1364.157,1383.715
1,300.tiff,canine cutaneous mast cell tumor,41,0,14577,-0.02444,0.39316,100,87,31171245,2.33703,0.001516,3e-05,0.971499,0.225573,0.000639,0.000195,0.022703,0.004088,0.000319,1.199257,0.027109,1.199452,1.226367,1.248373,0.0,1,2337.03,1.516,0.03,971.499,225.573,0.639,0.195,22.703,4.088,0.319,1199.257,27.109,1199.452,1226.367,1248.373
1,301.tiff,canine cutaneous mast cell tumor,23,2,14742,-0.01422,0.11991,100,100,31171245,2.569756,0.000825,2e-05,0.875531,0.232656,0.000669,0.0002,0.023406,0.004636,0.000351,1.1097,0.028392,1.109901,1.138093,1.157751,0.0,1,2569.756,0.825,0.02,875.531,232.656,0.669,0.2,23.406,4.636,0.351,1109.7,28.392,1109.901,1138.093,1157.751
1,402.tiff,human neuroendocrine tumor,51,0,20258,-0.13075,1.95768,100,99,39047580,3.037962,0.003538,2.3e-05,1.482914,0.288108,0.00075,0.00021,0.033957,0.004448,0.000329,1.775333,0.038734,1.775543,1.814067,1.839769,0.0,1,3037.962,3.538,0.023,1482.914,288.108,0.75,0.21,33.957,4.448,0.329,1775.333,38.734,1775.543,1814.067,1839.769
1,403.tiff,human neuroendocrine tumor,43,0,20344,-0.00421,0.43864,100,95,39047580,3.220132,0.002844,2.4e-05,1.429614,0.311282,0.000745,0.00023,0.033859,0.004472,0.00036,1.744509,0.038691,1.744739,1.7832,1.808279,0.0,1,3220.132,2.844,0.024,1429.614,311.282,0.745,0.23,33.859,4.472,0.36,1744.509,38.691,1744.739,1783.2,1808.279
1,459.tiff,canine soft tissue sarcoma,47,0,22445,-0.09192,0.77655,100,99,32444341,2.808063,0.003614,6.9e-05,1.270681,0.265513,0.00074,0.000224,0.026217,0.00469,0.000355,1.540618,0.031262,1.540842,1.57188,1.59511,0.0,1,2808.063,3.614,0.069,1270.681,265.513,0.74,0.224,26.217,4.69,0.355,1540.618,31.262,1540.842,1571.88,1595.11
1,460.tiff,canine soft tissue sarcoma,39,0,22538,-0.10705,0.4767,100,97,32444341,2.796997,0.001285,2.3e-05,1.159679,0.272701,0.000753,0.000227,0.029213,0.005259,0.000372,1.434439,0.034843,1.434666,1.469283,1.49255,0.0,1,2796.997,1.285,0.023,1159.679,272.701,0.753,0.227,29.213,5.259,0.372,1434.439,34.843,1434.666,1469.283,1492.55
1,529.tiff,human melanoma,41,0,24937,-0.03927,0.2495,100,98,39047580,4.453073,0.001267,2.4e-05,1.460437,0.320982,0.000772,0.000231,0.032729,0.005208,0.000367,1.783483,0.038304,1.783715,1.821787,1.849701,0.0,1,4453.073,1.267,0.024,1460.437,320.982,0.772,0.231,32.729,5.208,0.367,1783.483,38.304,1783.715,1821.787,1849.701
1,548.tiff,human melanoma,37,0,25712,-0.07416,0.65639,100,99,39047580,4.297214,0.001079,2.4e-05,1.449121,0.338589,0.000782,0.000243,0.033504,0.005168,0.000402,1.789595,0.039074,1.789838,1.828669,1.856086,0.0,1,4297.214,1.079,0.024,1449.121,338.589,0.782,0.243,33.504,5.168,0.402,1789.595,39.074,1789.838,1828.669,1856.086
2,013.tiff,human breast cancer,43,0,258,-0.02417,0.16695,100,98,39047580,3.627636,0.001038,2.5e-05,1.537422,0.346302,0.000794,0.000244,0.037724,0.005084,0.000378,1.885581,0.043186,1.885825,1.928767,1.95083,0.0,1,3627.636,1.038,0.025,1537.422,346.302,0.794,0.244,37.724,5.084,0.378,1885.581,43.186,1885.825,1928.767,1950.83
2,094.tiff,human breast cancer,35,0,2494,-0.00404,0.08269,100,98,38100492,3.487455,0.001284,2.4e-05,1.338242,0.30845,0.00074,0.000227,0.031873,0.004779,0.000354,1.64874,0.037006,1.648968,1.685746,1.715424,0.0,1,3487.455,1.284,0.024,1338.242,308.45,0.74,0.227,31.873,4.779,0.354,1648.74,37.006,1648.968,1685.746,1715.424
2,201.tiff,canine lung cancer,51,0,4475,-0.0442,0.84784,100,99,32444341,2.808801,0.001402,2.3e-05,1.282409,0.238251,0.000685,0.000208,0.026761,0.004486,0.000336,1.522771,0.031583,1.522979,1.554354,1.577153,0.0,1,2808.801,1.402,0.023,1282.409,238.251,0.685,0.208,26.761,4.486,0.336,1522.771,31.583,1522.979,1554.354,1577.153
2,233.tiff,canine lung cancer,43,0,5770,-0.06269,0.43666,100,98,32444341,2.614894,0.001269,2.1e-05,1.084643,0.231485,0.000677,0.000204,0.028513,0.004176,0.000321,1.318095,0.03301,1.3183,1.351105,1.371462,0.0,1,2614.894,1.269,0.021,1084.643,231.485,0.677,0.204,28.513,4.176,0.321,1318.095,33.01,1318.3,1351.105,1371.462
2,245.tiff,canine lymphosarcoma,51,0,6249,-0.00862,0.25079,100,94,32444341,2.549068,0.001195,2.3e-05,1.416362,0.241782,0.000676,0.000203,0.024706,0.003994,0.000322,1.660038,0.029022,1.660241,1.68906,1.712437,0.0,1,2549.068,1.195,0.023,1416.362,241.782,0.676,0.203,24.706,3.994,0.322,1660.038,29.022,1660.241,1689.06,1712.437
2,246.tiff,canine lymphosarcoma,47,0,6484,-0.00241,0.17741,100,99,32444341,2.533241,0.001539,2.1e-05,1.141196,0.240155,0.000681,0.000211,0.025233,0.004361,0.000322,1.383592,0.029917,1.383803,1.413509,1.435581,0.0,1,2533.241,1.539,0.021,1141.196,240.155,0.681,0.211,25.233,4.361,0.322,1383.592,29.917,1383.803,1413.509,1435.581
2,300.tiff,canine cutaneous mast cell tumor,43,1,14553,-0.0871,0.42792,100,99,31171245,2.438657,0.001363,2e-05,1.044019,0.226833,0.000689,0.000206,0.024128,0.004213,0.000322,1.272925,0.028663,1.273131,1.301588,1.321366,0.0,1,2438.657,1.363,0.02,1044.019,226.833,0.689,0.206,24.128,4.213,0.322,1272.925,28.663,1273.131,1301.588,1321.366
2,301.tiff,canine cutaneous mast cell tumor,23,1,14782,-0.00257,0.06978,100,96,31171245,2.442027,0.000917,1.9e-05,0.86563,0.234579,0.000661,0.000215,0.023174,0.003905,0.000313,1.101806,0.027392,1.102021,1.129198,1.148597,0.0,1,2442.027,0.917,0.019,865.63,234.579,0.661,0.215,23.174,3.905,0.313,1101.806,27.392,1102.021,1129.198,1148.597
2,402.tiff,human neuroendocrine tumor,51,0,20245,0.01157,0.94363,100,95,39047580,3.043977,0.001103,2.3e-05,1.438787,0.285753,0.000675,0.000209,0.029873,0.00429,0.000325,1.72634,0.034488,1.726549,1.760828,1.788266,0.0,1,3043.977,1.103,0.023,1438.787,285.753,0.675,0.209,29.873,4.29,0.325,1726.34,34.488,1726.549,1760.828,1788.266
2,403.tiff,human neuroendocrine tumor,41,1,20396,-0.0025,0.42505,100,98,39047580,3.04392,0.000921,2e-05,1.265668,0.290364,0.000679,0.0002,0.030614,0.004218,0.000326,1.557652,0.035158,1.557852,1.59281,1.61913,0.0,1,3043.92,0.921,0.02,1265.668,290.364,0.679,0.2,30.614,4.218,0.326,1557.652,35.158,1557.852,1592.81,1619.13
2,459.tiff,canine soft tissue sarcoma,39,0,22306,-0.09873,0.78777,100,99,32444341,2.564573,0.001327,2e-05,1.040966,0.238244,0.000692,0.000203,0.025435,0.004275,0.000322,1.281248,0.030032,1.281452,1.31128,1.33056,0.0,1,2564.573,1.327,0.02,1040.966,238.244,0.692,0.203,25.435,4.275,0.322,1281.248,30.032,1281.452,1311.28,1330.56
2,460.tiff,canine soft tissue sarcoma,51,0,22552,-0.25823,1.14906,100,99,32444341,2.545304,0.00117,2.1e-05,1.205911,0.232014,0.000684,0.000202,0.025212,0.004588,0.000337,1.4398,0.030137,1.440002,1.469936,1.490964,0.0,1,2545.304,1.17,0.021,1205.911,232.014,0.684,0.202,25.212,4.588,0.337,1439.8,30.137,1440.002,1469.936,1490.964
2,529.tiff,human melanoma,39,1,24911,-0.03184,0.34722,100,91,39047580,4.112904,0.001062,2.1e-05,1.247099,0.285299,0.000686,0.00021,0.030934,0.00387,0.000329,1.534167,0.035133,1.534377,1.569301,1.593499,0.0,1,4112.904,1.062,0.021,1247.099,285.299,0.686,0.21,30.934,3.87,0.329,1534.167,35.133,1534.377,1569.301,1593.499
2,548.tiff,human melanoma,33,0,25735,-0.09693,0.66183,100,99,39047580,3.971952,0.00094,2e-05,1.175196,0.285398,0.000665,0.000203,0.029093,0.00428,0.000328,1.462219,0.033702,1.462422,1.495921,1.519637,0.0,1,3971.952,0.94,0.02,1175.196,285.398,0.665,0.203,29.093,4.28,0.328,1462.219,33.702,1462.422,1495.921,1519.637
3,013.tiff,human breast cancer,29,0,263,-0.01207,0.11162,100,97,39047580,3.03646,0.000959,2.5e-05,1.133598,0.294935,0.000671,0.000204,0.03199,0.004236,0.000322,1.430189,0.036549,1.430393,1.466737,1.49312,0.0,1,3036.46,0.959,0.025,1133.598,294.935,0.671,0.204,31.99,4.236,0.322,1430.189,36.549,1430.393,1466.737,1493.12
3,094.tiff,human breast cancer,37,0,2612,-0.00858,0.09526,100,99,38100492,3.00103,0.000972,2e-05,1.232831,0.341819,0.000962,0.000252,0.037654,0.006574,0.000373,1.576604,0.0446,1.576855,1.621204,1.648318,0.0,1,3001.03,0.972,0.02,1232.831,341.819,0.962,0.252,37.654,6.574,0.373,1576.604,44.6,1576.855,1621.204,1648.318
3,201.tiff,canine lung cancer,51,1,4475,-0.0442,0.84784,100,99,32444341,3.353856,0.001766,2.6e-05,1.553467,0.34114,0.001092,0.000363,0.034226,0.006086,0.000415,1.897491,0.040726,1.897854,1.938218,1.966156,0.0,1,3353.856,1.766,0.026,1553.467,341.14,1.092,0.363,34.226,6.086,0.415,1897.491,40.726,1897.854,1938.218,1966.156
3,233.tiff,canine lung cancer,51,0,5760,-0.10549,0.5731,100,99,32444341,3.359577,0.001773,2.8e-05,1.568389,0.300829,0.000854,0.000261,0.030563,0.00588,0.000421,1.871874,0.036864,1.872135,1.908738,1.933968,0.0,1,3359.577,1.773,0.028,1568.389,300.829,0.854,0.261,30.563,5.88,0.421,1871.874,36.864,1872.135,1908.738,1933.968
3,245.tiff,canine lymphosarcoma,41,0,6257,4e-05,0.15315,100,95,32444341,3.239104,0.002369,4.6e-05,1.378589,0.323944,0.000891,0.000265,0.029568,0.005611,0.000509,1.705839,0.035689,1.706104,1.741527,1.770761,0.0,1,3239.104,2.369,0.046,1378.589,323.944,0.891,0.265,29.568,5.611,0.509,1705.839,35.689,1706.104,1741.527,1770.761
3,246.tiff,canine lymphosarcoma,51,0,6520,-0.01039,0.18333,100,98,32444341,3.304228,0.004509,3e-05,1.563463,0.307776,0.000881,0.000266,0.030992,0.005643,0.000435,1.876659,0.03707,1.876924,1.913729,1.940963,0.0,1,3304.228,4.509,0.03,1563.463,307.776,0.881,0.266,30.992,5.643,0.435,1876.659,37.07,1876.924,1913.729,1940.963
3,300.tiff,canine cutaneous mast cell tumor,27,1,14578,-0.02527,0.18692,100,97,31171245,3.130315,0.001404,2.5e-05,1.163684,0.298448,0.000862,0.000266,0.029655,0.006944,0.000438,1.464424,0.037038,1.464691,1.501462,1.525377,0.0,1,3130.315,1.404,0.025,1163.684,298.448,0.862,0.266,29.655,6.944,0.438,1464.424,37.038,1464.691,1501.462,1525.377
3,301.tiff,canine cutaneous mast cell tumor,31,1,14921,-0.03978,0.2578,100,99,31171245,3.114041,0.00131,2.6e-05,1.184336,0.284751,0.000844,0.000254,0.030268,0.005186,0.000405,1.471267,0.035858,1.471522,1.507126,1.534409,0.0,1,3114.041,1.31,0.026,1184.336,284.751,0.844,0.254,30.268,5.186,0.405,1471.267,35.858,1471.522,1507.126,1534.409
3,402.tiff,human neuroendocrine tumor,31,0,20183,-0.03484,0.83673,100,97,39047580,3.714366,0.001059,2.5e-05,1.367141,0.350278,0.000823,0.000246,0.037468,0.004852,0.000384,1.719326,0.042705,1.719572,1.762031,1.791568,0.0,1,3714.366,1.059,0.025,1367.141,350.278,0.823,0.246,37.468,4.852,0.384,1719.326,42.705,1719.572,1762.031,1791.568
3,403.tiff,human neuroendocrine tumor,45,0,20353,-0.00552,0.58778,100,93,39047580,3.562822,0.001242,2.4e-05,1.52609,0.312483,0.000791,0.000236,0.031729,0.004665,0.000359,1.84063,0.036753,1.840866,1.877383,1.904952,0.0,1,3562.822,1.242,0.024,1526.09,312.483,0.791,0.236,31.729,4.665,0.359,1840.63,36.753,1840.866,1877.383,1904.952
3,459.tiff,canine soft tissue sarcoma,51,0,22371,-0.13739,1.18488,100,99,32444341,2.804711,0.001496,2.2e-05,1.330808,0.260601,0.000729,0.000351,0.027264,0.004853,0.000472,1.593656,0.032589,1.594007,1.626245,1.651832,0.0,1,2804.711,1.496,0.022,1330.808,260.601,0.729,0.351,27.264,4.853,0.472,1593.656,32.589,1594.007,1626.245,1651.832
3,460.tiff,canine soft tissue sarcoma,39,0,22537,-0.10377,0.68647,100,99,32444341,2.783993,0.001367,2.2e-05,1.110339,0.253917,0.000707,0.000215,0.02568,0.004543,0.000341,1.366351,0.030564,1.366566,1.396915,1.419071,0.0,1,2783.993,1.367,0.022,1110.339,253.917,0.707,0.215,25.68,4.543,0.341,1366.351,30.564,1366.566,1396.915,1419.071
3,529.tiff,human melanoma,43,0,24909,-0.08385,0.48703,100,98,39047580,4.469596,0.001107,2.1e-05,1.339987,0.291956,0.000694,0.000208,0.029694,0.004791,0.000346,1.633764,0.034831,1.633972,1.668595,1.697139,0.0,1,4469.596,1.107,0.021,1339.987,291.956,0.694,0.208,29.694,4.791,0.346,1633.764,34.831,1633.972,1668.595,1697.139
3,548.tiff,human melanoma,33,0,25802,-0.06856,0.74404,100,98,39047580,4.535613,0.000783,2e-05,1.183447,0.289609,0.000658,0.0002,0.031418,0.004492,0.000333,1.474517,0.036243,1.474717,1.51076,1.538973,0.0,1,4535.613,0.783,0.02,1183.447,289.609,0.658,0.2,31.418,4.492,0.333,1474.517,36.243,1474.717,1510.76,1538.973
4,013.tiff,human breast cancer,35,0,242,-0.01172,0.09261,100,97,39047580,3.06928,0.000814,2e-05,1.18171,0.282688,0.000655,0.000196,0.030746,0.004217,0.000314,1.465886,0.035277,1.466082,1.501163,1.528544,0.0,1,3069.28,0.814,0.02,1181.71,282.688,0.655,0.196,30.746,4.217,0.314,1465.886,35.277,1466.082,1501.163,1528.544
4,094.tiff,human breast cancer,35,0,2494,-0.00404,0.08269,100,98,38100492,2.903464,0.000956,2e-05,1.138027,0.278837,0.000665,0.000197,0.030704,0.004088,0.000369,1.418504,0.035162,1.418701,1.453666,1.479921,0.0,1,2903.464,0.956,0.02,1138.027,278.837,0.665,0.197,30.704,4.088,0.369,1418.504,35.162,1418.701,1453.666,1479.921
4,201.tiff,canine lung cancer,51,0,4479,-0.04238,1.0078,100,98,32444341,2.499204,0.001151,2.1e-05,1.173961,0.230812,0.000655,0.000279,0.024387,0.004034,0.000311,1.406599,0.028732,1.406878,1.435331,1.454017,0.0,1,2499.204,1.151,0.021,1173.961,230.812,0.655,0.279,24.387,4.034,0.311,1406.599,28.732,1406.878,1435.331,1454.017
4,233.tiff,canine lung cancer,25,0,5761,-0.01397,0.1566,100,97,32444341,2.465169,0.001025,2e-05,0.895484,0.229001,0.000646,0.000192,0.024244,0.004016,0.000312,1.126175,0.028573,1.126367,1.154747,1.173082,0.0,1,2465.169,1.025,0.02,895.484,229.001,0.646,0.192,24.244,4.016,0.312,1126.175,28.573,1126.367,1154.747,1173.082
4,245.tiff,canine lymphosarcoma,51,0,6354,-0.00784,0.26175,100,97,32444341,2.430038,0.000992,2.1e-05,1.137384,0.229806,0.000654,0.000195,0.023746,0.004089,0.000322,1.368857,0.028157,1.369052,1.397014,1.418398,0.0,1,2430.038,0.992,0.021,1137.384,229.806,0.654,0.195,23.746,4.089,0.322,1368.857,28.157,1369.052,1397.014,1418.398
4,246.tiff,canine lymphosarcoma,37,0,6587,-0.00325,0.17799,100,95,32444341,2.41691,0.001466,2e-05,0.969837,0.234047,0.000656,0.000199,0.02386,0.004177,0.000318,1.206025,0.028354,1.206224,1.23438,1.255858,0.0,1,2416.91,1.466,0.02,969.837,234.047,0.656,0.199,23.86,4.177,0.318,1206.025,28.354,1206.224,1234.38,1255.858
4,300.tiff,canine cutaneous mast cell tumor,29,0,14500,-0.03469,0.2909,100,99,31171245,2.323672,0.000984,2e-05,0.870899,0.221558,0.00068,0.000203,0.025532,0.00393,0.000305,1.094141,0.029767,1.094343,1.123908,1.143428,0.0,1,2323.672,0.984,0.02,870.899,221.558,0.68,0.203,25.532,3.93,0.305,1094.141,29.767,1094.343,1123.908,1143.428
4,301.tiff,canine cutaneous mast cell tumor,27,0,14817,-0.02577,0.231,100,99,31171245,2.321336,0.000848,2e-05,0.840656,0.229243,0.000665,0.000199,0.023043,0.004024,0.00031,1.071432,0.027377,1.071631,1.098808,1.119787,0.0,1,2321.336,0.848,0.02,840.656,229.243,0.665,0.199,23.043,4.024,0.31,1071.432,27.377,1071.631,1098.808,1119.787
4,402.tiff,human neuroendocrine tumor,33,1,20222,-0.05674,0.94684,100,98,39047580,2.856796,0.000939,2.4e-05,1.096424,0.268327,0.000662,0.000198,0.029672,0.004002,0.000312,1.366376,0.033987,1.366573,1.400363,1.425875,0.0,1,2856.796,0.939,0.024,1096.424,268.327,0.662,0.198,29.672,4.002,0.312,1366.376,33.987,1366.573,1400.363,1425.875
4,403.tiff,human neuroendocrine tumor,49,1,20336,-0.00796,0.59881,100,96,39047580,2.843075,0.001143,2e-05,1.290504,0.27138,0.000663,0.000216,0.028421,0.004117,0.000308,1.563711,0.032846,1.563926,1.596557,1.617463,0.0,1,2843.075,1.143,0.02,1290.504,271.38,0.663,0.216,28.421,4.117,0.308,1563.711,32.846,1563.926,1596.557,1617.463
4,459.tiff,canine soft tissue sarcoma,45,0,22305,-0.14126,1.04765,100,99,32444341,2.402618,0.001362,2e-05,1.055671,0.22302,0.000652,0.000194,0.024073,0.004169,0.000321,1.280725,0.028563,1.280919,1.309288,1.331817,0.0,1,2402.618,1.362,0.02,1055.671,223.02,0.652,0.194,24.073,4.169,0.321,1280.725,28.563,1280.919,1309.288,1331.817
